layer,fold,best_lr,best_wd,r2,mse,n_test_windows,cos_sim_mean
0,0,0.0010000000474974513,0.4000000059604645,0.603746771812439,0.1021280437707901,112000,0.8259767889976501
0,1,9.999999747378752e-05,0.4000000059604645,0.6509132385253906,0.09006447345018387,112000,0.84601229429245
0,2,0.003000000026077032,0.10000000149011612,0.5909100770950317,0.1052638366818428,112000,0.8214673399925232
0,3,0.003000000026077032,0.4000000059604645,0.6389578580856323,0.0936925858259201,112000,0.8385775685310364
0,4,0.004999999888241291,0.4000000059604645,0.6491826176643372,0.08888562768697739,112000,0.8491210341453552
1,0,0.0003000000142492354,0.4000000059604645,0.6734131574630737,0.084173284471035,112000,0.8585631251335144
1,1,0.0003000000142492354,0.4000000059604645,0.677787721157074,0.08313088864088058,112000,0.860368013381958
1,2,9.999999747378752e-05,0.4000000059604645,0.6681469678878784,0.08539104461669922,112000,0.8564439415931702
1,3,0.0010000000474974513,0.800000011920929,0.6602951288223267,0.08815605938434601,112000,0.8493913412094116
1,4,9.999999747378752e-05,0.4000000059604645,0.6761999130249023,0.08204095810651779,112000,0.8634129166603088
2,0,9.999999747378752e-05,0.4000000059604645,0.6805798411369324,0.08232694864273071,112000,0.8616939187049866
2,1,0.003000000026077032,0.4000000059604645,0.6840754747390747,0.08150973916053772,112000,0.8632936477661133
2,2,0.0010000000474974513,0.4000000059604645,0.6736475229263306,0.0839763879776001,112000,0.8582481741905212
2,3,0.0010000000474974513,0.4000000059604645,0.6652513742446899,0.08686897158622742,112000,0.8523402214050293
2,4,9.999999747378752e-05,0.4000000059604645,0.667120635509491,0.08434107899665833,112000,0.8584051132202148
3,0,0.0010000000474974513,0.4000000059604645,0.6992502212524414,0.07751528173685074,112000,0.8720353245735168
3,1,0.0010000000474974513,0.800000011920929,0.6880896687507629,0.08047375082969666,112000,0.8673874735832214
3,2,9.999999747378752e-05,0.800000011920929,0.6825364232063293,0.08168883621692657,112000,0.8645052909851074
3,3,0.0010000000474974513,0.800000011920929,0.6803986430168152,0.08293916285037994,112000,0.8623305559158325
3,4,9.999999747378752e-05,0.800000011920929,0.6839319467544556,0.080082468688488,112000,0.8679907321929932
4,0,9.999999747378752e-05,0.800000011920929,0.7334886789321899,0.06869028508663177,112000,0.8895735144615173
4,1,0.003000000026077032,0.4000000059604645,0.73946213722229,0.06721902638673782,112000,0.8920693397521973
4,2,9.999999747378752e-05,0.800000011920929,0.7291708588600159,0.0696890577673912,112000,0.8878784775733948
4,3,0.003000000026077032,0.4000000059604645,0.735501766204834,0.06863949447870255,112000,0.8900572061538696
4,4,0.0003000000142492354,0.4000000059604645,0.7372688055038452,0.06656821072101593,112000,0.8928853273391724
5,0,0.004999999888241291,0.800000011920929,0.7380779385566711,0.0675080195069313,112000,0.8914426565170288
5,1,0.0003000000142492354,0.4000000059604645,0.753083348274231,0.06370559334754944,112000,0.8974765539169312
5,2,0.004999999888241291,0.800000011920929,0.7358224987983704,0.06797761470079422,112000,0.8903779983520508
5,3,0.003000000026077032,0.4000000059604645,0.749875009059906,0.06490936875343323,112000,0.895605742931366
5,4,0.004999999888241291,0.800000011920929,0.737368106842041,0.06654318422079086,112000,0.8916917443275452
6,0,9.999999747378752e-05,0.800000011920929,0.7351800203323364,0.0682542696595192,112000,0.8903525471687317
6,1,0.0010000000474974513,0.800000011920929,0.7355995774269104,0.06821554154157639,112000,0.889976978302002
6,2,0.004999999888241291,0.800000011920929,0.7321498990058899,0.06892278790473938,112000,0.8890877962112427
6,3,0.004999999888241291,0.4000000059604645,0.7393829226493835,0.0676315426826477,112000,0.8919117450714111
6,4,0.0010000000474974513,0.800000011920929,0.7312101721763611,0.06810320913791656,112000,0.8893176913261414
7,0,9.999999747378752e-05,0.800000011920929,0.74005526304245,0.06699757277965546,112000,0.8931559920310974
7,1,0.0010000000474974513,0.800000011920929,0.7384579181671143,0.06747866421937943,112000,0.8919394612312317
7,2,0.0010000000474974513,0.800000011920929,0.73444002866745,0.06833254545927048,112000,0.8907386064529419
7,3,0.003000000026077032,0.800000011920929,0.736190140247345,0.06846027076244354,112000,0.8904742002487183
7,4,9.999999747378752e-05,0.800000011920929,0.7363812327384949,0.06679316610097885,112000,0.8921481370925903
8,0,0.004999999888241291,0.4000000059604645,0.7503246665000916,0.06435049325227737,112000,0.8986787796020508
8,1,0.003000000026077032,0.800000011920929,0.7372575402259827,0.06778788566589355,112000,0.8920316696166992
8,2,0.004999999888241291,0.800000011920929,0.7335218191146851,0.06856896728277206,112000,0.8917372822761536
8,3,0.0003000000142492354,0.4000000059604645,0.7492664456367493,0.06506697088479996,112000,0.8973115682601929
8,4,9.999999747378752e-05,0.800000011920929,0.7315568923950195,0.06801499426364899,112000,0.8908869028091431
9,0,0.004999999888241291,0.4000000059604645,0.7437079548835754,0.06605593860149384,112000,0.8956636190414429
9,1,0.003000000026077032,0.800000011920929,0.732780396938324,0.06894288212060928,112000,0.8903942108154297
9,2,0.004999999888241291,0.4000000059604645,0.7253407835960388,0.07067370414733887,112000,0.8893252611160278
9,3,0.0010000000474974513,0.4000000059604645,0.7361964583396912,0.06845840066671371,112000,0.8917191624641418
9,4,9.999999747378752e-05,0.4000000059604645,0.7394799590110779,0.06600752472877502,112000,0.8952980041503906
10,0,0.004999999888241291,0.4000000059604645,0.749262809753418,0.06462423503398895,112000,0.8982698321342468
10,1,0.003000000026077032,0.4000000059604645,0.7524204254150391,0.0638757050037384,112000,0.8995397090911865
10,2,9.999999747378752e-05,0.800000011920929,0.7327300906181335,0.0687728002667427,112000,0.8914967179298401
