layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.003000000026077032,0.800000011920929,0.8347419500350952,0.012559118680655956,112000
0,1,9.999999747378752e-05,0.800000011920929,0.8355221748352051,0.012326699681580067,112000
0,2,0.0010000000474974513,0.800000011920929,0.8251984715461731,0.013649770058691502,112000
0,3,0.003000000026077032,0.800000011920929,0.825173020362854,0.013590597547590733,112000
0,4,9.999999747378752e-05,0.800000011920929,0.813285231590271,0.01376817561686039,112000
1,0,9.999999747378752e-05,0.800000011920929,0.8516800403594971,0.011271876282989979,112000
1,1,0.004999999888241291,0.800000011920929,0.874327540397644,0.009418449364602566,112000
1,2,0.0010000000474974513,0.800000011920929,0.8656385540962219,0.010491915978491306,112000
1,3,0.003000000026077032,0.800000011920929,0.8685228228569031,0.010220698080956936,112000
1,4,0.004999999888241291,0.800000011920929,0.8644669055938721,0.009994084015488625,112000
2,0,0.004999999888241291,0.800000011920929,0.8639075756072998,0.010342621244490147,112000
2,1,9.999999747378752e-05,0.4000000059604645,0.8582402467727661,0.010624105110764503,112000
2,2,0.0003000000142492354,0.800000011920929,0.865328311920166,0.010516139678657055,112000
2,3,0.0003000000142492354,0.800000011920929,0.8642823100090027,0.010550343431532383,112000
2,4,0.0010000000474974513,0.800000011920929,0.8610538840293884,0.010245759040117264,112000
3,0,0.004999999888241291,0.800000011920929,0.8582751750946045,0.010770662687718868,112000
3,1,0.003000000026077032,0.4000000059604645,0.8604932427406311,0.010455254465341568,112000
3,2,0.003000000026077032,0.800000011920929,0.8705748319625854,0.010106455534696579,112000
3,3,0.004999999888241291,0.800000011920929,0.8686985969543457,0.010207033716142178,112000
3,4,0.0010000000474974513,0.4000000059604645,0.8464244604110718,0.01132451742887497,112000
4,0,0.0003000000142492354,0.800000011920929,0.8799587488174438,0.009122778661549091,112000
4,1,9.999999747378752e-05,0.800000011920929,0.8822450637817383,0.00882507860660553,112000
4,2,0.0010000000474974513,0.800000011920929,0.8720167875289917,0.009993859566748142,112000
4,3,0.0003000000142492354,0.4000000059604645,0.8717396259307861,0.009970627725124359,112000
4,4,0.004999999888241291,0.800000011920929,0.8742743134498596,0.009270896203815937,112000
5,0,9.999999747378752e-05,0.800000011920929,0.8735531568527222,0.009609580971300602,112000
5,1,0.0010000000474974513,0.4000000059604645,0.8566297888755798,0.010744799859821796,112000
5,2,0.0010000000474974513,0.800000011920929,0.8575849533081055,0.01112079806625843,112000
5,3,0.0010000000474974513,0.4000000059604645,0.8775278329849243,0.009520670399069786,112000
5,4,0.0003000000142492354,0.800000011920929,0.8822452425956726,0.008683125488460064,112000
6,0,9.999999747378752e-05,0.800000011920929,0.8824442028999329,0.008933890610933304,112000
6,1,0.004999999888241291,0.4000000059604645,0.8171431422233582,0.013704103417694569,112000
6,2,9.999999747378752e-05,0.800000011920929,0.8827588558197021,0.009155036881566048,112000
6,3,9.999999747378752e-05,0.800000011920929,0.8814013004302979,0.009219558909535408,112000
6,4,0.003000000026077032,0.800000011920929,0.8475617170333862,0.011240659281611443,112000
7,0,0.0003000000142492354,0.800000011920929,0.8922832608222961,0.008186150342226028,112000
7,1,0.004999999888241291,0.4000000059604645,0.8765124082565308,0.009254708886146545,112000
7,2,0.003000000026077032,0.4000000059604645,0.8540643453598022,0.011395715177059174,112000
7,3,0.0003000000142492354,0.800000011920929,0.8539952635765076,0.011350030079483986,112000
7,4,9.999999747378752e-05,0.800000011920929,0.8801857829093933,0.008834988810122013,112000
8,0,0.0003000000142492354,0.800000011920929,0.877311646938324,0.009323948062956333,112000
8,1,0.0003000000142492354,0.800000011920929,0.891901433467865,0.008101385086774826,112000
8,2,0.003000000026077032,0.800000011920929,0.8898960947990417,0.00859771016985178,112000
8,3,0.003000000026077032,0.800000011920929,0.8769027590751648,0.0095692602917552,112000
8,4,9.999999747378752e-05,0.800000011920929,0.8804492354393005,0.008815563283860683,112000
9,0,9.999999747378752e-05,0.800000011920929,0.8781818151473999,0.00925782136619091,112000
9,1,0.003000000026077032,0.800000011920929,0.8943443894386292,0.007918300107121468,112000
9,2,9.999999747378752e-05,0.800000011920929,0.8896269202232361,0.008618730120360851,112000
9,3,0.003000000026077032,0.800000011920929,0.8848667144775391,0.00895016547292471,112000
9,4,9.999999747378752e-05,0.800000011920929,0.8807527422904968,0.00879318080842495,112000
10,0,0.003000000026077032,0.800000011920929,0.886935293674469,0.008592579513788223,112000
10,1,0.0003000000142492354,0.800000011920929,0.8945965766906738,0.007899398915469646,112000
10,2,9.999999747378752e-05,0.800000011920929,0.8796335458755493,0.009399082511663437,112000
10,3,0.003000000026077032,0.800000011920929,0.8905547857284546,0.008507989346981049,112000
10,4,0.0003000000142492354,0.800000011920929,0.8858584761619568,0.00841668900102377,112000
11,0,9.999999747378752e-05,0.800000011920929,0.8991546630859375,0.007663944736123085,112000
11,1,0.0003000000142492354,0.800000011920929,0.898367166519165,0.007616813760250807,112000
11,2,0.004999999888241291,0.800000011920929,0.897766649723053,0.007983122020959854,112000
11,3,0.0003000000142492354,0.800000011920929,0.8961437344551086,0.008073516190052032,112000
11,4,0.0003000000142492354,0.800000011920929,0.8905270099639893,0.008072438649833202,112000
12,0,0.004999999888241291,0.800000011920929,0.9055160284042358,0.007180500775575638,112000
12,1,0.004999999888241291,0.800000011920929,0.9051473736763,0.007108675315976143,112000
12,2,0.0010000000474974513,0.800000011920929,0.889698326587677,0.008613153360784054,112000
12,3,0.0003000000142492354,0.800000011920929,0.8999225497245789,0.007779764477163553,112000
12,4,0.003000000026077032,0.800000011920929,0.8991879820823669,0.007433786056935787,112000
13,0,9.999999747378752e-05,0.800000011920929,0.9066447019577026,0.007094722241163254,112000
13,1,0.004999999888241291,0.800000011920929,0.9065737128257751,0.00700177950784564,112000
13,2,0.003000000026077032,0.4000000059604645,0.8728744983673096,0.009926880709826946,112000
13,3,0.0010000000474974513,0.800000011920929,0.9015330076217651,0.0076545714400708675,112000
13,4,0.003000000026077032,0.4000000059604645,0.8990356922149658,0.0074450126849114895,112000
14,0,0.004999999888241291,0.800000011920929,0.907354474067688,0.007040783297270536,112000
14,1,9.999999747378752e-05,0.800000011920929,0.9037400484085083,0.007214148063212633,112000
14,2,9.999999747378752e-05,0.4000000059604645,0.8934913873672485,0.008316965773701668,112000
14,3,0.003000000026077032,0.800000011920929,0.902878999710083,0.007549937814474106,112000
14,4,0.003000000026077032,0.800000011920929,0.9042284488677979,0.007062106393277645,112000
15,0,0.004999999888241291,0.800000011920929,0.9078454971313477,0.007003466133028269,112000
