layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.003000000026077032,0.4000000059604645,0.9526895880699158,8.473831258015707e-05,112000
0,1,0.004999999888241291,0.4000000059604645,0.9567894339561462,8.208045619539917e-05,112000
0,2,9.999999747378752e-05,0.4000000059604645,0.9576109647750854,8.620369044365361e-05,112000
0,3,0.0003000000142492354,0.4000000059604645,0.9568614363670349,9.038364078151062e-05,112000
0,4,0.0010000000474974513,0.4000000059604645,0.9539398550987244,9.966980724129826e-05,112000
1,0,0.003000000026077032,0.4000000059604645,0.970384418964386,5.304533988237381e-05,112000
1,1,0.003000000026077032,0.4000000059604645,0.9775537252426147,4.263774826540612e-05,112000
1,2,0.003000000026077032,0.4000000059604645,0.9549000859260559,9.171655983664095e-05,112000
1,3,0.0010000000474974513,0.4000000059604645,0.8932663798332214,0.00022362908930517733,112000
1,4,0.003000000026077032,0.4000000059604645,0.9755198955535889,5.297183815855533e-05,112000
2,0,9.999999747378752e-05,0.800000011920929,0.9673905372619629,5.840784069732763e-05,112000
2,1,9.999999747378752e-05,0.4000000059604645,0.9748386740684509,4.779429582413286e-05,112000
2,2,0.0010000000474974513,0.4000000059604645,0.9713634252548218,5.823631363455206e-05,112000
2,3,9.999999747378752e-05,0.4000000059604645,0.9680649042129517,6.690994632663205e-05,112000
2,4,0.003000000026077032,0.4000000059604645,0.9669510722160339,7.151476165745407e-05,112000
3,0,0.003000000026077032,0.4000000059604645,0.9761068820953369,4.279545464669354e-05,112000
3,1,9.999999747378752e-05,0.4000000059604645,0.9796569347381592,3.864243990392424e-05,112000
3,2,0.0010000000474974513,0.800000011920929,0.9710031151771545,5.8969326346414164e-05,112000
3,3,0.0010000000474974513,0.800000011920929,0.9792793989181519,4.3413510866230354e-05,112000
3,4,0.004999999888241291,0.800000011920929,0.9744198322296143,5.53534300706815e-05,112000
4,0,0.0003000000142492354,0.800000011920929,0.9747138619422913,4.5290948037290946e-05,112000
4,1,0.0010000000474974513,0.800000011920929,0.9815613627433777,3.5024830140173435e-05,112000
4,2,0.004999999888241291,0.800000011920929,0.9831169843673706,3.433403617236763e-05,112000
4,3,0.004999999888241291,0.800000011920929,0.9802236557006836,4.143511614529416e-05,112000
4,4,0.0010000000474974513,0.4000000059604645,0.92986661195755,0.00015176113811321557,112000
5,0,0.004999999888241291,0.800000011920929,0.9813345670700073,3.3432286727475e-05,112000
5,1,0.0003000000142492354,0.4000000059604645,0.9575926065444946,8.055409853113815e-05,112000
5,2,0.004999999888241291,0.800000011920929,0.9843383431434631,3.185021705576219e-05,112000
5,3,9.999999747378752e-05,0.800000011920929,0.9814186096191406,3.8931844756007195e-05,112000
5,4,0.003000000026077032,0.4000000059604645,0.9474737644195557,0.00011366313992766663,112000
6,0,0.004999999888241291,0.4000000059604645,0.9815441966056824,3.305671998532489e-05,112000
6,1,9.999999747378752e-05,0.800000011920929,0.9822543263435364,3.370871490915306e-05,112000
