family,target,task,variant,model_label,peak_r2,peak_layer
magnitude_ee_velocity,ee_velocity__mean,push,variant_A,V-JEPA A,0.9799610376358032,19
magnitude_ee_velocity,ee_velocity__mean,push,variant_B,V-JEPA B,0.9795396804809571,19
magnitude_ee_velocity,ee_velocity__mean,push,variant_A_videomae_large,VideoMAE A,0.9774354100227356,21
magnitude_ee_velocity,ee_velocity__mean,push,variant_B_videomae_large,VideoMAE B,0.9809707045555115,22
magnitude_ee_velocity,ee_velocity__mean,push,variant_A_dinov2_large,DINOv2 A,0.8936067938804626,16
magnitude_ee_velocity,ee_velocity__mean,strike,variant_A,V-JEPA A,0.9925796866416932,19
magnitude_ee_velocity,ee_velocity__mean,strike,variant_B,V-JEPA B,0.98098064661026,4
magnitude_ee_velocity,ee_velocity__mean,strike,variant_A_videomae_large,VideoMAE A,,-1
magnitude_ee_velocity,ee_velocity__mean,strike,variant_B_videomae_large,VideoMAE B,,-1
magnitude_ee_velocity,ee_velocity__mean,strike,variant_A_dinov2_large,DINOv2 A,0.9571530222892761,16
magnitude_ee_velocity,ee_velocity__mean,drawer,variant_A,V-JEPA A,0.9869479656219482,18
magnitude_ee_velocity,ee_velocity__mean,drawer,variant_B,V-JEPA B,0.9703041553497315,1
magnitude_ee_velocity,ee_velocity__mean,drawer,variant_A_videomae_large,VideoMAE A,0.9894661664962768,19
magnitude_ee_velocity,ee_velocity__mean,drawer,variant_B_videomae_large,VideoMAE B,0.9842400074005127,1
magnitude_ee_velocity,ee_velocity__mean,drawer,variant_A_dinov2_large,DINOv2 A,0.9779314517974853,22
magnitude_ee_velocity,ee_velocity__mean,reach,variant_A,V-JEPA A,0.9602576971054078,18
magnitude_ee_velocity,ee_velocity__mean,reach,variant_B,V-JEPA B,0.9089768886566162,4
magnitude_ee_velocity,ee_velocity__mean,reach,variant_A_videomae_large,VideoMAE A,,-1
magnitude_ee_velocity,ee_velocity__mean,reach,variant_B_videomae_large,VideoMAE B,,-1
magnitude_ee_velocity,ee_velocity__mean,reach,variant_A_dinov2_large,DINOv2 A,0.6615237832069397,21
magnitude_ee_velocity,ee_velocity__mean,peg_insert,variant_A,V-JEPA A,0.981604790687561,18
magnitude_ee_velocity,ee_velocity__mean,peg_insert,variant_B,V-JEPA B,,-1
magnitude_ee_velocity,ee_velocity__mean,peg_insert,variant_A_videomae_large,VideoMAE A,,-1
magnitude_ee_velocity,ee_velocity__mean,peg_insert,variant_B_videomae_large,VideoMAE B,,-1
magnitude_ee_velocity,ee_velocity__mean,peg_insert,variant_A_dinov2_large,DINOv2 A,0.8278597474098206,13
magnitude_ee_velocity,ee_velocity__mean,nut_thread,variant_A,V-JEPA A,0.9365172743797302,20
magnitude_ee_velocity,ee_velocity__mean,nut_thread,variant_B,V-JEPA B,,-1
magnitude_ee_velocity,ee_velocity__mean,nut_thread,variant_A_videomae_large,VideoMAE A,,-1
magnitude_ee_velocity,ee_velocity__mean,nut_thread,variant_B_videomae_large,VideoMAE B,,-1
magnitude_ee_velocity,ee_velocity__mean,nut_thread,variant_A_dinov2_large,DINOv2 A,0.4501088380813599,8
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,push,variant_A,V-JEPA A,0.8015325427055359,17
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,push,variant_B,V-JEPA B,0.8203524708747864,17
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,push,variant_A_videomae_large,VideoMAE A,0.7740541100502014,21
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,push,variant_B_videomae_large,VideoMAE B,0.800399386882782,22
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,push,variant_A_dinov2_large,DINOv2 A,0.45074390172958373,20
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,strike,variant_A,V-JEPA A,0.8861441612243652,20
