layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0010000000474974513,0.009999999776482582,0.025583267211914062,1.9230935777159175e-07,64500
0,1,0.004999999888241291,0.009999999776482582,0.0020232200622558594,1.5804441488853627e-07,64500
0,2,9.999999747378752e-05,0.800000011920929,0.020897984504699707,1.9296942355140345e-07,64500
0,3,9.999999747378752e-05,0.10000000149011612,0.022660255432128906,2.0520346311059257e-07,64500
0,4,0.0003000000142492354,0.009999999776482582,0.014775753021240234,1.7884374869936437e-07,64500
1,0,0.0003000000142492354,0.800000011920929,0.1169160008430481,1.7428406806629937e-07,64500
1,1,0.003000000026077032,0.800000011920929,0.10481464862823486,1.4176586660141766e-07,64500
1,2,0.0010000000474974513,0.800000011920929,0.12386107444763184,1.726766072351893e-07,64500
1,3,0.0003000000142492354,0.4000000059604645,0.13262951374053955,1.821141779601021e-07,64500
1,4,0.0010000000474974513,0.10000000149011612,0.10098588466644287,1.631943717939066e-07,64500
2,0,0.004999999888241291,0.800000011920929,0.1554255485534668,1.666838898017886e-07,64500
2,1,9.999999747378752e-05,0.4000000059604645,0.1392081379890442,1.3631914441702975e-07,64500
2,2,9.999999747378752e-05,0.4000000059604645,0.14863109588623047,1.6779472389316652e-07,64500
2,3,0.0003000000142492354,0.800000011920929,0.16481250524520874,1.7535700180815184e-07,64500
2,4,0.003000000026077032,0.4000000059604645,0.1442607045173645,1.5533886710272782e-07,64500
3,0,0.0010000000474974513,0.4000000059604645,0.15742415189743042,1.6628945331831346e-07,64500
3,1,0.004999999888241291,0.10000000149011612,0.1355108618736267,1.369046600530055e-07,64500
3,2,9.999999747378752e-05,0.4000000059604645,0.15217536687850952,1.6709618932964077e-07,64500
3,3,0.003000000026077032,0.4000000059604645,0.1701030135154724,1.7424619613848336e-07,64500
3,4,0.0010000000474974513,0.4000000059604645,0.15686452388763428,1.5305094791528973e-07,64500
4,0,0.003000000026077032,0.10000000149011612,0.19157874584197998,1.5954874754697812e-07,64500
4,1,9.999999747378752e-05,0.800000011920929,0.15045440196990967,1.3453814062813763e-07,64500
4,2,0.0010000000474974513,0.10000000149011612,0.16500872373580933,1.6456689877486497e-07,64500
4,3,0.0003000000142492354,0.10000000149011612,0.19459885358810425,1.6910301781081216e-07,64500
4,4,0.003000000026077032,0.10000000149011612,0.17944687604904175,1.4895167055328784e-07,64500
5,0,0.003000000026077032,0.10000000149011612,0.1985127329826355,1.581802706596136e-07,64500
5,1,0.0010000000474974513,0.800000011920929,0.15831130743026733,1.3329388082183868e-07,64500
5,2,0.003000000026077032,0.800000011920929,0.1815248727798462,1.613117603938008e-07,64500
5,3,0.0003000000142492354,0.10000000149011612,0.22380173206329346,1.6297154559197224e-07,64500
5,4,0.0003000000142492354,0.10000000149011612,0.19700199365615845,1.4576495743767737e-07,64500
6,0,9.999999747378752e-05,0.10000000149011612,0.22143226861953735,1.5365689876034594e-07,64500
6,1,0.004999999888241291,0.10000000149011612,0.17883282899856567,1.3004398624616442e-07,64500
6,2,9.999999747378752e-05,0.10000000149011612,0.20175272226333618,1.5732508984456217e-07,64500
6,3,0.003000000026077032,0.800000011920929,0.21343004703521729,1.6514918854682037e-07,64500
6,4,0.0003000000142492354,0.009999999776482582,0.1631811261177063,1.5190433089173894e-07,64500
7,0,0.0010000000474974513,0.009999999776482582,-0.0811154842376709,2.1336724387310824e-07,64500
7,1,0.003000000026077032,0.10000000149011612,0.1882428526878357,1.2855377917730948e-07,64500
7,2,0.004999999888241291,0.10000000149011612,0.19430720806121826,1.5879250270245393e-07,64500
7,3,0.004999999888241291,0.10000000149011612,0.24911290407180786,1.57657169097547e-07,64500
7,4,0.004999999888241291,0.10000000149011612,0.21061432361602783,1.4329397401979804e-07,64500
8,0,0.004999999888241291,0.009999999776482582,0.2531864643096924,1.4738994025265129e-07,64500
8,1,0.0010000000474974513,0.10000000149011612,0.23161029815673828,1.216859004671278e-07,64500
8,2,0.004999999888241291,0.10000000149011612,0.24739885330200195,1.483287661585564e-07,64500
8,3,0.0003000000142492354,0.009999999776482582,0.28665584325790405,1.497746211498452e-07,64500
8,4,0.003000000026077032,0.10000000149011612,0.2580030560493469,1.3469168891333538e-07,64500
9,0,0.0010000000474974513,0.10000000149011612,0.27619093656539917,1.4284982796652912e-07,64500
9,1,0.0010000000474974513,0.009999999776482582,0.23281973600387573,1.214943665672763e-07,64500
9,2,0.003000000026077032,0.009999999776482582,0.28093522787094116,1.417191555219688e-07,64500
9,3,0.0003000000142492354,0.009999999776482582,0.3100361227989197,1.4486566612958995e-07,64500
9,4,0.0010000000474974513,0.10000000149011612,0.2715073227882385,1.3224031647496304e-07,64500
10,0,9.999999747378752e-05,0.10000000149011612,0.310421884059906,1.3609405868919566e-07,64500
10,1,0.004999999888241291,0.10000000149011612,0.24277275800704956,1.1991815540568496e-07,64500
10,2,0.003000000026077032,0.009999999776482582,0.3088224530220032,1.362229085088984e-07,64500
10,3,0.004999999888241291,0.10000000149011612,0.3009335398674011,1.4677685555852804e-07,64500
10,4,0.003000000026077032,0.009999999776482582,0.28822803497314453,1.292050626489072e-07,64500
11,0,0.0010000000474974513,0.10000000149011612,0.3065655827522278,1.368551210134683e-07,64500
11,1,0.003000000026077032,0.009999999776482582,0.2595233917236328,1.1726544357770763e-07,64500
11,2,9.999999747378752e-05,0.009999999776482582,0.3044477105140686,1.3708512369703385e-07,64500
11,3,9.999999747378752e-05,0.10000000149011612,0.31717145442962646,1.4336752940380393e-07,64500
11,4,9.999999747378752e-05,0.10000000149011612,0.306257963180542,1.2593217491030373e-07,64500
12,0,0.003000000026077032,0.10000000149011612,0.31479305028915405,1.352313745428546e-07,64500
12,1,0.0003000000142492354,0.10000000149011612,0.2730126976966858,1.151292110534996e-07,64500
12,2,0.0003000000142492354,0.10000000149011612,0.3132939338684082,1.3534163656458986e-07,64500
12,3,0.003000000026077032,0.10000000149011612,0.3292863368988037,1.4082387167491106e-07,64500
12,4,9.999999747378752e-05,0.10000000149011612,0.3103562593460083,1.251882224551082e-07,64500
13,0,0.0010000000474974513,0.10000000149011612,0.32897335290908813,1.3243277408037102e-07,64500
13,1,0.0010000000474974513,0.10000000149011612,0.2910328507423401,1.1227545826386631e-07,64500
13,2,0.004999999888241291,0.10000000149011612,0.3273025155067444,1.3258070907795627e-07,64500
13,3,9.999999747378752e-05,0.10000000149011612,0.3446905016899109,1.375895806177141e-07,64500
13,4,0.0003000000142492354,0.10000000149011612,0.32118475437164307,1.2322256282004673e-07,64500
14,0,0.004999999888241291,0.10000000149011612,0.36074066162109375,1.261632291971182e-07,64500
14,1,0.0003000000142492354,0.10000000149011612,0.33326441049575806,1.0558746055266965e-07,64500
14,2,0.0003000000142492354,0.10000000149011612,0.36456626653671265,1.252364683068663e-07,64500
14,3,9.999999747378752e-05,0.10000000149011612,0.3853335380554199,1.2905613289149187e-07,64500
14,4,0.003000000026077032,0.10000000149011612,0.3671687841415405,1.1487527729059366e-07,64500
15,0,0.003000000026077032,0.10000000149011612,0.36873501539230347,1.2458545484150818e-07,64500
15,1,0.004999999888241291,0.10000000149011612,0.34942054748535156,1.0302889563718054e-07,64500
15,2,0.0003000000142492354,0.009999999776482582,0.3685683608055115,1.24447694815899e-07,64500
15,3,0.004999999888241291,0.10000000149011612,0.39980125427246094,1.2601847743098915e-07,64500
15,4,0.004999999888241291,0.10000000149011612,0.37419235706329346,1.1360031493268252e-07,64500
16,0,0.003000000026077032,0.10000000149011612,0.3612348437309265,1.2606568589035305e-07,64500
16,1,0.004999999888241291,0.10000000149011612,0.350055456161499,1.0292834673464313e-07,64500
16,2,0.004999999888241291,0.10000000149011612,0.37650954723358154,1.2288258233184024e-07,64500
16,3,0.003000000026077032,0.10000000149011612,0.3871030807495117,1.2868459009496291e-07,64500
16,4,0.0010000000474974513,0.10000000149011612,0.3655558228492737,1.1516807063571832e-07,64500
17,0,0.0003000000142492354,0.10000000149011612,0.37633633613586426,1.2308528596349788e-07,64500
17,1,0.003000000026077032,0.10000000149011612,0.3422231674194336,1.041687127667501e-07,64500
17,2,0.003000000026077032,0.009999999776482582,0.40012818574905396,1.1822763212876453e-07,64500
17,3,0.0010000000474974513,0.10000000149011612,0.40299683809280396,1.253475119256109e-07,64500
17,4,0.004999999888241291,0.10000000149011612,0.39178019762039185,1.1040766878522845e-07,64500
