layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0003000000142492354,0.4000000059604645,-0.005483769811689854,5.578441414400004e-05,64500
0,1,0.0010000000474974513,0.10000000149011612,0.007017460186034441,5.6936496548587456e-05,64500
0,2,0.0010000000474974513,0.009999999776482582,-0.000956234463956207,5.628860162687488e-05,64500
0,3,0.0010000000474974513,0.009999999776482582,-0.0017935018986463547,5.807188063045032e-05,64500
0,4,0.004999999888241291,0.009999999776482582,-0.00047171826008707285,5.5688487918814644e-05,64500
1,0,0.0010000000474974513,0.009999999776482582,-0.08857052773237228,6.039449363015592e-05,64500
1,1,9.999999747378752e-05,0.10000000149011612,-1.4115335941314697,0.00013827414659317583,64500
1,2,0.0010000000474974513,0.10000000149011612,-0.7962169051170349,0.00010100912913912907,64500
1,3,0.0003000000142492354,0.4000000059604645,-0.01210575271397829,5.866950596100651e-05,64500
1,4,9.999999747378752e-05,0.800000011920929,-0.0015554949641227722,5.5748616432538256e-05,64500
2,0,0.003000000026077032,0.10000000149011612,0.029191963374614716,5.386067641666159e-05,64500
2,1,9.999999747378752e-05,0.10000000149011612,0.032100215554237366,5.549870547838509e-05,64500
2,2,0.003000000026077032,0.10000000149011612,0.028206538408994675,5.46485825907439e-05,64500
2,3,0.0003000000142492354,0.10000000149011612,0.025948751717805862,5.646351200994104e-05,64500
2,4,0.0003000000142492354,0.10000000149011612,0.027675079181790352,5.412159953266382e-05,64500
3,0,0.004999999888241291,0.10000000149011612,0.03249819576740265,5.367740959627554e-05,64500
3,1,0.0010000000474974513,0.10000000149011612,0.03424017131328583,5.537553442991339e-05,64500
3,2,9.999999747378752e-05,0.10000000149011612,0.02902146801352501,5.4602678574156016e-05,64500
3,3,0.004999999888241291,0.10000000149011612,0.02902418188750744,5.628535654977895e-05,64500
3,4,0.0003000000142492354,0.10000000149011612,0.030558940023183823,5.3961193771101534e-05,64500
4,0,0.0003000000142492354,0.10000000149011612,0.03365372493863106,5.361314470064826e-05,64500
4,1,0.0003000000142492354,0.10000000149011612,0.03578373044729233,5.5287298891926184e-05,64500
4,2,0.0003000000142492354,0.10000000149011612,0.03181782364845276,5.4445554269477725e-05,64500
4,3,0.0003000000142492354,0.10000000149011612,0.02622007578611374,5.6447584938723594e-05,64500
4,4,0.003000000026077032,0.10000000149011612,0.03276747092604637,5.3838393796468154e-05,64500
5,0,0.003000000026077032,0.10000000149011612,0.037406034767627716,5.340503776096739e-05,64500
5,1,9.999999747378752e-05,0.10000000149011612,0.03577498346567154,5.528758993023075e-05,64500
5,2,0.004999999888241291,0.10000000149011612,0.034244365990161896,5.43088281119708e-05,64500
5,3,0.0010000000474974513,0.10000000149011612,0.029676388949155807,5.6247503380291164e-05,64500
5,4,0.003000000026077032,0.10000000149011612,0.03567534685134888,5.367636913433671e-05,64500
6,0,0.003000000026077032,0.009999999776482582,0.01778329536318779,5.449343370855786e-05,64500
6,1,0.004999999888241291,0.009999999776482582,-0.7568168640136719,0.00010073426528833807,64500
6,2,0.0003000000142492354,0.4000000059604645,8.964985318016261e-05,5.62295681447722e-05,64500
6,3,0.004999999888241291,0.4000000059604645,0.030196763575077057,5.621752279694192e-05,64500
6,4,0.0010000000474974513,0.4000000059604645,0.029917268082499504,5.3996842325432226e-05,64500
7,0,0.003000000026077032,0.009999999776482582,-0.20817555487155914,6.70294466544874e-05,64500
7,1,0.003000000026077032,0.009999999776482582,-0.29756999015808105,7.440130139002576e-05,64500
7,2,0.003000000026077032,0.009999999776482582,-0.06192707270383835,5.971733116894029e-05,64500
7,3,9.999999747378752e-05,0.009999999776482582,-0.05694223940372467,6.126864172983915e-05,64500
7,4,0.0010000000474974513,0.800000011920929,-0.41058778762817383,7.851616101106629e-05,64500
8,0,0.0010000000474974513,0.10000000149011612,0.03666304051876068,5.344625606085174e-05,64500
8,1,0.003000000026077032,0.4000000059604645,0.029384104534983635,5.565396713791415e-05,64500
8,2,0.0010000000474974513,0.4000000059604645,-1.615095853805542,0.00014705800276715308,64500
8,3,0.0003000000142492354,0.4000000059604645,0.03270082548260689,5.607187995337881e-05,64500
8,4,0.0003000000142492354,0.10000000149011612,0.04209388792514801,5.331895954441279e-05,64500
9,0,9.999999747378752e-05,0.10000000149011612,0.03720717504620552,5.341579162632115e-05,64500
9,1,0.0003000000142492354,0.4000000059604645,-0.01191310491412878,5.8021953009301797e-05,64500
9,2,0.0010000000474974513,0.4000000059604645,-0.4297100305557251,8.039860404096544e-05,64500
9,3,9.999999747378752e-05,0.10000000149011612,-0.10901089757680893,6.428695633076131e-05,64500
9,4,0.0010000000474974513,0.009999999776482582,0.04189624264836311,5.333022272679955e-05,64500
10,0,0.0010000000474974513,0.800000011920929,0.028836779296398163,5.38803797098808e-05,64500
10,1,0.003000000026077032,0.4000000059604645,0.02185927703976631,5.6085711548803374e-05,64500
10,2,0.003000000026077032,0.10000000149011612,-0.10534709692001343,6.215884786797687e-05,64500
10,3,0.0003000000142492354,0.009999999776482582,-0.8571240901947021,0.00010765288607217371,64500
10,4,9.999999747378752e-05,0.4000000059604645,-0.02414470911026001,5.700646943296306e-05,64500
11,0,9.999999747378752e-05,0.10000000149011612,0.054705701768398285,5.244528438197449e-05,64500
11,1,0.003000000026077032,0.800000011920929,0.023382054641842842,5.599829091806896e-05,64500
11,2,0.003000000026077032,0.009999999776482582,0.05359765142202377,5.3220246627461165e-05,64500
11,3,0.004999999888241291,0.10000000149011612,0.04931061714887619,5.510937262442894e-05,64500
11,4,9.999999747378752e-05,0.009999999776482582,0.05032874643802643,5.2860727009829134e-05,64500
12,0,0.0003000000142492354,0.10000000149011612,0.05047322064638138,5.267969754640944e-05,64500
12,1,0.003000000026077032,0.10000000149011612,0.04977348446846008,5.448507363325916e-05,64500
12,2,0.0010000000474974513,0.10000000149011612,0.04414748400449753,5.375200271373615e-05,64500
12,3,0.0003000000142492354,0.10000000149011612,0.04649832844734192,5.527219036594033e-05,64500
12,4,0.0010000000474974513,0.009999999776482582,0.05092136189341545,5.28276214026846e-05,64500
13,0,0.004999999888241291,0.10000000149011612,0.053597912192344666,5.250675167189911e-05,64500
13,1,0.0003000000142492354,0.009999999776482582,0.05501804128289223,5.418426007963717e-05,64500
13,2,0.0003000000142492354,0.10000000149011612,0.039581649005413055,5.400859299697913e-05,64500
13,3,0.0010000000474974513,0.009999999776482582,0.056054018437862396,5.4718511819373816e-05,64500
13,4,0.004999999888241291,0.4000000059604645,0.041989780962467194,5.3324707550928e-05,64500
14,0,0.0003000000142492354,0.10000000149011612,0.060663290321826935,5.211453026277013e-05,64500
14,1,0.0003000000142492354,0.009999999776482582,0.06863951683044434,5.340337520465255e-05,64500
14,2,0.003000000026077032,0.10000000149011612,0.05704018473625183,5.302713907440193e-05,64500
14,3,0.004999999888241291,0.10000000149011612,0.05546039715409279,5.475257057696581e-05,64500
14,4,0.004999999888241291,0.10000000149011612,0.0581551231443882,5.2424737077672035e-05,64500
15,0,0.0010000000474974513,0.10000000149011612,0.0688965693116188,5.1657498261192814e-05,64500
15,1,0.0010000000474974513,0.10000000149011612,0.06900636851787567,5.338203482097015e-05,64500
15,2,0.004999999888241291,0.10000000149011612,0.06898430734872818,5.2355055231601e-05,64500
15,3,0.004999999888241291,0.10000000149011612,0.0629405528306961,5.4318963520927355e-05,64500
15,4,0.003000000026077032,0.10000000149011612,0.06513142585754395,5.2036633860552683e-05,64500
16,0,0.003000000026077032,0.10000000149011612,0.0813048705458641,5.096937820781022e-05,64500
16,1,0.0010000000474974513,0.10000000149011612,0.09028361737728119,5.2162009524181485e-05,64500
16,2,0.004999999888241291,0.009999999776482582,0.09779544919729233,5.073519787401892e-05,64500
16,3,0.004999999888241291,0.10000000149011612,0.07777147740125656,5.345992758520879e-05,64500
16,4,0.0010000000474974513,0.10000000149011612,0.08324454724788666,5.1028531743213534e-05,64500
17,0,0.0010000000474974513,0.009999999776482582,0.10306232422590256,4.976220225216821e-05,64500
17,1,0.004999999888241291,0.009999999776482582,0.12110523134469986,5.039469033363275e-05,64500
17,2,9.999999747378752e-05,0.10000000149011612,0.09798762202262878,5.072452768217772e-05,64500
17,3,0.0010000000474974513,0.10000000149011612,0.09323195368051529,5.2563511417247355e-05,64500
17,4,0.003000000026077032,0.10000000149011612,0.09252817928791046,5.051178595749661e-05,64500
18,0,0.0010000000474974513,0.10000000149011612,0.10495810210704803,4.965707194060087e-05,64500
18,1,0.0003000000142492354,0.10000000149011612,0.11232399940490723,5.0898037443403155e-05,64500
18,2,0.0010000000474974513,0.10000000149011612,0.10702446848154068,5.0216032832395285e-05,64500
18,3,0.0003000000142492354,0.10000000149011612,0.10329774767160416,5.1979957788717e-05,64500
18,4,0.0010000000474974513,0.10000000149011612,0.10438594222068787,4.985193663742393e-05,64500
19,0,0.0010000000474974513,0.10000000149011612,0.09295370429754257,5.0323098548687994e-05,64500
19,1,0.003000000026077032,0.009999999776482582,0.10719433426856995,5.119245906826109e-05,64500
19,2,0.0003000000142492354,0.009999999776482582,0.10883346199989319,5.011429311707616e-05,64500
19,3,0.0010000000474974513,0.10000000149011612,0.09052986651659012,5.2720162784680724e-05,64500
19,4,0.0003000000142492354,0.10000000149011612,0.08859043568372726,5.073112333775498e-05,64500
20,0,0.004999999888241291,0.10000000149011612,0.09046611189842224,5.046101432526484e-05,64500
20,1,9.999999747378752e-05,0.10000000149011612,0.10206308215856552,5.148685158928856e-05,64500
20,2,0.004999999888241291,0.10000000149011612,0.09862682223320007,5.068846439826302e-05,64500
20,3,0.0003000000142492354,0.10000000149011612,0.09291999787092209,5.258175224298611e-05,64500
20,4,0.0003000000142492354,0.10000000149011612,0.09695327281951904,5.026566577726044e-05,64500
21,0,0.0010000000474974513,0.10000000149011612,0.05778660625219345,5.22742593602743e-05,64500
21,1,9.999999747378752e-05,0.10000000149011612,0.09076084941625595,5.213521944824606e-05,64500
21,2,0.0010000000474974513,0.10000000149011612,0.0897880494594574,5.118524859426543e-05,64500
21,3,0.0003000000142492354,0.009999999776482582,0.10399916023015976,5.19392269779928e-05,64500
21,4,9.999999747378752e-05,0.10000000149011612,0.08937528729438782,5.0687271141214296e-05,64500
22,0,0.0003000000142492354,0.009999999776482582,0.09324941784143448,5.0306760385865346e-05,64500
22,1,0.0003000000142492354,0.10000000149011612,0.08778160810470581,5.2305789722595364e-05,64500
22,2,9.999999747378752e-05,0.009999999776482582,0.09290140867233276,5.10098398081027e-05,64500
22,3,0.004999999888241291,0.10000000149011612,0.08709385991096497,5.2919182053301483e-05,64500
22,4,0.0010000000474974513,0.10000000149011612,0.07563280314207077,5.145205068401992e-05,64500
23,0,0.004999999888241291,0.10000000149011612,0.07834942638874054,5.1133079978171736e-05,64500
23,1,0.0003000000142492354,0.10000000149011612,-0.07862969487905502,6.184756784932688e-05,64500
23,2,0.003000000026077032,0.10000000149011612,0.08421685546636581,5.149892240297049e-05,64500
23,3,0.003000000026077032,0.009999999776482582,0.08989149332046509,5.275704461382702e-05,64500
