layer,fold,best_lr,best_wd,r2,mse,n_test_windows,cos_sim_mean
0,0,0.0010000000474974513,0.4000000059604645,-0.1730475127696991,0.39026907086372375,64429,0.02166709303855896
0,1,0.003000000026077032,0.4000000059604645,-0.008585656061768532,0.335692822933197,64428,0.02581050619482994
0,2,0.0010000000474974513,0.009999999776482582,-0.012368842028081417,0.33686619997024536,64428,0.031043484807014465
0,3,9.999999747378752e-05,0.4000000059604645,-0.013740375638008118,0.33744096755981445,64428,0.018486592918634415
0,4,0.0010000000474974513,0.10000000149011612,-0.007634959649294615,0.33535516262054443,64428,0.027686871588230133
1,0,0.004999999888241291,0.009999999776482582,-0.2037867158651352,0.4004935324192047,64429,0.014064638875424862
1,1,0.0010000000474974513,0.009999999776482582,-0.2435445487499237,0.4138977527618408,64428,0.017090223729610443
1,2,0.0010000000474974513,0.800000011920929,-0.13562025129795074,0.3778778910636902,64428,0.01267156470566988
1,3,0.0003000000142492354,0.10000000149011612,-0.193619504570961,0.39731770753860474,64428,0.010288742370903492
1,4,0.0010000000474974513,0.4000000059604645,-0.057119645178318024,0.351825475692749,64428,0.013281372375786304
2,0,0.0003000000142492354,0.10000000149011612,-0.0006371482741087675,0.33290761709213257,64429,0.037794649600982666
2,1,0.0003000000142492354,0.10000000149011612,0.00142371142283082,0.3323606848716736,64428,0.04482049494981766
2,2,9.999999747378752e-05,0.10000000149011612,0.0017711133696138859,0.3321612477302551,64428,0.04960218071937561
2,3,0.004999999888241291,0.10000000149011612,0.0012493913527578115,0.3324519395828247,64428,0.043507277965545654
2,4,0.0003000000142492354,0.10000000149011612,0.0018525836057960987,0.3321979343891144,64428,0.04955781623721123
3,0,0.0010000000474974513,0.10000000149011612,0.0015618638135492802,0.33217576146125793,64429,0.05145316943526268
3,1,0.0003000000142492354,0.10000000149011612,0.0015011696377769113,0.33233633637428284,64428,0.046712420880794525
3,2,9.999999747378752e-05,0.4000000059604645,0.0005011414759792387,0.33258363604545593,64428,0.04150458797812462
3,3,0.0010000000474974513,0.4000000059604645,0.0006427938933484256,0.33265420794487,64428,0.03739367425441742
3,4,9.999999747378752e-05,0.800000011920929,-0.0009049103246070445,0.3331167995929718,64428,0.032728858292102814
4,0,0.0010000000474974513,0.10000000149011612,0.0013649493921548128,0.3322411775588989,64429,0.050869766622781754
4,1,0.0003000000142492354,0.10000000149011612,0.001336254645138979,0.3323923945426941,64428,0.042913950979709625
4,2,9.999999747378752e-05,0.4000000059604645,0.000630237627774477,0.3325427770614624,64428,0.04515587538480759
4,3,0.0003000000142492354,0.10000000149011612,0.00028647371800616384,0.33277103304862976,64428,0.041317667812108994
4,4,0.003000000026077032,0.10000000149011612,0.001151108299382031,0.33243119716644287,64428,0.04443914443254471
5,0,9.999999747378752e-05,0.4000000059604645,0.0022438557352870703,0.3319496810436249,64429,0.04613032937049866
5,1,0.004999999888241291,0.10000000149011612,0.00041496241465210915,0.3326997458934784,64428,0.04239434003829956
5,2,0.0003000000142492354,0.10000000149011612,-0.0005276591400615871,0.33292508125305176,64428,0.04160968214273453
5,3,0.003000000026077032,0.4000000059604645,0.0006140790646895766,0.33266201615333557,64428,0.03762940317392349
