layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.003000000026077032,0.10000000149011612,0.013080477714538574,8.477790288452525e-06,64500
0,1,0.0003000000142492354,0.800000011920929,0.005526244640350342,7.543371793872211e-06,64500
0,2,9.999999747378752e-05,0.800000011920929,0.011257529258728027,8.209912266465835e-06,64500
0,3,0.0010000000474974513,0.10000000149011612,0.008941352367401123,8.172075467882678e-06,64500
0,4,0.0003000000142492354,0.10000000149011612,0.009965777397155762,7.609959993715165e-06,64500
1,0,0.0003000000142492354,0.800000011920929,0.09195983409881592,7.80020491220057e-06,64500
1,1,0.004999999888241291,0.4000000059604645,0.07752114534378052,6.997269792918814e-06,64500
1,2,0.004999999888241291,0.4000000059604645,0.09889423847198486,7.482230557798175e-06,64500
1,3,0.0003000000142492354,0.4000000059604645,0.10240918397903442,7.401358288916526e-06,64500
1,4,0.003000000026077032,0.800000011920929,0.06785410642623901,7.164997896325076e-06,64500
2,0,0.0003000000142492354,0.4000000059604645,0.13945335149765015,7.392228326352779e-06,64500
2,1,0.0010000000474974513,0.4000000059604645,0.12035948038101196,6.672328254353488e-06,64500
2,2,0.0003000000142492354,0.10000000149011612,0.12962394952774048,7.227070000226377e-06,64500
2,3,0.003000000026077032,0.4000000059604645,0.13607388734817505,7.1237659540202e-06,64500
2,4,9.999999747378752e-05,0.10000000149011612,0.10355037450790405,6.890616077726008e-06,64500
3,0,0.003000000026077032,0.10000000149011612,0.15777844190597534,7.2348125286225695e-06,64500
3,1,0.004999999888241291,0.10000000149011612,0.13446539640426636,6.565331204910763e-06,64500
3,2,0.0010000000474974513,0.10000000149011612,0.1411043405532837,7.1317440415441524e-06,64500
3,3,9.999999747378752e-05,0.10000000149011612,0.158363938331604,6.93996662448626e-06,64500
3,4,0.003000000026077032,0.10000000149011612,0.1184874176979065,6.775801921321545e-06,64500
4,0,0.0010000000474974513,0.10000000149011612,0.19203531742095947,6.94054097039043e-06,64500
4,1,0.0003000000142492354,0.10000000149011612,0.161859393119812,6.357539405144053e-06,64500
4,2,0.0010000000474974513,0.10000000149011612,0.16682010889053345,6.9182160586933605e-06,64500
4,3,0.004999999888241291,0.10000000149011612,0.19036275148391724,6.6761108428181615e-06,64500
4,4,0.003000000026077032,0.10000000149011612,0.14933085441589355,6.538722118420992e-06,64500
5,0,0.004999999888241291,0.009999999776482582,0.23579609394073486,6.564629075000994e-06,64500
5,1,0.0003000000142492354,0.10000000149011612,0.21171945333480835,5.979336492600851e-06,64500
5,2,0.0003000000142492354,0.10000000149011612,0.21705281734466553,6.501114057755331e-06,64500
5,3,0.0003000000142492354,0.10000000149011612,0.2292478084564209,6.355471668939572e-06,64500
5,4,9.999999747378752e-05,0.10000000149011612,0.1926518678665161,6.205732006492326e-06,64500
6,0,0.003000000026077032,0.10000000149011612,0.23859649896621704,6.540573394886451e-06,64500
6,1,0.004999999888241291,0.10000000149011612,0.200114905834198,6.06736011832254e-06,64500
6,2,9.999999747378752e-05,0.10000000149011612,0.23305445909500122,6.368246431520674e-06,64500
6,3,9.999999747378752e-05,0.009999999776482582,0.23036855459213257,6.346230293274857e-06,64500
6,4,0.0003000000142492354,0.800000011920929,0.16295409202575684,6.434005626942962e-06,64500
7,0,9.999999747378752e-05,0.009999999776482582,0.2477564811706543,6.461887551267864e-06,64500
7,1,0.003000000026077032,0.10000000149011612,0.13766586780548096,6.541054517583689e-06,64500
7,2,0.0003000000142492354,0.4000000059604645,0.22964966297149658,6.396517619577935e-06,64500
7,3,0.0010000000474974513,0.009999999776482582,0.24270373582839966,6.244516953302082e-06,64500
7,4,0.0010000000474974513,0.10000000149011612,0.22710293531417847,5.940922164882068e-06,64500
8,0,0.004999999888241291,0.10000000149011612,0.2756328582763672,6.222425326996017e-06,64500
8,1,0.0010000000474974513,0.009999999776482582,0.23207497596740723,5.824933850817615e-06,64500
8,2,0.0010000000474974513,0.009999999776482582,0.26835304498672485,6.0751485762011725e-06,64500
8,3,0.0003000000142492354,0.009999999776482582,0.2936437129974365,5.8244759202352725e-06,64500
8,4,0.003000000026077032,0.10000000149011612,0.24172592163085938,5.8285213526687585e-06,64500
9,0,0.003000000026077032,0.10000000149011612,0.2810096740722656,6.176237548061181e-06,64500
9,1,9.999999747378752e-05,0.10000000149011612,0.23353958129882812,5.813824373035459e-06,64500
9,2,0.0003000000142492354,0.009999999776482582,0.257512629032135,6.165160812088288e-06,64500
9,3,0.0003000000142492354,0.009999999776482582,0.29701656103134155,5.796664027002407e-06,64500
9,4,0.0010000000474974513,0.009999999776482582,0.24744945764541626,5.7845268202072475e-06,64500
10,0,9.999999747378752e-05,0.10000000149011612,0.30480265617370605,5.971852260699961e-06,64500
10,1,0.0010000000474974513,0.009999999776482582,0.29017847776412964,5.384202268032823e-06,64500
10,2,0.003000000026077032,0.009999999776482582,0.31044888496398926,5.725610662921099e-06,64500
10,3,0.003000000026077032,0.009999999776482582,0.31026899814605713,5.687386874342337e-06,64500
10,4,0.0010000000474974513,0.009999999776482582,0.2668115496635437,5.635698926198529e-06,64500
11,0,0.0010000000474974513,0.009999999776482582,0.34501421451568604,5.626428446703358e-06,64500
11,1,0.0010000000474974513,0.009999999776482582,0.3057026267051697,5.2664468057628255e-06,64500
11,2,0.003000000026077032,0.009999999776482582,0.3335385322570801,5.533888270292664e-06,64500
11,3,9.999999747378752e-05,0.009999999776482582,0.349567174911499,5.363342097552959e-06,64500
11,4,0.0010000000474974513,0.009999999776482582,0.30981212854385376,5.305172180669615e-06,64500
12,0,9.999999747378752e-05,0.10000000149011612,0.317035436630249,5.86677060709917e-06,64500
12,1,0.0003000000142492354,0.10000000149011612,0.28116101026535034,5.452601726574358e-06,64500
12,2,9.999999747378752e-05,0.10000000149011612,0.3099941611289978,5.729386430175509e-06,64500
12,3,0.0003000000142492354,0.10000000149011612,0.32815617322921753,5.539892754313769e-06,64500
12,4,9.999999747378752e-05,0.10000000149011612,0.29472070932388306,5.421173682407243e-06,64500
13,0,0.0003000000142492354,0.10000000149011612,0.33982664346694946,5.670990503858775e-06,64500
13,1,0.0010000000474974513,0.009999999776482582,0.29487067461013794,5.348610102373641e-06,64500
13,2,9.999999747378752e-05,0.10000000149011612,0.32640939950942993,5.593084097199608e-06,64500
13,3,0.0010000000474974513,0.10000000149011612,0.3424184322357178,5.422289177658968e-06,64500
13,4,0.0003000000142492354,0.10000000149011612,0.3126024603843689,5.283724476612406e-06,64500
14,0,0.003000000026077032,0.10000000149011612,0.3550955653190613,5.539828634937294e-06,64500
14,1,9.999999747378752e-05,0.10000000149011612,0.30874383449554443,5.243378382147057e-06,64500
14,2,0.003000000026077032,0.10000000149011612,0.34034574031829834,5.477365448314231e-06,64500
14,3,9.999999747378752e-05,0.10000000149011612,0.3567131757736206,5.3044173000671435e-06,64500
14,4,9.999999747378752e-05,0.10000000149011612,0.32347261905670166,5.200170107855229e-06,64500
15,0,0.004999999888241291,0.10000000149011612,0.3889622688293457,5.248908564681187e-06,64500
15,1,0.0010000000474974513,0.10000000149011612,0.34557080268859863,4.964035269949818e-06,64500
