layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0003000000142492354,0.4000000059604645,-0.0093093141913414,6.372977077262476e-05,64500
0,1,0.003000000026077032,0.4000000059604645,-0.014391591772437096,6.320609099930152e-05,64500
0,2,0.0010000000474974513,0.009999999776482582,-0.008322500623762608,6.567579112015665e-05,64500
0,3,9.999999747378752e-05,0.4000000059604645,-0.012011430226266384,6.4138846937567e-05,64500
0,4,0.003000000026077032,0.800000011920929,-0.0079804090783,6.395260425051674e-05,64500
1,0,0.003000000026077032,0.4000000059604645,-0.04853645712137222,6.620685599045828e-05,64500
1,1,9.999999747378752e-05,0.800000011920929,-0.02098570577800274,6.361676787491888e-05,64500
1,2,0.003000000026077032,0.10000000149011612,-0.004299303982406855,6.541386392200366e-05,64500
1,3,0.0003000000142492354,0.4000000059604645,-0.20501676201820374,7.637088856426999e-05,64500
1,4,9.999999747378752e-05,0.800000011920929,-0.026054127141833305,6.509887316497043e-05,64500
2,0,0.0003000000142492354,0.4000000059604645,0.001373881590552628,6.305555143626407e-05,64500
2,1,0.0010000000474974513,0.4000000059604645,0.0019381438614800572,6.218870112206787e-05,64500
2,2,0.0003000000142492354,0.4000000059604645,0.0032101403921842575,6.492473039543256e-05,64500
2,3,0.003000000026077032,0.800000011920929,0.0016927924007177353,6.327043956844136e-05,64500
2,4,0.0010000000474974513,0.800000011920929,0.0005735466838814318,6.34097887086682e-05,64500
3,0,0.004999999888241291,0.4000000059604645,0.0007874899310991168,6.309268064796925e-05,64500
3,1,0.003000000026077032,0.800000011920929,0.0010905300732702017,6.22417574049905e-05,64500
3,2,0.0003000000142492354,0.800000011920929,0.0017057430231943727,6.502266478491947e-05,64500
3,3,0.0010000000474974513,0.4000000059604645,0.002193688414990902,6.323873094515875e-05,64500
3,4,0.0010000000474974513,0.800000011920929,0.0010099568171426654,6.338200182653964e-05,64500
4,0,0.003000000026077032,0.4000000059604645,0.0015306462300941348,6.304544513113797e-05,64500
4,1,9.999999747378752e-05,0.800000011920929,0.0022889275569468737,6.216677138581872e-05,64500
4,2,0.0003000000142492354,0.800000011920929,0.003465373767539859,6.490793748525903e-05,64500
4,3,9.999999747378752e-05,0.4000000059604645,0.0023226288612931967,6.3230239902623e-05,64500
4,4,0.0003000000142492354,0.10000000149011612,-0.002024918794631958,6.357452366501093e-05,64500
5,0,0.0010000000474974513,0.800000011920929,0.0026963946875184774,6.297172512859106e-05,64500
5,1,0.0010000000474974513,0.4000000059604645,0.001855131471529603,6.21939470875077e-05,64500
5,2,0.003000000026077032,0.800000011920929,0.003246034262701869,6.492235115729272e-05,64500
5,3,0.004999999888241291,0.800000011920929,0.0013488649856299162,6.329210009425879e-05,64500
5,4,0.0010000000474974513,0.800000011920929,0.0019088414264842868,6.332501652650535e-05,64500
6,0,0.003000000026077032,0.009999999776482582,-0.01754569634795189,6.425000174203888e-05,64500
6,1,0.0010000000474974513,0.009999999776482582,-0.31471309065818787,8.1918879004661e-05,64500
6,2,0.0003000000142492354,0.800000011920929,0.0015032044611871243,6.503576878458261e-05,64500
6,3,9.999999747378752e-05,0.10000000149011612,-0.18994399905204773,7.541556988144293e-05,64500
6,4,0.004999999888241291,0.009999999776482582,-0.02044987678527832,6.474349356722087e-05,64500
7,0,0.0003000000142492354,0.4000000059604645,-0.27080604434013367,8.024148701224476e-05,64500
7,1,0.004999999888241291,0.4000000059604645,-0.49048125743865967,9.28706067497842e-05,64500
7,2,0.0010000000474974513,0.009999999776482582,-0.2006920576095581,7.820538303349167e-05,64500
7,3,0.003000000026077032,0.4000000059604645,-0.3413797616958618,8.50128271849826e-05,64500
7,4,0.003000000026077032,0.009999999776482582,-1.8489412069320679,0.00018075427215080708,64500
8,0,0.0010000000474974513,0.10000000149011612,-0.02989598549902439,6.50296569801867e-05,64500
8,1,0.003000000026077032,0.009999999776482582,-0.07808198779821396,6.717463838867843e-05,64500
8,2,0.004999999888241291,0.009999999776482582,-0.059118058532476425,6.89841981511563e-05,64500
8,3,0.0010000000474974513,0.800000011920929,-0.008253572508692741,6.390047201421112e-05,64500
8,4,0.0003000000142492354,0.10000000149011612,-0.004669851157814264,6.374248914653435e-05,64500
9,0,0.004999999888241291,0.10000000149011612,-0.009274603798985481,6.372777716023847e-05,64500
9,1,9.999999747378752e-05,0.10000000149011612,-0.03848377242684364,6.470713560702279e-05,64500
9,2,0.003000000026077032,0.10000000149011612,-0.12273283302783966,7.312779052881524e-05,64500
9,3,0.004999999888241291,0.009999999776482582,-0.01757936365902424,6.449186184909195e-05,64500
9,4,0.003000000026077032,0.800000011920929,-0.1824743151664734,7.502320659114048e-05,64500
10,0,0.004999999888241291,0.800000011920929,-0.34300899505615234,8.480012184008956e-05,64500
10,1,0.0010000000474974513,0.800000011920929,-0.3336949646472931,8.310143311973661e-05,64500
10,2,0.004999999888241291,0.800000011920929,-0.010854973457753658,6.584088987438008e-05,64500
10,3,0.003000000026077032,0.800000011920929,-0.05324108153581619,6.67520216666162e-05,64500
10,4,9.999999747378752e-05,0.4000000059604645,-0.3688447177410126,8.684762724442407e-05,64500
11,0,0.0003000000142492354,0.4000000059604645,0.0017301068874076009,6.303303234744817e-05,64500
11,1,0.004999999888241291,0.10000000149011612,0.0007009445689618587,6.226572440937161e-05,64500
11,2,0.0003000000142492354,0.800000011920929,0.0003221090591978282,6.511267565656453e-05,64500
11,3,0.003000000026077032,0.009999999776482582,0.0003178050392307341,6.335737271001562e-05,64500
11,4,0.0003000000142492354,0.800000011920929,-0.007931371219456196,6.394946831278503e-05,64500
12,0,0.0003000000142492354,0.10000000149011612,0.004197103437036276,6.287723954301327e-05,64500
12,1,0.003000000026077032,0.10000000149011612,0.0044700452126562595,6.203072553034872e-05,64500
12,2,0.003000000026077032,0.4000000059604645,0.002823296934366226,6.494970875792205e-05,64500
12,3,0.004999999888241291,0.10000000149011612,0.005365516059100628,6.303762347670272e-05,64500
12,4,0.0003000000142492354,0.10000000149011612,0.001423228532075882,6.33563322480768e-05,64500
13,0,9.999999747378752e-05,0.10000000149011612,0.0055589755065739155,6.279098306549713e-05,64500
13,1,0.004999999888241291,0.800000011920929,0.004079895094037056,6.205524550750852e-05,64500
13,2,0.0010000000474974513,0.800000011920929,0.0018414562800899148,6.50138026685454e-05,64500
13,3,0.0010000000474974513,0.009999999776482582,0.004288418218493462,6.310581375146285e-05,64500
13,4,0.0003000000142492354,0.10000000149011612,0.0028891731053590775,6.326285074464977e-05,64500
14,0,9.999999747378752e-05,0.10000000149011612,0.005408824887126684,6.280077650444582e-05,64500
14,1,9.999999747378752e-05,0.10000000149011612,0.004662215709686279,6.201870564837009e-05,64500
14,2,0.0010000000474974513,0.10000000149011612,0.007830727845430374,6.46235712338239e-05,64500
14,3,0.004999999888241291,0.10000000149011612,0.008069215342402458,6.286585266934708e-05,64500
14,4,9.999999747378752e-05,0.10000000149011612,0.004819732159376144,6.314044730970636e-05,64500
15,0,0.0010000000474974513,0.10000000149011612,0.008525458164513111,6.260400550672784e-05,64500
15,1,0.003000000026077032,0.10000000149011612,0.008607829920947552,6.177285104058683e-05,64500
15,2,0.003000000026077032,0.4000000059604645,0.004818625748157501,6.482000753749162e-05,64500
15,3,0.0003000000142492354,0.10000000149011612,0.010555331595242023,6.270876474445686e-05,64500
15,4,0.0003000000142492354,0.10000000149011612,0.0066822306253015995,6.302249676082283e-05,64500
16,0,9.999999747378752e-05,0.10000000149011612,0.014492667280137539,6.222679803613573e-05,64500
16,1,9.999999747378752e-05,0.10000000149011612,0.009598753415048122,6.17112236795947e-05,64500
16,2,0.0010000000474974513,0.10000000149011612,0.013196908868849277,6.427419430110604e-05,64500
16,3,0.004999999888241291,0.10000000149011612,0.01638603024184704,6.233909516595304e-05,64500
16,4,0.004999999888241291,0.10000000149011612,0.009406860917806625,6.28494453849271e-05,64500
17,0,0.004999999888241291,0.10000000149011612,0.014578200876712799,6.222186493687332e-05,64500
17,1,0.004999999888241291,0.009999999776482582,0.006866117473691702,6.18814374320209e-05,64500
17,2,0.003000000026077032,0.10000000149011612,0.012918170541524887,6.429229688365012e-05,64500
17,3,0.0010000000474974513,0.10000000149011612,0.01721176691353321,6.228664278751239e-05,64500
17,4,0.0003000000142492354,0.10000000149011612,0.01154953520745039,6.271346501307562e-05,64500
18,0,0.004999999888241291,0.10000000149011612,0.016241274774074554,6.211636355146766e-05,64500
18,1,0.0003000000142492354,0.10000000149011612,0.014226461760699749,6.142295023892075e-05,64500
18,2,0.004999999888241291,0.10000000149011612,0.016897523775696754,6.403320003300905e-05,64500
18,3,0.0003000000142492354,0.10000000149011612,0.019997330382466316,6.211009895196185e-05,64500
18,4,0.004999999888241291,0.10000000149011612,0.012907890602946281,6.262734677875414e-05,64500
19,0,0.0003000000142492354,0.10000000149011612,0.015387585386633873,6.217032932909206e-05,64500
19,1,0.003000000026077032,0.10000000149011612,0.01247407402843237,6.153225695015863e-05,64500
19,2,0.004999999888241291,0.4000000059604645,0.0097248125821352,6.450038927141577e-05,64500
19,3,9.999999747378752e-05,0.10000000149011612,0.013984814286231995,6.249141733860597e-05,64500
19,4,0.0010000000474974513,0.10000000149011612,0.011895882897078991,6.269148434512317e-05,64500
20,0,0.004999999888241291,0.10000000149011612,0.011711882427334785,6.24027379672043e-05,64500
20,1,0.0010000000474974513,0.10000000149011612,0.014763463288545609,6.138931348687038e-05,64500
20,2,9.999999747378752e-05,0.10000000149011612,0.015981623902916908,6.409290654119104e-05,64500
20,3,0.0010000000474974513,0.10000000149011612,0.013387651182711124,6.2528983107768e-05,64500
20,4,0.0010000000474974513,0.10000000149011612,0.01260222215205431,6.264664989430457e-05,64500
21,0,0.0010000000474974513,0.10000000149011612,0.013013482093811035,6.232018495211378e-05,64500
21,1,0.003000000026077032,0.10000000149011612,0.009352016262710094,6.172668508952484e-05,64500
21,2,9.999999747378752e-05,0.10000000149011612,0.01303676888346672,6.42845916445367e-05,64500
21,3,0.004999999888241291,0.4000000059604645,0.011445366777479649,6.26522014499642e-05,64500
21,4,9.999999747378752e-05,0.10000000149011612,0.011752279475331306,6.270049198064953e-05,64500
22,0,0.0010000000474974513,0.10000000149011612,0.016184668987989426,6.211989966686815e-05,64500
22,1,0.0010000000474974513,0.4000000059604645,0.009204075671732426,6.173564906930551e-05,64500
22,2,0.0003000000142492354,0.10000000149011612,0.012798222713172436,6.430015491787344e-05,64500
22,3,9.999999747378752e-05,0.10000000149011612,0.012035230174660683,6.261478119995445e-05,64500
22,4,0.0010000000474974513,0.10000000149011612,0.004407770000398159,6.316656799754128e-05,64500
23,0,0.004999999888241291,0.10000000149011612,0.00901036150753498,6.257334462134168e-05,64500
23,1,0.003000000026077032,0.009999999776482582,-0.06370705366134644,6.627869151998311e-05,64500
23,2,0.004999999888241291,0.10000000149011612,0.013835085555911064,6.423259037546813e-05,64500
23,3,0.0010000000474974513,0.10000000149011612,0.00890334788709879,6.281332025537267e-05,64500
23,4,0.004999999888241291,0.10000000149011612,0.004211119841784239,6.317901716101915e-05,64500
