layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.800000011920929,0.0102521777153015,0.0006943494081497,64500
0,1,0.003000000026077,0.800000011920929,0.0054187774658203,0.0006474073743447,64500
0,2,0.0010000000474974,0.4000000059604645,0.020043671131134,0.0006557500455528,64500
0,3,0.0003000000142492,0.800000011920929,0.0095135569572448,0.0006704475963488,64500
0,4,0.0010000000474974,0.4000000059604645,0.0138326287269592,0.0006259298534132,64500
1,0,0.0003000000142492354,0.4000000059604645,0.16916918754577637,0.0005828624707646668,64500
1,1,0.0010000000474974513,0.4000000059604645,0.1502956748008728,0.0005531019414775074,64500
1,2,0.0010000000474974513,0.4000000059604645,0.13270723819732666,0.0005803598323836923,64500
1,3,0.004999999888241291,0.800000011920929,0.15924125909805298,0.000569098861888051,64500
1,4,0.0010000000474974513,0.4000000059604645,0.06539493799209595,0.0005932027706876397,64500
2,0,0.003000000026077,0.4000000059604645,0.2109651565551757,0.0005535408854484,64500
2,1,0.0003000000142492,0.800000011920929,0.1958069801330566,0.0005234770942479,64500
2,2,9.999999747378752e-05,0.800000011920929,0.1982908844947815,0.0005364737007766,64500
2,3,0.0010000000474974,0.800000011920929,0.2152771353721618,0.000531168829184,64500
2,4,0.0003000000142492,0.4000000059604645,0.1824703812599182,0.0005188938812352,64500
3,0,0.003000000026077,0.800000011920929,0.2446248531341552,0.000529927201569,64500
3,1,9.999999747378752e-05,0.800000011920929,0.2254558801651001,0.0005041775875724,64500
3,2,0.0003000000142492,0.800000011920929,0.2322377562522888,0.0005137577536515,64500
3,3,0.003000000026077,0.800000011920929,0.2516782879829407,0.000506529409904,64500
3,4,0.003000000026077,0.800000011920929,0.2060171961784362,0.0005039484822191,64500
4,0,0.0003000000142492,0.800000011920929,0.2852029800415039,0.000501459930092,64500
4,1,0.003000000026077,0.4000000059604645,0.2617835402488708,0.0004805306380148,64500
4,2,0.0010000000474974,0.800000011920929,0.2700332403182983,0.0004884664085693,64500
4,3,0.0049999998882412,0.800000011920929,0.2934602499008178,0.0004782477335538,64500
4,4,0.0049999998882412,0.800000011920929,0.2575775980949402,0.0004712225927505,64500
5,0,9.999999747378752e-05,0.800000011920929,0.2198352217674255,0.0005473181372508,64500
5,1,0.003000000026077,0.800000011920929,0.2885080575942993,0.0004631347255781,64500
5,2,9.999999747378752e-05,0.800000011920929,0.2931374311447143,0.0004730059590656,64500
5,3,0.003000000026077,0.800000011920929,0.3201748132705688,0.0004601649707183,64500
5,4,0.0049999998882412,0.800000011920929,0.2829435467720032,0.0004551225574687,64500
6,0,0.0049999998882412,0.800000011920929,0.3140316009521484,0.0004812354745808,64500
6,1,0.0010000000474974,0.800000011920929,0.3040534853935241,0.0004530156729742,64500
6,2,9.999999747378752e-05,0.800000011920929,0.3140713572502136,0.0004589977615978,64500
6,3,0.003000000026077,0.800000011920929,0.3320414423942566,0.0004521326045505,64500
6,4,0.0003000000142492,0.800000011920929,0.2959885001182556,0.000446842808742,64500
