layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.4000000059604645,-0.06164811924099922,0.0005016119102947414,64500
0,1,0.003000000026077032,0.10000000149011612,-0.018879296258091927,0.0004564308619592339,64500
0,2,9.999999747378752e-05,0.4000000059604645,-0.007914533838629723,0.00046399535494856536,64500
0,3,0.0010000000474974513,0.800000011920929,-0.006245003547519445,0.00046863339957781136,64500
0,4,0.004999999888241291,0.10000000149011612,-0.02017831802368164,0.0004508478450588882,64500
1,0,0.003000000026077032,0.800000011920929,-0.9241717457771301,0.0009091382962651551,64500
1,1,0.003000000026077032,0.800000011920929,-0.04684114456176758,0.00046895648119971156,64500
1,2,0.0003000000142492354,0.800000011920929,-0.27783894538879395,0.0005882525583729148,64500
1,3,9.999999747378752e-05,0.4000000059604645,-0.17450843751430511,0.0005469938041642308,64500
1,4,0.0010000000474974513,0.10000000149011612,-0.5601813197135925,0.0006894876132719219,64500
2,0,0.0003000000142492354,0.800000011920929,0.01694619469344616,0.0004644767032004893,64500
2,1,0.004999999888241291,0.800000011920929,0.01284411083906889,0.0004422195488587022,64500
2,2,0.0010000000474974513,0.800000011920929,0.012768804095685482,0.0004544737748801708,64500
2,3,0.0010000000474974513,0.800000011920929,0.01412237249314785,0.0004591475590132177,64500
2,4,0.003000000026077032,0.800000011920929,0.010660176165401936,0.00043721977272070944,64500
3,0,9.999999747378752e-05,0.800000011920929,0.024230338633060455,0.00046103601926006377,64500
3,1,0.0010000000474974513,0.800000011920929,0.01810513623058796,0.0004398630990181118,64500
3,2,0.004999999888241291,0.800000011920929,0.02070201374590397,0.0004508221463765949,64500
3,3,0.0003000000142492354,0.800000011920929,0.023142484948039055,0.0004549439763650298,64500
3,4,0.004999999888241291,0.800000011920929,0.017752865329384804,0.0004340869199950248,64500
4,0,0.0010000000474974513,0.800000011920929,0.04215924069285393,0.00045256453449837863,64500
4,1,9.999999747378752e-05,0.4000000059604645,0.035089973360300064,0.00043225300032645464,64500
4,2,9.999999747378752e-05,0.800000011920929,0.03681463748216629,0.00044340346357785165,64500
4,3,0.0003000000142492354,0.800000011920929,0.04156487062573433,0.00044636649545282125,64500
4,4,0.004999999888241291,0.800000011920929,0.03389550372958183,0.0004269522614777088,64500
5,0,0.0010000000474974513,0.4000000059604645,0.051095448434352875,0.00044834232539869845,64500
5,1,0.0003000000142492354,0.4000000059604645,0.041953641921281815,0.0004291786754038185,64500
5,2,0.0003000000142492354,0.4000000059604645,0.04415830597281456,0.00044002337381243706,64500
5,3,0.003000000026077032,0.4000000059604645,0.04736676439642906,0.00044366411748342216,64500
5,4,9.999999747378752e-05,0.800000011920929,0.04249421879649162,0.00042315199971199036,64500
6,0,0.0010000000474974513,0.4000000059604645,0.053685422986745834,0.0004471188294701278,64500
6,1,0.0003000000142492354,0.4000000059604645,0.04344840720295906,0.0004285063478164375,64500
6,2,0.003000000026077032,0.4000000059604645,0.05085647106170654,0.00043694014311768115,64500
6,3,0.0003000000142492354,0.4000000059604645,0.0553518682718277,0.00043994325096718967,64500
6,4,0.003000000026077032,0.4000000059604645,0.04380810633301735,0.00042257134919054806,64500
7,0,9.999999747378752e-05,0.4000000059604645,0.06056632474064827,0.0004438663017936051,64500
7,1,0.003000000026077032,0.4000000059604645,0.04886437579989433,0.000426083046477288,64500
7,2,0.003000000026077032,0.4000000059604645,0.05494875833392143,0.00043505607754923403,64500
7,3,0.0003000000142492354,0.4000000059604645,0.05795414373278618,0.0004387331719044596,64500
7,4,0.004999999888241291,0.4000000059604645,0.04768472537398338,0.0004208583268336952,64500
8,0,9.999999747378752e-05,0.800000011920929,-23.735795974731445,0.011687214486300945,64500
8,1,0.0003000000142492354,0.800000011920929,-1.042914628982544,0.0009151649428531528,64500
8,2,0.0003000000142492354,0.4000000059604645,-3.3675169944763184,0.0020105834119021893,64500
8,3,0.004999999888241291,0.10000000149011612,-17.314495086669922,0.008529472164809704,64500
8,4,0.0010000000474974513,0.800000011920929,-0.6493043303489685,0.0007288770866580307,64500
9,0,0.003000000026077032,0.4000000059604645,0.06770326942205429,0.0004404938663356006,64500
9,1,0.0003000000142492354,0.800000011920929,0.03149018809199333,0.0004338667495176196,64500
9,2,0.0010000000474974513,0.10000000149011612,0.01921839267015457,0.0004515034379437566,64500
9,3,0.0003000000142492354,0.10000000149011612,0.04039972275495529,0.00044690820504911244,64500
9,4,9.999999747378752e-05,0.10000000149011612,0.011838640086352825,0.0004366978828329593,64500
10,0,0.004999999888241291,0.4000000059604645,-4.941012859344482,0.0028070141561329365,64500
10,1,0.004999999888241291,0.800000011920929,-3.670910120010376,0.0020924292039126158,64500
10,2,0.004999999888241291,0.009999999776482582,-5.970885753631592,0.003209040267392993,64500
10,3,9.999999747378752e-05,0.4000000059604645,-6.323185443878174,0.003410548437386751,64500
10,4,0.0003000000142492354,0.009999999776482582,-120.84362030029297,0.05384629964828491,64500
11,0,0.004999999888241291,0.10000000149011612,-3.6654467582702637,0.0022043301723897457,64500
11,1,9.999999747378752e-05,0.800000011920929,-6.64688777923584,0.0034255837090313435,64500
11,2,0.004999999888241291,0.10000000149011612,-3.104461193084717,0.0018894752720370889,64500
11,3,0.0003000000142492354,0.10000000149011612,-2.2553114891052246,0.0015160688199102879,64500
11,4,0.0010000000474974513,0.800000011920929,-13.7996244430542,0.006540364120155573,64500
12,0,0.003000000026077032,0.4000000059604645,0.07290706783533096,0.00043803753214888275,64500
12,1,9.999999747378752e-05,0.800000011920929,0.0446242019534111,0.0004279810527805239,64500
12,2,0.0010000000474974513,0.4000000059604645,0.06719540059566498,0.00042941910214722157,64500
12,3,0.003000000026077032,0.800000011920929,0.04788115248084068,0.0004434230795595795,64500
12,4,0.004999999888241291,0.4000000059604645,0.06438108533620834,0.00041347809019498527,64500
13,0,0.0010000000474974513,0.4000000059604645,0.07149326056241989,0.0004387047083582729,64500
