layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0003000000142492354,0.10000000149011612,-0.030600743368268013,5.118508852319792e-06,64500
0,1,0.003000000026077032,0.10000000149011612,-0.012067162431776524,4.576862920657732e-06,64500
0,2,0.003000000026077032,0.10000000149011612,-0.011759476736187935,4.919768343825126e-06,64500
0,3,0.0010000000474974513,0.800000011920929,-0.00628787511959672,4.903009084955556e-06,64500
0,4,9.999999747378752e-05,0.4000000059604645,-0.013564437627792358,4.640701718017226e-06,64500
1,0,9.999999747378752e-05,0.4000000059604645,-0.3531534969806671,6.720424607919995e-06,64500
1,1,0.003000000026077032,0.800000011920929,-0.12638366222381592,5.093815616419306e-06,64500
1,2,0.0010000000474974513,0.10000000149011612,-0.7735354900360107,8.62389242684003e-06,64500
1,3,9.999999747378752e-05,0.4000000059604645,-0.10403270274400711,5.379281901696231e-06,64500
1,4,0.003000000026077032,0.800000011920929,-0.07449258863925934,4.919645562040387e-06,64500
2,0,9.999999747378752e-05,0.800000011920929,0.06150262802839279,4.661066213884624e-06,64500
2,1,0.0003000000142492354,0.800000011920929,0.05418656766414642,4.277243988326518e-06,64500
2,2,0.0003000000142492354,0.4000000059604645,0.0593123659491539,4.574166723614326e-06,64500
2,3,0.0010000000474974513,0.4000000059604645,0.059027526527643204,4.584752787195612e-06,64500
2,4,0.003000000026077032,0.4000000059604645,0.03334885463118553,4.425903625815408e-06,64500
3,0,0.004999999888241291,0.800000011920929,0.08518066257238388,4.543449904303998e-06,64500
3,1,0.0010000000474974513,0.800000011920929,0.07508737593889236,4.18271110902424e-06,64500
3,2,0.003000000026077032,0.4000000059604645,0.08614440262317657,4.443715170054929e-06,64500
3,3,0.0010000000474974513,0.800000011920929,0.08344811946153641,4.4657876969722565e-06,64500
3,4,0.0003000000142492354,0.800000011920929,0.06143449619412422,4.297317445889348e-06,64500
4,0,0.0010000000474974513,0.4000000059604645,0.1904490888118744,4.020630058221286e-06,64500
4,1,9.999999747378752e-05,0.4000000059604645,0.1684141308069229,3.7606682781188283e-06,64500
4,2,9.999999747378752e-05,0.4000000059604645,0.181777685880661,3.978650056524202e-06,64500
4,3,0.004999999888241291,0.800000011920929,0.16976094245910645,4.0452214307151735e-06,64500
4,4,9.999999747378752e-05,0.4000000059604645,0.16577382385730743,3.8195857996470295e-06,64500
5,0,0.0010000000474974513,0.4000000059604645,0.20931892096996307,3.926915724150604e-06,64500
5,1,0.0003000000142492354,0.4000000059604645,0.19337674975395203,3.647766789072193e-06,64500
5,2,9.999999747378752e-05,0.4000000059604645,0.2154216170310974,3.815078798652394e-06,64500
5,3,0.0003000000142492354,0.4000000059604645,0.21506372094154358,3.8244879760895856e-06,64500
5,4,9.999999747378752e-05,0.4000000059604645,0.19233684241771698,3.6979636206524447e-06,64500
6,0,9.999999747378752e-05,0.4000000059604645,0.22155539691448212,3.866153292619856e-06,64500
6,1,0.0003000000142492354,0.4000000059604645,0.19061103463172913,3.6602848467737203e-06,64500
6,2,9.999999747378752e-05,0.4000000059604645,0.2184598743915558,3.800292006417294e-06,64500
6,3,0.003000000026077032,0.4000000059604645,0.22307221591472626,3.7854617858101847e-06,64500
6,4,0.004999999888241291,0.4000000059604645,0.19453758001327515,3.687885055114748e-06,64500
7,0,0.003000000026077032,0.4000000059604645,0.21825352311134338,3.8825291994726285e-06,64500
7,1,0.003000000026077032,0.4000000059604645,0.18749810755252838,3.674364734251867e-06,64500
7,2,9.999999747378752e-05,0.4000000059604645,0.21497900784015656,3.817201559286332e-06,64500
7,3,0.003000000026077032,0.4000000059604645,0.21878808736801147,3.8063476495153736e-06,64500
7,4,0.004999999888241291,0.4000000059604645,0.1905224323272705,3.7062586670799647e-06,64500
8,0,9.999999747378752e-05,0.10000000149011612,-0.17487622797489166,5.835003321408294e-06,64500
8,1,0.003000000026077032,0.4000000059604645,0.086639903485775,4.1304588194179814e-06,64500
8,2,0.0003000000142492354,0.10000000149011612,-0.3915007710456848,6.766251317458227e-06,64500
8,3,0.0010000000474974513,0.4000000059604645,-1.5094870328903198,1.222708942805184e-05,64500
8,4,0.0003000000142492354,0.10000000149011612,-12.376357078552246,6.124469655333087e-05,64500
9,0,0.003000000026077032,0.4000000059604645,0.21713510155677795,3.888097126036882e-06,64500
9,1,0.0003000000142492354,0.800000011920929,0.16544301807880402,3.7741044707217952e-06,64500
9,2,0.0010000000474974513,0.800000011920929,0.2001192718744278,3.889479103236226e-06,64500
9,3,0.0003000000142492354,0.10000000149011612,-4.912500381469727,2.8807558919652365e-05,64500
9,4,0.004999999888241291,0.4000000059604645,0.17395630478858948,3.782105977734318e-06,64500
10,0,0.0003000000142492354,0.4000000059604645,-55.508392333984375,0.00028064666548743844,64500
10,1,0.004999999888241291,0.800000011920929,-3.893756628036499,2.2130812794785015e-05,64500
10,2,0.0003000000142492354,0.4000000059604645,-0.9630842208862305,9.545629836793523e-06,64500
10,3,0.0003000000142492354,0.800000011920929,-16.7116756439209,8.62969463923946e-05,64500
10,4,0.0003000000142492354,0.4000000059604645,-1.0120607614517212,9.212370059685782e-06,64500
11,0,0.004999999888241291,0.4000000059604645,-0.08287160843610764,5.378082278184593e-06,64500
11,1,0.004999999888241291,0.009999999776482582,-3.8718063831329346,2.2031554181012325e-05,64500
11,2,0.003000000026077032,0.10000000149011612,-23.364961624145508,0.00011847723362734541,64500
11,3,9.999999747378752e-05,0.4000000059604645,-1.3878073692321777,1.1634173461061437e-05,64500
11,4,0.003000000026077032,0.800000011920929,-11.353438377380371,5.6560951634310186e-05,64500
12,0,0.003000000026077032,0.4000000059604645,0.22217977046966553,3.863040092255687e-06,64500
12,1,9.999999747378752e-05,0.800000011920929,0.16046856343746185,3.7965821775287623e-06,64500
12,2,0.0010000000474974513,0.4000000059604645,0.2164618819952011,3.810003818216501e-06,64500
12,3,9.999999747378752e-05,0.800000011920929,0.18697676062583923,3.961327365686884e-06,64500
12,4,0.004999999888241291,0.4000000059604645,0.18751639127731323,3.7200170481810346e-06,64500
13,0,0.0010000000474974513,0.4000000059604645,0.21551969647407532,3.896136149705853e-06,64500
13,1,9.999999747378752e-05,0.10000000149011612,0.12398763000965118,3.961567017540801e-06,64500
13,2,0.003000000026077032,0.4000000059604645,0.2036842703819275,3.872140041494276e-06,64500
13,3,0.003000000026077032,0.10000000149011612,0.09871634840965271,4.3913728404731955e-06,64500
13,4,0.0010000000474974513,0.800000011920929,0.16392117738723755,3.828065473499009e-06,64500
14,0,0.004999999888241291,0.4000000059604645,0.22198830544948578,3.864003247144865e-06,64500
14,1,9.999999747378752e-05,0.4000000059604645,0.1850660741329193,3.6853552956017666e-06,64500
14,2,0.0003000000142492354,0.4000000059604645,0.21332189440727234,3.825291969405953e-06,64500
14,3,9.999999747378752e-05,0.4000000059604645,0.21626700460910797,3.8186203710210975e-06,64500
14,4,0.003000000026077032,0.800000011920929,0.1282159686088562,3.9915339584695175e-06,64500
15,0,9.999999747378752e-05,0.4000000059604645,0.24961820244789124,3.7267811876517953e-06,64500
15,1,0.0010000000474974513,0.4000000059604645,0.2177000641822815,3.537788188623381e-06,64500
15,2,0.003000000026077032,0.4000000059604645,0.23946607112884521,3.698128466567141e-06,64500
15,3,0.0003000000142492354,0.4000000059604645,0.24537432193756104,3.676806954899803e-06,64500
15,4,0.0010000000474974513,0.800000011920929,0.19843560457229614,3.6700353120977525e-06,64500
16,0,0.0010000000474974513,0.4000000059604645,0.2547844648361206,3.701114565046737e-06,64500
16,1,0.0003000000142492354,0.4000000059604645,0.21699084341526031,3.540969373716507e-06,64500
16,2,0.0010000000474974513,0.4000000059604645,0.2460792362689972,3.6659869238064857e-06,64500
16,3,0.003000000026077032,0.4000000059604645,0.25050339102745056,3.651798806458828e-06,64500
16,4,0.0010000000474974513,0.4000000059604645,0.21787534654140472,3.5810155623039464e-06,64500
17,0,0.0010000000474974513,0.4000000059604645,0.2685681879520416,3.6326573535916395e-06,64500
17,1,0.0003000000142492354,0.4000000059604645,0.23482638597488403,3.4603331187099684e-06,64500
17,2,0.003000000026077032,0.4000000059604645,0.2612555921077728,3.5922080314776395e-06,64500
17,3,0.0003000000142492354,0.4000000059604645,0.2674252688884735,3.569358113963972e-06,64500
17,4,0.0003000000142492354,0.4000000059604645,0.2376043051481247,3.490681820039754e-06,64500
18,0,9.999999747378752e-05,0.4000000059604645,0.2621324956417084,3.664632231448195e-06,64500
18,1,0.003000000026077032,0.4000000059604645,0.22719958424568176,3.4948327538586454e-06,64500
18,2,0.004999999888241291,0.4000000059604645,0.25581714510917664,3.618636583269108e-06,64500
18,3,0.0003000000142492354,0.4000000059604645,0.2601443827152252,3.6048413676326163e-06,64500
18,4,0.0003000000142492354,0.800000011920929,0.17215977609157562,3.790331220443477e-06,64500
19,0,0.0003000000142492354,0.800000011920929,0.23710034787654877,3.788947196881054e-06,64500
19,1,0.003000000026077032,0.4000000059604645,0.23588061332702637,3.4555619095044676e-06,64500
19,2,0.003000000026077032,0.4000000059604645,0.2633025050163269,3.5822304198518395e-06,64500
19,3,9.999999747378752e-05,0.800000011920929,0.24936483800411224,3.6573608213075204e-06,64500
19,4,9.999999747378752e-05,0.800000011920929,0.22212868928909302,3.5615405522548826e-06,64500
20,0,0.0010000000474974513,0.4000000059604645,0.27190306782722473,3.6160954550723545e-06,64500
20,1,0.0003000000142492354,0.4000000059604645,0.23526711761951447,3.458332230366068e-06,64500
20,2,0.004999999888241291,0.4000000059604645,0.26523375511169434,3.5728355669562006e-06,64500
20,3,0.0010000000474974513,0.4000000059604645,0.2692162096500397,3.5606437904789345e-06,64500
20,4,0.003000000026077032,0.4000000059604645,0.23675286769866943,3.49459651260986e-06,64500
21,0,0.003000000026077032,0.4000000059604645,0.2700095474720001,3.6254980386729585e-06,64500
21,1,0.0003000000142492354,0.4000000059604645,0.23355168104171753,3.466104089966393e-06,64500
21,2,0.0003000000142492354,0.800000011920929,0.24758177995681763,3.6587002796295565e-06,64500
21,3,0.0010000000474974513,0.4000000059604645,0.26702338457107544,3.5713164834305644e-06,64500
21,4,9.999999747378752e-05,0.4000000059604645,0.24016857147216797,3.47897093888605e-06,64500
22,0,0.0010000000474974513,0.4000000059604645,0.27299419045448303,3.6106914649280952e-06,64500
