layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0003000000142492,0.1000000014901161,0.6449200510978699,0.0002992315858136,64500
0,1,0.0010000000474974,0.1000000014901161,0.6362062692642212,0.000310092465952,64500
0,2,0.003000000026077,0.1000000014901161,0.6496046781539917,0.000287071627099,64500
0,3,9.999999747378752e-05,0.1000000014901161,0.6250531077384949,0.000311608047923,64500
0,4,0.0003000000142492,0.800000011920929,0.5575068593025208,0.0003598277980927,64500
1,0,9.999999747378752e-05,0.4000000059604645,0.8590858578681946,0.00011875101336045191,64500
1,1,0.0010000000474974513,0.4000000059604645,0.8577428460121155,0.00012125823559472337,64500
1,2,9.999999747378752e-05,0.4000000059604645,0.5312162041664124,0.00038406625390052795,64500
1,3,0.004999999888241291,0.800000011920929,0.8135495781898499,0.0001549532316857949,64500
1,4,0.0010000000474974513,0.800000011920929,-5.5625762939453125,0.005336582660675049,64500
2,0,0.0003000000142492,0.800000011920929,0.8743724226951599,0.0001058689158526,64500
2,1,0.0010000000474974,0.800000011920929,0.8741099834442139,0.000107306834252,64500
2,2,0.0049999998882412,0.800000011920929,0.8725599646568298,0.0001044093223754,64500
2,3,0.0003000000142492,0.800000011920929,0.8648099899291992,0.0001123521506087,64500
2,4,0.0049999998882412,0.800000011920929,0.872357964515686,0.0001037965921568,64500
3,0,0.003000000026077,0.800000011920929,0.9124087691307068,7.381475006695837e-05,64500
3,1,0.0003000000142492,0.800000011920929,0.9137833714485168,7.348950020968914e-05,64500
3,2,0.003000000026077,0.800000011920929,0.9063016772270204,7.676567474845797e-05,64500
3,3,0.0003000000142492,0.800000011920929,0.9108380079269408,7.41006078897044e-05,64500
3,4,0.0010000000474974,0.800000011920929,0.9119390845298768,7.160956738516688e-05,64500
4,0,0.003000000026077,0.4000000059604645,0.9289427995681764,5.9881156630581245e-05,64500
4,1,9.999999747378752e-05,0.4000000059604645,0.9310838580131532,5.8743211411638185e-05,64500
4,2,0.003000000026077,0.800000011920929,0.923296332359314,6.284199480433017e-05,64500
4,3,9.999999747378752e-05,0.4000000059604645,0.932676374912262,5.5950524256331846e-05,64500
4,4,9.999999747378752e-05,0.4000000059604645,0.9253005981445312,6.074443444958888e-05,64500
5,0,9.999999747378752e-05,0.4000000059604645,0.94597589969635,4.552711470751092e-05,64500
5,1,0.0003000000142492,0.4000000059604645,0.9525488018989564,4.044668094138615e-05,64500
5,2,0.0003000000142492,0.4000000059604645,0.9453728795051576,4.4754797272617e-05,64500
