task,target,best_layer,best_r2_mean,best_r2_std,best_mse_mean
push,contact_flag,22,0.7791294693946839,0.0075814822203922,0.0426124453544616
push,contact_force,22,0.3672024667263031,0.0218006041474326,55.17107620239258
push,contact_force_log1p_mag,23,0.765578293800354,0.0116222244856707,0.3605023622512817
push,contact_force_mag,23,0.4754638314247131,0.0365884316763638,130.45712890625
push,contact_point,15,0.0368933718651532,0.0148130437473952,6.157743358612061
push,ee_accel_mag,19,0.6586110711097717,0.0105592367286172,0.6410278439521789
push,ee_acceleration,21,0.3724799692630768,0.0125943139866354,0.4670951902866364
push,ee_direction,15,0.866220760345459,0.0051718697618255,0.0430026374757289
push,ee_position,22,0.984430170059204,0.0020956800372827,0.0003240768855902
push,ee_speed,19,0.9616261005401612,0.0031488858136482,0.0009995286352932
push,ee_velocity,22,0.9506636142730712,0.0064261126418463,0.0010986004141159
push,obj_accel_mag,19,0.3316807866096496,0.0383936864173233,0.9438644170761108
push,obj_acceleration,21,0.1035658717155456,0.015964404482409,0.45571990609169
push,obj_direction,22,0.303278088569641,0.0100043434818273,0.1797208696603774
push,obj_position,11,0.260680603981018,0.0138125042316179,15.398641777038574
push,obj_speed,22,0.8345602631568909,0.049349611015665,0.0023215477820485
push,obj_velocity,21,0.7632045149803162,0.0466689318237489,0.0012256928021087
strike,contact_flag,23,0.8065067648887634,0.0623676742733548,0.0204168077558278
strike,contact_force,22,0.5994856715202331,0.039834245273192,35.4205940246582
strike,contact_force_log1p_mag,23,0.7999657034873963,0.0540332675770471,0.2609699100255965
strike,contact_force_mag,16,0.6702916860580445,0.0475650192326363,83.37319641113281
strike,contact_point,11,0.024329787865281,0.0070052639746557,2.9077627658843994
strike,ee_accel_mag,16,0.7867755770683289,0.0049583704791963,1.017855882644653
strike,ee_acceleration,22,0.5877826094627381,0.0051923362339634,0.8139144897460937
strike,ee_direction,13,0.8774368047714234,0.0046006425703572,0.0397341392934321
strike,ee_position,22,0.9870310425758362,0.0029131137442853,0.0001511900918557
