task,layer,param,fold,r2,n_train_eps,n_test_eps
peg_insert,0,peg_static_friction,0,-3.9515552520751953,157,40
peg_insert,0,peg_static_friction,1,-3.888821601867676,157,40
peg_insert,0,peg_static_friction,2,-2.324819803237915,158,39
peg_insert,0,peg_static_friction,3,-2.9441964626312256,158,39
peg_insert,0,peg_static_friction,4,-2.37418794631958,158,39
peg_insert,0,peg_dynamic_friction,0,-3.9515552520751953,157,40
peg_insert,0,peg_dynamic_friction,1,-3.888821601867676,157,40
peg_insert,0,peg_dynamic_friction,2,-2.324819803237915,158,39
peg_insert,0,peg_dynamic_friction,3,-2.9441964626312256,158,39
peg_insert,0,peg_dynamic_friction,4,-2.37418794631958,158,39
peg_insert,0,peg_mass,0,-4.224469184875488,157,40
peg_insert,0,peg_mass,1,-3.206479549407959,157,40
peg_insert,0,peg_mass,2,-4.179698467254639,158,39
peg_insert,0,peg_mass,3,-3.3512916564941406,158,39
peg_insert,0,peg_mass,4,-1.2351951599121094,158,39
peg_insert,0,hole_static_friction,0,-4.717613697052002,157,40
peg_insert,0,hole_static_friction,1,-4.168121814727783,157,40
peg_insert,0,hole_static_friction,2,-4.093621253967285,158,39
peg_insert,0,hole_static_friction,3,-3.957632064819336,158,39
peg_insert,0,hole_static_friction,4,-2.986001968383789,158,39
peg_insert,0,hole_dynamic_friction,0,-4.717613697052002,157,40
peg_insert,0,hole_dynamic_friction,1,-4.168121814727783,157,40
peg_insert,0,hole_dynamic_friction,2,-4.093621253967285,158,39
peg_insert,0,hole_dynamic_friction,3,-3.957632064819336,158,39
peg_insert,0,hole_dynamic_friction,4,-2.986001968383789,158,39
peg_insert,1,peg_static_friction,0,-1.735595941543579,157,40
peg_insert,1,peg_static_friction,1,-2.6799306869506836,157,40
peg_insert,1,peg_static_friction,2,-1.496471881866455,158,39
peg_insert,1,peg_static_friction,3,-1.6210930347442627,158,39
peg_insert,1,peg_static_friction,4,-2.8281900882720947,158,39
peg_insert,1,peg_dynamic_friction,0,-1.735595941543579,157,40
peg_insert,1,peg_dynamic_friction,1,-2.6799306869506836,157,40
peg_insert,1,peg_dynamic_friction,2,-1.496471881866455,158,39
peg_insert,1,peg_dynamic_friction,3,-1.6210930347442627,158,39
