layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.009999999776482582,0.2410959154367447,66.4359359741211,64500
0,1,0.0010000000474974513,0.009999999776482582,0.23507443070411682,66.67115020751953,64500
0,2,0.0010000000474974513,0.009999999776482582,0.23665976524353027,66.60282897949219,64500
0,3,0.0010000000474974513,0.009999999776482582,0.24286293983459473,66.38800811767578,64500
0,4,0.0010000000474974513,0.009999999776482582,0.2565128207206726,65.4809799194336,64500
1,0,0.004999999888241291,0.009999999776482582,0.3917784094810486,53.24496078491211,64500
1,1,9.999999747378752e-05,0.009999999776482582,0.41169264912605286,51.277095794677734,64500
1,2,0.0003000000142492354,0.009999999776482582,0.39313769340515137,52.950164794921875,64500
1,3,0.004999999888241291,0.009999999776482582,0.41989028453826904,50.8660888671875,64500
1,4,0.0003000000142492354,0.009999999776482582,0.4082445800304413,52.11758804321289,64500
2,0,9.999999747378752e-05,0.10000000149011612,0.35282453894615173,56.65446472167969,64500
2,1,0.003000000026077032,0.10000000149011612,0.34789419174194336,56.837738037109375,64500
2,2,0.004999999888241291,0.009999999776482582,0.3988841772079468,52.44852066040039,64500
2,3,0.004999999888241291,0.009999999776482582,0.4307631552219391,49.912662506103516,64500
2,4,0.0003000000142492354,0.009999999776482582,0.41318413615226746,51.682533264160156,64500
3,0,9.999999747378752e-05,0.10000000149011612,0.5186388492584229,42.13932418823242,64500
3,1,0.0010000000474974513,0.009999999776482582,0.6100777983665466,33.98573684692383,64500
3,2,0.004999999888241291,0.10000000149011612,0.508834183216095,42.85515594482422,64500
3,3,0.004999999888241291,0.10000000149011612,0.533636748790741,40.89220428466797,64500
3,4,0.0003000000142492354,0.10000000149011612,0.5210350751876831,42.18383026123047,64500
4,0,0.0003000000142492354,0.009999999776482582,0.684213399887085,27.644622802734375,64500
4,1,0.003000000026077032,0.10000000149011612,0.6866040825843811,27.31574249267578,64500
4,2,0.0010000000474974513,0.10000000149011612,0.6712006330490112,28.68845558166504,64500
4,3,0.003000000026077032,0.10000000149011612,0.688805103302002,27.286516189575195,64500
4,4,9.999999747378752e-05,0.10000000149011612,0.6850590705871582,27.737815856933594,64500
5,0,0.0010000000474974513,0.10000000149011612,0.75315260887146,21.609500885009766,64500
5,1,9.999999747378752e-05,0.10000000149011612,0.7570874691009521,21.172435760498047,64500
5,2,0.0010000000474974513,0.10000000149011612,0.7474637627601624,22.03419303894043,64500
5,3,0.0003000000142492354,0.10000000149011612,0.7532511353492737,21.635713577270508,64500
5,4,0.0010000000474974513,0.10000000149011612,0.7551383972167969,21.565677642822266,64500
6,0,0.0003000000142492354,0.10000000149011612,0.7814984917640686,19.12806510925293,64500
