layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0003000000142492354,0.009999999776482582,0.26660072803497314,0.14798854291439056,64500
0,1,9.999999747378752e-05,0.009999999776482582,0.28388890624046326,0.14729955792427063,64500
0,2,0.004999999888241291,0.009999999776482582,0.25395867228507996,0.15139631927013397,64500
0,3,0.0003000000142492354,0.009999999776482582,0.28913912177085876,0.14542539417743683,64500
0,4,9.999999747378752e-05,0.10000000149011612,0.2512627840042114,0.1513335108757019,64500
1,0,0.0010000000474974513,0.009999999776482582,0.4766688942909241,0.1056002676486969,64500
1,1,0.003000000026077032,0.009999999776482582,0.4777514636516571,0.1074233129620552,64500
1,2,0.003000000026077032,0.009999999776482582,0.4400201737880707,0.11363814771175385,64500
1,3,0.004999999888241291,0.009999999776482582,0.48209574818611145,0.10595095157623291,64500
1,4,9.999999747378752e-05,0.009999999776482582,0.4589458405971527,0.10935710370540619,64500
2,0,0.003000000026077032,0.10000000149011612,0.48646682500839233,0.1036233976483345,64500
2,1,0.0003000000142492354,0.10000000149011612,0.4896082878112793,0.10498464107513428,64500
2,2,0.003000000026077032,0.10000000149011612,0.4725784957408905,0.10703153163194656,64500
2,3,0.0003000000142492354,0.009999999776482582,0.5370286107063293,0.09471341967582703,64500
2,4,9.999999747378752e-05,0.10000000149011612,0.48302584886550903,0.10449017584323883,64500
3,0,0.0003000000142492354,0.009999999776482582,0.553544282913208,0.09008768945932388,64500
3,1,0.004999999888241291,0.009999999776482582,0.5545499920845032,0.09162575006484985,64500
3,2,0.0003000000142492354,0.009999999776482582,0.5847566723823547,0.08426682651042938,64500
3,3,0.003000000026077032,0.009999999776482582,0.5056675672531128,0.10112903267145157,64500
3,4,0.0003000000142492354,0.10000000149011612,0.5526348352432251,0.09042083472013474,64500
4,0,0.004999999888241291,0.10000000149011612,0.6050535440444946,0.07969394326210022,64500
4,1,0.003000000026077032,0.10000000149011612,0.6070530414581299,0.08082657307386398,64500
4,2,0.004999999888241291,0.009999999776482582,0.5138451457023621,0.09865721315145493,64500
4,3,9.999999747378752e-05,0.009999999776482582,0.6357576847076416,0.07451523840427399,64500
4,4,9.999999747378752e-05,0.10000000149011612,0.6093907356262207,0.07894952595233917,64500
5,0,0.003000000026077032,0.009999999776482582,0.6547612547874451,0.0696638971567154,64500
5,1,0.0010000000474974513,0.10000000149011612,0.6315228343009949,0.07579351961612701,64500
5,2,0.004999999888241291,0.009999999776482582,0.6158568859100342,0.07795533537864685,64500
5,3,0.0010000000474974513,0.10000000149011612,0.6366316080093384,0.07433661818504333,64500
