layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.009999999776482582,0.12211143970489502,7.785254274494946e-05,64500
0,1,9.999999747378752e-05,0.10000000149011612,0.11084145307540894,9.338933159597218e-05,64500
0,2,0.004999999888241291,0.4000000059604645,0.1186060905456543,7.731278310529888e-05,64500
0,3,0.0003000000142492354,0.10000000149011612,0.11383974552154541,8.215523848775774e-05,64500
0,4,0.003000000026077032,0.10000000149011612,0.10597658157348633,7.768670184304938e-05,64500
1,0,0.004999999888241291,0.10000000149011612,0.23944497108459473,6.74472248647362e-05,64500
1,1,0.004999999888241291,0.10000000149011612,0.20616036653518677,8.337788312928751e-05,64500
1,2,0.0003000000142492354,0.10000000149011612,0.23909521102905273,6.674389442196116e-05,64500
1,3,0.0010000000474974513,0.009999999776482582,0.23340708017349243,7.107024430297315e-05,64500
1,4,0.003000000026077032,0.10000000149011612,0.22179299592971802,6.76227718940936e-05,64500
2,0,0.003000000026077032,0.009999999776482582,0.2336851954460144,6.79580116411671e-05,64500
2,1,9.999999747378752e-05,0.10000000149011612,0.22348731756210327,8.155801333487034e-05,64500
2,2,0.0010000000474974513,0.009999999776482582,0.24957555532455444,6.582459900528193e-05,64500
2,3,0.004999999888241291,0.009999999776482582,0.24396532773971558,7.009139517322183e-05,64500
2,4,0.0010000000474974513,0.009999999776482582,0.2370336651802063,6.629841664107516e-05,64500
3,0,0.0003000000142492354,0.10000000149011612,0.3596283197402954,5.678917659679428e-05,64500
3,1,0.004999999888241291,0.009999999776482582,0.326507031917572,7.073773304000497e-05,64500
3,2,0.003000000026077032,0.009999999776482582,0.37104368209838867,5.5169839470181614e-05,64500
3,3,0.004999999888241291,0.009999999776482582,0.36424916982650757,5.893997149541974e-05,64500
3,4,0.004999999888241291,0.009999999776482582,0.3372381925582886,5.759108535130508e-05,64500
4,0,0.004999999888241291,0.009999999776482582,0.39564889669418335,5.359481292543933e-05,64500
4,1,0.004999999888241291,0.009999999776482582,0.3518717885017395,6.807364115957171e-05,64500
4,2,0.003000000026077032,0.10000000149011612,0.39764583110809326,5.28363925695885e-05,64500
4,3,0.003000000026077032,0.10000000149011612,0.38157713413238525,5.7333509175805375e-05,64500
4,4,9.999999747378752e-05,0.10000000149011612,0.359616219997406,5.564653474721126e-05,64500
5,0,0.0010000000474974513,0.009999999776482582,0.45079052448272705,4.8704769142204896e-05,64500
5,1,0.0003000000142492354,0.10000000149011612,0.38319963216781616,6.478324212366715e-05,64500
5,2,0.0010000000474974513,0.10000000149011612,0.45159000158309937,4.810459722648375e-05,64500
5,3,0.003000000026077032,0.10000000149011612,0.43304288387298584,5.256215808913112e-05,64500
5,4,0.0003000000142492354,0.009999999776482582,0.4154021739959717,5.079898255644366e-05,64500
6,0,0.0003000000142492354,0.10000000149011612,0.4800739884376526,4.61078598164022e-05,64500
6,1,0.0010000000474974513,0.009999999776482582,0.4174656867980957,6.118424062151462e-05,64500
6,2,9.999999747378752e-05,0.10000000149011612,0.4866325855255127,4.5030785258859396e-05,64500
6,3,0.0003000000142492354,0.10000000149011612,0.4633868932723999,4.9748985475162044e-05,64500
6,4,0.0003000000142492354,0.10000000149011612,0.4475400447845459,4.8006342694861814e-05,64500
