layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.003000000026077032,0.009999999776482582,0.10818248987197876,1.685845205656733e-07,64500
0,1,9.999999747378752e-05,0.009999999776482582,0.12492597103118896,2.622931276619056e-07,64500
0,2,9.999999747378752e-05,0.009999999776482582,0.1346721053123474,2.4171191626010113e-07,64500
0,3,0.0010000000474974513,0.009999999776482582,0.0879889726638794,2.6716378442870337e-07,64500
0,4,0.004999999888241291,0.800000011920929,0.05633169412612915,1.9294566300231963e-07,64500
1,0,0.004999999888241291,0.10000000149011612,0.15610253810882568,1.5952596754686965e-07,64500
1,1,0.0003000000142492354,0.10000000149011612,0.18898224830627441,2.4309301238645276e-07,64500
1,2,9.999999747378752e-05,0.009999999776482582,0.20785027742385864,2.2127106547031872e-07,64500
1,3,0.0010000000474974513,0.10000000149011612,0.155775785446167,2.4730636027925357e-07,64500
1,4,0.003000000026077032,0.10000000149011612,0.13047653436660767,1.7778575056581758e-07,64500
2,0,0.003000000026077032,0.009999999776482582,0.19574373960494995,1.5203239911443234e-07,64500
2,1,0.003000000026077032,0.10000000149011612,0.20544838905334473,2.381574830678801e-07,64500
2,2,0.0010000000474974513,0.4000000059604645,0.20703715085983276,2.214981975612318e-07,64500
2,3,0.0010000000474974513,0.009999999776482582,0.19659209251403809,2.3534967397154105e-07,64500
2,4,0.003000000026077032,0.009999999776482582,0.14201140403747559,1.7542730290642794e-07,64500
3,0,0.003000000026077032,0.10000000149011612,0.2202056646347046,1.4740824383352447e-07,64500
3,1,9.999999747378752e-05,0.10000000149011612,0.24062484502792358,2.2761375362279068e-07,64500
3,2,0.004999999888241291,0.10000000149011612,0.24515682458877563,2.1085023149680637e-07,64500
3,3,9.999999747378752e-05,0.009999999776482582,0.21258366107940674,2.3066512255809357e-07,64500
3,4,0.004999999888241291,0.009999999776482582,0.19794338941574097,1.6399124547206156e-07,64500
4,0,9.999999747378752e-05,0.10000000149011612,0.23897409439086914,1.4386036184532713e-07,64500
4,1,0.003000000026077032,0.10000000149011612,0.2568814158439636,2.227410362820592e-07,64500
4,2,9.999999747378752e-05,0.009999999776482582,0.23973524570465088,2.1236465386209602e-07,64500
4,3,0.0010000000474974513,0.009999999776482582,0.218569815158844,2.289115457188018e-07,64500
4,4,0.0003000000142492354,0.10000000149011612,0.1957046389579773,1.6444899131329294e-07,64500
5,0,0.0010000000474974513,0.009999999776482582,0.2526751160621643,1.4127039094091742e-07,64500
5,1,0.004999999888241291,0.10000000149011612,0.27602046728134155,2.170043416072076e-07,64500
