layer,fold,best_lr,best_wd,r2,mse,n_test_windows,cos_sim_mean
0,0,0.0010000000474974,0.1000000014901161,-0.006142383441329,0.3325952589511871,64269,0.0889125317335128
0,1,0.0010000000474974,0.1000000014901161,-0.004247433040291,0.3306860029697418,64268,0.0987498238682746
0,2,9.999999747378752e-05,0.4000000059604645,0.0069287656806409,0.3279209434986114,64268,0.1057406216859817
0,3,0.0003000000142492,0.4000000059604645,0.0096907764673233,0.3257375657558441,64267,0.1174937039613723
0,4,0.0003000000142492,0.4000000059604645,0.0044226557947695,0.3292820453643799,64268,0.0955337136983871
1,0,0.0049999998882412,0.800000011920929,0.0344758033752441,0.3191681802272796,64269,0.1396966874599456
1,1,9.999999747378752e-05,0.800000011920929,0.0335451439023017,0.3182433545589447,64268,0.1511647552251815
1,2,0.0010000000474974,0.800000011920929,0.0336368791759014,0.3191007673740387,64268,0.1428990513086319
1,3,9.999999747378752e-05,0.800000011920929,0.0353738777339458,0.317288726568222,64267,0.1550324857234954
1,4,0.003000000026077,0.4000000059604645,0.0342612788081169,0.3194130063056946,64268,0.1402561217546463
2,0,0.0003000000142492,0.800000011920929,0.0362810492515563,0.3185713291168213,64269,0.1388139128684997
2,1,0.003000000026077,0.800000011920929,0.0385850332677364,0.3165827393531799,64268,0.1583670377731323
2,2,0.0010000000474974,0.800000011920929,0.0387574657797813,0.3174097836017608,64268,0.1499667912721634
2,3,0.0010000000474974,0.800000011920929,0.0387560985982418,0.3161754608154297,64267,0.1605823040008545
2,4,0.0010000000474974,0.800000011920929,0.0358596295118331,0.318884402513504,64268,0.1426153928041458
3,0,9.999999747378752e-05,0.800000011920929,0.0365856885910034,0.3184704780578613,64269,0.1381642371416092
3,1,0.003000000026077,0.800000011920929,0.0420275889337062,0.3154473602771759,64268,0.1665107160806656
3,2,0.0049999998882412,0.800000011920929,0.0411522798240184,0.316618263721466,64268,0.1544903963804245
3,3,0.0010000000474974,0.800000011920929,0.0422332920134067,0.3150323331356048,64267,0.1660993844270706
3,4,0.0049999998882412,0.800000011920929,0.039429560303688,0.3177037239074707,64268,0.1438758820295334
4,0,0.0003000000142492,0.800000011920929,0.0470646172761917,0.3150085508823395,64269,0.1601065993309021
4,1,0.003000000026077,0.800000011920929,0.050084326416254,0.3127951920032501,64268,0.1860826313495636
4,2,0.003000000026077,0.800000011920929,0.0493110716342926,0.3139247000217438,64268,0.1704287230968475
4,3,9.999999747378752e-05,0.800000011920929,0.0514644607901573,0.3119958043098449,64267,0.1817207336425781
4,4,0.0049999998882412,0.800000011920929,0.0471196956932544,0.3151599168777466,64268,0.1561324298381805
5,0,0.0010000000474974,0.800000011920929,0.0511963218450546,0.3136415779590606,64269,0.1668324321508407
5,1,9.999999747378752e-05,0.800000011920929,0.0557364597916603,0.3109335601329803,64268,0.1840490847826004
5,2,0.0049999998882412,0.800000011920929,0.0534594990313053,0.3125542998313904,64268,0.1776268780231475
5,3,0.003000000026077,0.800000011920929,0.054289661347866,0.3110661804676056,64267,0.1871613264083862
5,4,0.003000000026077,0.800000011920929,0.0515767708420753,0.3136858642101288,64268,0.1667738705873489
6,0,0.0010000000474974,0.800000011920929,0.053714383393526,0.312809020280838,64269,0.1697909235954284
6,1,9.999999747378752e-05,0.800000011920929,0.058288350701332,0.3100938498973846,64268,0.1920793205499649
6,2,0.0049999998882412,0.800000011920929,0.0567430406808853,0.3114712536334991,64268,0.183230459690094
6,3,0.0003000000142492,0.800000011920929,0.057318989187479,0.3100702464580536,64267,0.1892642825841903
6,4,0.0049999998882412,0.4000000059604645,0.0544060356914997,0.3127490878105163,64268,0.1739483922719955
7,0,0.0010000000474974,0.800000011920929,0.0579514130949974,0.3114085495471954,64269,0.179680123925209
7,1,9.999999747378752e-05,0.800000011920929,0.0631677359342575,0.3084854483604431,64268,0.202311560511589
