layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.4000000059604645,0.4262585639953613,4.432179775903933e-05,64500
0,1,0.0003000000142492,0.4000000059604645,0.4193190336227417,4.347893263911829e-05,64500
0,2,0.0003000000142492,0.4000000059604645,0.4333632588386535,4.3354328226996586e-05,64500
0,3,0.0003000000142492,0.4000000059604645,0.430391252040863,4.32298838859424e-05,64500
0,4,9.999999747378752e-05,0.4000000059604645,0.4117664694786072,4.135365452384576e-05,64500
1,0,0.0003000000142492,0.800000011920929,0.808772623538971,1.4772406757401768e-05,64500
1,1,0.0010000000474974,0.800000011920929,0.8063548803329468,1.4499326425720938e-05,64500
1,2,0.0010000000474974,0.800000011920929,0.8158555030822754,1.4089205251366366e-05,64500
1,3,0.003000000026077,0.800000011920929,0.8142259120941162,1.4099136024015024e-05,64500
1,4,0.0003000000142492,0.800000011920929,0.7824404239654541,1.5294746845029294e-05,64500
2,0,0.003000000026077,0.4000000059604645,0.8085377812385559,1.479054662922863e-05,64500
2,1,9.999999747378752e-05,0.4000000059604645,0.8316311836242676,1.260674252989702e-05,64500
2,2,9.999999747378752e-05,0.800000011920929,0.831260085105896,1.2910572877444793e-05,64500
2,3,0.0003000000142492,0.800000011920929,0.8319286108016968,1.2755611351167316e-05,64500
2,4,0.0003000000142492,0.4000000059604645,0.8148355484008789,1.3017326637054794e-05,64500
3,0,0.003000000026077,0.800000011920929,0.7914400100708008,1.6111356671899557e-05,64500
3,1,0.003000000026077,0.800000011920929,0.827830970287323,1.2891287042293698e-05,64500
3,2,0.003000000026077,0.800000011920929,0.8392674922943115,1.2297916327952407e-05,64500
3,3,0.003000000026077,0.800000011920929,0.8447614908218384,1.178167076432146e-05,64500
3,4,0.003000000026077,0.800000011920929,0.8297696113586426,1.196743960463209e-05,64500
4,0,0.0049999998882412,0.4000000059604645,0.7214609384536743,2.1517276763916016e-05,64500
4,1,0.003000000026077,0.4000000059604645,0.8168907761573792,1.3710443454328924e-05,64500
4,2,0.0049999998882412,0.800000011920929,0.8486855030059814,1.1577327313716523e-05,64500
4,3,0.0049999998882412,0.800000011920929,0.8791801333427429,9.169502845907118e-06,64500
4,4,0.003000000026077,0.4000000059604645,0.8090008497238159,1.3427514204522597e-05,64500
5,0,0.0049999998882412,0.800000011920929,0.515331506729126,3.744087371160276e-05,64500
5,1,0.003000000026077,0.800000011920929,0.8736612796783447,9.459710781811737e-06,64500
5,2,0.003000000026077,0.800000011920929,0.7435117363929749,1.9624347260105424e-05,64500
5,3,0.003000000026077,0.800000011920929,0.8784653544425964,9.223749657394364e-06,64500
5,4,0.003000000026077,0.4000000059604645,0.8390988111495972,1.131158114731079e-05,64500
6,0,0.0049999998882412,0.800000011920929,0.8273115754127502,1.334026273980271e-05,64500
6,1,9.999999747378752e-05,0.800000011920929,0.8479072451591492,1.138806237577228e-05,64500
6,2,9.999999747378752e-05,0.800000011920929,0.7778682708740234,1.6995672922348604e-05,64500
6,3,0.003000000026077,0.800000011920929,0.8842836618423462,8.782176337263081e-06,64500
6,4,0.0049999998882412,0.800000011920929,0.828934907913208,1.2026119293295778e-05,64500
7,0,0.0003000000142492,0.800000011920929,0.8663355708122253,1.032564068736974e-05,64500
7,1,9.999999747378752e-05,0.800000011920929,0.7388063073158264,1.955707739398349e-05,64500
7,2,9.999999747378752e-05,0.800000011920929,0.7598545551300049,1.8373928469372917e-05,64500
7,3,0.003000000026077,0.800000011920929,0.8753843307495117,9.45757892623078e-06,64500
7,4,9.999999747378752e-05,0.800000011920929,0.8195924758911133,1.2682904525718186e-05,64500
8,0,0.0003000000142492,0.800000011920929,0.891576886177063,8.375736797461286e-06,64500
8,1,0.003000000026077,0.800000011920929,0.8958034515380859,7.801797437423375e-06,64500
8,2,9.999999747378752e-05,0.800000011920929,0.8774624466896057,9.375553418067284e-06,64500
8,3,0.003000000026077,0.800000011920929,0.898375391960144,7.71269878896419e-06,64500
8,4,0.0010000000474974,0.800000011920929,0.8940922021865845,7.44546696296311e-06,64500
9,0,9.999999747378752e-05,0.800000011920929,0.9028492569923401,7.5049433689855505e-06,64500
9,1,0.0010000000474974513,0.800000011920929,0.8978379964828491,7.649456165381707e-06,64500
9,2,0.004999999888241291,0.800000011920929,0.8789348006248474,9.262900675821584e-06,64500
9,3,9.999999747378752e-05,0.800000011920929,0.8991258144378662,7.655744411749765e-06,64500
9,4,0.0003000000142492354,0.800000011920929,0.8899621963500977,7.73581450630445e-06,64500
10,0,0.0010000000474974513,0.800000011920929,0.6948029398918152,2.3576620151288807e-05,64500
10,1,0.004999999888241291,0.800000011920929,-0.6745278835296631,0.0001253815571544692,64500
10,2,0.0010000000474974513,0.800000011920929,0.9032661318778992,7.401271432172507e-06,64500
10,3,9.999999747378752e-05,0.800000011920929,0.9026354551315308,7.3893820626835804e-06,64500
10,4,0.003000000026077032,0.4000000059604645,-0.5853632688522339,0.00011145330063300207,64500
11,0,9.999999747378752e-05,0.800000011920929,0.86411452293396,1.0497218681848608e-05,64500
