layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0010000000474974,0.1000000014901161,0.3854464292526245,1.6998279534163885e-05,64500
0,1,0.0010000000474974,0.1000000014901161,0.3567067980766296,1.7313383068540134e-05,64500
0,2,0.003000000026077,0.1000000014901161,0.3679330348968506,1.7325237422483042e-05,64500
0,3,0.0003000000142492,0.1000000014901161,0.3742924332618713,1.7015345292747952e-05,64500
0,4,0.0049999998882412,0.1000000014901161,0.3673906028270721,1.5902702216408215e-05,64500
1,0,0.003000000026077,0.4000000059604645,0.7253142595291138,7.597696367156459e-06,64500
1,1,0.0049999998882412,0.4000000059604645,0.7119860053062439,7.751447810733225e-06,64500
1,2,0.0049999998882412,0.4000000059604645,0.7194909453392029,7.688904588576406e-06,64500
1,3,0.003000000026077,0.4000000059604645,0.7216595411300659,7.569083663838683e-06,64500
1,4,0.003000000026077,0.4000000059604645,0.7205135226249695,7.0257829065667465e-06,64500
2,0,0.0003000000142492,0.800000011920929,0.7424619197845459,7.123369414330227e-06,64500
2,1,9.999999747378752e-05,0.800000011920929,0.7310576438903809,7.23823950465885e-06,64500
2,2,0.0010000000474974,0.800000011920929,0.7400475144386292,7.1254585236602e-06,64500
2,3,0.0010000000474974,0.4000000059604645,0.7474849224090576,6.866805506433593e-06,64500
2,4,0.0010000000474974,0.800000011920929,0.7336729168891907,6.694988769595511e-06,64500
3,0,0.0010000000474974,0.800000011920929,0.750300943851471,6.906518137839157e-06,64500
3,1,0.003000000026077,0.800000011920929,0.7523590922355652,6.664887223450933e-06,64500
3,2,0.0049999998882412,0.800000011920929,0.7596239447593689,6.588805263163522e-06,64500
3,3,0.0010000000474974,0.800000011920929,0.7680838108062744,6.306691375357332e-06,64500
3,4,0.0049999998882412,0.800000011920929,0.7594375014305115,6.047296210454078e-06,64500
4,0,0.003000000026077,0.4000000059604645,0.784744143486023,5.953864729235647e-06,64500
4,1,9.999999747378752e-05,0.4000000059604645,0.7892434597015381,5.672209226759151e-06,64500
4,2,0.003000000026077,0.800000011920929,0.7954298257827759,5.607379080174724e-06,64500
4,3,0.0010000000474974,0.800000011920929,0.8025934100151062,5.368221536627971e-06,64500
4,4,9.999999747378752e-05,0.800000011920929,0.7971964478492737,5.098142537462991e-06,64500
5,0,0.0003000000142492,0.800000011920929,0.8110791444778442,5.225489530857885e-06,64500
5,1,0.0003000000142492,0.4000000059604645,0.8064759373664856,5.208420589042362e-06,64500
5,2,0.0049999998882412,0.800000011920929,0.8063353300094604,5.308455456543015e-06,64500
5,3,0.0003000000142492,0.800000011920929,0.8101762533187866,5.162016805115854e-06,64500
5,4,0.003000000026077,0.800000011920929,0.804658830165863,4.9105424295703415e-06,64500
6,0,0.003000000026077,0.4000000059604645,0.8345357775688171,4.57662599728792e-06,64500
6,1,0.0003000000142492,0.4000000059604645,0.8205779790878296,4.828852524951799e-06,64500
6,2,0.0049999998882412,0.800000011920929,0.8253096342086792,4.78834226669278e-06,64500
6,3,0.003000000026077,0.800000011920929,0.8277530074119568,4.68403095510439e-06,64500
6,4,0.0049999998882412,0.4000000059604645,0.8359317183494568,4.124371116631664e-06,64500
7,0,0.003000000026077,0.4000000059604645,0.8401630520820618,4.420984623720869e-06,64500
7,1,0.0003000000142492,0.4000000059604645,0.8326342701911926,4.50437664767378e-06,64500
7,2,9.999999747378752e-05,0.4000000059604645,0.8257573843002319,4.776044534082757e-06,64500
7,3,9.999999747378752e-05,0.800000011920929,0.8299368023872375,4.624653229257092e-06,64500
7,4,0.0003000000142492,0.4000000059604645,0.8359914422035217,4.122870450373739e-06,64500
8,0,0.0010000000474974,0.4000000059604645,0.8384258151054382,4.469059149414534e-06,64500
8,1,0.0003000000142492,0.4000000059604645,0.8283599019050598,4.619422725227196e-06,64500
8,2,0.0003000000142492,0.4000000059604645,0.8235421180725098,4.836787411477417e-06,64500
8,3,0.0010000000474974,0.4000000059604645,0.8375740647315979,4.416948286234401e-06,64500
8,4,9.999999747378752e-05,0.4000000059604645,0.8343560695648193,4.163968696957454e-06,64500
9,0,9.999999747378752e-05,0.800000011920929,0.8214597702026367,4.9383229452359956e-06,64500
9,1,0.0003000000142492354,0.800000011920929,0.81388920545578,5.008895186620066e-06,64500
9,2,9.999999747378752e-05,0.4000000059604645,0.8270284533500671,4.741236807603855e-06,64500
9,3,0.004999999888241291,0.800000011920929,0.8101980090141296,5.161398803466e-06,64500
9,4,0.004999999888241291,0.4000000059604645,0.8276354670524597,4.33293007517932e-06,64500
10,0,0.004999999888241291,0.4000000059604645,0.8193309903144836,4.997180894861231e-06,64500
10,1,0.0003000000142492354,0.800000011920929,-0.1203673705458641,3.015251968463417e-05,64500
10,2,0.003000000026077032,0.800000011920929,0.15909652411937714,2.3049275114317425e-05,64500
10,3,0.003000000026077032,0.800000011920929,0.5835174322128296,1.1325562809361145e-05,64500
10,4,9.999999747378752e-05,0.4000000059604645,0.8253490328788757,4.390382400742965e-06,64500
11,0,0.003000000026077032,0.800000011920929,-2.724787712097168,0.00010302477312507108,64500
11,1,0.0003000000142492354,0.4000000059604645,-13.22826099395752,0.00038292680983431637,64500
11,2,0.0003000000142492354,0.4000000059604645,0.44481101632118225,1.521782178315334e-05,64500
11,3,0.0003000000142492354,0.4000000059604645,0.7800983786582947,5.979871730232844e-06,64500
11,4,0.0010000000474974513,0.800000011920929,-7.773195743560791,0.00022054124565329403,64500
12,0,0.0049999998882412,0.4000000059604645,0.8280401229858398,4.756332600663882e-06,64500
12,1,0.0010000000474974,0.800000011920929,0.8094281554222107,5.128931206854759e-06,64500
12,2,0.003000000026077,0.4000000059604645,0.827392041683197,4.731258286483353e-06,64500
12,3,0.0003000000142492,0.4000000059604645,0.8305128216743469,4.608963081409456e-06,64500
12,4,0.0010000000474974,0.4000000059604645,0.8262892365455627,4.366783741716063e-06,64500
13,0,0.003000000026077,0.4000000059604645,0.8344157338142395,4.579970209306339e-06,64500
13,1,9.999999747378752e-05,0.4000000059604645,0.8270173668861389,4.655568318412406e-06,64500
13,2,9.999999747378752e-05,0.4000000059604645,0.8313629031181335,4.622426331479801e-06,64500
13,3,9.999999747378752e-05,0.4000000059604645,0.8308097720146179,4.600921784003731e-06,64500
13,4,9.999999747378752e-05,0.4000000059604645,0.8340263366699219,4.172266471869079e-06,64500
14,0,0.003000000026077,0.4000000059604645,0.8392624855041504,4.445915237738518e-06,64500
14,1,0.0049999998882412,0.4000000059604645,0.8308095932006836,4.553483904601308e-06,64500
14,2,0.0049999998882412,0.4000000059604645,0.8358111381530762,4.500484919844894e-06,64500
14,3,9.999999747378752e-05,0.4000000059604645,0.8382349014282227,4.398973942443263e-06,64500
14,4,0.0010000000474974,0.4000000059604645,0.8368059992790222,4.102378625248093e-06,64500
15,0,0.003000000026077,0.4000000059604645,0.8582025766372681,3.922031282854732e-06,64500
15,1,9.999999747378752e-05,0.4000000059604645,0.8508905172348022,4.013053967355518e-06,64500
15,2,0.0049999998882412,0.4000000059604645,0.8549411296844482,3.97611484004301e-06,64500
15,3,0.0049999998882412,0.4000000059604645,0.8576778173446655,3.870266482408624e-06,64500
15,4,0.0003000000142492,0.4000000059604645,0.8550547361373901,3.643668378572329e-06,64500
16,0,0.004999999888241291,0.800000011920929,0.8536396622657776,4.0482359509042e-06,64500
16,1,9.999999747378752e-05,0.800000011920929,0.7990935444831848,5.407068329077447e-06,64500
16,2,0.003000000026077032,0.800000011920929,0.8470636606216431,4.192042069917079e-06,64500
16,3,0.0003000000142492354,0.4000000059604645,0.8610060811042786,3.7797587992827175e-06,64500
16,4,0.0003000000142492354,0.800000011920929,0.8486536145210266,3.804562084042118e-06,64500
17,0,0.0003000000142492,0.4000000059604645,0.8717789053916931,3.546534799170331e-06,64500
17,1,0.0049999998882412,0.4000000059604645,0.8645434379577637,3.645615151981474e-06,64500
17,2,0.0049999998882412,0.4000000059604645,0.8684050440788269,3.6070882742933455e-06,64500
17,3,0.0010000000474974,0.4000000059604645,0.8710711002349854,3.5060440950474003e-06,64500
17,4,0.0003000000142492,0.4000000059604645,0.8684529066085815,3.3068558877857868e-06,64500
18,0,0.0003000000142492354,0.10000000149011612,0.5096885561943054,1.3561562809627503e-05,64500
18,1,0.003000000026077032,0.800000011920929,0.8502467274665833,4.030381205666345e-06,64500
18,2,9.999999747378752e-05,0.800000011920929,0.7603313326835632,6.56935162623995e-06,64500
18,3,9.999999747378752e-05,0.800000011920929,0.8535799384117126,3.981714598921826e-06,64500
18,4,0.0003000000142492354,0.800000011920929,0.8516537547111511,3.7291379157977644e-06,64500
19,0,0.0003000000142492354,0.10000000149011612,0.6320455074310303,1.0177343938266858e-05,64500
19,1,9.999999747378752e-05,0.800000011920929,-0.34760770201683044,3.6268364056013525e-05,64500
19,2,0.003000000026077032,0.4000000059604645,0.12410461157560349,2.4008470063563436e-05,64500
19,3,0.003000000026077032,0.800000011920929,0.7072385549545288,7.961200026329607e-06,64500
19,4,0.0003000000142492354,0.800000011920929,-1.0110771656036377,5.055426663602702e-05,64500
20,0,0.0010000000474974513,0.009999999776482582,-11.057844161987305,0.00033351004822179675,64500
20,1,0.004999999888241291,0.10000000149011612,-0.5994998812675476,4.30479267379269e-05,64500
20,2,0.0010000000474974513,0.10000000149011612,-21.043241500854492,0.00060420943191275,64500
20,3,9.999999747378752e-05,0.800000011920929,-5.588790416717529,0.00017917135846801102,64500
20,4,0.0003000000142492354,0.009999999776482582,-6.948853015899658,0.0001998161751544103,64500
21,0,0.003000000026077032,0.4000000059604645,0.5705129504203796,1.1879295016115066e-05,64500
21,1,0.003000000026077032,0.4000000059604645,0.7285454869270325,7.3057390181929804e-06,64500
21,2,9.999999747378752e-05,0.800000011920929,0.7430171370506287,7.043948244245257e-06,64500
21,3,0.0003000000142492354,0.800000011920929,-1.8408970832824707,7.725366594968364e-05,64500
21,4,0.003000000026077032,0.800000011920929,0.6001259684562683,1.0052039215224795e-05,64500
22,0,0.004999999888241291,0.10000000149011612,-1.9880379438400269,8.2646613009274e-05,64500
22,1,0.0003000000142492354,0.10000000149011612,0.07512521743774414,2.4891331122489646e-05,64500
22,2,0.0010000000474974513,0.800000011920929,0.8454737067222595,4.2356459744041786e-06,64500
22,3,9.999999747378752e-05,0.800000011920929,0.7932928204536438,5.621107447950635e-06,64500
22,4,0.004999999888241291,0.009999999776482582,-45.75186538696289,0.0011752467835322022,64500
23,0,0.0010000000474974513,0.800000011920929,0.843497633934021,4.3287900552968495e-06,64500
23,1,0.0010000000474974513,0.4000000059604645,0.7642192244529724,6.345642759697512e-06,64500
23,2,0.004999999888241291,0.4000000059604645,0.7486065030097961,6.890754775668029e-06,64500
23,3,0.004999999888241291,0.10000000149011612,0.699396550655365,8.174418326234445e-06,64500
23,4,0.0003000000142492354,0.800000011920929,0.7901633977890015,5.2748700909432955e-06,64500
