layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.4000000059604645,0.2810496687889099,6.375765224220231e-05,64500
0,1,0.0003000000142492,0.4000000059604645,0.2321572303771972,8.064740541158244e-05,64500
0,2,0.0010000000474974,0.4000000059604645,0.2808218598365783,6.30837821518071e-05,64500
0,3,0.0010000000474974,0.4000000059604645,0.2671172022819519,6.794500222895294e-05,64500
0,4,9.999999747378752e-05,0.4000000059604645,0.2421650886535644,6.585251685464755e-05,64500
1,0,9.999999747378752e-05,0.800000011920929,0.5354872941970825,4.11937253375072e-05,64500
1,1,0.0010000000474974,0.800000011920929,0.48236745595932,5.436753417598084e-05,64500
1,2,0.0010000000474974,0.800000011920929,0.5664312839508057,3.803112485911697e-05,64500
1,3,0.003000000026077,0.800000011920929,0.5435824990272522,4.231411367072724e-05,64500
1,4,0.003000000026077,0.800000011920929,0.499832808971405,4.346232890384272e-05,64500
2,0,0.003000000026077,0.4000000059604645,0.560031533241272,3.901710078935139e-05,64500
2,1,9.999999747378752e-05,0.4000000059604645,0.4941431283950805,5.313072688295506e-05,64500
2,2,9.999999747378752e-05,0.800000011920929,0.5755702257156372,3.72294889530167e-05,64500
2,3,0.0003000000142492,0.800000011920929,0.5560436248779297,4.115885531064123e-05,64500
2,4,0.0003000000142492,0.4000000059604645,0.532800555229187,4.059758066432551e-05,64500
3,0,0.003000000026077,0.800000011920929,0.5410465598106384,4.070071736350656e-05,64500
3,1,0.003000000026077,0.800000011920929,0.4924238324165344,5.331130523700267e-05,64500
3,2,0.003000000026077,0.800000011920929,0.5807961225509644,3.677108907140792e-05,64500
3,3,0.003000000026077,0.800000011920929,0.5652707815170288,4.030341006000526e-05,64500
3,4,0.003000000026077,0.800000011920929,0.5392578840255737,4.0036466089077294e-05,64500
4,0,0.0010000000474974,0.800000011920929,0.4939612746238708,4.487631667871028e-05,64500
4,1,0.003000000026077,0.4000000059604645,0.486635684967041,5.391924059949815e-05,64500
4,2,0.0049999998882412,0.800000011920929,0.5834196209907532,3.654096508398652e-05,64500
4,3,0.0049999998882412,0.800000011920929,0.5850341320037842,3.847117113764398e-05,64500
4,4,0.003000000026077,0.4000000059604645,0.5169594287872314,4.197410453343764e-05,64500
5,0,0.0049999998882412,0.800000011920929,0.217866837978363,6.936080899322405e-05,64500
5,1,0.003000000026077,0.800000011920929,0.515306830406189,5.090787817607634e-05,64500
5,2,0.003000000026077,0.800000011920929,0.5139483213424683,4.2634746932890266e-05,64500
5,3,0.003000000026077,0.800000011920929,0.5849421620368958,3.8479694921988994e-05,64500
5,4,0.003000000026077,0.4000000059604645,0.5470420122146606,3.936005305149593e-05,64500
6,0,9.999999747378752e-05,0.800000011920929,0.5076069831848145,4.366619032225572e-05,64500
6,1,9.999999747378752e-05,0.800000011920929,0.5010652542114258,5.24036877322942e-05,64500
6,2,9.999999747378752e-05,0.800000011920929,0.5454193353652954,3.987421951023862e-05,64500
6,3,0.003000000026077,0.800000011920929,0.5900975465774536,3.800174090429209e-05,64500
6,4,0.0049999998882412,0.800000011920929,0.5079530477523804,4.275672108633444e-05,64500
7,0,0.0003000000142492,0.800000011920929,0.5934399366378784,3.605438905651681e-05,64500
7,1,0.0010000000474974,0.800000011920929,0.4167550206184387,6.125888467067853e-05,64500
7,2,9.999999747378752e-05,0.800000011920929,0.5129032135009766,4.272642036085017e-05,64500
7,3,0.003000000026077,0.800000011920929,0.5829849243164062,3.866115002892912e-05,64500
7,4,0.0010000000474974,0.800000011920929,0.5196105241775513,4.174372952547856e-05,64500
8,0,0.0003000000142492,0.800000011920929,0.604414701461792,3.5081131500191987e-05,64500
8,1,0.0010000000474974,0.800000011920929,0.5294026136398315,4.942737723467872e-05,64500
8,2,0.0049999998882412,0.4000000059604645,0.541969895362854,4.017679384560324e-05,64500
8,3,9.999999747378752e-05,0.800000011920929,0.5891422033309937,3.8090314774308354e-05,64500
8,4,9.999999747378752e-05,0.800000011920929,0.570578932762146,3.7314803194021806e-05,64500
9,0,0.0003000000142492354,0.800000011920929,0.6141950488090515,3.421379369683564e-05,64500
9,1,0.0010000000474974513,0.800000011920929,0.5303910970687866,4.932356023346074e-05,64500
9,2,0.004999999888241291,0.4000000059604645,0.5401490926742554,4.0336504753213376e-05,64500
9,3,9.999999747378752e-05,0.800000011920929,0.5964272022247314,3.741492037079297e-05,64500
9,4,0.0003000000142492354,0.800000011920929,0.570664644241333,3.730735625140369e-05,64500
10,0,0.003000000026077032,0.800000011920929,0.5763858556747437,3.7566773244179785e-05,64500
