layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0010000000474974,0.1000000014901161,0.2374875098466873,3.1949402909958735e-05,64500
0,1,0.0010000000474974,0.1000000014901161,0.2040404379367828,3.798825855483301e-05,64500
0,2,0.003000000026077,0.1000000014901161,0.2241494357585907,3.223385283490643e-05,64500
0,3,9.999999747378752e-05,0.1000000014901161,0.2229493111371994,3.367402678122744e-05,64500
0,4,0.0049999998882412,0.1000000014901161,0.2128160744905471,3.200624996679835e-05,64500
1,0,0.003000000026077,0.4000000059604645,0.4494674801826477,2.3067577785695903e-05,64500
1,1,0.0010000000474974,0.4000000059604645,0.4046595692634582,2.8413671316229735e-05,64500
1,2,0.0049999998882412,0.4000000059604645,0.4517748355865478,2.2776894184062257e-05,64500
1,3,0.003000000026077,0.4000000059604645,0.4442624747753143,2.408349064353388e-05,64500
1,4,0.003000000026077,0.4000000059604645,0.4261254668235779,2.3333339413511567e-05,64500
2,0,0.0003000000142492,0.800000011920929,0.464230477809906,2.2449026801041327e-05,64500
2,1,0.003000000026077,0.800000011920929,0.4130119383335113,2.801499613269698e-05,64500
2,2,0.0010000000474974,0.800000011920929,0.4679288566112518,2.2105754396761768e-05,64500
2,3,9.999999747378752e-05,0.800000011920929,0.4622107446193695,2.3305643480853178e-05,64500
2,4,0.0010000000474974,0.800000011920929,0.4350025057792663,2.297230821568519e-05,64500
3,0,9.999999747378752e-05,0.800000011920929,0.4790294468402862,2.1828860553796403e-05,64500
3,1,9.999999747378752e-05,0.800000011920929,0.4253244996070862,2.742731521720998e-05,64500
3,2,0.0049999998882412,0.800000011920929,0.4813045561313629,2.155004585802089e-05,64500
3,3,0.0010000000474974,0.800000011920929,0.4780086576938629,2.2621125026489608e-05,64500
3,4,0.0049999998882412,0.800000011920929,0.4548558592796325,2.216527354903519e-05,64500
4,0,0.003000000026077,0.800000011920929,0.5045393109321594,2.076005512208212e-05,64500
4,1,0.0010000000474974,0.800000011920929,0.4522566497325897,2.6142011847696267e-05,64500
4,2,0.003000000026077,0.800000011920929,0.50666344165802,2.049653085123282e-05,64500
4,3,0.003000000026077,0.800000011920929,0.4978616237640381,2.176071211579256e-05,64500
4,4,0.0049999998882412,0.800000011920929,0.4778749644756317,2.122923433489632e-05,64500
5,0,0.0003000000142492,0.800000011920929,0.5111331343650818,2.04837469937047e-05,64500
5,1,0.0003000000142492,0.4000000059604645,0.4600882828235626,2.576801307441201e-05,64500
5,2,0.0049999998882412,0.800000011920929,0.5149238705635071,2.0153322111582384e-05,64500
5,3,0.0049999998882412,0.800000011920929,0.5025259256362915,2.155854417651426e-05,64500
5,4,9.999999747378752e-05,0.800000011920929,0.4823383390903473,2.104775921907276e-05,64500
6,0,0.0049999998882412,0.800000011920929,0.5222967863082886,2.0016001144540496e-05,64500
6,1,0.0003000000142492,0.4000000059604645,0.4670511186122894,2.5435787392780185e-05,64500
6,2,0.0049999998882412,0.800000011920929,0.527023196220398,1.965061892406084e-05,64500
6,3,0.003000000026077,0.800000011920929,0.5132431387901306,2.1094228941365145e-05,64500
6,4,0.0049999998882412,0.4000000059604645,0.4980840682983398,2.0407593183335848e-05,64500
7,0,0.003000000026077,0.4000000059604645,0.5282154083251953,1.976793646463193e-05,64500
