bin,layer,target,r2_mean,r2_std,n_episodes_in_bin,n_windows_in_bin,q33,q67
low,0,ee_velocity,0.2633496642112732,0.012629262420603303,660,184800,2.007038,3.5427930000000005
low,0,ee_acceleration,0.048338479548692706,0.004230630486035581,660,184800,2.007038,3.5427930000000005
low,0,contact_flag,0.4273917555809021,0.018195310720419734,660,184800,2.007038,3.5427930000000005
low,0,contact_force_log1p_mag,0.30863734483718874,0.01915659356538616,660,184800,2.007038,3.5427930000000005
low,1,ee_velocity,0.3562604248523712,0.007596507991163816,660,184800,2.007038,3.5427930000000005
low,1,ee_acceleration,0.11081897467374802,0.01875013290852688,660,184800,2.007038,3.5427930000000005
low,1,contact_flag,0.5555010795593261,0.018654331828578858,660,184800,2.007038,3.5427930000000005
low,1,contact_force_log1p_mag,0.4681928515434265,0.01815099667707857,660,184800,2.007038,3.5427930000000005
low,2,ee_velocity,0.4082083344459534,0.015440715619817167,660,184800,2.007038,3.5427930000000005
low,2,ee_acceleration,0.13712191581726074,0.03951164380885738,660,184800,2.007038,3.5427930000000005
low,2,contact_flag,0.5952034950256347,0.01666154173661703,660,184800,2.007038,3.5427930000000005
low,2,contact_force_log1p_mag,0.5321961998939514,0.013993148772187203,660,184800,2.007038,3.5427930000000005
low,3,ee_velocity,-2.7062746345996858,6.346433646233064,660,184800,2.007038,3.5427930000000005
low,3,ee_acceleration,-2.2310589224100115,4.878635815927387,660,184800,2.007038,3.5427930000000005
low,3,contact_flag,0.4933664441108704,0.2828744313192022,660,184800,2.007038,3.5427930000000005
low,3,contact_force_log1p_mag,0.20187194347381593,0.7881826954600243,660,184800,2.007038,3.5427930000000005
low,4,ee_velocity,0.4753736138343811,0.008724691866968845,660,184800,2.007038,3.5427930000000005
low,4,ee_acceleration,0.22210421562194824,0.015675426053351062,660,184800,2.007038,3.5427930000000005
low,4,contact_flag,0.6433805823326111,0.015550836475466361,660,184800,2.007038,3.5427930000000005
low,4,contact_force_log1p_mag,0.6033373713493347,0.01583928634737385,660,184800,2.007038,3.5427930000000005
low,5,ee_velocity,0.5265468120574951,0.006123692917772171,660,184800,2.007038,3.5427930000000005
low,5,ee_acceleration,0.267309233546257,0.02368299912401423,660,184800,2.007038,3.5427930000000005
low,5,contact_flag,0.688815712928772,0.013944416237746143,660,184800,2.007038,3.5427930000000005
low,5,contact_force_log1p_mag,0.674787414073944,0.010436356816432006,660,184800,2.007038,3.5427930000000005
low,6,ee_velocity,0.5564938068389893,0.008386306404324419,660,184800,2.007038,3.5427930000000005
low,6,ee_acceleration,0.29479638338088987,0.023160827165626167,660,184800,2.007038,3.5427930000000005
low,6,contact_flag,0.6988726377487182,0.016814236731827317,660,184800,2.007038,3.5427930000000005
low,6,contact_force_log1p_mag,0.6915791392326355,0.017855424331182243,660,184800,2.007038,3.5427930000000005
low,7,ee_velocity,0.5917026996612549,0.006767348725063061,660,184800,2.007038,3.5427930000000005
low,7,ee_acceleration,0.3181037366390228,0.012382545429274904,660,184800,2.007038,3.5427930000000005
low,7,contact_flag,0.72836754322052,0.0165716387359558,660,184800,2.007038,3.5427930000000005
low,7,contact_force_log1p_mag,0.7354560971260071,0.014764558026669986,660,184800,2.007038,3.5427930000000005
low,8,ee_velocity,0.5709743976593018,0.003898370227192585,660,184800,2.007038,3.5427930000000005
low,8,ee_acceleration,0.2964185059070587,0.016062465996571792,660,184800,2.007038,3.5427930000000005
low,8,contact_flag,0.7210575819015503,0.01573706625840688,660,184800,2.007038,3.5427930000000005
low,8,contact_force_log1p_mag,0.7299933314323426,0.012374825870506425,660,184800,2.007038,3.5427930000000005
