bin,layer,target,fold,r2,n_train_episodes,n_test_episodes,n_test_windows
low,0,ee_velocity,0,0.16638880968093872,655,164,21156
low,0,ee_velocity,1,0.16790121793746948,655,164,21156
low,0,ee_velocity,2,0.18642231822013855,655,164,21156
low,0,ee_velocity,3,0.1817343533039093,655,164,21156
low,0,ee_velocity,4,0.15136496722698212,656,163,21027
low,0,ee_acceleration,0,0.053271111100912094,655,164,21156
low,0,ee_acceleration,1,0.05787030607461929,655,164,21156
low,0,ee_acceleration,2,0.05538216605782509,655,164,21156
low,0,ee_acceleration,3,0.05588527023792267,655,164,21156
low,0,ee_acceleration,4,0.05607840418815613,656,163,21027
low,0,contact_flag,0,1.0,655,164,21156
low,0,contact_flag,1,1.0,655,164,21156
low,0,contact_flag,2,1.0,655,164,21156
low,0,contact_flag,3,1.0,655,164,21156
low,0,contact_flag,4,1.0,656,163,21027
low,0,contact_force_log1p_mag,0,0.25853389501571655,655,164,21156
low,0,contact_force_log1p_mag,1,0.22223436832427979,655,164,21156
low,0,contact_force_log1p_mag,2,0.25949162244796753,655,164,21156
low,0,contact_force_log1p_mag,3,0.1924493908882141,655,164,21156
low,0,contact_force_log1p_mag,4,0.2986781597137451,656,163,21027
low,1,ee_velocity,0,0.23540206253528595,655,164,21156
low,1,ee_velocity,1,0.24656353890895844,655,164,21156
low,1,ee_velocity,2,0.28674542903900146,655,164,21156
low,1,ee_velocity,3,0.2766492962837219,655,164,21156
low,1,ee_velocity,4,0.19999109208583832,656,163,21027
low,1,ee_acceleration,0,0.07957689464092255,655,164,21156
low,1,ee_acceleration,1,0.08273755013942719,655,164,21156
low,1,ee_acceleration,2,0.08408842235803604,655,164,21156
low,1,ee_acceleration,3,0.07992459088563919,655,164,21156
low,1,ee_acceleration,4,0.07928621768951416,656,163,21027
low,1,contact_flag,0,1.0,655,164,21156
low,1,contact_flag,1,1.0,655,164,21156
low,1,contact_flag,2,1.0,655,164,21156
low,1,contact_flag,3,1.0,655,164,21156
low,1,contact_flag,4,1.0,656,163,21027
low,1,contact_force_log1p_mag,0,0.375907838344574,655,164,21156
low,1,contact_force_log1p_mag,1,0.3508601188659668,655,164,21156
low,1,contact_force_log1p_mag,2,0.3669949173927307,655,164,21156
low,1,contact_force_log1p_mag,3,0.3337652087211609,655,164,21156
low,1,contact_force_log1p_mag,4,0.4075891375541687,656,163,21027
low,2,ee_velocity,0,0.27424222230911255,655,164,21156
low,2,ee_velocity,1,0.2785469591617584,655,164,21156
low,2,ee_velocity,2,0.30139845609664917,655,164,21156
low,2,ee_velocity,3,0.30763810873031616,655,164,21156
low,2,ee_velocity,4,0.23858584463596344,656,163,21027
low,2,ee_acceleration,0,0.10000037401914597,655,164,21156
low,2,ee_acceleration,1,0.1056704968214035,655,164,21156
low,2,ee_acceleration,2,0.10572762042284012,655,164,21156
low,2,ee_acceleration,3,0.10527161508798599,655,164,21156
low,2,ee_acceleration,4,0.10166072845458984,656,163,21027
low,2,contact_flag,0,1.0,655,164,21156
low,2,contact_flag,1,1.0,655,164,21156
low,2,contact_flag,2,1.0,655,164,21156
low,2,contact_flag,3,1.0,655,164,21156
low,2,contact_flag,4,1.0,656,163,21027
low,2,contact_force_log1p_mag,0,0.39168429374694824,655,164,21156
low,2,contact_force_log1p_mag,1,0.3636559844017029,655,164,21156
low,2,contact_force_log1p_mag,2,0.3749529719352722,655,164,21156
low,2,contact_force_log1p_mag,3,0.3387235403060913,655,164,21156
low,2,contact_force_log1p_mag,4,0.41385310888290405,656,163,21027
low,3,ee_velocity,0,0.49825650453567505,655,164,21156
low,3,ee_velocity,1,0.47570520639419556,655,164,21156
low,3,ee_velocity,2,0.4950464069843292,655,164,21156
low,3,ee_velocity,3,0.4869650602340698,655,164,21156
low,3,ee_velocity,4,0.4644002914428711,656,163,21027
low,3,ee_acceleration,0,0.16098438203334808,655,164,21156
low,3,ee_acceleration,1,0.18626150488853455,655,164,21156
low,3,ee_acceleration,2,0.18768912553787231,655,164,21156
low,3,ee_acceleration,3,0.1924121081829071,655,164,21156
low,3,ee_acceleration,4,0.1648576706647873,656,163,21027
low,3,contact_flag,0,1.0,655,164,21156
low,3,contact_flag,1,1.0,655,164,21156
low,3,contact_flag,2,1.0,655,164,21156
low,3,contact_flag,3,1.0,655,164,21156
low,3,contact_flag,4,1.0,656,163,21027
low,3,contact_force_log1p_mag,0,0.3961282968521118,655,164,21156
low,3,contact_force_log1p_mag,1,0.3683071732521057,655,164,21156
low,3,contact_force_log1p_mag,2,0.3930373787879944,655,164,21156
low,3,contact_force_log1p_mag,3,0.36039841175079346,655,164,21156
low,3,contact_force_log1p_mag,4,0.43009042739868164,656,163,21027
low,4,ee_velocity,0,0.5220461487770081,655,164,21156
low,4,ee_velocity,1,0.5194845795631409,655,164,21156
low,4,ee_velocity,2,0.5413137674331665,655,164,21156
low,4,ee_velocity,3,0.5325901508331299,655,164,21156
low,4,ee_velocity,4,0.511444091796875,656,163,21027
low,4,ee_acceleration,0,0.1739913523197174,655,164,21156
low,4,ee_acceleration,1,0.19081805646419525,655,164,21156
low,4,ee_acceleration,2,0.190455362200737,655,164,21156
low,4,ee_acceleration,3,0.18247386813163757,655,164,21156
low,4,ee_acceleration,4,0.16515615582466125,656,163,21027
low,4,contact_flag,0,1.0,655,164,21156
low,4,contact_flag,1,1.0,655,164,21156
low,4,contact_flag,2,1.0,655,164,21156
low,4,contact_flag,3,1.0,655,164,21156
low,4,contact_flag,4,1.0,656,163,21027
low,4,contact_force_log1p_mag,0,0.38873863220214844,655,164,21156
low,4,contact_force_log1p_mag,1,0.37550824880599976,655,164,21156
low,4,contact_force_log1p_mag,2,0.3929674029350281,655,164,21156
low,4,contact_force_log1p_mag,3,0.3690452575683594,655,164,21156
low,4,contact_force_log1p_mag,4,0.43251001834869385,656,163,21027
low,5,ee_velocity,0,0.5998094081878662,655,164,21156
low,5,ee_velocity,1,0.5808220505714417,655,164,21156
low,5,ee_velocity,2,0.6042556762695312,655,164,21156
low,5,ee_velocity,3,0.5854241847991943,655,164,21156
low,5,ee_velocity,4,0.5807449221611023,656,163,21027
low,5,ee_acceleration,0,0.21340703964233398,655,164,21156
low,5,ee_acceleration,1,0.2202862650156021,655,164,21156
low,5,ee_acceleration,2,0.22491879761219025,655,164,21156
low,5,ee_acceleration,3,0.22824569046497345,655,164,21156
low,5,ee_acceleration,4,0.2076701521873474,656,163,21027
low,5,contact_flag,0,1.0,655,164,21156
low,5,contact_flag,1,1.0,655,164,21156
low,5,contact_flag,2,1.0,655,164,21156
low,5,contact_flag,3,1.0,655,164,21156
low,5,contact_flag,4,1.0,656,163,21027
low,5,contact_force_log1p_mag,0,0.401564359664917,655,164,21156
low,5,contact_force_log1p_mag,1,0.37157148122787476,655,164,21156
low,5,contact_force_log1p_mag,2,0.4052979350090027,655,164,21156
low,5,contact_force_log1p_mag,3,0.3723691701889038,655,164,21156
low,5,contact_force_log1p_mag,4,0.4301990866661072,656,163,21027
low,6,ee_velocity,0,0.6338506937026978,655,164,21156
low,6,ee_velocity,1,0.6251831650733948,655,164,21156
low,6,ee_velocity,2,0.6500537395477295,655,164,21156
low,6,ee_velocity,3,0.6287218332290649,655,164,21156
low,6,ee_velocity,4,0.6233969330787659,656,163,21027
low,6,ee_acceleration,0,0.24302078783512115,655,164,21156
low,6,ee_acceleration,1,0.2559003233909607,655,164,21156
low,6,ee_acceleration,2,0.25307828187942505,655,164,21156
low,6,ee_acceleration,3,0.2682114541530609,655,164,21156
low,6,ee_acceleration,4,0.23813018202781677,656,163,21027
low,6,contact_flag,0,1.0,655,164,21156
low,6,contact_flag,1,1.0,655,164,21156
low,6,contact_flag,2,1.0,655,164,21156
low,6,contact_flag,3,1.0,655,164,21156
low,6,contact_flag,4,1.0,656,163,21027
low,6,contact_force_log1p_mag,0,0.4150775671005249,655,164,21156
low,6,contact_force_log1p_mag,1,0.3753817081451416,655,164,21156
low,6,contact_force_log1p_mag,2,0.41061586141586304,655,164,21156
low,6,contact_force_log1p_mag,3,0.37497037649154663,655,164,21156
low,6,contact_force_log1p_mag,4,0.4363781809806824,656,163,21027
low,7,ee_velocity,0,0.6892228722572327,655,164,21156
low,7,ee_velocity,1,0.6855505704879761,655,164,21156
low,7,ee_velocity,2,0.7112022042274475,655,164,21156
low,7,ee_velocity,3,0.689719021320343,655,164,21156
low,7,ee_velocity,4,0.6858893632888794,656,163,21027
low,7,ee_acceleration,0,0.25159332156181335,655,164,21156
low,7,ee_acceleration,1,0.2620578408241272,655,164,21156
low,7,ee_acceleration,2,0.26219668984413147,655,164,21156
low,7,ee_acceleration,3,0.2778362035751343,655,164,21156
low,7,ee_acceleration,4,0.24409981071949005,656,163,21027
low,7,contact_flag,0,1.0,655,164,21156
low,7,contact_flag,1,1.0,655,164,21156
low,7,contact_flag,2,1.0,655,164,21156
low,7,contact_flag,3,1.0,655,164,21156
low,7,contact_flag,4,1.0,656,163,21027
low,7,contact_force_log1p_mag,0,0.4191659688949585,655,164,21156
low,7,contact_force_log1p_mag,1,0.38670092821121216,655,164,21156
low,7,contact_force_log1p_mag,2,0.41083991527557373,655,164,21156
low,7,contact_force_log1p_mag,3,0.38332080841064453,655,164,21156
low,7,contact_force_log1p_mag,4,0.4443477392196655,656,163,21027
low,8,ee_velocity,0,0.6787627935409546,655,164,21156
low,8,ee_velocity,1,0.6694706082344055,655,164,21156
low,8,ee_velocity,2,0.6943626403808594,655,164,21156
low,8,ee_velocity,3,0.6839218735694885,655,164,21156
low,8,ee_velocity,4,0.6763783097267151,656,163,21027
low,8,ee_acceleration,0,0.25332972407341003,655,164,21156
low,8,ee_acceleration,1,0.27019351720809937,655,164,21156
low,8,ee_acceleration,2,0.2681717276573181,655,164,21156
low,8,ee_acceleration,3,0.27769848704338074,655,164,21156
low,8,ee_acceleration,4,0.25324416160583496,656,163,21027
low,8,contact_flag,0,1.0,655,164,21156
low,8,contact_flag,1,1.0,655,164,21156
low,8,contact_flag,2,1.0,655,164,21156
low,8,contact_flag,3,1.0,655,164,21156
low,8,contact_flag,4,1.0,656,163,21027
low,8,contact_force_log1p_mag,0,0.4332267642021179,655,164,21156
low,8,contact_force_log1p_mag,1,0.3918197751045227,655,164,21156
low,8,contact_force_log1p_mag,2,0.41294580698013306,655,164,21156
low,8,contact_force_log1p_mag,3,0.39617347717285156,655,164,21156
low,8,contact_force_log1p_mag,4,0.4526491165161133,656,163,21027
low,9,ee_velocity,0,0.6895939111709595,655,164,21156
low,9,ee_velocity,1,0.676341712474823,655,164,21156
low,9,ee_velocity,2,0.7030612230300903,655,164,21156
low,9,ee_velocity,3,0.690544068813324,655,164,21156
low,9,ee_velocity,4,0.684651255607605,656,163,21027
low,9,ee_acceleration,0,0.2790202498435974,655,164,21156
low,9,ee_acceleration,1,0.28937798738479614,655,164,21156
low,9,ee_acceleration,2,0.29396164417266846,655,164,21156
low,9,ee_acceleration,3,0.28689509630203247,655,164,21156
low,9,ee_acceleration,4,0.2699904143810272,656,163,21027
low,9,contact_flag,0,1.0,655,164,21156
low,9,contact_flag,1,1.0,655,164,21156
low,9,contact_flag,2,1.0,655,164,21156
low,9,contact_flag,3,1.0,655,164,21156
low,9,contact_flag,4,1.0,656,163,21027
low,9,contact_force_log1p_mag,0,0.43012088537216187,655,164,21156
low,9,contact_force_log1p_mag,1,0.4192735552787781,655,164,21156
low,9,contact_force_log1p_mag,2,0.4233112931251526,655,164,21156
low,9,contact_force_log1p_mag,3,0.41096025705337524,655,164,21156
low,9,contact_force_log1p_mag,4,0.4704447388648987,656,163,21027
low,10,ee_velocity,0,0.7026631832122803,655,164,21156
low,10,ee_velocity,1,0.6874200701713562,655,164,21156
low,10,ee_velocity,2,0.7117025256156921,655,164,21156
low,10,ee_velocity,3,0.7037084698677063,655,164,21156
low,10,ee_velocity,4,0.6939850449562073,656,163,21027
low,10,ee_acceleration,0,0.2802092730998993,655,164,21156
low,10,ee_acceleration,1,0.29266461730003357,655,164,21156
low,10,ee_acceleration,2,0.3038504719734192,655,164,21156
low,10,ee_acceleration,3,0.28944286704063416,655,164,21156
low,10,ee_acceleration,4,0.28283748030662537,656,163,21027
low,10,contact_flag,0,1.0,655,164,21156
low,10,contact_flag,1,1.0,655,164,21156
low,10,contact_flag,2,1.0,655,164,21156
low,10,contact_flag,3,1.0,655,164,21156
low,10,contact_flag,4,1.0,656,163,21027
low,10,contact_force_log1p_mag,0,0.44299012422561646,655,164,21156
low,10,contact_force_log1p_mag,1,0.41813361644744873,655,164,21156
low,10,contact_force_log1p_mag,2,0.4292425513267517,655,164,21156
low,10,contact_force_log1p_mag,3,0.42409783601760864,655,164,21156
low,10,contact_force_log1p_mag,4,0.4739406108856201,656,163,21027
low,11,ee_velocity,0,0.7079517841339111,655,164,21156
low,11,ee_velocity,1,0.6948050856590271,655,164,21156
low,11,ee_velocity,2,0.7226021885871887,655,164,21156
low,11,ee_velocity,3,0.7078656554222107,655,164,21156
low,11,ee_velocity,4,0.7020598649978638,656,163,21027
low,11,ee_acceleration,0,0.28461354970932007,655,164,21156
low,11,ee_acceleration,1,0.3015734851360321,655,164,21156
low,11,ee_acceleration,2,0.30216991901397705,655,164,21156
low,11,ee_acceleration,3,0.2953247129917145,655,164,21156
low,11,ee_acceleration,4,0.28516578674316406,656,163,21027
low,11,contact_flag,0,1.0,655,164,21156
low,11,contact_flag,1,1.0,655,164,21156
low,11,contact_flag,2,1.0,655,164,21156
low,11,contact_flag,3,1.0,655,164,21156
