bin,layer,target,fold,r2,n_train_episodes,n_test_episodes,n_test_windows
low,0,ee_velocity,0,0.17918969690799713,656,164,21156
low,0,ee_velocity,1,0.18677948415279388,656,164,21156
low,0,ee_velocity,2,0.16451029479503632,656,164,21156
low,0,ee_velocity,3,0.1624961942434311,656,164,21156
low,0,ee_velocity,4,0.16628572344779968,656,164,21156
low,0,ee_acceleration,0,0.05842610076069832,656,164,21156
low,0,ee_acceleration,1,0.05559000372886658,656,164,21156
low,0,ee_acceleration,2,0.0574658028781414,656,164,21156
low,0,ee_acceleration,3,0.05666277930140495,656,164,21156
low,0,ee_acceleration,4,0.05708979070186615,656,164,21156
low,0,contact_flag,0,1.0,656,164,21156
low,0,contact_flag,1,1.0,656,164,21156
low,0,contact_flag,2,1.0,656,164,21156
low,0,contact_flag,3,1.0,656,164,21156
low,0,contact_flag,4,1.0,656,164,21156
low,0,contact_force_log1p_mag,0,0.23248624801635742,656,164,21156
low,0,contact_force_log1p_mag,1,0.2710413932800293,656,164,21156
low,0,contact_force_log1p_mag,2,0.22576838731765747,656,164,21156
low,0,contact_force_log1p_mag,3,0.23083466291427612,656,164,21156
low,0,contact_force_log1p_mag,4,0.2965114116668701,656,164,21156
low,1,ee_velocity,0,0.2851211726665497,656,164,21156
low,1,ee_velocity,1,0.27212628722190857,656,164,21156
low,1,ee_velocity,2,0.2696886360645294,656,164,21156
low,1,ee_velocity,3,0.25537919998168945,656,164,21156
low,1,ee_velocity,4,0.2260458916425705,656,164,21156
low,1,ee_acceleration,0,0.08657771348953247,656,164,21156
low,1,ee_acceleration,1,0.08318982273340225,656,164,21156
low,1,ee_acceleration,2,0.08444799482822418,656,164,21156
low,1,ee_acceleration,3,0.076029472053051,656,164,21156
low,1,ee_acceleration,4,0.07975535839796066,656,164,21156
low,1,contact_flag,0,1.0,656,164,21156
low,1,contact_flag,1,1.0,656,164,21156
low,1,contact_flag,2,1.0,656,164,21156
low,1,contact_flag,3,1.0,656,164,21156
low,1,contact_flag,4,1.0,656,164,21156
low,1,contact_force_log1p_mag,0,0.355998158454895,656,164,21156
low,1,contact_force_log1p_mag,1,0.3846561908721924,656,164,21156
low,1,contact_force_log1p_mag,2,0.3775343894958496,656,164,21156
low,1,contact_force_log1p_mag,3,0.34656405448913574,656,164,21156
low,1,contact_force_log1p_mag,4,0.3632870316505432,656,164,21156
low,2,ee_velocity,0,0.2996046841144562,656,164,21156
low,2,ee_velocity,1,0.3183436393737793,656,164,21156
low,2,ee_velocity,2,0.2831445038318634,656,164,21156
low,2,ee_velocity,3,0.29490354657173157,656,164,21156
low,2,ee_velocity,4,0.2481677532196045,656,164,21156
low,2,ee_acceleration,0,0.11001358926296234,656,164,21156
