bin,layer,target,r2_mean,r2_std,n_episodes_in_bin,n_windows_in_bin,q33,q67
low,0,ee_velocity,0.38557709455490113,0.021640268081551096,559,125836,0.2491,0.658
low,0,ee_acceleration,0.04227064698934555,0.002520464604989151,559,125836,0.2491,0.658
low,0,contact_flag,0.348032283782959,0.01659410014143819,559,125836,0.2491,0.658
low,0,contact_force_log1p_mag,0.33240593671798707,0.029081760091270198,559,125836,0.2491,0.658
low,1,ee_velocity,0.7879423260688782,0.013265827372149068,559,125836,0.2491,0.658
low,1,ee_acceleration,0.07455500960350037,0.008955533158355618,559,125836,0.2491,0.658
low,1,contact_flag,0.5105718612670899,0.027521894878813263,559,125836,0.2491,0.658
low,1,contact_force_log1p_mag,0.5080859780311584,0.033577031455115584,559,125836,0.2491,0.658
low,2,ee_velocity,0.8152218818664551,0.012206932846677142,559,125836,0.2491,0.658
low,2,ee_acceleration,0.09448973834514618,0.007927584988749166,559,125836,0.2491,0.658
low,2,contact_flag,0.5356841802597045,0.02948220546670459,559,125836,0.2491,0.658
low,2,contact_force_log1p_mag,0.5306127429008484,0.038033208760472295,559,125836,0.2491,0.658
low,3,ee_velocity,0.8449565529823303,0.004083446674807359,559,125836,0.2491,0.658
low,3,ee_acceleration,0.10879770815372466,0.0073224720784292145,559,125836,0.2491,0.658
low,3,contact_flag,0.5577205777168274,0.027378242103648552,559,125836,0.2491,0.658
low,3,contact_force_log1p_mag,0.540977144241333,0.02812869818333882,559,125836,0.2491,0.658
low,4,ee_velocity,0.8662361264228821,0.004447377826405908,559,125836,0.2491,0.658
low,4,ee_acceleration,0.11969729363918305,0.00772935291136563,559,125836,0.2491,0.658
low,4,contact_flag,0.5851106405258178,0.030594207603455995,559,125836,0.2491,0.658
low,4,contact_force_log1p_mag,0.5648147821426391,0.02959885474051177,559,125836,0.2491,0.658
low,5,ee_velocity,0.8876812934875489,0.0034102999197510087,559,125836,0.2491,0.658
low,5,ee_acceleration,0.13657033145427705,0.006710259999781685,559,125836,0.2491,0.658
low,5,contact_flag,0.5788697004318237,0.03206484242644015,559,125836,0.2491,0.658
low,5,contact_force_log1p_mag,0.5623380184173584,0.030138714145058455,559,125836,0.2491,0.658
low,6,ee_velocity,0.9033293724060059,0.0022002404031341303,559,125836,0.2491,0.658
