bin,layer,target,fold,r2,n_train_episodes,n_test_episodes,n_test_windows
low,0,ee_velocity,0,0.36314284801483154,447,112,25183
low,0,ee_velocity,1,0.36304906010627747,447,112,25170
low,0,ee_velocity,2,0.4050391912460327,447,112,25182
low,0,ee_velocity,3,0.3806241452693939,447,112,25181
low,0,ee_velocity,4,0.41603022813796997,448,111,25120
low,0,ee_acceleration,0,0.039523646235466,447,112,25183
low,0,ee_acceleration,1,0.04101131483912468,447,112,25170
low,0,ee_acceleration,2,0.04680188372731209,447,112,25182
low,0,ee_acceleration,3,0.04101776331663132,447,112,25181
low,0,ee_acceleration,4,0.042998626828193665,448,111,25120
low,0,contact_flag,0,0.3517841100692749,447,112,25183
low,0,contact_flag,1,0.37554508447647095,447,112,25170
low,0,contact_flag,2,0.32699865102767944,447,112,25182
low,0,contact_flag,3,0.3503679633140564,447,112,25181
low,0,contact_flag,4,0.33546561002731323,448,111,25120
low,0,contact_force_log1p_mag,0,0.31767702102661133,447,112,25183
low,0,contact_force_log1p_mag,1,0.3867878317832947,447,112,25170
low,0,contact_force_log1p_mag,2,0.30047136545181274,447,112,25182
low,0,contact_force_log1p_mag,3,0.3269961476325989,447,112,25181
low,0,contact_force_log1p_mag,4,0.3300973176956177,448,111,25120
low,1,ee_velocity,0,0.7772468328475952,447,112,25183
low,1,ee_velocity,1,0.767329752445221,447,112,25170
low,1,ee_velocity,2,0.8010460734367371,447,112,25182
low,1,ee_velocity,3,0.7983157634735107,447,112,25181
low,1,ee_velocity,4,0.7957732081413269,448,111,25120
low,1,ee_acceleration,0,0.06421233713626862,447,112,25183
low,1,ee_acceleration,1,0.06530436128377914,447,112,25170
low,1,ee_acceleration,2,0.08839358389377594,447,112,25182
low,1,ee_acceleration,3,0.07787837088108063,447,112,25181
low,1,ee_acceleration,4,0.0769863948225975,448,111,25120
low,1,contact_flag,0,0.49237877130508423,447,112,25183
low,1,contact_flag,1,0.5165888071060181,447,112,25170
low,1,contact_flag,2,0.5123509168624878,447,112,25182
low,1,contact_flag,3,0.556775689125061,447,112,25181
low,1,contact_flag,4,0.4747651219367981,448,111,25120
low,1,contact_force_log1p_mag,0,0.47836363315582275,447,112,25183
low,1,contact_force_log1p_mag,1,0.5418107509613037,447,112,25170
low,1,contact_force_log1p_mag,2,0.4988842010498047,447,112,25182
low,1,contact_force_log1p_mag,3,0.5526267886161804,447,112,25181
low,1,contact_force_log1p_mag,4,0.46874451637268066,448,111,25120
low,2,ee_velocity,0,0.8147431015968323,447,112,25183
low,2,ee_velocity,1,0.7917495965957642,447,112,25170
low,2,ee_velocity,2,0.8235809206962585,447,112,25182
low,2,ee_velocity,3,0.821913480758667,447,112,25181
low,2,ee_velocity,4,0.8241223096847534,448,111,25120
low,2,ee_acceleration,0,0.09529547393321991,447,112,25183
low,2,ee_acceleration,1,0.0816696286201477,447,112,25170
low,2,ee_acceleration,2,0.1060558557510376,447,112,25182
low,2,ee_acceleration,3,0.09194321185350418,447,112,25181
low,2,ee_acceleration,4,0.0974845215678215,448,111,25120
low,2,contact_flag,0,0.5330474376678467,447,112,25183
low,2,contact_flag,1,0.5348825454711914,447,112,25170
low,2,contact_flag,2,0.5211601257324219,447,112,25182
low,2,contact_flag,3,0.589197039604187,447,112,25181
low,2,contact_flag,4,0.500133752822876,448,111,25120
low,2,contact_force_log1p_mag,0,0.507305920124054,447,112,25183
low,2,contact_force_log1p_mag,1,0.5651180744171143,447,112,25170
low,2,contact_force_log1p_mag,2,0.5018734335899353,447,112,25182
low,2,contact_force_log1p_mag,3,0.5869174003601074,447,112,25181
low,2,contact_force_log1p_mag,4,0.491848886013031,448,111,25120
low,3,ee_velocity,0,0.8443703651428223,447,112,25183
low,3,ee_velocity,1,0.8382900953292847,447,112,25170
low,3,ee_velocity,2,0.8502411246299744,447,112,25182
low,3,ee_velocity,3,0.8438520431518555,447,112,25181
low,3,ee_velocity,4,0.8480291366577148,448,111,25120
low,3,ee_acceleration,0,0.10655581951141357,447,112,25183
low,3,ee_acceleration,1,0.0967470109462738,447,112,25170
low,3,ee_acceleration,2,0.11882602423429489,447,112,25182
low,3,ee_acceleration,3,0.10890641808509827,447,112,25181
low,3,ee_acceleration,4,0.11295326799154282,448,111,25120
low,3,contact_flag,0,0.5916360020637512,447,112,25183
low,3,contact_flag,1,0.5374476313591003,447,112,25170
low,3,contact_flag,2,0.5504862070083618,447,112,25182
low,3,contact_flag,3,0.5870259404182434,447,112,25181
low,3,contact_flag,4,0.5220071077346802,448,111,25120
low,3,contact_force_log1p_mag,0,0.5670963525772095,447,112,25183
low,3,contact_force_log1p_mag,1,0.5443073511123657,447,112,25170
low,3,contact_force_log1p_mag,2,0.5133629441261292,447,112,25182
low,3,contact_force_log1p_mag,3,0.5754048824310303,447,112,25181
low,3,contact_force_log1p_mag,4,0.5047141909599304,448,111,25120
low,4,ee_velocity,0,0.8668015003204346,447,112,25183
low,4,ee_velocity,1,0.8612155914306641,447,112,25170
low,4,ee_velocity,2,0.8722449541091919,447,112,25182
low,4,ee_velocity,3,0.8612132668495178,447,112,25181
low,4,ee_velocity,4,0.869705319404602,448,111,25120
low,4,ee_acceleration,0,0.12352995574474335,447,112,25183
low,4,ee_acceleration,1,0.10722699761390686,447,112,25170
low,4,ee_acceleration,2,0.12960398197174072,447,112,25182
low,4,ee_acceleration,3,0.11521769315004349,447,112,25181
low,4,ee_acceleration,4,0.1229078397154808,448,111,25120
low,4,contact_flag,0,0.6012921333312988,447,112,25183
low,4,contact_flag,1,0.5738742351531982,447,112,25170
low,4,contact_flag,2,0.6045751571655273,447,112,25182
low,4,contact_flag,3,0.6154214143753052,447,112,25181
low,4,contact_flag,4,0.5303902626037598,448,111,25120
low,4,contact_force_log1p_mag,0,0.5689981579780579,447,112,25183
low,4,contact_force_log1p_mag,1,0.5762754678726196,447,112,25170
low,4,contact_force_log1p_mag,2,0.5672733187675476,447,112,25182
low,4,contact_force_log1p_mag,3,0.6008285284042358,447,112,25181
low,4,contact_force_log1p_mag,4,0.5106984376907349,448,111,25120
low,5,ee_velocity,0,0.8873414397239685,447,112,25183
low,5,ee_velocity,1,0.8819580674171448,447,112,25170
low,5,ee_velocity,2,0.8922958970069885,447,112,25182
low,5,ee_velocity,3,0.8871938586235046,447,112,25181
low,5,ee_velocity,4,0.8896172046661377,448,111,25120
low,5,ee_acceleration,0,0.13428229093551636,447,112,25183
low,5,ee_acceleration,1,0.12640933692455292,447,112,25170
low,5,ee_acceleration,2,0.1460980772972107,447,112,25182
low,5,ee_acceleration,3,0.13474372029304504,447,112,25181
low,5,ee_acceleration,4,0.14131823182106018,448,111,25120
low,5,contact_flag,0,0.5892921686172485,447,112,25183
low,5,contact_flag,1,0.5783177018165588,447,112,25170
low,5,contact_flag,2,0.5993396043777466,447,112,25182
low,5,contact_flag,3,0.6092656850814819,447,112,25181
low,5,contact_flag,4,0.5181333422660828,448,111,25120
low,5,contact_force_log1p_mag,0,0.5608924627304077,447,112,25183
low,5,contact_force_log1p_mag,1,0.5808347463607788,447,112,25170
low,5,contact_force_log1p_mag,2,0.5783668756484985,447,112,25182
low,5,contact_force_log1p_mag,3,0.586989164352417,447,112,25181
low,5,contact_force_log1p_mag,4,0.5046068429946899,448,111,25120
low,6,ee_velocity,0,0.9028205871582031,447,112,25183
low,6,ee_velocity,1,0.8994669318199158,447,112,25170
low,6,ee_velocity,2,0.9056702852249146,447,112,25182
low,6,ee_velocity,3,0.9052067995071411,447,112,25181
low,6,ee_velocity,4,0.9034822583198547,448,111,25120
low,6,ee_acceleration,0,0.15110135078430176,447,112,25183
low,6,ee_acceleration,1,0.14094074070453644,447,112,25170
