bin,layer,target,r2_mean,r2_std,n_episodes_in_bin,n_windows_in_bin,q33,q67
low,0,ee_velocity,0.35036836862564086,0.03148053196110929,496,111573,0.6953,1.353432
low,0,ee_acceleration,0.03565388880670071,0.005992964751470957,496,111573,0.6953,1.353432
low,0,contact_flag,0.3135899186134338,0.024671342965596837,496,111573,0.6953,1.353432
low,0,contact_force_log1p_mag,0.2163530707359314,0.04407639319995992,496,111573,0.6953,1.353432
low,1,ee_velocity,0.7638452887535095,0.012969208905156963,496,111573,0.6953,1.353432
low,1,ee_acceleration,0.06430342718958855,0.00823154673804184,496,111573,0.6953,1.353432
low,1,contact_flag,0.4245561361312866,0.06378715206839493,496,111573,0.6953,1.353432
low,1,contact_force_log1p_mag,0.3652757048606873,0.13735450177887493,496,111573,0.6953,1.353432
low,2,ee_velocity,0.7951196312904358,0.0076308612733645715,496,111573,0.6953,1.353432
low,2,ee_acceleration,0.08140085637569427,0.008187453121552208,496,111573,0.6953,1.353432
low,2,contact_flag,0.4723255395889282,0.07115016806982533,496,111573,0.6953,1.353432
low,2,contact_force_log1p_mag,0.4320309042930603,0.13916937681662866,496,111573,0.6953,1.353432
low,3,ee_velocity,0.8250047087669372,0.009722556802511958,496,111573,0.6953,1.353432
low,3,ee_acceleration,0.09318146854639053,0.013028404488354036,496,111573,0.6953,1.353432
low,3,contact_flag,0.4807546377182007,0.04794074082425992,496,111573,0.6953,1.353432
low,3,contact_force_log1p_mag,0.43921991586685183,0.11064953514543709,496,111573,0.6953,1.353432
low,4,ee_velocity,0.8499672651290894,0.007636394418871259,496,111573,0.6953,1.353432
low,4,ee_acceleration,0.10826810002326966,0.010952181366433228,496,111573,0.6953,1.353432
low,4,contact_flag,0.5157722353935241,0.049791409737486775,496,111573,0.6953,1.353432
low,4,contact_force_log1p_mag,0.4652159333229065,0.1131958236263391,496,111573,0.6953,1.353432
low,5,ee_velocity,0.8752586722373963,0.00882086778961477,496,111573,0.6953,1.353432
low,5,ee_acceleration,0.12569266855716704,0.010422559087350007,496,111573,0.6953,1.353432
low,5,contact_flag,0.5309340000152588,0.04909959067776429,496,111573,0.6953,1.353432
low,5,contact_force_log1p_mag,0.49536733627319335,0.11812228888206178,496,111573,0.6953,1.353432
low,6,ee_velocity,0.8918929934501648,0.004732397304242621,496,111573,0.6953,1.353432
low,6,ee_acceleration,0.13841300159692765,0.010528385093924932,496,111573,0.6953,1.353432
low,6,contact_flag,0.56487478017807,0.04095426647598787,496,111573,0.6953,1.353432
low,6,contact_force_log1p_mag,0.5501821637153625,0.07767374477155195,496,111573,0.6953,1.353432
low,7,ee_velocity,0.903929841518402,0.004678660065829056,496,111573,0.6953,1.353432
low,7,ee_acceleration,0.1589523047208786,0.008954751686023922,496,111573,0.6953,1.353432
low,7,contact_flag,0.56868656873703,0.037537079275908915,496,111573,0.6953,1.353432
low,7,contact_force_log1p_mag,0.55202556848526,0.08058474553353578,496,111573,0.6953,1.353432
low,8,ee_velocity,0.9014796614646912,0.005664674109742933,496,111573,0.6953,1.353432
low,8,ee_acceleration,0.16041752099990844,0.009580312120272773,496,111573,0.6953,1.353432
low,8,contact_flag,0.5851694822311402,0.040210951716179076,496,111573,0.6953,1.353432
low,8,contact_force_log1p_mag,0.5851949691772461,0.07736154021169048,496,111573,0.6953,1.353432
low,9,ee_velocity,0.9031747579574585,0.003928334780037371,496,111573,0.6953,1.353432
low,9,ee_acceleration,0.16243035793304444,0.011034766638646361,496,111573,0.6953,1.353432
low,9,contact_flag,0.6071385622024537,0.0341239139526423,496,111573,0.6953,1.353432
low,9,contact_force_log1p_mag,0.6157108068466186,0.06760902086626192,496,111573,0.6953,1.353432
low,10,ee_velocity,0.9084006786346436,0.004446583378641121,496,111573,0.6953,1.353432
