bin,layer,target,fold,r2,n_train_episodes,n_test_episodes,n_test_windows
low,0,ee_velocity,0,0.3757195770740509,397,99,22330
low,0,ee_velocity,1,0.30544987320899963,397,99,22317
low,0,ee_velocity,2,0.36163127422332764,397,99,22329
low,0,ee_velocity,3,0.3871811628341675,397,99,22277
low,0,ee_velocity,4,0.3218599557876587,396,100,22320
low,0,ee_acceleration,0,0.043131351470947266,397,99,22330
low,0,ee_acceleration,1,0.025727292522788048,397,99,22317
low,0,ee_acceleration,2,0.03637341037392616,397,99,22329
low,0,ee_acceleration,3,0.03991831839084625,397,99,22277
low,0,ee_acceleration,4,0.033119071274995804,396,100,22320
low,0,contact_flag,0,0.3051665425300598,397,99,22330
low,0,contact_flag,1,0.3109007477760315,397,99,22317
low,0,contact_flag,2,0.3120840787887573,397,99,22329
low,0,contact_flag,3,0.28192996978759766,397,99,22277
low,0,contact_flag,4,0.3578682541847229,396,100,22320
low,0,contact_force_log1p_mag,0,0.23141396045684814,397,99,22330
low,0,contact_force_log1p_mag,1,0.1970120072364807,397,99,22317
low,0,contact_force_log1p_mag,2,0.24130767583847046,397,99,22329
low,0,contact_force_log1p_mag,3,0.14168745279312134,397,99,22277
low,0,contact_force_log1p_mag,4,0.27034425735473633,396,100,22320
low,1,ee_velocity,0,0.7738863825798035,397,99,22330
low,1,ee_velocity,1,0.7417060136795044,397,99,22317
low,1,ee_velocity,2,0.76508629322052,397,99,22329
low,1,ee_velocity,3,0.7790091633796692,397,99,22277
low,1,ee_velocity,4,0.7595385909080505,396,100,22320
low,1,ee_acceleration,0,0.07164914160966873,397,99,22330
low,1,ee_acceleration,1,0.057453177869319916,397,99,22317
low,1,ee_acceleration,2,0.05314938351511955,397,99,22329
low,1,ee_acceleration,3,0.07495676726102829,397,99,22277
low,1,ee_acceleration,4,0.06430866569280624,396,100,22320
low,1,contact_flag,0,0.4608815312385559,397,99,22330
low,1,contact_flag,1,0.4350481629371643,397,99,22317
low,1,contact_flag,2,0.48058444261550903,397,99,22329
low,1,contact_flag,3,0.3007226586341858,397,99,22277
low,1,contact_flag,4,0.44554388523101807,396,100,22320
low,1,contact_force_log1p_mag,0,0.4438364505767822,397,99,22330
low,1,contact_force_log1p_mag,1,0.38985520601272583,397,99,22317
low,1,contact_force_log1p_mag,2,0.5175999402999878,397,99,22329
low,1,contact_force_log1p_mag,3,0.1116037368774414,397,99,22277
low,1,contact_force_log1p_mag,4,0.363483190536499,396,100,22320
low,2,ee_velocity,0,0.8017057180404663,397,99,22330
low,2,ee_velocity,1,0.7810032963752747,397,99,22317
low,2,ee_velocity,2,0.7978994250297546,397,99,22329
low,2,ee_velocity,3,0.8013349175453186,397,99,22277
low,2,ee_velocity,4,0.7936547994613647,396,100,22320
low,2,ee_acceleration,0,0.0881877914071083,397,99,22330
low,2,ee_acceleration,1,0.06916025280952454,397,99,22317
low,2,ee_acceleration,2,0.07418330013751984,397,99,22329
low,2,ee_acceleration,3,0.08959442377090454,397,99,22277
low,2,ee_acceleration,4,0.08587851375341415,396,100,22320
low,2,contact_flag,0,0.5344552993774414,397,99,22330
low,2,contact_flag,1,0.49418550729751587,397,99,22317
low,2,contact_flag,2,0.51521897315979,397,99,22329
low,2,contact_flag,3,0.3344385027885437,397,99,22277
low,2,contact_flag,4,0.4833294153213501,396,100,22320
low,2,contact_force_log1p_mag,0,0.5388548970222473,397,99,22330
low,2,contact_force_log1p_mag,1,0.45652949810028076,397,99,22317
low,2,contact_force_log1p_mag,2,0.5700278282165527,397,99,22329
low,2,contact_force_log1p_mag,3,0.17588168382644653,397,99,22277
low,2,contact_force_log1p_mag,4,0.41886061429977417,396,100,22320
low,3,ee_velocity,0,0.8324763774871826,397,99,22330
low,3,ee_velocity,1,0.8075838685035706,397,99,22317
low,3,ee_velocity,2,0.8303537964820862,397,99,22329
low,3,ee_velocity,3,0.8333930969238281,397,99,22277
low,3,ee_velocity,4,0.8212164044380188,396,100,22320
low,3,ee_acceleration,0,0.10235276073217392,397,99,22330
low,3,ee_acceleration,1,0.0685400739312172,397,99,22317
low,3,ee_acceleration,2,0.09568479657173157,397,99,22329
low,3,ee_acceleration,3,0.1054549515247345,397,99,22277
low,3,ee_acceleration,4,0.09387475997209549,396,100,22320
low,3,contact_flag,0,0.5198283195495605,397,99,22330
low,3,contact_flag,1,0.45410019159317017,397,99,22317
low,3,contact_flag,2,0.5359739661216736,397,99,22329
low,3,contact_flag,3,0.40267646312713623,397,99,22277
low,3,contact_flag,4,0.4911942481994629,396,100,22320
low,3,contact_force_log1p_mag,0,0.5139739513397217,397,99,22330
low,3,contact_force_log1p_mag,1,0.40954458713531494,397,99,22317
low,3,contact_force_log1p_mag,2,0.583082914352417,397,99,22329
low,3,contact_force_log1p_mag,3,0.25474417209625244,397,99,22277
low,3,contact_force_log1p_mag,4,0.434753954410553,396,100,22320
low,4,ee_velocity,0,0.8570488095283508,397,99,22330
low,4,ee_velocity,1,0.8358426094055176,397,99,22317
low,4,ee_velocity,2,0.8556008338928223,397,99,22329
low,4,ee_velocity,3,0.8528153896331787,397,99,22277
low,4,ee_velocity,4,0.8485286831855774,396,100,22320
low,4,ee_acceleration,0,0.11805518716573715,397,99,22330
low,4,ee_acceleration,1,0.08885735273361206,397,99,22317
low,4,ee_acceleration,2,0.11093853414058685,397,99,22329
low,4,ee_acceleration,3,0.11866866797208786,397,99,22277
low,4,ee_acceleration,4,0.10482075810432434,396,100,22320
low,4,contact_flag,0,0.5596315264701843,397,99,22330
low,4,contact_flag,1,0.4898250699043274,397,99,22317
low,4,contact_flag,2,0.5667034387588501,397,99,22329
low,4,contact_flag,3,0.4321807622909546,397,99,22277
low,4,contact_flag,4,0.5305203795433044,396,100,22320
low,4,contact_force_log1p_mag,0,0.5520757436752319,397,99,22330
low,4,contact_force_log1p_mag,1,0.44640403985977173,397,99,22317
low,4,contact_force_log1p_mag,2,0.6009796857833862,397,99,22329
low,4,contact_force_log1p_mag,3,0.2712053656578064,397,99,22277
low,4,contact_force_log1p_mag,4,0.4554148316383362,396,100,22320
low,5,ee_velocity,0,0.8838372230529785,397,99,22330
low,5,ee_velocity,1,0.8583513498306274,397,99,22317
low,5,ee_velocity,2,0.8796249628067017,397,99,22329
low,5,ee_velocity,3,0.8760835528373718,397,99,22277
low,5,ee_velocity,4,0.8783962726593018,396,100,22320
low,5,ee_acceleration,0,0.13925223052501678,397,99,22330
low,5,ee_acceleration,1,0.10709995031356812,397,99,22317
low,5,ee_acceleration,2,0.12612847983837128,397,99,22329
low,5,ee_acceleration,3,0.12918299436569214,397,99,22277
low,5,ee_acceleration,4,0.12679968774318695,396,100,22320
low,5,contact_flag,0,0.5790066719055176,397,99,22330
low,5,contact_flag,1,0.5197714567184448,397,99,22317
low,5,contact_flag,2,0.5584090948104858,397,99,22329
low,5,contact_flag,3,0.44047194719314575,397,99,22277
low,5,contact_flag,4,0.5570108294487,396,100,22320
low,5,contact_force_log1p_mag,0,0.5941873788833618,397,99,22330
low,5,contact_force_log1p_mag,1,0.49572521448135376,397,99,22317
low,5,contact_force_log1p_mag,2,0.5923997163772583,397,99,22329
low,5,contact_force_log1p_mag,3,0.27209365367889404,397,99,22277
low,5,contact_force_log1p_mag,4,0.5224307179450989,396,100,22320
low,6,ee_velocity,0,0.8978718519210815,397,99,22330
low,6,ee_velocity,1,0.8835675120353699,397,99,22317
low,6,ee_velocity,2,0.8931266069412231,397,99,22329
low,6,ee_velocity,3,0.8939948678016663,397,99,22277
low,6,ee_velocity,4,0.8909041285514832,396,100,22320
low,6,ee_acceleration,0,0.15444901585578918,397,99,22330
low,6,ee_acceleration,1,0.12204670161008835,397,99,22317
low,6,ee_acceleration,2,0.13419321179389954,397,99,22329
low,6,ee_acceleration,3,0.1399577260017395,397,99,22277
low,6,ee_acceleration,4,0.14141835272312164,396,100,22320
low,6,contact_flag,0,0.6133803725242615,397,99,22330
low,6,contact_flag,1,0.5523678660392761,397,99,22317
low,6,contact_flag,2,0.5667982697486877,397,99,22329
low,6,contact_flag,3,0.49514806270599365,397,99,22277
low,6,contact_flag,4,0.5966793298721313,396,100,22320
low,6,contact_force_log1p_mag,0,0.6414637565612793,397,99,22330
low,6,contact_force_log1p_mag,1,0.5418039560317993,397,99,22317
low,6,contact_force_log1p_mag,2,0.5907843112945557,397,99,22329
low,6,contact_force_log1p_mag,3,0.4094098210334778,397,99,22277
