bin,layer,target,fold,r2,n_train_episodes,n_test_episodes,n_test_windows
low,0,ee_velocity,0,0.40713003277778625,401,99,22723
low,0,ee_velocity,1,0.40160059928894043,400,100,22720
low,0,ee_velocity,2,0.33516189455986023,399,101,22794
low,0,ee_velocity,3,0.43438372015953064,400,100,22722
low,0,ee_velocity,4,0.3227134943008423,400,100,22719
low,0,ee_acceleration,0,0.0452459380030632,401,99,22723
low,0,ee_acceleration,1,0.04490021988749504,400,100,22720
low,0,ee_acceleration,2,0.0376904271543026,399,101,22794
low,0,ee_acceleration,3,0.04776247963309288,400,100,22722
low,0,ee_acceleration,4,0.03187347948551178,400,100,22719
low,0,contact_flag,0,0.39856112003326416,401,99,22723
low,0,contact_flag,1,0.37545478343963623,400,100,22720
low,0,contact_flag,2,0.35638463497161865,399,101,22794
low,0,contact_flag,3,0.3516041040420532,400,100,22722
low,0,contact_flag,4,0.3820270299911499,400,100,22719
low,0,contact_force_log1p_mag,0,0.3748883008956909,401,99,22723
low,0,contact_force_log1p_mag,1,0.3606337308883667,400,100,22720
low,0,contact_force_log1p_mag,2,0.30636197328567505,399,101,22794
low,0,contact_force_log1p_mag,3,0.3311654329299927,400,100,22722
low,0,contact_force_log1p_mag,4,0.35433053970336914,400,100,22719
low,1,ee_velocity,0,0.7937086224555969,401,99,22723
low,1,ee_velocity,1,0.7869954109191895,400,100,22720
low,1,ee_velocity,2,0.7819388508796692,399,101,22794
low,1,ee_velocity,3,0.8028466105461121,400,100,22722
low,1,ee_velocity,4,0.7400299310684204,400,100,22719
low,1,ee_acceleration,0,0.07810879498720169,401,99,22723
low,1,ee_acceleration,1,0.08239685744047165,400,100,22720
low,1,ee_acceleration,2,0.0650332048535347,399,101,22794
low,1,ee_acceleration,3,0.09025345742702484,400,100,22722
low,1,ee_acceleration,4,0.05666027218103409,400,100,22719
low,1,contact_flag,0,0.5604455471038818,401,99,22723
low,1,contact_flag,1,0.5166683197021484,400,100,22720
low,1,contact_flag,2,0.5578075647354126,399,101,22794
low,1,contact_flag,3,0.5222829580307007,400,100,22722
low,1,contact_flag,4,0.5317112803459167,400,100,22719
low,1,contact_force_log1p_mag,0,0.5709450244903564,401,99,22723
low,1,contact_force_log1p_mag,1,0.5097667574882507,400,100,22720
low,1,contact_force_log1p_mag,2,0.5612404346466064,399,101,22794
low,1,contact_force_log1p_mag,3,0.5068323016166687,400,100,22722
