bin,layer,target,fold,r2,n_train_episodes,n_test_episodes,n_test_windows
low,0,ee_velocity,0,0.31940943002700806,426,106,24088
low,0,ee_velocity,1,0.46204933524131775,426,106,24086
low,0,ee_velocity,2,0.39458566904067993,426,106,24086
low,0,ee_velocity,3,0.4259544610977173,425,107,24119
low,0,ee_velocity,4,0.3833951950073242,425,107,24109
low,0,ee_acceleration,0,0.036267563700675964,426,106,24088
low,0,ee_acceleration,1,0.056932613253593445,426,106,24086
low,0,ee_acceleration,2,0.039683762937784195,426,106,24086
low,0,ee_acceleration,3,0.05176146328449249,425,107,24119
low,0,ee_acceleration,4,0.03711593523621559,425,107,24109
low,0,contact_flag,0,0.33942127227783203,426,106,24088
low,0,contact_flag,1,0.3665581941604614,426,106,24086
low,0,contact_flag,2,0.4284088611602783,426,106,24086
low,0,contact_flag,3,0.375152587890625,425,107,24119
low,0,contact_flag,4,0.3063834309577942,425,107,24109
low,0,contact_force_log1p_mag,0,0.31186163425445557,426,106,24088
low,0,contact_force_log1p_mag,1,0.35028964281082153,426,106,24086
low,0,contact_force_log1p_mag,2,0.43734997510910034,426,106,24086
low,0,contact_force_log1p_mag,3,0.31091684103012085,425,107,24119
low,0,contact_force_log1p_mag,4,0.2633281350135803,425,107,24109
low,1,ee_velocity,0,0.7809418439865112,426,106,24088
low,1,ee_velocity,1,0.8000025749206543,426,106,24086
low,1,ee_velocity,2,0.7806533575057983,426,106,24086
low,1,ee_velocity,3,0.8003132343292236,425,107,24119
low,1,ee_velocity,4,0.7785724997520447,425,107,24109
low,1,ee_acceleration,0,0.05845104530453682,426,106,24088
low,1,ee_acceleration,1,0.10165856033563614,426,106,24086
low,1,ee_acceleration,2,0.07151677459478378,426,106,24086
low,1,ee_acceleration,3,0.08971887826919556,425,107,24119
low,1,ee_acceleration,4,0.06341098248958588,425,107,24109
low,1,contact_flag,0,0.4901900291442871,426,106,24088
low,1,contact_flag,1,0.5537921190261841,426,106,24086
low,1,contact_flag,2,0.5999646186828613,426,106,24086
low,1,contact_flag,3,0.4886209964752197,425,107,24119
low,1,contact_flag,4,0.521484375,425,107,24109
low,1,contact_force_log1p_mag,0,0.5159788131713867,426,106,24088
low,1,contact_force_log1p_mag,1,0.5511490702629089,426,106,24086
low,1,contact_force_log1p_mag,2,0.6179261803627014,426,106,24086
low,1,contact_force_log1p_mag,3,0.44922202825546265,425,107,24119
low,1,contact_force_log1p_mag,4,0.5108023881912231,425,107,24109
low,2,ee_velocity,0,0.7934468984603882,426,106,24088
low,2,ee_velocity,1,0.8340190052986145,426,106,24086
low,2,ee_velocity,2,0.8180826306343079,426,106,24086
low,2,ee_velocity,3,0.8268616199493408,425,107,24119
low,2,ee_velocity,4,0.7999938726425171,425,107,24109
low,2,ee_acceleration,0,0.08151951432228088,426,106,24088
low,2,ee_acceleration,1,0.12350684404373169,426,106,24086
low,2,ee_acceleration,2,0.09643624722957611,426,106,24086
low,2,ee_acceleration,3,0.1076909601688385,425,107,24119
low,2,ee_acceleration,4,0.07744751870632172,425,107,24109
low,2,contact_flag,0,0.5341759324073792,426,106,24088
low,2,contact_flag,1,0.5828195810317993,426,106,24086
low,2,contact_flag,2,0.6191495656967163,426,106,24086
low,2,contact_flag,3,0.5259450674057007,425,107,24119
low,2,contact_flag,4,0.5325138568878174,425,107,24109
low,2,contact_force_log1p_mag,0,0.5331203937530518,426,106,24088
low,2,contact_force_log1p_mag,1,0.5591913461685181,426,106,24086
low,2,contact_force_log1p_mag,2,0.6222324967384338,426,106,24086
low,2,contact_force_log1p_mag,3,0.4694797396659851,425,107,24119
low,2,contact_force_log1p_mag,4,0.5086277723312378,425,107,24109
low,3,ee_velocity,0,0.8300431966781616,426,106,24088
low,3,ee_velocity,1,0.8605539798736572,426,106,24086
low,3,ee_velocity,2,0.8433939218521118,426,106,24086
low,3,ee_velocity,3,0.8490476012229919,425,107,24119
low,3,ee_velocity,4,0.8287878036499023,425,107,24109
low,3,ee_acceleration,0,0.09335509687662125,426,106,24088
low,3,ee_acceleration,1,0.1324307918548584,426,106,24086
low,3,ee_acceleration,2,0.10924576967954636,426,106,24086
low,3,ee_acceleration,3,0.12288537621498108,425,107,24119
low,3,ee_acceleration,4,0.09305666387081146,425,107,24109
low,3,contact_flag,0,0.5802790522575378,426,106,24088
low,3,contact_flag,1,0.5880576372146606,426,106,24086
low,3,contact_flag,2,0.635636031627655,426,106,24086
low,3,contact_flag,3,0.5301250219345093,425,107,24119
low,3,contact_flag,4,0.5745836496353149,425,107,24109
low,3,contact_force_log1p_mag,0,0.6084021329879761,426,106,24088
low,3,contact_force_log1p_mag,1,0.5722415447235107,426,106,24086
low,3,contact_force_log1p_mag,2,0.6376553177833557,426,106,24086
low,3,contact_force_log1p_mag,3,0.4866465926170349,425,107,24119
low,3,contact_force_log1p_mag,4,0.555665135383606,425,107,24109
low,4,ee_velocity,0,0.8593254089355469,426,106,24088
low,4,ee_velocity,1,0.8807373046875,426,106,24086
low,4,ee_velocity,2,0.8639549612998962,426,106,24086
low,4,ee_velocity,3,0.8743196725845337,425,107,24119
low,4,ee_velocity,4,0.8505885601043701,425,107,24109
low,4,ee_acceleration,0,0.10979714244604111,426,106,24088
low,4,ee_acceleration,1,0.14802472293376923,426,106,24086
low,4,ee_acceleration,2,0.12295297533273697,426,106,24086
low,4,ee_acceleration,3,0.13558287918567657,425,107,24119
low,4,ee_acceleration,4,0.10052204132080078,425,107,24109
low,4,contact_flag,0,0.6303690075874329,426,106,24088
low,4,contact_flag,1,0.6264219284057617,426,106,24086
low,4,contact_flag,2,0.6426451802253723,426,106,24086
low,4,contact_flag,3,0.5550435781478882,425,107,24119
low,4,contact_flag,4,0.5883724689483643,425,107,24109
low,4,contact_force_log1p_mag,0,0.624907374382019,426,106,24088
low,4,contact_force_log1p_mag,1,0.618126630783081,426,106,24086
low,4,contact_force_log1p_mag,2,0.6348645687103271,426,106,24086
low,4,contact_force_log1p_mag,3,0.4827577471733093,425,107,24119
low,4,contact_force_log1p_mag,4,0.5454109907150269,425,107,24109
low,5,ee_velocity,0,0.8788996934890747,426,106,24088
low,5,ee_velocity,1,0.8982480764389038,426,106,24086
low,5,ee_velocity,2,0.8891891837120056,426,106,24086
low,5,ee_velocity,3,0.8930333256721497,425,107,24119
low,5,ee_velocity,4,0.8639612793922424,425,107,24109
low,5,ee_acceleration,0,0.12434575706720352,426,106,24088
low,5,ee_acceleration,1,0.165471151471138,426,106,24086
low,5,ee_acceleration,2,0.1410813182592392,426,106,24086
low,5,ee_acceleration,3,0.15084423124790192,425,107,24119
low,5,ee_acceleration,4,0.11308115720748901,425,107,24109
low,5,contact_flag,0,0.5942420959472656,426,106,24088
low,5,contact_flag,1,0.6134220361709595,426,106,24086
low,5,contact_flag,2,0.6510989665985107,426,106,24086
low,5,contact_flag,3,0.5564737915992737,425,107,24119
low,5,contact_flag,4,0.587553858757019,425,107,24109
low,5,contact_force_log1p_mag,0,0.6131392121315002,426,106,24088
low,5,contact_force_log1p_mag,1,0.6182571649551392,426,106,24086
low,5,contact_force_log1p_mag,2,0.6503145098686218,426,106,24086
low,5,contact_force_log1p_mag,3,0.4853280186653137,425,107,24119
low,5,contact_force_log1p_mag,4,0.5540758371353149,425,107,24109
low,6,ee_velocity,0,0.8972700238227844,426,106,24088
low,6,ee_velocity,1,0.9135205149650574,426,106,24086
low,6,ee_velocity,2,0.9041124582290649,426,106,24086
low,6,ee_velocity,3,0.9102188944816589,425,107,24119
