bin,layer,target,r2_mean,r2_std,n_episodes_in_bin,n_windows_in_bin,q33,q67
low,0,ee_velocity,0.5194103956222534,0.014929362568313965,1112,198064,0.2431,0.7942
low,0,ee_acceleration,0.1205277219414711,0.005325169190427451,1112,198064,0.2431,0.7942
low,0,contact_flag,0.17849990129470825,0.03721359807576863,1112,198064,0.2431,0.7942
low,0,contact_force_log1p_mag,0.12650854587554933,0.04904760255675239,1112,198064,0.2431,0.7942
low,1,ee_velocity,0.808281397819519,0.0026016230743017483,1112,198064,0.2431,0.7942
low,1,ee_acceleration,0.20918400287628175,0.01100408015761598,1112,198064,0.2431,0.7942
low,1,contact_flag,0.3875973105430603,0.04424214059663227,1112,198064,0.2431,0.7942
low,1,contact_force_log1p_mag,0.4211390256881714,0.05282289259275034,1112,198064,0.2431,0.7942
low,2,ee_velocity,0.8361434817314148,0.0034921039837724735,1112,198064,0.2431,0.7942
low,2,ee_acceleration,0.23263078629970552,0.010567722603653028,1112,198064,0.2431,0.7942
low,2,contact_flag,0.422704291343689,0.04725403002621692,1112,198064,0.2431,0.7942
low,2,contact_force_log1p_mag,0.46728678941726687,0.06375560683039763,1112,198064,0.2431,0.7942
low,3,ee_velocity,0.8523756742477417,0.003721766659048518,1112,198064,0.2431,0.7942
low,3,ee_acceleration,0.27536153197288515,0.009552743249605495,1112,198064,0.2431,0.7942
low,3,contact_flag,0.4585434556007385,0.05119333692478808,1112,198064,0.2431,0.7942
low,3,contact_force_log1p_mag,0.4844707489013672,0.07093522083644584,1112,198064,0.2431,0.7942
low,4,ee_velocity,0.8638699769973754,0.002728883346731437,1112,198064,0.2431,0.7942
low,4,ee_acceleration,0.2884742558002472,0.009715478486956364,1112,198064,0.2431,0.7942
low,4,contact_flag,0.4661292672157288,0.05323286985015648,1112,198064,0.2431,0.7942
low,4,contact_force_log1p_mag,0.48420915603637693,0.07740137899461474,1112,198064,0.2431,0.7942
low,5,ee_velocity,0.8935988783836365,0.0028940193975759776,1112,198064,0.2431,0.7942
low,5,ee_acceleration,0.3141739428043365,0.010564686556556136,1112,198064,0.2431,0.7942
low,5,contact_flag,0.48967560529708865,0.04684911212813565,1112,198064,0.2431,0.7942
low,5,contact_force_log1p_mag,0.499920117855072,0.07019272919737653,1112,198064,0.2431,0.7942
low,6,ee_velocity,0.9071691989898681,0.00151879546417665,1112,198064,0.2431,0.7942
low,6,ee_acceleration,0.33912532925605776,0.011116806617778722,1112,198064,0.2431,0.7942
low,6,contact_flag,0.5174834847450256,0.04900164886364207,1112,198064,0.2431,0.7942
low,6,contact_force_log1p_mag,0.5234289288520813,0.07063692932641351,1112,198064,0.2431,0.7942
low,7,ee_velocity,0.9178220987319946,0.001547860424901321,1112,198064,0.2431,0.7942
low,7,ee_acceleration,0.36581680178642273,0.011397820309993638,1112,198064,0.2431,0.7942
low,7,contact_flag,0.5296503901481628,0.049318050710173374,1112,198064,0.2431,0.7942
low,7,contact_force_log1p_mag,0.5324299216270447,0.07227568134289958,1112,198064,0.2431,0.7942
low,8,ee_velocity,0.9118745803833008,0.0019047605794248,1112,198064,0.2431,0.7942
