bin,layer,target,r2_mean,r2_std,n_episodes_in_bin,n_windows_in_bin,q33,q67
low,0,ee_velocity,0.4696331262588501,0.002690454848471467,1150,205095,0.3488,0.4668
low,0,ee_acceleration,0.10896898508071899,0.004614283637849794,1150,205095,0.3488,0.4668
low,0,contact_flag,0.4484414577484131,0.038948573464847196,1150,205095,0.3488,0.4668
low,0,contact_force_log1p_mag,0.4214464783668518,0.04323859153934349,1150,205095,0.3488,0.4668
low,1,ee_velocity,0.7831909894943238,0.007318332503036125,1150,205095,0.3488,0.4668
low,1,ee_acceleration,0.18403237760066987,0.009302923042225693,1150,205095,0.3488,0.4668
low,1,contact_flag,0.6438240528106689,0.03132559440595091,1150,205095,0.3488,0.4668
low,1,contact_force_log1p_mag,0.6497700214385986,0.037200598458206044,1150,205095,0.3488,0.4668
low,2,ee_velocity,0.8180394887924194,0.005408229657990582,1150,205095,0.3488,0.4668
low,2,ee_acceleration,0.20577341616153716,0.009292100866911826,1150,205095,0.3488,0.4668
low,2,contact_flag,0.6869196414947509,0.02416202926461437,1150,205095,0.3488,0.4668
low,2,contact_force_log1p_mag,0.69101984500885,0.030531241722503898,1150,205095,0.3488,0.4668
low,3,ee_velocity,0.8378143310546875,0.004988255611713353,1150,205095,0.3488,0.4668
low,3,ee_acceleration,0.2452653557062149,0.008434290555523274,1150,205095,0.3488,0.4668
low,3,contact_flag,0.7028607964515686,0.027554701467033933,1150,205095,0.3488,0.4668
low,3,contact_force_log1p_mag,0.7025052547454834,0.03233217871104448,1150,205095,0.3488,0.4668
low,4,ee_velocity,0.8520288228988647,0.004934413761792795,1150,205095,0.3488,0.4668
low,4,ee_acceleration,0.2662529170513153,0.010100789007878332,1150,205095,0.3488,0.4668
low,4,contact_flag,0.7175108790397644,0.024742736506405412,1150,205095,0.3488,0.4668
low,4,contact_force_log1p_mag,0.7148970484733581,0.03345853842525943,1150,205095,0.3488,0.4668
low,5,ee_velocity,0.883923614025116,0.003587168624951879,1150,205095,0.3488,0.4668
low,5,ee_acceleration,0.2885162949562073,0.011150391224602147,1150,205095,0.3488,0.4668
low,5,contact_flag,0.7445436000823975,0.025606842534644944,1150,205095,0.3488,0.4668
low,5,contact_force_log1p_mag,0.7451866507530213,0.030889137752547594,1150,205095,0.3488,0.4668
low,6,ee_velocity,0.9004619479179382,0.0032950238502229613,1150,205095,0.3488,0.4668
low,6,ee_acceleration,0.3141575872898102,0.011013814217949594,1150,205095,0.3488,0.4668
low,6,contact_flag,0.7673985123634338,0.022829439786150905,1150,205095,0.3488,0.4668
low,6,contact_force_log1p_mag,0.7668790817260742,0.028493268757463927,1150,205095,0.3488,0.4668
low,7,ee_velocity,0.9111261487007141,0.0020736117308813398,1150,205095,0.3488,0.4668
low,7,ee_acceleration,0.3410000741481781,0.009268646744435689,1150,205095,0.3488,0.4668
low,7,contact_flag,0.7782620668411255,0.020973793884599055,1150,205095,0.3488,0.4668
low,7,contact_force_log1p_mag,0.7765089273452759,0.024230333577453286,1150,205095,0.3488,0.4668
low,8,ee_velocity,0.9064966082572937,0.003412061189097144,1150,205095,0.3488,0.4668
low,8,ee_acceleration,0.33493612408638,0.010842438849840146,1150,205095,0.3488,0.4668
low,8,contact_flag,0.7825771927833557,0.019822322385210134,1150,205095,0.3488,0.4668
low,8,contact_force_log1p_mag,0.785305118560791,0.02112408293078432,1150,205095,0.3488,0.4668
low,9,ee_velocity,0.9080284118652344,0.0025209297992457346,1150,205095,0.3488,0.4668
low,9,ee_acceleration,0.34468607902526854,0.012306728601803442,1150,205095,0.3488,0.4668
low,9,contact_flag,0.7940417051315307,0.020034488148589637,1150,205095,0.3488,0.4668
low,9,contact_force_log1p_mag,0.7980855345726013,0.023154692474788748,1150,205095,0.3488,0.4668
low,10,ee_velocity,0.9150210499763489,0.002545149410558339,1150,205095,0.3488,0.4668
low,10,ee_acceleration,0.36271395683288576,0.01070031615783336,1150,205095,0.3488,0.4668
low,10,contact_flag,0.8011275649070739,0.01904653473425644,1150,205095,0.3488,0.4668
low,10,contact_force_log1p_mag,0.8029746651649475,0.021187506429190435,1150,205095,0.3488,0.4668
low,11,ee_velocity,0.9177085041999817,0.0024562798663170637,1150,205095,0.3488,0.4668
low,11,ee_acceleration,0.3641422033309937,0.009935976456621878,1150,205095,0.3488,0.4668
low,11,contact_flag,0.8011472344398498,0.01991369102815767,1150,205095,0.3488,0.4668
low,11,contact_force_log1p_mag,0.8002749681472778,0.02278459596664163,1150,205095,0.3488,0.4668
low,12,ee_velocity,0.9182268977165222,0.0028922529669555266,1150,205095,0.3488,0.4668
low,12,ee_acceleration,0.3780255138874054,0.010123711382924417,1150,205095,0.3488,0.4668
low,12,contact_flag,0.8120413899421692,0.020495034410352626,1150,205095,0.3488,0.4668
low,12,contact_force_log1p_mag,0.8164202332496643,0.02327500251999191,1150,205095,0.3488,0.4668
low,13,ee_velocity,0.9283611059188843,0.002483481402317996,1150,205095,0.3488,0.4668
low,13,ee_acceleration,0.41570414900779723,0.011827069251046894,1150,205095,0.3488,0.4668
low,13,contact_flag,0.8214796304702758,0.020035932517890185,1150,205095,0.3488,0.4668
low,13,contact_force_log1p_mag,0.823037052154541,0.023820407649319603,1150,205095,0.3488,0.4668
low,14,ee_velocity,0.9294617652893067,0.0027353007828911924,1150,205095,0.3488,0.4668
low,14,ee_acceleration,0.4249550461769104,0.0093576572282138,1150,205095,0.3488,0.4668
low,14,contact_flag,0.8255362629890441,0.02166129836168423,1150,205095,0.3488,0.4668
low,14,contact_force_log1p_mag,0.8269503951072693,0.023614200107033974,1150,205095,0.3488,0.4668
low,15,ee_velocity,0.9399748206138611,0.002509266752826371,1150,205095,0.3488,0.4668
low,15,ee_acceleration,0.459375387430191,0.009974518275202479,1150,205095,0.3488,0.4668
low,15,contact_flag,0.8309675216674804,0.020496906123147727,1150,205095,0.3488,0.4668
low,15,contact_force_log1p_mag,0.8312862396240235,0.02344916266715332,1150,205095,0.3488,0.4668
low,16,ee_velocity,0.9506876587867736,0.0022401125952094753,1150,205095,0.3488,0.4668
low,16,ee_acceleration,0.4903820753097534,0.011147616618482943,1150,205095,0.3488,0.4668
low,16,contact_flag,0.8406903147697449,0.01936398669514115,1150,205095,0.3488,0.4668
low,16,contact_force_log1p_mag,0.8375922918319703,0.022916722340108685,1150,205095,0.3488,0.4668
low,17,ee_velocity,0.954849636554718,0.002183104453264145,1150,205095,0.3488,0.4668
low,17,ee_acceleration,0.496004319190979,0.012523082198998064,1150,205095,0.3488,0.4668
low,17,contact_flag,0.8444605708122254,0.018306794564503463,1150,205095,0.3488,0.4668
low,17,contact_force_log1p_mag,0.8412661552429199,0.021852491917396667,1150,205095,0.3488,0.4668
low,18,ee_velocity,0.9579606413841247,0.0022789383953040377,1150,205095,0.3488,0.4668
low,18,ee_acceleration,0.4954353868961334,0.012843492215110362,1150,205095,0.3488,0.4668
low,18,contact_flag,0.8460334539413452,0.017648745660952904,1150,205095,0.3488,0.4668
low,18,contact_force_log1p_mag,0.8443651914596557,0.019468046608351525,1150,205095,0.3488,0.4668
low,19,ee_velocity,0.9586646676063537,0.0019557007983598885,1150,205095,0.3488,0.4668
low,19,ee_acceleration,0.492984813451767,0.012454918093348978,1150,205095,0.3488,0.4668
low,19,contact_flag,0.8477497458457947,0.017142513805004745,1150,205095,0.3488,0.4668
low,19,contact_force_log1p_mag,0.8483441829681396,0.019914551758952573,1150,205095,0.3488,0.4668
low,20,ee_velocity,0.960039484500885,0.0021766390508090538,1150,205095,0.3488,0.4668
low,20,ee_acceleration,0.4808117687702179,0.010399175307699128,1150,205095,0.3488,0.4668
low,20,contact_flag,0.8467371463775635,0.016638090909283903,1150,205095,0.3488,0.4668
low,20,contact_force_log1p_mag,0.8472275018692017,0.01990820497899481,1150,205095,0.3488,0.4668
low,21,ee_velocity,0.960787558555603,0.002000667302709592,1150,205095,0.3488,0.4668
low,21,ee_acceleration,0.4730404317378998,0.010869701384707803,1150,205095,0.3488,0.4668
low,21,contact_flag,0.8500627636909485,0.016394372043138712,1150,205095,0.3488,0.4668
low,21,contact_force_log1p_mag,0.8521109819412231,0.019100491902307386,1150,205095,0.3488,0.4668
low,22,ee_velocity,0.9639564752578735,0.001602740628446082,1150,205095,0.3488,0.4668
low,22,ee_acceleration,0.47676647901535035,0.010881771302335365,1150,205095,0.3488,0.4668
low,22,contact_flag,0.8485944628715515,0.017499211688776294,1150,205095,0.3488,0.4668
low,22,contact_force_log1p_mag,0.8515159249305725,0.019102610228278263,1150,205095,0.3488,0.4668
low,23,ee_velocity,0.9635767579078675,0.001935929303313551,1150,205095,0.3488,0.4668
low,23,ee_acceleration,0.47299754023551943,0.011070741410138203,1150,205095,0.3488,0.4668
low,23,contact_flag,0.8474303960800171,0.018764617794398593,1150,205095,0.3488,0.4668
low,23,contact_force_log1p_mag,0.850089681148529,0.020920754455944577,1150,205095,0.3488,0.4668
med,0,ee_velocity,0.4735145032405853,0.026408734558944536,867,154903,0.3488,0.4668
med,0,ee_acceleration,0.1102315828204155,0.0082214454155229,867,154903,0.3488,0.4668
med,0,contact_flag,0.24867042303085327,0.05631429801582502,867,154903,0.3488,0.4668
med,0,contact_force_log1p_mag,0.21454336643218994,0.07248573774543413,867,154903,0.3488,0.4668
med,1,ee_velocity,0.7939640045166015,0.00440848001993811,867,154903,0.3488,0.4668
med,1,ee_acceleration,0.19220203161239624,0.011395642559796018,867,154903,0.3488,0.4668
med,1,contact_flag,0.5030256628990173,0.05678394267871673,867,154903,0.3488,0.4668
med,1,contact_force_log1p_mag,0.531819486618042,0.07638567114299397,867,154903,0.3488,0.4668
med,2,ee_velocity,0.8135053277015686,0.014768958014451048,867,154903,0.3488,0.4668
med,2,ee_acceleration,0.19939134418964385,0.0296154115867418,867,154903,0.3488,0.4668
med,2,contact_flag,0.5383159637451171,0.05715867887138804,867,154903,0.3488,0.4668
med,2,contact_force_log1p_mag,0.5652620673179627,0.07533211982846569,867,154903,0.3488,0.4668
med,3,ee_velocity,0.8441784977912903,0.0023002670046088514,867,154903,0.3488,0.4668
med,3,ee_acceleration,0.25856025218963624,0.01595710305433009,867,154903,0.3488,0.4668
med,3,contact_flag,0.5752557396888733,0.06216466279160376,867,154903,0.3488,0.4668
med,3,contact_force_log1p_mag,0.5983868479728699,0.07957996368588076,867,154903,0.3488,0.4668
med,4,ee_velocity,0.8547703742980957,0.002103649215640467,867,154903,0.3488,0.4668
med,4,ee_acceleration,0.26099802255630494,0.015356355002779596,867,154903,0.3488,0.4668
med,4,contact_flag,0.5715780615806579,0.06231158289077449,867,154903,0.3488,0.4668
med,4,contact_force_log1p_mag,0.5933234333992005,0.08093830563099731,867,154903,0.3488,0.4668
med,5,ee_velocity,0.883454966545105,0.0025657378497861757,867,154903,0.3488,0.4668
med,5,ee_acceleration,0.2950157165527344,0.014272376776909084,867,154903,0.3488,0.4668
med,5,contact_flag,0.5991991758346558,0.06067087649530334,867,154903,0.3488,0.4668
med,5,contact_force_log1p_mag,0.6170091152191162,0.0743058754434546,867,154903,0.3488,0.4668
med,6,ee_velocity,0.9005046248435974,0.0026320041817074888,867,154903,0.3488,0.4668
med,6,ee_acceleration,0.3206230282783508,0.01760872875060945,867,154903,0.3488,0.4668
med,6,contact_flag,0.6220363855361939,0.061100151493296534,867,154903,0.3488,0.4668
med,6,contact_force_log1p_mag,0.6367293477058411,0.07922043494253665,867,154903,0.3488,0.4668
med,7,ee_velocity,0.9118972778320312,0.0020664934757156275,867,154903,0.3488,0.4668
med,7,ee_acceleration,0.3488193929195404,0.018223833814166746,867,154903,0.3488,0.4668
med,7,contact_flag,0.6357545137405396,0.04892893511343331,867,154903,0.3488,0.4668
med,7,contact_force_log1p_mag,0.6474871635437012,0.06963845791960134,867,154903,0.3488,0.4668
med,8,ee_velocity,0.9047978162765503,0.0019963819761307944,867,154903,0.3488,0.4668
med,8,ee_acceleration,0.34459762573242186,0.015431550872917017,867,154903,0.3488,0.4668
med,8,contact_flag,0.6377862334251404,0.04867532010082841,867,154903,0.3488,0.4668
med,8,contact_force_log1p_mag,0.6586897969245911,0.06420964276191865,867,154903,0.3488,0.4668
med,9,ee_velocity,0.9066755414009094,0.0018118448773193272,867,154903,0.3488,0.4668
med,9,ee_acceleration,0.3510620355606079,0.017051611767605276,867,154903,0.3488,0.4668
med,9,contact_flag,0.6500122785568238,0.04768435344658052,867,154903,0.3488,0.4668
med,9,contact_force_log1p_mag,0.6737435221672058,0.06226318557593118,867,154903,0.3488,0.4668
med,10,ee_velocity,0.9137010931968689,0.0026277442239946358,867,154903,0.3488,0.4668
med,10,ee_acceleration,0.36870349049568174,0.01702013736265766,867,154903,0.3488,0.4668
med,10,contact_flag,0.6598822712898255,0.04134634322662027,867,154903,0.3488,0.4668
med,10,contact_force_log1p_mag,0.686374306678772,0.054393570500694835,867,154903,0.3488,0.4668
med,11,ee_velocity,0.9156707763671875,0.0020707839626864545,867,154903,0.3488,0.4668
med,11,ee_acceleration,0.3689023435115814,0.015110039416378004,867,154903,0.3488,0.4668
med,11,contact_flag,0.6579918980598449,0.044270621199380446,867,154903,0.3488,0.4668
med,11,contact_force_log1p_mag,0.6841856837272644,0.05750020328309971,867,154903,0.3488,0.4668
med,12,ee_velocity,0.9151305913925171,0.0024714821602744874,867,154903,0.3488,0.4668
med,12,ee_acceleration,0.382040411233902,0.015677282690099853,867,154903,0.3488,0.4668
med,12,contact_flag,0.6747454524040222,0.03943832695823553,867,154903,0.3488,0.4668
med,12,contact_force_log1p_mag,0.7044232010841369,0.053611277264086384,867,154903,0.3488,0.4668
med,13,ee_velocity,0.9247918963432312,0.0027000051182840316,867,154903,0.3488,0.4668
med,13,ee_acceleration,0.41947958469390867,0.019910199610030783,867,154903,0.3488,0.4668
med,13,contact_flag,0.6888161063194275,0.03956003347099921,867,154903,0.3488,0.4668
med,13,contact_force_log1p_mag,0.7134616494178772,0.05256555226459807,867,154903,0.3488,0.4668
med,14,ee_velocity,0.9266642212867737,0.003089963461692606,867,154903,0.3488,0.4668
med,14,ee_acceleration,0.4258950173854828,0.01734592025677049,867,154903,0.3488,0.4668
med,14,contact_flag,0.6951589226722718,0.037944501857440686,867,154903,0.3488,0.4668
med,14,contact_force_log1p_mag,0.7206103086471558,0.04939584767018744,867,154903,0.3488,0.4668
med,15,ee_velocity,0.9373046159744263,0.0031179549500101643,867,154903,0.3488,0.4668
med,15,ee_acceleration,0.4616073668003082,0.017081104486894618,867,154903,0.3488,0.4668
med,15,contact_flag,0.7045356035232544,0.039906707465339315,867,154903,0.3488,0.4668
med,15,contact_force_log1p_mag,0.7316529750823975,0.0532224520288843,867,154903,0.3488,0.4668
med,16,ee_velocity,0.9477428913116455,0.002382732358838571,867,154903,0.3488,0.4668
med,16,ee_acceleration,0.4895712673664093,0.018108862650847973,867,154903,0.3488,0.4668
med,16,contact_flag,0.718587327003479,0.039733171689810276,867,154903,0.3488,0.4668
med,16,contact_force_log1p_mag,0.7394681930541992,0.05430884059098784,867,154903,0.3488,0.4668
med,17,ee_velocity,0.95245361328125,0.002366506838426564,867,154903,0.3488,0.4668
med,17,ee_acceleration,0.49648557305336,0.01686377552126138,867,154903,0.3488,0.4668
med,17,contact_flag,0.7282351732254029,0.039677986375195276,867,154903,0.3488,0.4668
med,17,contact_force_log1p_mag,0.7532097220420837,0.05160544679661066,867,154903,0.3488,0.4668
med,18,ee_velocity,0.9554654717445373,0.0024612230769347904,867,154903,0.3488,0.4668
med,18,ee_acceleration,0.494925731420517,0.01712551664172223,867,154903,0.3488,0.4668
med,18,contact_flag,0.730392324924469,0.03819470700637596,867,154903,0.3488,0.4668
med,18,contact_force_log1p_mag,0.7595768213272095,0.05011756481542587,867,154903,0.3488,0.4668
med,19,ee_velocity,0.9565160870552063,0.001834195815390782,867,154903,0.3488,0.4668
med,19,ee_acceleration,0.4944071114063263,0.018242843994775843,867,154903,0.3488,0.4668
