bin,layer,target,fold,r2,n_train_episodes,n_test_episodes,n_test_windows
low,0,ee_velocity,0,0.5624244809150696,911,226,40578
low,0,ee_velocity,1,0.5675889253616333,909,228,40583
low,0,ee_velocity,2,0.5739505887031555,909,228,40590
low,0,ee_velocity,3,0.5719943642616272,909,228,40588
low,0,ee_velocity,4,0.5788353681564331,910,227,40580
low,0,ee_acceleration,0,0.14014729857444763,911,226,40578
low,0,ee_acceleration,1,0.14147944748401642,909,228,40583
low,0,ee_acceleration,2,0.1340245008468628,909,228,40590
low,0,ee_acceleration,3,0.13956230878829956,909,228,40588
low,0,ee_acceleration,4,0.13898615539073944,910,227,40580
low,0,contact_flag,0,0.15431439876556396,911,226,40578
low,0,contact_flag,1,0.14774703979492188,909,228,40583
low,0,contact_flag,2,0.14658677577972412,909,228,40590
low,0,contact_flag,3,0.14358597993850708,909,228,40588
low,0,contact_flag,4,0.14234572649002075,910,227,40580
low,0,contact_force_log1p_mag,0,0.1250227689743042,911,226,40578
low,0,contact_force_log1p_mag,1,0.11961895227432251,909,228,40583
low,0,contact_force_log1p_mag,2,0.1162840723991394,909,228,40590
low,0,contact_force_log1p_mag,3,0.11850744485855103,909,228,40588
low,0,contact_force_log1p_mag,4,0.11587697267532349,910,227,40580
low,1,ee_velocity,0,0.8215396404266357,911,226,40578
low,1,ee_velocity,1,0.8296732902526855,909,228,40583
low,1,ee_velocity,2,0.8313140869140625,909,228,40590
low,1,ee_velocity,3,0.825748085975647,909,228,40588
low,1,ee_velocity,4,0.8270759582519531,910,227,40580
low,1,ee_acceleration,0,0.24024434387683868,911,226,40578
low,1,ee_acceleration,1,0.23740632832050323,909,228,40583
low,1,ee_acceleration,2,0.2266305685043335,909,228,40590
low,1,ee_acceleration,3,0.22855864465236664,909,228,40588
low,1,ee_acceleration,4,0.2317585051059723,910,227,40580
low,1,contact_flag,0,0.2400999665260315,911,226,40578
low,1,contact_flag,1,0.2391873598098755,909,228,40583
low,1,contact_flag,2,0.24420535564422607,909,228,40590
low,1,contact_flag,3,0.2487204670906067,909,228,40588
low,1,contact_flag,4,0.23350685834884644,910,227,40580
low,1,contact_force_log1p_mag,0,0.19027769565582275,911,226,40578
low,1,contact_force_log1p_mag,1,0.19131016731262207,909,228,40583
low,1,contact_force_log1p_mag,2,0.19764363765716553,909,228,40590
low,1,contact_force_log1p_mag,3,0.2085375189781189,909,228,40588
low,1,contact_force_log1p_mag,4,0.1870022416114807,910,227,40580
low,2,ee_velocity,0,0.8509659171104431,911,226,40578
low,2,ee_velocity,1,0.8503977060317993,909,228,40583
low,2,ee_velocity,2,0.8539956212043762,909,228,40590
low,2,ee_velocity,3,0.8504772782325745,909,228,40588
low,2,ee_velocity,4,0.852552056312561,910,227,40580
low,2,ee_acceleration,0,0.26723045110702515,911,226,40578
low,2,ee_acceleration,1,0.2593247592449188,909,228,40583
low,2,ee_acceleration,2,0.24672234058380127,909,228,40590
low,2,ee_acceleration,3,0.25247669219970703,909,228,40588
low,2,ee_acceleration,4,0.2596045136451721,910,227,40580
low,2,contact_flag,0,0.26268404722213745,911,226,40578
low,2,contact_flag,1,0.2667278051376343,909,228,40583
low,2,contact_flag,2,0.27681028842926025,909,228,40590
low,2,contact_flag,3,0.2821517586708069,909,228,40588
low,2,contact_flag,4,0.2748386263847351,910,227,40580
low,2,contact_force_log1p_mag,0,0.20510190725326538,911,226,40578
low,2,contact_force_log1p_mag,1,0.21699976921081543,909,228,40583
low,2,contact_force_log1p_mag,2,0.2224893569946289,909,228,40590
low,2,contact_force_log1p_mag,3,0.23864424228668213,909,228,40588
low,2,contact_force_log1p_mag,4,0.22237223386764526,910,227,40580
low,3,ee_velocity,0,0.8661841750144958,911,226,40578
low,3,ee_velocity,1,0.8662675619125366,909,228,40583
low,3,ee_velocity,2,0.8675755262374878,909,228,40590
low,3,ee_velocity,3,0.8665387630462646,909,228,40588
low,3,ee_velocity,4,0.8654191493988037,910,227,40580
low,3,ee_acceleration,0,0.3188219368457794,911,226,40578
low,3,ee_acceleration,1,0.309219092130661,909,228,40583
low,3,ee_acceleration,2,0.29316478967666626,909,228,40590
low,3,ee_acceleration,3,0.2981133759021759,909,228,40588
low,3,ee_acceleration,4,0.3095637559890747,910,227,40580
low,3,contact_flag,0,0.3341948986053467,911,226,40578
low,3,contact_flag,1,0.3323401212692261,909,228,40583
low,3,contact_flag,2,0.341177761554718,909,228,40590
low,3,contact_flag,3,0.33176207542419434,909,228,40588
low,3,contact_flag,4,0.3473224639892578,910,227,40580
low,3,contact_force_log1p_mag,0,0.25314438343048096,911,226,40578
low,3,contact_force_log1p_mag,1,0.2595887780189514,909,228,40583
low,3,contact_force_log1p_mag,2,0.2621593475341797,909,228,40590
low,3,contact_force_log1p_mag,3,0.269839882850647,909,228,40588
low,3,contact_force_log1p_mag,4,0.27164894342422485,910,227,40580
low,4,ee_velocity,0,0.8757030963897705,911,226,40578
low,4,ee_velocity,1,0.8752243518829346,909,228,40583
low,4,ee_velocity,2,0.8763883709907532,909,228,40590
low,4,ee_velocity,3,0.8793995976448059,909,228,40588
low,4,ee_velocity,4,0.8770629167556763,910,227,40580
low,4,ee_acceleration,0,0.3343103229999542,911,226,40578
low,4,ee_acceleration,1,0.32395899295806885,909,228,40583
low,4,ee_acceleration,2,0.30683356523513794,909,228,40590
low,4,ee_acceleration,3,0.31402942538261414,909,228,40588
low,4,ee_acceleration,4,0.3214862048625946,910,227,40580
low,4,contact_flag,0,0.3574838638305664,911,226,40578
low,4,contact_flag,1,0.3470209836959839,909,228,40583
low,4,contact_flag,2,0.34846436977386475,909,228,40590
low,4,contact_flag,3,0.3469182252883911,909,228,40588
low,4,contact_flag,4,0.35495227575302124,910,227,40580
low,4,contact_force_log1p_mag,0,0.2762305736541748,911,226,40578
low,4,contact_force_log1p_mag,1,0.2769526243209839,909,228,40583
low,4,contact_force_log1p_mag,2,0.2723981738090515,909,228,40590
low,4,contact_force_log1p_mag,3,0.2848218083381653,909,228,40588
low,4,contact_force_log1p_mag,4,0.28320789337158203,910,227,40580
low,5,ee_velocity,0,0.9019731283187866,911,226,40578
low,5,ee_velocity,1,0.9039772748947144,909,228,40583
low,5,ee_velocity,2,0.9064666032791138,909,228,40590
low,5,ee_velocity,3,0.9058125615119934,909,228,40588
low,5,ee_velocity,4,0.9055106043815613,910,227,40580
low,5,ee_acceleration,0,0.3559566140174866,911,226,40578
low,5,ee_acceleration,1,0.3497225344181061,909,228,40583
low,5,ee_acceleration,2,0.3331495225429535,909,228,40590
low,5,ee_acceleration,3,0.338533878326416,909,228,40588
low,5,ee_acceleration,4,0.34035930037498474,910,227,40580
low,5,contact_flag,0,0.37998658418655396,911,226,40578
low,5,contact_flag,1,0.3841138482093811,909,228,40583
low,5,contact_flag,2,0.37982606887817383,909,228,40590
low,5,contact_flag,3,0.3753730058670044,909,228,40588
low,5,contact_flag,4,0.3829094171524048,910,227,40580
low,5,contact_force_log1p_mag,0,0.29608726501464844,911,226,40578
low,5,contact_force_log1p_mag,1,0.3042258024215698,909,228,40583
low,5,contact_force_log1p_mag,2,0.2988927960395813,909,228,40590
low,5,contact_force_log1p_mag,3,0.30744701623916626,909,228,40588
low,5,contact_force_log1p_mag,4,0.3057072162628174,910,227,40580
low,6,ee_velocity,0,0.9170801639556885,911,226,40578
low,6,ee_velocity,1,0.9180043339729309,909,228,40583
low,6,ee_velocity,2,0.9186785221099854,909,228,40590
low,6,ee_velocity,3,0.9185501933097839,909,228,40588
low,6,ee_velocity,4,0.9179485440254211,910,227,40580
low,6,ee_acceleration,0,0.38067665696144104,911,226,40578
low,6,ee_acceleration,1,0.377895325422287,909,228,40583
low,6,ee_acceleration,2,0.36032551527023315,909,228,40590
low,6,ee_acceleration,3,0.36392754316329956,909,228,40588
low,6,ee_acceleration,4,0.3682364523410797,910,227,40580
low,6,contact_flag,0,0.3995128870010376,911,226,40578
low,6,contact_flag,1,0.40643638372421265,909,228,40583
low,6,contact_flag,2,0.4022858738899231,909,228,40590
low,6,contact_flag,3,0.3963351249694824,909,228,40588
low,6,contact_flag,4,0.40762388706207275,910,227,40580
low,6,contact_force_log1p_mag,0,0.3114500045776367,911,226,40578
low,6,contact_force_log1p_mag,1,0.32513153553009033,909,228,40583
low,6,contact_force_log1p_mag,2,0.31666797399520874,909,228,40590
low,6,contact_force_log1p_mag,3,0.3232974410057068,909,228,40588
low,6,contact_force_log1p_mag,4,0.32250308990478516,910,227,40580
low,7,ee_velocity,0,0.9275062680244446,911,226,40578
low,7,ee_velocity,1,0.9275297522544861,909,228,40583
low,7,ee_velocity,2,0.9291884303092957,909,228,40590
low,7,ee_velocity,3,0.9283992648124695,909,228,40588
low,7,ee_velocity,4,0.9275446534156799,910,227,40580
low,7,ee_acceleration,0,0.40730246901512146,911,226,40578
low,7,ee_acceleration,1,0.4087985157966614,909,228,40583
low,7,ee_acceleration,2,0.38204556703567505,909,228,40590
low,7,ee_acceleration,3,0.3891121745109558,909,228,40588
low,7,ee_acceleration,4,0.39380183815956116,910,227,40580
low,7,contact_flag,0,0.41096967458724976,911,226,40578
low,7,contact_flag,1,0.43087130784988403,909,228,40583
low,7,contact_flag,2,0.42037129402160645,909,228,40590
low,7,contact_flag,3,0.4124099016189575,909,228,40588
low,7,contact_flag,4,0.4232988953590393,910,227,40580
low,7,contact_force_log1p_mag,0,0.3231894373893738,911,226,40578
low,7,contact_force_log1p_mag,1,0.34493666887283325,909,228,40583
low,7,contact_force_log1p_mag,2,0.33436155319213867,909,228,40590
low,7,contact_force_log1p_mag,3,0.3381847143173218,909,228,40588
low,7,contact_force_log1p_mag,4,0.3388570547103882,910,227,40580
low,8,ee_velocity,0,0.9226890802383423,911,226,40578
low,8,ee_velocity,1,0.9219367504119873,909,228,40583
low,8,ee_velocity,2,0.9225014448165894,909,228,40590
low,8,ee_velocity,3,0.923634946346283,909,228,40588
