bin,layer,target,fold,r2,n_train_episodes,n_test_episodes,n_test_windows
low,0,ee_velocity,0,0.44789671897888184,899,224,40070
low,0,ee_velocity,1,0.4640524089336395,898,225,40081
low,0,ee_velocity,2,0.4590541124343872,898,225,40087
low,0,ee_velocity,3,0.4614866375923157,898,225,40064
low,0,ee_velocity,4,0.4547119438648224,899,224,40058
low,0,ee_acceleration,0,0.10885246098041534,899,224,40070
low,0,ee_acceleration,1,0.10535342246294022,898,225,40081
low,0,ee_acceleration,2,0.09988631308078766,898,225,40087
low,0,ee_acceleration,3,0.11133251339197159,898,225,40064
low,0,ee_acceleration,4,0.1194097101688385,899,224,40058
low,0,contact_flag,0,0.44793635606765747,899,224,40070
low,0,contact_flag,1,0.42072999477386475,898,225,40081
low,0,contact_flag,2,0.460989773273468,898,225,40087
low,0,contact_flag,3,0.29945605993270874,898,225,40064
low,0,contact_flag,4,0.4233706593513489,899,224,40058
low,0,contact_force_log1p_mag,0,0.40699267387390137,899,224,40070
low,0,contact_force_log1p_mag,1,0.39180660247802734,898,225,40081
low,0,contact_force_log1p_mag,2,0.4227982759475708,898,225,40087
low,0,contact_force_log1p_mag,3,0.26047706604003906,898,225,40064
low,0,contact_force_log1p_mag,4,0.3982548713684082,899,224,40058
low,1,ee_velocity,0,0.7831131815910339,899,224,40070
low,1,ee_velocity,1,0.773188054561615,898,225,40081
low,1,ee_velocity,2,0.7803002595901489,898,225,40087
low,1,ee_velocity,3,0.7802191376686096,898,225,40064
low,1,ee_velocity,4,0.7851654291152954,899,224,40058
low,1,ee_acceleration,0,0.18626952171325684,899,224,40070
low,1,ee_acceleration,1,0.18433859944343567,898,225,40081
low,1,ee_acceleration,2,0.17362931370735168,898,225,40087
low,1,ee_acceleration,3,0.19069698452949524,898,225,40064
low,1,ee_acceleration,4,0.19738851487636566,899,224,40058
low,1,contact_flag,0,0.7067652344703674,899,224,40070
low,1,contact_flag,1,0.6036891937255859,898,225,40081
low,1,contact_flag,2,0.6593575477600098,898,225,40087
low,1,contact_flag,3,0.5196043252944946,898,225,40064
low,1,contact_flag,4,0.690257728099823,899,224,40058
low,1,contact_force_log1p_mag,0,0.7319512963294983,899,224,40070
low,1,contact_force_log1p_mag,1,0.6141228079795837,898,225,40081
low,1,contact_force_log1p_mag,2,0.6712683439254761,898,225,40087
low,1,contact_force_log1p_mag,3,0.5122358798980713,898,225,40064
low,1,contact_force_log1p_mag,4,0.7094604969024658,899,224,40058
low,2,ee_velocity,0,0.8183445334434509,899,224,40070
low,2,ee_velocity,1,0.8080963492393494,898,225,40081
low,2,ee_velocity,2,0.8089591860771179,898,225,40087
low,2,ee_velocity,3,0.8013477921485901,898,225,40064
low,2,ee_velocity,4,0.8170262575149536,899,224,40058
low,2,ee_acceleration,0,0.21092525124549866,899,224,40070
low,2,ee_acceleration,1,0.20158284902572632,898,225,40081
low,2,ee_acceleration,2,0.1974230259656906,898,225,40087
low,2,ee_acceleration,3,0.14995154738426208,898,225,40064
low,2,ee_acceleration,4,0.2242816835641861,899,224,40058
low,2,contact_flag,0,0.7349731922149658,899,224,40070
low,2,contact_flag,1,0.6213874816894531,898,225,40081
low,2,contact_flag,2,0.6734957098960876,898,225,40087
low,2,contact_flag,3,0.48293745517730713,898,225,40064
low,2,contact_flag,4,0.70867919921875,899,224,40058
low,2,contact_force_log1p_mag,0,0.7627484202384949,899,224,40070
low,2,contact_force_log1p_mag,1,0.6271325349807739,898,225,40081
low,2,contact_force_log1p_mag,2,0.6895187497138977,898,225,40087
low,2,contact_force_log1p_mag,3,0.4446982145309448,898,225,40064
low,2,contact_force_log1p_mag,4,0.7327113151550293,899,224,40058
low,3,ee_velocity,0,0.8380436301231384,899,224,40070
low,3,ee_velocity,1,0.8310760259628296,898,225,40081
low,3,ee_velocity,2,0.8303449749946594,898,225,40087
low,3,ee_velocity,3,0.8297688364982605,898,225,40064
low,3,ee_velocity,4,0.8448312878608704,899,224,40058
low,3,ee_acceleration,0,0.2630825340747833,899,224,40070
low,3,ee_acceleration,1,0.23616215586662292,898,225,40081
