bin,layer,target,r2_mean,r2_std,n_episodes_in_bin,n_windows_in_bin,q33,q67
low,0,ee_velocity,0.47224087119102476,0.013775266789311923,1146,204647,0.7843,1.1551
low,0,ee_acceleration,0.11337389349937439,0.004916856744686594,1146,204647,0.7843,1.1551
low,0,contact_flag,0.40827049016952516,0.052494548905864656,1146,204647,0.7843,1.1551
low,0,contact_force_log1p_mag,0.38043009042739867,0.05765104767453198,1146,204647,0.7843,1.1551
low,1,ee_velocity,0.7882089018821716,0.0060529668072504495,1146,204647,0.7843,1.1551
low,1,ee_acceleration,0.1949797034263611,0.0030349960289551333,1146,204647,0.7843,1.1551
low,1,contact_flag,0.6174681663513184,0.037928301310037396,1146,204647,0.7843,1.1551
low,1,contact_force_log1p_mag,0.6305281281471252,0.043390243400562446,1146,204647,0.7843,1.1551
low,2,ee_velocity,0.8186599612236023,0.00572141778809073,1146,204647,0.7843,1.1551
low,2,ee_acceleration,0.21652500927448273,0.0036674794647856305,1146,204647,0.7843,1.1551
low,2,contact_flag,0.6560712933540345,0.035729984777707564,1146,204647,0.7843,1.1551
low,2,contact_force_log1p_mag,0.6776825666427613,0.03734527040443296,1146,204647,0.7843,1.1551
low,3,ee_velocity,0.8397925496101379,0.003870402364438492,1146,204647,0.7843,1.1551
low,3,ee_acceleration,0.2632911503314972,0.005326487956522879,1146,204647,0.7843,1.1551
low,3,contact_flag,0.6790518522262573,0.026295628439021543,1146,204647,0.7843,1.1551
low,3,contact_force_log1p_mag,0.6965096116065979,0.02747347789172937,1146,204647,0.7843,1.1551
low,4,ee_velocity,0.8525203585624694,0.0023019791939020693,1146,204647,0.7843,1.1551
low,4,ee_acceleration,0.2805153727531433,0.005691741441909327,1146,204647,0.7843,1.1551
low,4,contact_flag,0.6918590068817139,0.02513989971845904,1146,204647,0.7843,1.1551
low,4,contact_force_log1p_mag,0.7067299723625183,0.026609583875453206,1146,204647,0.7843,1.1551
low,5,ee_velocity,0.8861999988555909,0.00256119398984797,1146,204647,0.7843,1.1551
low,5,ee_acceleration,0.30262361764907836,0.006024237366961844,1146,204647,0.7843,1.1551
low,5,contact_flag,0.718577218055725,0.023910775390092367,1146,204647,0.7843,1.1551
low,5,contact_force_log1p_mag,0.7298862099647522,0.024624912788422045,1146,204647,0.7843,1.1551
low,6,ee_velocity,0.9020183444023132,0.0014711213533260704,1146,204647,0.7843,1.1551
low,6,ee_acceleration,0.3307622730731964,0.006744004858975616,1146,204647,0.7843,1.1551
low,6,contact_flag,0.7385511994361877,0.023632921854214974,1146,204647,0.7843,1.1551
low,6,contact_force_log1p_mag,0.7517733812332154,0.021759365052432394,1146,204647,0.7843,1.1551
low,7,ee_velocity,0.9128334641456604,0.001891857625020306,1146,204647,0.7843,1.1551
low,7,ee_acceleration,0.35953910946846007,0.004539823380717006,1146,204647,0.7843,1.1551
low,7,contact_flag,0.7515874624252319,0.021375808757663994,1146,204647,0.7843,1.1551
low,7,contact_force_log1p_mag,0.7598575592041016,0.01997784632734556,1146,204647,0.7843,1.1551
low,8,ee_velocity,0.9071942090988159,0.0017855172615563698,1146,204647,0.7843,1.1551
low,8,ee_acceleration,0.3533879041671753,0.0059382473062729165,1146,204647,0.7843,1.1551
low,8,contact_flag,0.7552895665168762,0.02109363054144012,1146,204647,0.7843,1.1551
low,8,contact_force_log1p_mag,0.7686648011207581,0.019639135202408804,1146,204647,0.7843,1.1551
low,9,ee_velocity,0.9096089839935303,0.0014662892839972538,1146,204647,0.7843,1.1551
low,9,ee_acceleration,0.36123016476631165,0.006069768808956802,1146,204647,0.7843,1.1551
low,9,contact_flag,0.7634048819541931,0.01977491666242078,1146,204647,0.7843,1.1551
low,9,contact_force_log1p_mag,0.7810871601104736,0.018779538500935507,1146,204647,0.7843,1.1551
low,10,ee_velocity,0.9156294941902161,0.001554075850302625,1146,204647,0.7843,1.1551
low,10,ee_acceleration,0.37719923853874204,0.006243558163151633,1146,204647,0.7843,1.1551
low,10,contact_flag,0.7716745972633362,0.021837386930107082,1146,204647,0.7843,1.1551
low,10,contact_force_log1p_mag,0.7883890271186829,0.023630488623966404,1146,204647,0.7843,1.1551
low,11,ee_velocity,0.9182825922966004,0.0016221106529748335,1146,204647,0.7843,1.1551
low,11,ee_acceleration,0.37874380350112913,0.006252362646301669,1146,204647,0.7843,1.1551
low,11,contact_flag,0.7694464564323426,0.023682377757853857,1146,204647,0.7843,1.1551
low,11,contact_force_log1p_mag,0.7838320136070251,0.024444285262407408,1146,204647,0.7843,1.1551
low,12,ee_velocity,0.9182781338691711,0.0019504756212961436,1146,204647,0.7843,1.1551
low,12,ee_acceleration,0.3931942403316498,0.004854287141964224,1146,204647,0.7843,1.1551
low,12,contact_flag,0.7805625438690186,0.020369827881644615,1146,204647,0.7843,1.1551
low,12,contact_force_log1p_mag,0.7995676159858703,0.02143316598125789,1146,204647,0.7843,1.1551
low,13,ee_velocity,0.9276939153671264,0.0014711428651404074,1146,204647,0.7843,1.1551
low,13,ee_acceleration,0.43143988847732545,0.006113589014886515,1146,204647,0.7843,1.1551
low,13,contact_flag,0.7894341230392456,0.019676253129845434,1146,204647,0.7843,1.1551
low,13,contact_force_log1p_mag,0.8066758990287781,0.023211226169266557,1146,204647,0.7843,1.1551
low,14,ee_velocity,0.9291560649871826,0.0015920254595267877,1146,204647,0.7843,1.1551
low,14,ee_acceleration,0.438454669713974,0.007186723297089834,1146,204647,0.7843,1.1551
low,14,contact_flag,0.7927059292793274,0.017100018559727388,1146,204647,0.7843,1.1551
low,14,contact_force_log1p_mag,0.8116070747375488,0.019198802560551266,1146,204647,0.7843,1.1551
low,15,ee_velocity,0.9400985240936279,0.0014037683919268082,1146,204647,0.7843,1.1551
low,15,ee_acceleration,0.4752195954322815,0.008225881449780984,1146,204647,0.7843,1.1551
low,15,contact_flag,0.7988613486289978,0.016351574632170265,1146,204647,0.7843,1.1551
low,15,contact_force_log1p_mag,0.8159588098526,0.019108366942702078,1146,204647,0.7843,1.1551
