task,layer,param,fold,r2,n_train_eps,n_test_eps
push,0,object_0_mass,0,-4.72528600692749,160,40
push,0,object_0_mass,1,-7.683618545532227,160,40
push,0,object_0_mass,2,-4.720159530639648,160,40
push,0,object_0_mass,3,-4.060025691986084,160,40
push,0,object_0_mass,4,-5.962987899780273,160,40
push,0,object_0_static_friction,0,-7.395373344421387,160,40
push,0,object_0_static_friction,1,-5.342540264129639,160,40
push,0,object_0_static_friction,2,-3.234100341796875,160,40
push,0,object_0_static_friction,3,-2.458974599838257,160,40
push,0,object_0_static_friction,4,-5.521843910217285,160,40
push,0,object_0_dynamic_friction,0,-8.083017349243164,160,40
push,0,object_0_dynamic_friction,1,-3.002678394317627,160,40
push,0,object_0_dynamic_friction,2,-3.497439384460449,160,40
push,0,object_0_dynamic_friction,3,-6.386093616485596,160,40
push,0,object_0_dynamic_friction,4,-4.906944274902344,160,40
push,0,surface_static_friction,0,-9.61600112915039,160,40
push,0,surface_static_friction,1,-5.411380290985107,160,40
push,0,surface_static_friction,2,-6.912299633026123,160,40
push,0,surface_static_friction,3,-2.885253667831421,160,40
push,0,surface_static_friction,4,-3.090129852294922,160,40
push,0,surface_dynamic_friction,0,-4.930515766143799,160,40
push,0,surface_dynamic_friction,1,-4.429508686065674,160,40
push,0,surface_dynamic_friction,2,-10.485199928283691,160,40
push,0,surface_dynamic_friction,3,-5.515161037445068,160,40
push,0,surface_dynamic_friction,4,-4.812392711639404,160,40
push,1,object_0_mass,0,-2.4284443855285645,160,40
push,1,object_0_mass,1,-3.270411968231201,160,40
push,1,object_0_mass,2,-1.6743030548095703,160,40
push,1,object_0_mass,3,-1.5474307537078857,160,40
push,1,object_0_mass,4,-4.619291305541992,160,40
push,1,object_0_static_friction,0,-4.823221206665039,160,40
push,1,object_0_static_friction,1,-2.268707513809204,160,40
push,1,object_0_static_friction,2,-1.7098112106323242,160,40
push,1,object_0_static_friction,3,-2.2226247787475586,160,40
push,1,object_0_static_friction,4,-5.260315895080566,160,40
push,1,object_0_dynamic_friction,0,-7.017962455749512,160,40
push,1,object_0_dynamic_friction,1,-2.2370030879974365,160,40
push,1,object_0_dynamic_friction,2,-1.930445671081543,160,40
push,1,object_0_dynamic_friction,3,-1.7806379795074463,160,40
push,1,object_0_dynamic_friction,4,-1.9332566261291504,160,40
push,1,surface_static_friction,0,-4.616791248321533,160,40
push,1,surface_static_friction,1,-2.586751699447632,160,40
push,1,surface_static_friction,2,-2.005932092666626,160,40
push,1,surface_static_friction,3,-1.5996434688568115,160,40
push,1,surface_static_friction,4,-1.4375202655792236,160,40
push,1,surface_dynamic_friction,0,-4.294772148132324,160,40
push,1,surface_dynamic_friction,1,-2.2334659099578857,160,40
push,1,surface_dynamic_friction,2,-4.938197612762451,160,40
push,1,surface_dynamic_friction,3,-4.655745029449463,160,40
push,1,surface_dynamic_friction,4,-2.1262457370758057,160,40
push,2,object_0_mass,0,-2.6647353172302246,160,40
push,2,object_0_mass,1,-1.8200993537902832,160,40
push,2,object_0_mass,2,-1.3338568210601807,160,40
push,2,object_0_mass,3,-2.218204975128174,160,40
push,2,object_0_mass,4,-1.7868483066558838,160,40
push,2,object_0_static_friction,0,-3.6461691856384277,160,40
push,2,object_0_static_friction,1,-1.781660795211792,160,40
push,2,object_0_static_friction,2,-1.8119142055511475,160,40
push,2,object_0_static_friction,3,-2.3380494117736816,160,40
push,2,object_0_static_friction,4,-3.015772819519043,160,40
push,2,object_0_dynamic_friction,0,-3.326681613922119,160,40
push,2,object_0_dynamic_friction,1,-0.8791917562484741,160,40
push,2,object_0_dynamic_friction,2,-1.0744807720184326,160,40
push,2,object_0_dynamic_friction,3,-1.0549895763397217,160,40
push,2,object_0_dynamic_friction,4,-1.0990090370178223,160,40
push,2,surface_static_friction,0,-1.9982640743255615,160,40
push,2,surface_static_friction,1,-0.9115228652954102,160,40
push,2,surface_static_friction,2,-0.5012646913528442,160,40
push,2,surface_static_friction,3,-1.2968504428863525,160,40
push,2,surface_static_friction,4,-1.6731667518615723,160,40
push,2,surface_dynamic_friction,0,-2.9057743549346924,160,40
push,2,surface_dynamic_friction,1,-1.854062795639038,160,40
push,2,surface_dynamic_friction,2,-2.2167747020721436,160,40
push,2,surface_dynamic_friction,3,-2.061628818511963,160,40
push,2,surface_dynamic_friction,4,-0.5825097560882568,160,40
push,3,object_0_mass,0,-1.4576075077056885,160,40
push,3,object_0_mass,1,-2.2549028396606445,160,40
push,3,object_0_mass,2,-1.1066722869873047,160,40
push,3,object_0_mass,3,-1.1274237632751465,160,40
push,3,object_0_mass,4,-0.9109563827514648,160,40
push,3,object_0_static_friction,0,-1.806215524673462,160,40
push,3,object_0_static_friction,1,-0.7426732778549194,160,40
push,3,object_0_static_friction,2,-0.98431396484375,160,40
push,3,object_0_static_friction,3,-1.0619699954986572,160,40
push,3,object_0_static_friction,4,-1.892045259475708,160,40
push,3,object_0_dynamic_friction,0,-3.3997979164123535,160,40
push,3,object_0_dynamic_friction,1,-0.6367272138595581,160,40
push,3,object_0_dynamic_friction,2,-1.0354626178741455,160,40
push,3,object_0_dynamic_friction,3,-0.8613322973251343,160,40
push,3,object_0_dynamic_friction,4,-1.301110029220581,160,40
push,3,surface_static_friction,0,-3.9717793464660645,160,40
push,3,surface_static_friction,1,-1.1731200218200684,160,40
push,3,surface_static_friction,2,-1.178117036819458,160,40
push,3,surface_static_friction,3,-1.3802869319915771,160,40
push,3,surface_static_friction,4,-1.0717103481292725,160,40
push,3,surface_dynamic_friction,0,-2.437997579574585,160,40
push,3,surface_dynamic_friction,1,-1.492882490158081,160,40
push,3,surface_dynamic_friction,2,-2.0679233074188232,160,40
push,3,surface_dynamic_friction,3,-1.779677391052246,160,40
push,3,surface_dynamic_friction,4,-1.072551965713501,160,40
push,4,object_0_mass,0,-2.3608744144439697,160,40
push,4,object_0_mass,1,-2.645747184753418,160,40
push,4,object_0_mass,2,-0.8061244487762451,160,40
push,4,object_0_mass,3,-0.5844027996063232,160,40
push,4,object_0_mass,4,-1.642564296722412,160,40
push,4,object_0_static_friction,0,-2.1760122776031494,160,40
push,4,object_0_static_friction,1,-0.6934769153594971,160,40
push,4,object_0_static_friction,2,-0.9817472696304321,160,40
push,4,object_0_static_friction,3,-1.4602932929992676,160,40
push,4,object_0_static_friction,4,-1.663909912109375,160,40
push,4,object_0_dynamic_friction,0,-2.0616657733917236,160,40
push,4,object_0_dynamic_friction,1,-0.6453596353530884,160,40
push,4,object_0_dynamic_friction,2,-0.6960152387619019,160,40
push,4,object_0_dynamic_friction,3,-0.5970211029052734,160,40
push,4,object_0_dynamic_friction,4,-0.6703016757965088,160,40
push,4,surface_static_friction,0,-1.5159902572631836,160,40
push,4,surface_static_friction,1,-1.2355372905731201,160,40
push,4,surface_static_friction,2,-1.2702279090881348,160,40
push,4,surface_static_friction,3,-1.2518088817596436,160,40
push,4,surface_static_friction,4,-0.9980752468109131,160,40
push,4,surface_dynamic_friction,0,-1.4773080348968506,160,40
push,4,surface_dynamic_friction,1,-1.3580327033996582,160,40
push,4,surface_dynamic_friction,2,-1.4267573356628418,160,40
push,4,surface_dynamic_friction,3,-1.5711829662322998,160,40
push,4,surface_dynamic_friction,4,-0.8333101272583008,160,40
push,5,object_0_mass,0,-2.825507402420044,160,40
push,5,object_0_mass,1,-1.325960636138916,160,40
push,5,object_0_mass,2,-0.865799069404602,160,40
push,5,object_0_mass,3,-0.5465285778045654,160,40
push,5,object_0_mass,4,-1.3739087581634521,160,40
push,5,object_0_static_friction,0,-1.2842552661895752,160,40
push,5,object_0_static_friction,1,-0.8410706520080566,160,40
push,5,object_0_static_friction,2,-0.6201900243759155,160,40
push,5,object_0_static_friction,3,-0.8913352489471436,160,40
push,5,object_0_static_friction,4,-1.2788445949554443,160,40
push,5,object_0_dynamic_friction,0,-1.4980733394622803,160,40
push,5,object_0_dynamic_friction,1,-0.36990559101104736,160,40
push,5,object_0_dynamic_friction,2,-0.7353659868240356,160,40
push,5,object_0_dynamic_friction,3,-0.6967759132385254,160,40
push,5,object_0_dynamic_friction,4,-0.529839277267456,160,40
push,5,surface_static_friction,0,-1.279470682144165,160,40
push,5,surface_static_friction,1,-1.136782169342041,160,40
push,5,surface_static_friction,2,-0.879490852355957,160,40
push,5,surface_static_friction,3,-1.0705227851867676,160,40
push,5,surface_static_friction,4,-1.0343680381774902,160,40
push,5,surface_dynamic_friction,0,-0.9692920446395874,160,40
push,5,surface_dynamic_friction,1,-1.6437852382659912,160,40
push,5,surface_dynamic_friction,2,-1.3627867698669434,160,40
push,5,surface_dynamic_friction,3,-1.3707635402679443,160,40
push,5,surface_dynamic_friction,4,-1.2866261005401611,160,40
push,6,object_0_mass,0,-2.3945698738098145,160,40
push,6,object_0_mass,1,-1.0868744850158691,160,40
push,6,object_0_mass,2,-0.5334594249725342,160,40
push,6,object_0_mass,3,-0.5149291753768921,160,40
push,6,object_0_mass,4,-1.1066091060638428,160,40
push,6,object_0_static_friction,0,-0.7618824243545532,160,40
push,6,object_0_static_friction,1,-0.8120683431625366,160,40
push,6,object_0_static_friction,2,-0.7476531267166138,160,40
push,6,object_0_static_friction,3,-1.1127433776855469,160,40
push,6,object_0_static_friction,4,-0.7569575309753418,160,40
push,6,object_0_dynamic_friction,0,-1.3428549766540527,160,40
push,6,object_0_dynamic_friction,1,0.05042600631713867,160,40
push,6,object_0_dynamic_friction,2,-0.7264292240142822,160,40
push,6,object_0_dynamic_friction,3,-0.6875835657119751,160,40
push,6,object_0_dynamic_friction,4,-0.3090704679489136,160,40
push,6,surface_static_friction,0,-1.3100471496582031,160,40
push,6,surface_static_friction,1,-1.4772062301635742,160,40
push,6,surface_static_friction,2,-0.7034493684768677,160,40
push,6,surface_static_friction,3,-0.8268522024154663,160,40
push,6,surface_static_friction,4,-0.4569525718688965,160,40
push,6,surface_dynamic_friction,0,-0.6676666736602783,160,40
push,6,surface_dynamic_friction,1,-1.6986870765686035,160,40
push,6,surface_dynamic_friction,2,-1.3456239700317383,160,40
push,6,surface_dynamic_friction,3,-0.9395564794540405,160,40
push,6,surface_dynamic_friction,4,-1.4337472915649414,160,40
push,7,object_0_mass,0,-2.7117552757263184,160,40
push,7,object_0_mass,1,-1.9039545059204102,160,40
push,7,object_0_mass,2,-0.8833233118057251,160,40
push,7,object_0_mass,3,-0.6585595607757568,160,40
push,7,object_0_mass,4,-1.1455612182617188,160,40
push,7,object_0_static_friction,0,-2.6815896034240723,160,40
push,7,object_0_static_friction,1,-0.9679776430130005,160,40
push,7,object_0_static_friction,2,-0.9365370273590088,160,40
push,7,object_0_static_friction,3,-1.5683009624481201,160,40
push,7,object_0_static_friction,4,-1.3636114597320557,160,40
push,7,object_0_dynamic_friction,0,-1.7510395050048828,160,40
push,7,object_0_dynamic_friction,1,-0.03876698017120361,160,40
push,7,object_0_dynamic_friction,2,-0.5758180618286133,160,40
push,7,object_0_dynamic_friction,3,-1.0997917652130127,160,40
push,7,object_0_dynamic_friction,4,-0.53669273853302,160,40
push,7,surface_static_friction,0,-1.684755563735962,160,40
push,7,surface_static_friction,1,-1.082242727279663,160,40
push,7,surface_static_friction,2,-0.669875979423523,160,40
push,7,surface_static_friction,3,-0.5548087358474731,160,40
push,7,surface_static_friction,4,-0.7101657390594482,160,40
push,7,surface_dynamic_friction,0,-0.4952819347381592,160,40
push,7,surface_dynamic_friction,1,-1.7274978160858154,160,40
push,7,surface_dynamic_friction,2,-2.0721206665039062,160,40
push,7,surface_dynamic_friction,3,-0.9355802536010742,160,40
push,7,surface_dynamic_friction,4,-0.9128481149673462,160,40
push,8,object_0_mass,0,-1.7586369514465332,160,40
push,8,object_0_mass,1,-1.8049447536468506,160,40
push,8,object_0_mass,2,-0.5131993293762207,160,40
push,8,object_0_mass,3,-0.742453932762146,160,40
push,8,object_0_mass,4,-0.9905568361282349,160,40
push,8,object_0_static_friction,0,-0.8423124551773071,160,40
push,8,object_0_static_friction,1,-0.5187274217605591,160,40
push,8,object_0_static_friction,2,-0.809302568435669,160,40
push,8,object_0_static_friction,3,-0.6925181150436401,160,40
push,8,object_0_static_friction,4,-0.6230897903442383,160,40
push,8,object_0_dynamic_friction,0,-0.9166903495788574,160,40
push,8,object_0_dynamic_friction,1,0.020085930824279785,160,40
push,8,object_0_dynamic_friction,2,-0.6202841997146606,160,40
push,8,object_0_dynamic_friction,3,-0.5972728729248047,160,40
push,8,object_0_dynamic_friction,4,-0.30734407901763916,160,40
push,8,surface_static_friction,0,-1.5599336624145508,160,40
push,8,surface_static_friction,1,-0.7729274034500122,160,40
push,8,surface_static_friction,2,-0.8228826522827148,160,40
push,8,surface_static_friction,3,-0.864112138748169,160,40
push,8,surface_static_friction,4,-0.81590735912323,160,40
push,8,surface_dynamic_friction,0,-0.7285366058349609,160,40
push,8,surface_dynamic_friction,1,-1.5454685688018799,160,40
push,8,surface_dynamic_friction,2,-2.408289909362793,160,40
push,8,surface_dynamic_friction,3,-1.725342035293579,160,40
push,8,surface_dynamic_friction,4,-1.6163995265960693,160,40
push,9,object_0_mass,0,-1.2074832916259766,160,40
push,9,object_0_mass,1,-1.4056918621063232,160,40
push,9,object_0_mass,2,-0.5745742321014404,160,40
push,9,object_0_mass,3,-1.0129961967468262,160,40
push,9,object_0_mass,4,-1.802649736404419,160,40
push,9,object_0_static_friction,0,-1.0532817840576172,160,40
push,9,object_0_static_friction,1,-0.7744028568267822,160,40
push,9,object_0_static_friction,2,-0.9105236530303955,160,40
push,9,object_0_static_friction,3,-0.9074167013168335,160,40
push,9,object_0_static_friction,4,-1.422508716583252,160,40
push,9,object_0_dynamic_friction,0,-0.801581859588623,160,40
push,9,object_0_dynamic_friction,1,-0.47029972076416016,160,40
push,9,object_0_dynamic_friction,2,-1.0498120784759521,160,40
push,9,object_0_dynamic_friction,3,-0.862045168876648,160,40
push,9,object_0_dynamic_friction,4,-0.89100182056427,160,40
push,9,surface_static_friction,0,-1.2373738288879395,160,40
push,9,surface_static_friction,1,-1.127025842666626,160,40
push,9,surface_static_friction,2,-1.2175776958465576,160,40
push,9,surface_static_friction,3,-0.608622670173645,160,40
push,9,surface_static_friction,4,-1.0043721199035645,160,40
push,9,surface_dynamic_friction,0,-0.5789742469787598,160,40
push,9,surface_dynamic_friction,1,-1.4021522998809814,160,40
push,9,surface_dynamic_friction,2,-1.6929500102996826,160,40
push,9,surface_dynamic_friction,3,-0.5965135097503662,160,40
push,9,surface_dynamic_friction,4,-1.535310983657837,160,40
push,10,object_0_mass,0,-0.6305054426193237,160,40
push,10,object_0_mass,1,-1.3142764568328857,160,40
push,10,object_0_mass,2,-0.5357259511947632,160,40
push,10,object_0_mass,3,-1.0414488315582275,160,40
push,10,object_0_mass,4,-1.1743485927581787,160,40
push,10,object_0_static_friction,0,-1.008086919784546,160,40
push,10,object_0_static_friction,1,-0.4153299331665039,160,40
push,10,object_0_static_friction,2,-0.9460333585739136,160,40
push,10,object_0_static_friction,3,-0.5937252044677734,160,40
push,10,object_0_static_friction,4,-0.5938968658447266,160,40
push,10,object_0_dynamic_friction,0,-0.6930053234100342,160,40
push,10,object_0_dynamic_friction,1,-0.5638463497161865,160,40
push,10,object_0_dynamic_friction,2,-0.5952191352844238,160,40
push,10,object_0_dynamic_friction,3,-0.5579433441162109,160,40
push,10,object_0_dynamic_friction,4,-0.6842482089996338,160,40
push,10,surface_static_friction,0,-1.2931432723999023,160,40
push,10,surface_static_friction,1,-1.4544909000396729,160,40
push,10,surface_static_friction,2,-1.3087468147277832,160,40
push,10,surface_static_friction,3,-0.7617340087890625,160,40
push,10,surface_static_friction,4,-0.9648751020431519,160,40
push,10,surface_dynamic_friction,0,-0.6825790405273438,160,40
push,10,surface_dynamic_friction,1,-1.4393181800842285,160,40
push,10,surface_dynamic_friction,2,-2.049830436706543,160,40
push,10,surface_dynamic_friction,3,-1.143446922302246,160,40
push,10,surface_dynamic_friction,4,-1.4632439613342285,160,40
