stage,fold,best_lr,best_wd,r2,mse,n_test_windows
stage_0,0,0.003000000026077032,0.009999999776482582,0.5068089962005615,0.6836119890213013,68085
stage_0,1,0.003000000026077032,0.009999999776482582,0.48558008670806885,0.7844225168228149,68084
stage_0,2,0.0010000000474974513,0.009999999776482582,0.4763152003288269,0.819236159324646,68063
stage_0,3,9.999999747378752e-05,0.009999999776482582,0.4740254878997803,0.878021776676178,68027
stage_0,4,0.0010000000474974513,0.009999999776482582,0.5244070291519165,0.7288683652877808,68024
stage_1,0,0.0010000000474974513,0.009999999776482582,0.6349475383758545,0.5059991478919983,68085
stage_1,1,0.0010000000474974513,0.009999999776482582,0.612246036529541,0.5912736654281616,68084
stage_1,2,0.004999999888241291,0.009999999776482582,0.5925835371017456,0.6373497247695923,68063
stage_1,3,0.004999999888241291,0.009999999776482582,0.6113617420196533,0.6487630605697632,68027
stage_1,4,0.0010000000474974513,0.009999999776482582,0.6608341932296753,0.5197874307632446,68024
stage_2,0,0.004999999888241291,0.10000000149011612,0.6368541717529297,0.503356397151947,68085
stage_2,1,0.004999999888241291,0.10000000149011612,0.6098750829696655,0.5948890447616577,68084
stage_2,2,0.0003000000142492354,0.10000000149011612,0.613834798336029,0.6041048169136047,68063
stage_2,3,0.0010000000474974513,0.009999999776482582,0.5976488590240479,0.6716543436050415,68027
stage_2,4,0.004999999888241291,0.10000000149011612,0.6557170152664185,0.5276297330856323,68024
stage_3,0,9.999999747378752e-05,0.10000000149011612,0.6559664607048035,0.4768648147583008,68085
stage_3,1,0.0003000000142492354,0.10000000149011612,0.6253029108047485,0.571363627910614,68084
stage_3,2,9.999999747378752e-05,0.10000000149011612,0.6208628416061401,0.5931104421615601,68063
stage_3,3,0.0010000000474974513,0.10000000149011612,0.6270519495010376,0.6225710511207581,68027
stage_3,4,0.003000000026077032,0.10000000149011612,0.6629071235656738,0.5166105031967163,68024
stage_4,0,0.004999999888241291,0.10000000149011612,0.6493509411811829,0.486034631729126,68085
stage_4,1,0.004999999888241291,0.10000000149011612,0.6481610536575317,0.5365079045295715,68084
stage_4,2,0.003000000026077032,0.10000000149011612,0.6011521816253662,0.6239451169967651,68063
stage_4,3,9.999999747378752e-05,0.10000000149011612,0.6324982643127441,0.613479495048523,68027
stage_4,4,9.999999747378752e-05,0.10000000149011612,0.6581066846847534,0.5239673852920532,68024
