layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.009999999776482582,0.40757715702056885,0.10969947278499603,68085
0,1,9.999999747378752e-05,0.009999999776482582,0.37128663063049316,0.11818789690732956,68084
0,2,0.0003000000142492354,0.009999999776482582,0.34775394201278687,0.1262364536523819,68063
0,3,0.0010000000474974513,0.10000000149011612,0.34700679779052734,0.1325468122959137,68027
0,4,0.0003000000142492354,0.009999999776482582,0.41081148386001587,0.11476179957389832,68024
1,0,9.999999747378752e-05,0.10000000149011612,0.5952426195144653,0.07494928687810898,68085
1,1,0.0003000000142492354,0.10000000149011612,0.5763828158378601,0.07963314652442932,68084
1,2,0.004999999888241291,0.10000000149011612,0.5579341650009155,0.08555792272090912,68063
1,3,0.0010000000474974513,0.10000000149011612,0.5575630068778992,0.08980738371610641,68027
1,4,0.0010000000474974513,0.10000000149011612,0.571456789970398,0.0834713950753212,68024
2,0,0.004999999888241291,0.10000000149011612,0.6183216571807861,0.07067572325468063,68085
2,1,0.003000000026077032,0.10000000149011612,0.6133843064308167,0.07267747074365616,68084
2,2,9.999999747378752e-05,0.10000000149011612,0.5885789394378662,0.0796269103884697,68063
2,3,9.999999747378752e-05,0.10000000149011612,0.5824419260025024,0.08475737273693085,68027
2,4,0.0003000000142492354,0.10000000149011612,0.5878129601478577,0.08028555661439896,68024
3,0,0.0003000000142492354,0.10000000149011612,0.6379882097244263,0.067034050822258,68085
3,1,9.999999747378752e-05,0.10000000149011612,0.6163018941879272,0.07212900370359421,68084
3,2,0.0003000000142492354,0.10000000149011612,0.5999591946601868,0.07742435485124588,68063
3,3,0.0010000000474974513,0.10000000149011612,0.6020389795303345,0.08077949285507202,68027
3,4,0.003000000026077032,0.10000000149011612,0.5993399620056152,0.07804033160209656,68024
4,0,0.004999999888241291,0.10000000149011612,0.6544366478919983,0.06398828327655792,68085
4,1,0.004999999888241291,0.10000000149011612,0.6499297618865967,0.06580750644207001,68084
4,2,0.003000000026077032,0.10000000149011612,0.6377920508384705,0.07010214775800705,68063
4,3,0.0003000000142492354,0.10000000149011612,0.6193592548370361,0.07726376503705978,68027
4,4,0.0010000000474974513,0.009999999776482582,0.6216203570365906,0.07370056957006454,68024
5,0,9.999999747378752e-05,0.10000000149011612,0.6639145612716675,0.06223324313759804,68085
5,1,9.999999747378752e-05,0.009999999776482582,0.6538511514663696,0.06507035344839096,68084
5,2,9.999999747378752e-05,0.10000000149011612,0.6476230621337891,0.06819944083690643,68063
5,3,0.0010000000474974513,0.10000000149011612,0.6409043073654175,0.07289047539234161,68027
5,4,0.004999999888241291,0.10000000149011612,0.6273869276046753,0.07257735729217529,68024
6,0,0.003000000026077032,0.10000000149011612,0.6824525594711304,0.058800555765628815,68085
6,1,0.003000000026077032,0.10000000149011612,0.6764450073242188,0.06082308664917946,68084
6,2,9.999999747378752e-05,0.10000000149011612,0.6656102538108826,0.06471817195415497,68063
6,3,0.004999999888241291,0.10000000149011612,0.652045488357544,0.07062900066375732,68027
6,4,0.0003000000142492354,0.10000000149011612,0.6568222045898438,0.06684397161006927,68024
7,0,0.004999999888241291,0.10000000149011612,0.6922750473022461,0.05698170140385628,68085
7,1,0.004999999888241291,0.10000000149011612,0.6818392276763916,0.05980904772877693,68084
7,2,0.0010000000474974513,0.10000000149011612,0.6900167465209961,0.05999450758099556,68063
7,3,0.004999999888241291,0.10000000149011612,0.6664348840713501,0.06770819425582886,68027
7,4,0.003000000026077032,0.10000000149011612,0.6806282997131348,0.06220703572034836,68024
8,0,0.003000000026077032,0.10000000149011612,0.7025348544120789,0.055081892758607864,68085
8,1,0.0010000000474974513,0.10000000149011612,0.6915074586868286,0.05799157917499542,68084
8,2,9.999999747378752e-05,0.4000000059604645,0.6822266578674316,0.061502210795879364,68063
8,3,9.999999747378752e-05,0.10000000149011612,0.6758958101272583,0.06578777730464935,68027
8,4,9.999999747378752e-05,0.10000000149011612,0.696160078048706,0.05918176472187042,68024
9,0,0.0003000000142492354,0.10000000149011612,0.7125066518783569,0.05323540419340134,68085
9,1,0.0003000000142492354,0.10000000149011612,0.7085055112838745,0.054796233773231506,68084
9,2,9.999999747378752e-05,0.10000000149011612,0.7055332064628601,0.056991443037986755,68063
9,3,0.004999999888241291,0.10000000149011612,0.704664945602417,0.05994812771677971,68027
9,4,0.0003000000142492354,0.10000000149011612,0.7143292427062988,0.055642783641815186,68024
10,0,0.0010000000474974513,0.10000000149011612,0.7247699499130249,0.0509646050632,68085
10,1,0.004999999888241291,0.10000000149011612,0.720591127872467,0.05252432823181152,68084
10,2,9.999999747378752e-05,0.10000000149011612,0.7136733531951904,0.055415984243154526,68063
