layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0003000000142492354,0.009999999776482582,0.4373134970664978,0.1304050236940384,68085
0,1,0.003000000026077032,0.009999999776482582,0.40279513597488403,0.14036522805690765,68084
0,2,0.003000000026077032,0.009999999776482582,0.4034859538078308,0.14081990718841553,68063
0,3,0.003000000026077032,0.10000000149011612,0.4163570702075958,0.13767030835151672,68027
0,4,0.003000000026077032,0.009999999776482582,0.3846189081668854,0.14273051917552948,68024
1,0,9.999999747378752e-05,0.10000000149011612,0.5333669185638428,0.10814406722784042,68085
1,1,9.999999747378752e-05,0.10000000149011612,0.5069718956947327,0.11588043719530106,68084
1,2,0.0003000000142492354,0.10000000149011612,0.5037003755569458,0.11716195195913315,68063
1,3,9.999999747378752e-05,0.009999999776482582,0.5324307680130005,0.11029123514890671,68027
1,4,0.004999999888241291,0.009999999776482582,0.5108227133750916,0.11345944553613663,68024
2,0,0.0010000000474974513,0.10000000149011612,0.5381012558937073,0.10704723000526428,68085
2,1,0.0003000000142492354,0.10000000149011612,0.5177523493766785,0.11334637552499771,68084
2,2,9.999999747378752e-05,0.009999999776482582,0.5199510455131531,0.11332616209983826,68063
2,3,9.999999747378752e-05,0.10000000149011612,0.5536583662033081,0.10528405755758286,68027
2,4,0.003000000026077032,0.009999999776482582,0.5297110080718994,0.10907850414514542,68024
3,0,0.0003000000142492354,0.10000000149011612,0.5805402994155884,0.09721139818429947,68085
3,1,0.0010000000474974513,0.10000000149011612,0.5586293935775757,0.10373971611261368,68084
3,2,0.004999999888241291,0.10000000149011612,0.5625985860824585,0.10325778275728226,68063
3,3,0.0003000000142492354,0.10000000149011612,0.5969166159629822,0.09508064389228821,68027
3,4,0.004999999888241291,0.10000000149011612,0.5525664687156677,0.10377766937017441,68024
4,0,0.003000000026077032,0.10000000149011612,0.5757467150688171,0.09832296520471573,68085
4,1,0.004999999888241291,0.10000000149011612,0.5523461699485779,0.10521642863750458,68084
4,2,0.0010000000474974513,0.10000000149011612,0.5621854662895203,0.10335563123226166,68063
4,3,0.004999999888241291,0.10000000149011612,0.5925877690315247,0.09610143303871155,68027
