layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.10000000149011612,0.346258282661438,0.014741889201104641,68085
0,1,9.999999747378752e-05,0.009999999776482582,0.34529995918273926,0.014898577705025673,68084
0,2,9.999999747378752e-05,0.009999999776482582,0.3325386941432953,0.01486876979470253,68063
0,3,0.004999999888241291,0.009999999776482582,0.33872684836387634,0.01438913308084011,68027
0,4,0.0003000000142492354,0.009999999776482582,0.33809900283813477,0.014635017141699791,68024
1,0,0.004999999888241291,0.009999999776482582,0.6847569942474365,0.0071087246760725975,68085
1,1,9.999999747378752e-05,0.009999999776482582,0.6862126588821411,0.007140615954995155,68084
1,2,0.004999999888241291,0.009999999776482582,0.6557145118713379,0.007669518701732159,68063
1,3,9.999999747378752e-05,0.009999999776482582,0.6535753607749939,0.007538123521953821,68027
1,4,0.004999999888241291,0.10000000149011612,0.667172908782959,0.007359027396887541,68024
2,0,0.0010000000474974513,0.10000000149011612,0.7615786790847778,0.005376418586820364,68085
2,1,0.0003000000142492354,0.10000000149011612,0.7554839253425598,0.005564322229474783,68084
2,2,0.004999999888241291,0.009999999776482582,0.7414929270744324,0.0057586682960391045,68063
2,3,0.0010000000474974513,0.10000000149011612,0.7383527159690857,0.005693420302122831,68027
2,4,0.0010000000474974513,0.10000000149011612,0.7464459538459778,0.005606284365057945,68024
3,0,0.003000000026077032,0.10000000149011612,0.8000474572181702,0.004508946090936661,68085
3,1,0.003000000026077032,0.10000000149011612,0.7930636405944824,0.004709129687398672,68084
3,2,0.003000000026077032,0.10000000149011612,0.7827025651931763,0.004840676672756672,68063
3,3,0.003000000026077032,0.10000000149011612,0.7759812474250793,0.0048746452666819096,68027
3,4,9.999999747378752e-05,0.10000000149011612,0.7852465510368347,0.004748368635773659,68024
4,0,0.0003000000142492354,0.10000000149011612,0.8353231549263,0.0037134666927158833,68085
4,1,0.004999999888241291,0.10000000149011612,0.8308345675468445,0.0038496193010360003,68084
4,2,0.004999999888241291,0.10000000149011612,0.8201867938041687,0.004005653318017721,68063
4,3,0.004999999888241291,0.10000000149011612,0.8166157603263855,0.003990405239164829,68027
4,4,9.999999747378752e-05,0.10000000149011612,0.8230145573616028,0.0039132870733737946,68024
5,0,9.999999747378752e-05,0.10000000149011612,0.8498225808143616,0.00338652147911489,68085
