layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0010000000474974513,0.4000000059604645,0.05247736722230911,0.06903380155563354,68085
0,1,0.003000000026077032,0.4000000059604645,0.04879706725478172,0.06545396894216537,68084
0,2,0.004999999888241291,0.800000011920929,0.0438326857984066,0.06751880794763565,68063
0,3,0.003000000026077032,0.800000011920929,0.03229062259197235,0.06914844363927841,68027
0,4,0.0003000000142492354,0.800000011920929,0.048829976469278336,0.0655132457613945,68024
1,0,0.003000000026077032,0.800000011920929,0.059792567044496536,0.06850063055753708,68085
1,1,0.004999999888241291,0.10000000149011612,0.07682991772890091,0.0635247454047203,68084
1,2,0.0003000000142492354,0.10000000149011612,0.06954820454120636,0.065702423453331,68063
1,3,0.004999999888241291,0.10000000149011612,0.050075214356184006,0.06787735223770142,68027
1,4,9.999999747378752e-05,0.800000011920929,0.05864805355668068,0.0648370012640953,68024
2,0,9.999999747378752e-05,0.10000000149011612,0.08046083152294159,0.06699517369270325,68085
2,1,0.003000000026077032,0.4000000059604645,0.0626496896147728,0.06450148671865463,68084
2,2,0.0010000000474974513,0.10000000149011612,0.06332336366176605,0.06614226847887039,68063
2,3,0.003000000026077032,0.4000000059604645,0.05398806184530258,0.06759820133447647,68027
2,4,9.999999747378752e-05,0.4000000059604645,0.06154617294669151,0.06463770568370819,68024
3,0,0.004999999888241291,0.10000000149011612,0.0935000404715538,0.06604505330324173,68085
3,1,0.0010000000474974513,0.10000000149011612,0.09572317451238632,0.06222499907016754,68084
3,2,0.0010000000474974513,0.800000011920929,0.05549578741192818,0.06669484823942184,68063
3,3,0.0003000000142492354,0.10000000149011612,0.06424885243177414,0.06686463952064514,68027
3,4,0.004999999888241291,0.4000000059604645,0.06911949813365936,0.06411614269018173,68024
4,0,0.003000000026077032,0.10000000149011612,0.09201794117689133,0.0661531314253807,68085
4,1,0.0010000000474974513,0.10000000149011612,0.09149184823036194,0.06251634657382965,68084
4,2,0.003000000026077032,0.10000000149011612,0.0641818419098854,0.06608180701732635,68063
4,3,0.0003000000142492354,0.10000000149011612,0.07030967622995377,0.06643166393041611,68027
4,4,0.003000000026077032,0.10000000149011612,0.09001202881336212,0.06267743557691574,68024
5,0,0.003000000026077032,0.10000000149011612,0.09835906326770782,0.06569076329469681,68085
5,1,0.003000000026077032,0.10000000149011612,0.09155251830816269,0.06251215189695358,68084
5,2,0.0010000000474974513,0.10000000149011612,0.07055267691612244,0.0656314566731453,68063
5,3,0.0010000000474974513,0.10000000149011612,0.07397664338350296,0.06616964191198349,68027
5,4,0.004999999888241291,0.10000000149011612,0.09822412580251694,0.06211142987012863,68024
6,0,0.0010000000474974513,0.10000000149011612,0.08477414399385452,0.06668084859848022,68085
6,1,9.999999747378752e-05,0.10000000149011612,0.09103649109601974,0.06254778802394867,68084
6,2,9.999999747378752e-05,0.10000000149011612,0.06849991530179977,0.0657762959599495,68063
