layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.003000000026077032,0.009999999776482582,0.1268153339624405,0.004753204062581062,68085
0,1,0.0003000000142492354,0.009999999776482582,0.11047600209712982,0.0044358824379742146,68084
0,2,9.999999747378752e-05,0.009999999776482582,0.09338107705116272,0.005150387994945049,68063
0,3,0.004999999888241291,0.009999999776482582,0.11153499037027359,0.004224950913339853,68027
0,4,9.999999747378752e-05,0.009999999776482582,0.12392424046993256,0.004133306909352541,68024
1,0,0.004999999888241291,0.10000000149011612,0.3037343919277191,0.003790145041421056,68085
1,1,0.003000000026077032,0.10000000149011612,0.2976379990577698,0.003502469277009368,68084
1,2,0.003000000026077032,0.009999999776482582,0.2790312170982361,0.004095674958080053,68063
1,3,9.999999747378752e-05,0.009999999776482582,0.30089402198791504,0.0033243969082832336,68027
1,4,0.004999999888241291,0.009999999776482582,0.34221306443214417,0.003103345399722457,68024
2,0,0.004999999888241291,0.009999999776482582,0.39435014128685,0.0032968486193567514,68085
2,1,0.0010000000474974513,0.10000000149011612,0.3725283443927765,0.0031290207989513874,68084
2,2,0.004999999888241291,0.009999999776482582,0.3409598171710968,0.003743886249139905,68063
2,3,9.999999747378752e-05,0.009999999776482582,0.39734864234924316,0.0028657412622123957,68027
2,4,0.004999999888241291,0.009999999776482582,0.4065149426460266,0.0028000064194202423,68024
3,0,0.0010000000474974513,0.10000000149011612,0.4429282546043396,0.003032432869076729,68085
3,1,0.0010000000474974513,0.009999999776482582,0.4658485949039459,0.0026636566035449505,68084
3,2,0.0010000000474974513,0.009999999776482582,0.39316704869270325,0.003447280963882804,68063
3,3,0.0003000000142492354,0.10000000149011612,0.44118645787239075,0.002657287521287799,68027
3,4,0.004999999888241291,0.009999999776482582,0.47508504986763,0.002476477762684226,68024
4,0,0.0003000000142492354,0.10000000149011612,0.4779905676841736,0.0028415906708687544,68085
4,1,0.004999999888241291,0.10000000149011612,0.47086066007614136,0.002638665959239006,68084
4,2,0.004999999888241291,0.10000000149011612,0.41090109944343567,0.003346584504470229,68063
4,3,0.004999999888241291,0.10000000149011612,0.48620834946632385,0.002443215809762478,68027
4,4,9.999999747378752e-05,0.10000000149011612,0.5013455152511597,0.002352603478357196,68024
5,0,9.999999747378752e-05,0.10000000149011612,0.5242902636528015,0.0025895326398313046,68085
5,1,9.999999747378752e-05,0.10000000149011612,0.510617733001709,0.0024403943680226803,68084
5,2,0.0003000000142492354,0.10000000149011612,0.45060986280441284,0.0031209830194711685,68063
