layer,fold,best_lr,best_wd,r2,mse,n_test_windows,cos_sim_mean
0,0,9.999999747378752e-05,0.4000000059604645,-2.569611072540283,1.1476106643676758,53147,0.22294960916042328
0,1,0.004999999888241291,0.009999999776482582,-9.443923950195312,3.3604941368103027,53152,0.231510192155838
0,2,0.0010000000474974513,0.4000000059604645,-2.0188870429992676,0.9684578776359558,53154,0.18172453343868256
0,3,0.0010000000474974513,0.800000011920929,-22.13088035583496,7.452587604522705,53154,0.08782884478569031
0,4,0.0003000000142492354,0.009999999776482582,-0.48982909321784973,0.4781074821949005,53151,0.43023088574409485
1,0,0.003000000026077,0.4000000059604645,0.6382907629013062,0.116287812590599,53147,0.8016760945320129
1,1,9.999999747378752e-05,0.4000000059604645,0.649478554725647,0.1127856820821762,53152,0.809860110282898
1,2,0.0003000000142492,0.4000000059604645,0.6596308350563049,0.109190434217453,53154,0.8164366483688354
1,3,0.003000000026077,0.4000000059604645,0.641357958316803,0.11555215716362,53154,0.8008029460906982
1,4,0.0049999998882412,0.4000000059604645,0.6520881652832031,0.1116498559713363,53151,0.8087838888168335
2,0,9.999999747378752e-05,0.800000011920929,0.6949813365936279,0.0980621501803398,53147,0.8267644047737122
2,1,9.999999747378752e-05,0.800000011920929,0.7011265754699707,0.0961667224764823,53152,0.8297898173332214
2,2,0.003000000026077,0.800000011920929,0.7082551121711731,0.0935920253396034,53154,0.8389177918434143
2,3,0.0010000000474974,0.800000011920929,0.6997479200363159,0.0967397391796112,53154,0.8307839632034302
2,4,9.999999747378752e-05,0.800000011920929,0.7080845236778259,0.0936803221702575,53151,0.8349900245666504
3,0,0.003000000026077,0.800000011920929,0.7468599081039429,0.0813833251595497,53147,0.8549244403839111
3,1,0.0010000000474974,0.800000011920929,0.7498385310173035,0.0804929360747337,53152,0.8573285937309265
3,2,9.999999747378752e-05,0.800000011920929,0.7608585357666016,0.0767166167497634,53154,0.8685393333435059
3,3,0.003000000026077,0.800000011920929,0.7510131597518921,0.0802221000194549,53154,0.8572891354560852
3,4,0.0049999998882412,0.800000011920929,0.7499538660049438,0.0802435800433158,53151,0.8593252897262573
