layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.003000000026077032,0.10000000149011612,0.7835872173309326,0.004333626478910446,68085
0,1,9.999999747378752e-05,0.10000000149011612,0.7761160135269165,0.004479848314076662,68084
0,2,0.004999999888241291,0.10000000149011612,0.7788941860198975,0.004571347963064909,68063
0,3,9.999999747378752e-05,0.10000000149011612,0.7813156247138977,0.004830655176192522,68027
0,4,9.999999747378752e-05,0.10000000149011612,0.7712379693984985,0.004864424932748079,68024
1,0,9.999999747378752e-05,0.800000011920929,0.8910806179046631,0.0021810866892337,68085
1,1,0.0049999998882412,0.4000000059604645,0.89481121301651,0.0021048001945018,68084
1,2,0.0003000000142492,0.4000000059604645,0.9060025811195374,0.001943408511579,68063
1,3,0.0003000000142492,0.800000011920929,0.8992058634757996,0.0022264909930527,68027
1,4,0.003000000026077,0.800000011920929,0.89256751537323,0.0022844451013952,68024
2,0,0.0003000000142492,0.800000011920929,0.9170365929603576,0.0016613284824416,68085
2,1,0.003000000026077,0.800000011920929,0.9051324129104614,0.0018982732435688,68084
2,2,0.0003000000142492,0.800000011920929,0.9157996773719788,0.0017408542335033,68063
2,3,0.0010000000474974,0.800000011920929,0.910371959209442,0.0019798486027866,68027
2,4,0.003000000026077,0.800000011920929,0.9123330116271972,0.0018641623901203,68024
3,0,9.999999747378752e-05,0.800000011920929,0.932551920413971,0.0013506321702152,68085
3,1,0.0010000000474974,0.800000011920929,0.9245241284370422,0.0015102482866495,68084
3,2,9.999999747378752e-05,0.800000011920929,0.9410053491592408,0.0012197244213894,68063
3,3,0.0010000000474974,0.800000011920929,0.9402185082435608,0.0013205544091761,68027
3,4,0.0010000000474974,0.800000011920929,0.9205203652381896,0.0016900629270821,68024
4,0,0.0010000000474974,0.800000011920929,0.9333665370941162,0.0013343259925022,68085
4,1,0.0003000000142492,0.800000011920929,0.9378198385238647,0.0012442071456462,68084
4,2,0.0003000000142492,0.800000011920929,0.9400635361671448,0.0012391943018883,68063
4,3,0.0010000000474974,0.800000011920929,0.944433093070984,0.0012274540495127,68027
