layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.003000000026077032,0.4000000059604645,0.4409482777118683,0.012606566771864891,68085
0,1,0.0003000000142492354,0.10000000149011612,0.4190153479576111,0.013221106491982937,68084
0,2,0.0003000000142492354,0.10000000149011612,0.3994036018848419,0.01337929256260395,68063
0,3,0.004999999888241291,0.4000000059604645,0.3983154296875,0.013092540204524994,68027
0,4,0.0003000000142492354,0.10000000149011612,0.40951308608055115,0.013056048192083836,68024
1,0,0.003000000026077,0.4000000059604645,0.7225949168205261,0.0062554590404033,68085
1,1,0.0049999998882412,0.4000000059604645,0.7208254933357239,0.0063529955223202,68084
1,2,0.0003000000142492,0.4000000059604645,0.7049131989479065,0.0065735401585698,68063
1,3,0.0003000000142492,0.4000000059604645,0.7067009210586548,0.0063821421936154,68027
1,4,0.0003000000142492,0.800000011920929,0.6953477263450623,0.0067360550165176,68024
2,0,0.0003000000142492,0.800000011920929,0.7886900901794434,0.0047650812193751,68085
2,1,9.999999747378752e-05,0.4000000059604645,0.779055655002594,0.0050278957933187,68084
2,2,0.003000000026077,0.800000011920929,0.7653191089630127,0.0052279094234108,68063
2,3,0.0010000000474974,0.800000011920929,0.76418536901474,0.0051313005387783,68027
2,4,0.003000000026077,0.800000011920929,0.7682697772979736,0.0051237186416983,68024
3,0,0.003000000026077,0.4000000059604645,0.8397455215454102,0.0036137402057647,68085
3,1,0.0049999998882412,0.800000011920929,0.8282744884490967,0.0039078709669411,68084
3,2,9.999999747378752e-05,0.800000011920929,0.8222934603691101,0.0039587132632732,68063
3,3,0.0010000000474974,0.800000011920929,0.8139313459396362,0.0040488261729478,68027
3,4,0.0003000000142492,0.800000011920929,0.8171206712722778,0.0040435781702399,68024
4,0,0.003000000026077,0.800000011920929,0.8980699777603149,0.0022985176183283,68085
4,1,0.0010000000474974,0.800000011920929,0.8924916982650757,0.0024465017486363,68084
4,2,0.0049999998882412,0.800000011920929,0.8821450471878052,0.0026254055555909,68063
4,3,0.0010000000474974,0.800000011920929,0.8831700682640076,0.0025422014296054,68027
4,4,0.003000000026077,0.800000011920929,0.8870149850845337,0.0024981768801808,68024
5,0,0.0010000000474974,0.800000011920929,0.9019623398780824,0.0022107528056949,68085
5,1,0.0010000000474974,0.800000011920929,0.902299463748932,0.0022233084309846,68084
5,2,0.0049999998882412,0.800000011920929,0.8906759023666382,0.0024353829212486,68063
5,3,9.999999747378752e-05,0.800000011920929,0.8911483883857727,0.0023685917258262,68027
5,4,0.0049999998882412,0.800000011920929,0.894267737865448,0.0023378105834126,68024
6,0,0.003000000026077,0.800000011920929,0.921092450618744,0.0017793761799111,68085
6,1,9.999999747378752e-05,0.800000011920929,0.9169341325759888,0.0018902792362496,68084
6,2,0.003000000026077,0.800000011920929,0.9105580449104308,0.0019924752414226,68063
6,3,9.999999747378752e-05,0.800000011920929,0.9052066802978516,0.0020626932382583,68027
6,4,0.0049999998882412,0.800000011920929,0.9132923483848572,0.0019171605817973,68024
7,0,9.999999747378752e-05,0.800000011920929,0.9259276390075684,0.0016703320434316,68085
7,1,9.999999747378752e-05,0.800000011920929,0.9243114590644836,0.0017224022885784,68084
7,2,0.0003000000142492,0.800000011920929,0.9192162156105042,0.0017996003152802,68063
7,3,9.999999747378752e-05,0.800000011920929,0.90724116563797,0.0020184109453111,68027
7,4,0.0010000000474974,0.800000011920929,0.9176348447799684,0.0018211514689028,68024
8,0,0.0049999998882412,0.800000011920929,0.9269105195999146,0.0016481678467243,68085
8,1,9.999999747378752e-05,0.800000011920929,0.9225192666053772,0.0017631761729717,68084
8,2,0.0003000000142492,0.800000011920929,0.9127451181411744,0.0019437393639236,68063
8,3,0.003000000026077,0.800000011920929,0.9103193283081056,0.0019514377927407,68027
