layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.004999999888241291,0.4000000059604645,0.08720672130584717,1.3361895084381104,68085
0,1,0.004999999888241291,0.800000011920929,0.08565694093704224,1.1950205564498901,68084
0,2,9.999999747378752e-05,0.4000000059604645,0.06863486766815186,1.7080943584442139,68063
0,3,0.004999999888241291,0.800000011920929,0.08231544494628906,1.1256194114685059,68027
0,4,9.999999747378752e-05,0.800000011920929,0.08839410543441772,1.0668655633926392,68024
1,0,9.999999747378752e-05,0.800000011920929,0.1611645221710205,1.2279266119003296,68085
1,1,0.004999999888241291,0.800000011920929,0.18147999048233032,1.0697826147079468,68084
1,2,0.0003000000142492354,0.4000000059604645,0.13854694366455078,1.5798777341842651,68063
1,3,0.003000000026077032,0.800000011920929,0.1817604899406433,1.0036414861679077,68027
1,4,0.004999999888241291,0.800000011920929,0.1845947504043579,0.9542805552482605,68024
2,0,0.003000000026077032,0.4000000059604645,0.1780097484588623,1.2032676935195923,68085
2,1,0.004999999888241291,0.800000011920929,0.19121932983398438,1.0570534467697144,68084
2,2,0.0003000000142492354,0.800000011920929,0.15643596649169922,1.5470699071884155,68063
2,3,9.999999747378752e-05,0.800000011920929,0.18334156274795532,1.001702070236206,68027
2,4,0.0010000000474974513,0.800000011920929,0.21236026287078857,0.9217861890792847,68024
3,0,9.999999747378752e-05,0.800000011920929,0.17045485973358154,1.2143269777297974,68085
3,1,9.999999747378752e-05,0.800000011920929,0.21560269594192505,1.0251851081848145,68084
3,2,0.0003000000142492354,0.4000000059604645,0.16604113578796387,1.5294543504714966,68063
3,3,0.003000000026077032,0.800000011920929,0.20756125450134277,0.9719945788383484,68027
3,4,0.003000000026077032,0.800000011920929,0.22687655687332153,0.9047974944114685,68024
4,0,9.999999747378752e-05,0.800000011920929,0.2144768238067627,1.149885654449463,68085
4,1,9.999999747378752e-05,0.800000011920929,0.2481555938720703,0.9826394319534302,68084
4,2,0.0003000000142492354,0.4000000059604645,0.1798500418663025,1.50412917137146,68063
4,3,0.003000000026077032,0.800000011920929,0.2230372428894043,0.9530119299888611,68027
4,4,9.999999747378752e-05,0.4000000059604645,0.2502892017364502,0.877397358417511,68024
5,0,9.999999747378752e-05,0.800000011920929,0.22085386514663696,1.1405504941940308,68085
5,1,0.0010000000474974513,0.4000000059604645,-0.16231763362884521,1.5191162824630737,68084
5,2,0.0010000000474974513,0.800000011920929,0.18406623601913452,1.496396780014038,68063
5,3,0.0010000000474974513,0.4000000059604645,0.24313890933990479,0.9283554553985596,68027
5,4,0.0003000000142492354,0.800000011920929,0.2521539330482483,0.8752150535583496,68024
6,0,0.0003000000142492354,0.800000011920929,0.1457574963569641,1.250480055809021,68085
6,1,0.0010000000474974513,0.10000000149011612,0.07671570777893066,1.2067065238952637,68084
6,2,0.003000000026077032,0.4000000059604645,0.18113768100738525,1.501767635345459,68063
6,3,0.004999999888241291,0.800000011920929,0.22207844257354736,0.9541879892349243,68027
6,4,0.003000000026077032,0.800000011920929,0.2802203297615051,0.8423685431480408,68024
7,0,0.004999999888241291,0.800000011920929,0.21055704355239868,1.155623435974121,68085
7,1,0.004999999888241291,0.800000011920929,0.23321062326431274,1.0021721124649048,68084
7,2,0.003000000026077032,0.4000000059604645,0.20954227447509766,1.4496746063232422,68063
7,3,0.0010000000474974513,0.4000000059604645,0.2152630090713501,0.9625477194786072,68027
7,4,0.003000000026077032,0.800000011920929,0.2833045721054077,0.8387590050697327,68024
8,0,9.999999747378752e-05,0.800000011920929,0.25524163246154785,1.090212106704712,68085
8,1,0.003000000026077032,0.800000011920929,0.28188270330429077,0.9385589957237244,68084
8,2,9.999999747378752e-05,0.800000011920929,0.21078121662139893,1.4474023580551147,68063
8,3,0.0003000000142492354,0.800000011920929,0.16202610731124878,1.027847409248352,68027
8,4,0.004999999888241291,0.800000011920929,0.292039155960083,0.8285368084907532,68024
9,0,0.003000000026077032,0.800000011920929,0.2719905376434326,1.0656943321228027,68085
9,1,0.003000000026077032,0.800000011920929,0.30834639072418213,0.9039717316627502,68084
9,2,0.0010000000474974513,0.800000011920929,0.20388340950012207,1.460052728652954,68063
9,3,9.999999747378752e-05,0.800000011920929,-0.017619967460632324,1.2481987476348877,68027
9,4,0.004999999888241291,0.800000011920929,0.308801531791687,0.8089195489883423,68024
10,0,0.003000000026077032,0.800000011920929,0.1756111979484558,1.206778883934021,68085
10,1,9.999999747378752e-05,0.800000011920929,0.3135225772857666,0.8972066640853882,68084
10,2,0.0003000000142492354,0.800000011920929,0.2253330945968628,1.4207146167755127,68063
10,3,0.003000000026077032,0.800000011920929,0.19606250524520874,0.9860988259315491,68027
10,4,0.0003000000142492354,0.800000011920929,0.317085862159729,0.7992242574691772,68024
11,0,0.004999999888241291,0.800000011920929,0.24279147386550903,1.1084372997283936,68085
11,1,0.0003000000142492354,0.800000011920929,0.3052658438682556,0.9079979658126831,68084
11,2,0.003000000026077032,0.800000011920929,0.24303817749023438,1.3882441520690918,68063
11,3,9.999999747378752e-05,0.4000000059604645,0.2831786870956421,0.8792432546615601,68027
11,4,0.003000000026077032,0.4000000059604645,0.31711888313293457,0.799185574054718,68024
12,0,0.004999999888241291,0.800000011920929,0.25676625967025757,1.0879802703857422,68085
12,1,0.004999999888241291,0.800000011920929,0.3258681893348694,0.8810712695121765,68084
12,2,0.003000000026077032,0.800000011920929,0.2500919699668884,1.3753076791763306,68063
12,3,9.999999747378752e-05,0.4000000059604645,0.28764259815216064,0.8737679123878479,68027
12,4,9.999999747378752e-05,0.800000011920929,0.3033908009529114,0.8152517676353455,68024
13,0,0.004999999888241291,0.800000011920929,0.2882160544395447,1.0419425964355469,68085
13,1,0.004999999888241291,0.800000011920929,0.3386661410331726,0.8643447160720825,68084
13,2,0.003000000026077032,0.800000011920929,0.2673356533050537,1.3436833620071411,68063
13,3,0.0010000000474974513,0.800000011920929,0.2911776304244995,0.8694319128990173,68027
13,4,0.003000000026077032,0.800000011920929,0.3373569846153259,0.7755007147789001,68024
14,0,0.004999999888241291,0.800000011920929,0.299060583114624,1.0260679721832275,68085
14,1,0.004999999888241291,0.800000011920929,0.32458120584487915,0.882753312587738,68084
14,2,0.003000000026077032,0.800000011920929,0.26002341508865356,1.3570938110351562,68063
14,3,0.0003000000142492354,0.4000000059604645,0.32388782501220703,0.8293099403381348,68027
14,4,0.0003000000142492354,0.800000011920929,0.3479524850845337,0.7631006240844727,68024
15,0,9.999999747378752e-05,0.800000011920929,0.2957226634025574,1.030954122543335,68085
15,1,9.999999747378752e-05,0.4000000059604645,0.2898731231689453,0.9281157851219177,68084
15,2,0.003000000026077032,0.800000011920929,0.2716599702835083,1.3357527256011963,68063
15,3,0.004999999888241291,0.800000011920929,0.3305369019508362,0.8211542963981628,68027
15,4,0.0003000000142492354,0.800000011920929,0.3583834767341614,0.7508930563926697,68024
16,0,9.999999747378752e-05,0.800000011920929,0.3076242208480835,1.013532042503357,68085
16,1,0.003000000026077032,0.800000011920929,0.30526304244995117,0.9080016016960144,68084
16,2,0.003000000026077032,0.800000011920929,0.2745305895805359,1.3304880857467651,68063
16,3,0.004999999888241291,0.800000011920929,0.34149861335754395,0.8077087998390198,68027
16,4,0.003000000026077032,0.800000011920929,0.36372339725494385,0.7446437478065491,68024
17,0,9.999999747378752e-05,0.800000011920929,0.3038933277130127,1.0189934968948364,68085
17,1,0.003000000026077032,0.800000011920929,0.35519206523895264,0.8427457809448242,68084
17,2,0.0003000000142492354,0.800000011920929,0.2658260464668274,1.3464518785476685,68063
17,3,9.999999747378752e-05,0.800000011920929,0.34075725078582764,0.8086181879043579,68027
17,4,0.0003000000142492354,0.800000011920929,0.3701436519622803,0.7371299862861633,68024
18,0,9.999999747378752e-05,0.800000011920929,0.31876832246780396,0.9972187876701355,68085
18,1,0.004999999888241291,0.800000011920929,0.3505333662033081,0.8488345146179199,68084
18,2,0.004999999888241291,0.800000011920929,0.2789316177368164,1.3224166631698608,68063
18,3,9.999999747378752e-05,0.800000011920929,0.315843403339386,0.8391771912574768,68027
18,4,0.0003000000142492354,0.800000011920929,0.3599984049797058,0.7490031123161316,68024
19,0,0.003000000026077032,0.4000000059604645,0.3176131248474121,0.9989097714424133,68085
19,1,0.0010000000474974513,0.800000011920929,0.355887770652771,0.8418365120887756,68084
19,2,0.003000000026077032,0.800000011920929,0.271518349647522,1.3360124826431274,68063
19,3,9.999999747378752e-05,0.800000011920929,0.3456980586051941,0.8025578260421753,68027
19,4,0.0003000000142492354,0.800000011920929,0.3676866292953491,0.7400054931640625,68024
20,0,0.003000000026077032,0.4000000059604645,0.3157672882080078,1.0016118288040161,68085
20,1,0.0010000000474974513,0.800000011920929,0.3141850233078003,0.8963408470153809,68084
20,2,0.0003000000142492354,0.800000011920929,0.26486968994140625,1.3482059240341187,68063
20,3,0.0003000000142492354,0.800000011920929,0.3312007784843445,0.8203399777412415,68027
20,4,0.0010000000474974513,0.800000011920929,0.3684893846511841,0.739065945148468,68024
21,0,0.003000000026077032,0.4000000059604645,0.31140732765197754,1.0079941749572754,68085
21,1,0.0003000000142492354,0.800000011920929,0.3507117033004761,0.8486014604568481,68084
21,2,0.0003000000142492354,0.800000011920929,0.2607513666152954,1.355758786201477,68063
21,3,0.0003000000142492354,0.800000011920929,0.33090639114379883,0.8207011222839355,68027
21,4,0.0003000000142492354,0.800000011920929,0.36928486824035645,0.7381349802017212,68024
22,0,0.0010000000474974513,0.800000011920929,0.30621498823165894,1.0155949592590332,68085
22,1,0.0010000000474974513,0.800000011920929,0.3426011800765991,0.8592017292976379,68084
22,2,0.004999999888241291,0.800000011920929,0.2760515809059143,1.3276985883712769,68063
22,3,0.0003000000142492354,0.800000011920929,0.3406679630279541,0.8087277412414551,68027
22,4,0.004999999888241291,0.800000011920929,0.36683380603790283,0.7410035133361816,68024
23,0,0.0003000000142492354,0.800000011920929,0.30811142921447754,1.0128189325332642,68085
23,1,0.003000000026077032,0.800000011920929,0.3457612991333008,0.8550715446472168,68084
23,2,9.999999747378752e-05,0.800000011920929,0.2738569974899292,1.3317233324050903,68063
23,3,0.004999999888241291,0.800000011920929,0.33994728326797485,0.8096116781234741,68027
23,4,0.0003000000142492354,0.800000011920929,0.36328285932540894,0.7451592683792114,68024
