layer,fold,best_lr,best_wd,r2,mse,n_test_windows,cos_sim_mean
0,0,0.003000000026077032,0.4000000059604645,0.05133514851331711,0.2440762221813202,67413,0.4980769157409668
0,1,0.003000000026077032,0.800000011920929,0.039790112525224686,0.2490210235118866,67412,0.48812317848205566
0,2,0.004999999888241291,0.800000011920929,0.047903865575790405,0.24558885395526886,67400,0.5012946128845215
0,3,0.004999999888241291,0.4000000059604645,0.036647070199251175,0.2513425350189209,67412,0.48900243639945984
0,4,9.999999747378752e-05,0.10000000149011612,0.0367923378944397,0.2449491024017334,67412,0.5047479867935181
1,0,0.0010000000474974513,0.800000011920929,0.13099363446235657,0.22358228266239166,67413,0.5408151745796204
1,1,9.999999747378752e-05,0.4000000059604645,0.1408853679895401,0.22280219197273254,67412,0.5425233840942383
1,2,0.0003000000142492354,0.800000011920929,0.1278018355369568,0.2249796837568283,67400,0.5439945459365845
1,3,0.0003000000142492354,0.4000000059604645,0.13283827900886536,0.22624607384204865,67412,0.5419371724128723
1,4,0.0003000000142492354,0.800000011920929,0.13558392226696014,0.21982623636722565,67412,0.5560570955276489
2,0,0.003000000026077032,0.800000011920929,0.1495535522699356,0.2188066691160202,67413,0.5506178736686707
2,1,9.999999747378752e-05,0.800000011920929,0.16669459640979767,0.21610917150974274,67412,0.550988495349884
2,2,0.0003000000142492354,0.800000011920929,0.15260210633277893,0.21858231723308563,67400,0.5548141598701477
2,3,9.999999747378752e-05,0.800000011920929,0.15427272021770477,0.22065448760986328,67412,0.5568104386329651
2,4,0.004999999888241291,0.800000011920929,0.15873849391937256,0.21393825113773346,67412,0.5647311806678772
3,0,0.003000000026077032,0.4000000059604645,0.17328649759292603,0.2127009481191635,67413,0.5654265880584717
3,1,9.999999747378752e-05,0.4000000059604645,0.1853642612695694,0.2112666517496109,67412,0.5653640627861023
3,2,0.0010000000474974513,0.800000011920929,0.17586641013622284,0.21258218586444855,67400,0.5659529566764832
3,3,0.0010000000474974513,0.800000011920929,0.17305907607078552,0.21575315296649933,67412,0.5614848136901855
3,4,0.0003000000142492354,0.800000011920929,0.17822393774986267,0.20898178219795227,67412,0.5776781439781189
4,0,0.0003000000142492354,0.800000011920929,0.18292036652565002,0.21022307872772217,67413,0.5695414543151855
4,1,0.0010000000474974513,0.800000011920929,0.20908649265766144,0.20511555671691895,67412,0.579072892665863
4,2,0.0003000000142492354,0.800000011920929,0.19703876972198486,0.20711995661258698,67400,0.5784016847610474
4,3,0.0010000000474974513,0.800000011920929,0.18939965963363647,0.21148887276649475,67412,0.5697041153907776
4,4,9.999999747378752e-05,0.800000011920929,0.1900024265050888,0.2059876024723053,67412,0.5800896286964417
5,0,0.0010000000474974513,0.800000011920929,0.21474850177764893,0.20203329622745514,67413,0.5885791778564453
5,1,0.004999999888241291,0.4000000059604645,0.22083237767219543,0.2020689696073532,67412,0.5875303149223328
5,2,0.003000000026077032,0.800000011920929,0.21099135279655457,0.20352105796337128,67400,0.5828705430030823
5,3,9.999999747378752e-05,0.800000011920929,0.20818108320236206,0.20658981800079346,67412,0.5798724293708801
5,4,0.004999999888241291,0.800000011920929,0.20631438493728638,0.20183847844600677,67412,0.5905952453613281
6,0,9.999999747378752e-05,0.800000011920929,0.22365936636924744,0.1997407227754593,67413,0.5984355807304382
6,1,0.0003000000142492354,0.4000000059604645,0.227919802069664,0.20023123919963837,67412,0.5900958776473999
6,2,0.004999999888241291,0.800000011920929,0.22422170639038086,0.200108602643013,67400,0.5933894515037537
6,3,9.999999747378752e-05,0.800000011920929,0.2147664576768875,0.20487190783023834,67412,0.5856592655181885
6,4,0.0010000000474974513,0.800000011920929,0.2185383439064026,0.19873081147670746,67412,0.600397527217865
7,0,0.004999999888241291,0.800000011920929,0.23805151879787445,0.19603709876537323,67413,0.6061433553695679
7,1,9.999999747378752e-05,0.800000011920929,0.24220380187034607,0.19652599096298218,67412,0.5978678464889526
7,2,9.999999747378752e-05,0.800000011920929,0.21824650466442108,0.20164991915225983,67400,0.5901110768318176
7,3,0.0010000000474974513,0.800000011920929,0.22323466837406158,0.20266205072402954,67412,0.5868869423866272
7,4,0.0010000000474974513,0.800000011920929,0.22713468968868256,0.19654379785060883,67412,0.6056201457977295
8,0,0.003000000026077032,0.800000011920929,0.25505563616752625,0.19166342914104462,67413,0.6147796511650085
8,1,9.999999747378752e-05,0.800000011920929,0.2587116062641144,0.19224564731121063,67412,0.6067683696746826
8,2,0.0003000000142492354,0.800000011920929,0.25547945499420166,0.1920461803674698,67400,0.6100757122039795
8,3,0.003000000026077032,0.800000011920929,0.23978805541992188,0.19834303855895996,67412,0.5940865278244019
8,4,0.003000000026077032,0.800000011920929,0.2469099909067154,0.19151508808135986,67412,0.6115931868553162
9,0,9.999999747378752e-05,0.800000011920929,0.27397850155830383,0.18679504096508026,67413,0.6243612170219421
9,1,0.0010000000474974513,0.800000011920929,0.2736082673072815,0.18838228285312653,67412,0.6153039336204529
9,2,0.004999999888241291,0.800000011920929,0.26889917254447937,0.18858474493026733,67400,0.6165221333503723
9,3,0.004999999888241291,0.800000011920929,0.2567690908908844,0.19391165673732758,67412,0.6009551286697388
9,4,0.003000000026077032,0.800000011920929,0.24514852464199066,0.1919630914926529,67412,0.6060707569122314
10,0,0.004999999888241291,0.800000011920929,0.27488571405410767,0.18656125664710999,67413,0.6253461837768555
10,1,0.003000000026077032,0.800000011920929,0.279266893863678,0.18691493570804596,67412,0.6168567538261414
10,2,0.003000000026077032,0.800000011920929,0.2725771367549896,0.18763573467731476,67400,0.6194193959236145
10,3,0.004999999888241291,0.800000011920929,0.2580064833164215,0.1935892254114151,67412,0.6020979881286621
10,4,0.004999999888241291,0.800000011920929,0.251338928937912,0.19038940966129303,67412,0.609828770160675
11,0,9.999999747378752e-05,0.800000011920929,0.28636929392814636,0.18360646069049835,67413,0.6344237923622131
11,1,0.0003000000142492354,0.800000011920929,0.28952693939208984,0.18425442278385162,67412,0.6255549788475037
11,2,0.0003000000142492354,0.800000011920929,0.2789255678653717,0.1859980672597885,67400,0.6232671737670898
11,3,0.003000000026077032,0.800000011920929,0.267570436000824,0.19109439849853516,67412,0.6078761219978333
11,4,0.0003000000142492354,0.800000011920929,0.26019608974456787,0.1881367266178131,67412,0.6159568428993225
12,0,0.003000000026077032,0.800000011920929,0.29301196336746216,0.18189789354801178,67413,0.6386701464653015
12,1,0.003000000026077032,0.4000000059604645,0.30536699295043945,0.1801462322473526,67412,0.6389818787574768
12,2,0.0003000000142492354,0.800000011920929,0.29559409618377686,0.1816985011100769,67400,0.6332846879959106
12,3,0.004999999888241291,0.800000011920929,0.28565824031829834,0.18637488782405853,67412,0.618476927280426
12,4,0.0010000000474974513,0.800000011920929,0.26729053258895874,0.1863325983285904,67412,0.6189670562744141
13,0,0.004999999888241291,0.800000011920929,0.2967910170555115,0.1809254139661789,67413,0.6397922039031982
13,1,9.999999747378752e-05,0.800000011920929,0.3064657747745514,0.17986033856868744,67412,0.6392734050750732
13,2,0.0010000000474974513,0.800000011920929,0.2975082993507385,0.18120501935482025,67400,0.6347731947898865
13,3,0.0010000000474974513,0.800000011920929,0.288616806268692,0.18560358881950378,67412,0.6198424696922302
13,4,0.0010000000474974513,0.800000011920929,0.27987563610076904,0.18313153088092804,67412,0.6284503936767578
14,0,0.003000000026077032,0.800000011920929,0.2978875935077667,0.18064330518245697,67413,0.6402472853660583
14,1,0.003000000026077032,0.4000000059604645,0.31062591075897217,0.17878228425979614,67412,0.6408295631408691
14,2,9.999999747378752e-05,0.800000011920929,0.29556530714035034,0.1817062944173813,67400,0.6335157752037048
14,3,9.999999747378752e-05,0.800000011920929,0.2881375253200531,0.18572759628295898,67412,0.6180617213249207
14,4,0.0003000000142492354,0.800000011920929,0.281955748796463,0.18260325491428375,67412,0.6299456357955933
15,0,0.004999999888241291,0.800000011920929,0.30054253339767456,0.17996007204055786,67413,0.6444360017776489
15,1,0.0010000000474974513,0.4000000059604645,0.3098224103450775,0.17899081110954285,67412,0.6408704519271851
15,2,9.999999747378752e-05,0.800000011920929,0.2957797646522522,0.18165059387683868,67400,0.6357289552688599
15,3,0.0010000000474974513,0.800000011920929,0.28895628452301025,0.18551507592201233,67412,0.6197742223739624
15,4,9.999999747378752e-05,0.800000011920929,0.28057289123535156,0.18295444548130035,67412,0.6305403709411621
16,0,0.004999999888241291,0.800000011920929,0.30099716782569885,0.179843470454216,67413,0.6431957483291626
16,1,9.999999747378752e-05,0.4000000059604645,0.3035341501235962,0.1806214302778244,67412,0.6398444771766663
16,2,0.0003000000142492354,0.800000011920929,0.2989991307258606,0.18082000315189362,67400,0.6373211741447449
16,3,0.0010000000474974513,0.800000011920929,0.29229405522346497,0.1846436709165573,67412,0.6229966878890991
16,4,0.0003000000142492354,0.800000011920929,0.28200429677963257,0.1825905293226242,67412,0.631136417388916
17,0,0.004999999888241291,0.800000011920929,0.2988169193267822,0.18040381371974945,67413,0.6430899500846863
17,1,0.0010000000474974513,0.4000000059604645,0.30551666021347046,0.18010768294334412,67412,0.6393317580223083
