layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0010000000474974513,0.10000000149011612,0.05463879927992821,19.148157119750977,68085
0,1,9.999999747378752e-05,0.4000000059604645,0.031226200982928276,20.146772384643555,68084
0,2,0.003000000026077032,0.10000000149011612,0.04602498933672905,20.017162322998047,68063
0,3,0.004999999888241291,0.10000000149011612,0.03643844649195671,20.949865341186523,68027
0,4,0.0010000000474974513,0.10000000149011612,0.07852306216955185,18.756120681762695,68024
1,0,9.999999747378752e-05,0.4000000059604645,0.12087232619524,17.80653953552246,68085
1,1,0.0003000000142492,0.4000000059604645,0.1036954447627067,18.639753341674805,68084
1,2,0.003000000026077,0.4000000059604645,0.102725364267826,18.82735061645508,68063
1,3,9.999999747378752e-05,0.4000000059604645,0.1168115884065628,19.202390670776367,68027
1,4,0.003000000026077,0.4000000059604645,0.1334458589553833,17.638242721557617,68024
2,0,0.0003000000142492,0.800000011920929,0.0909338593482971,18.41290855407715,68085
2,1,0.003000000026077,0.1000000014901161,0.0860249698162078,19.007343292236328,68084
2,2,0.0003000000142492,0.4000000059604645,0.1056859418749809,18.76519012451172,68063
2,3,0.0049999998882412,0.1000000014901161,0.1100541427731514,19.34928703308105,68027
2,4,0.003000000026077,0.4000000059604645,0.0931391566991806,18.45862197875977,68024
3,0,0.003000000026077,0.4000000059604645,0.1565588414669037,17.08380126953125,68085
3,1,9.999999747378752e-05,0.4000000059604645,0.1479114592075348,17.720312118530273,68084
3,2,0.0049999998882412,0.4000000059604645,0.1484682559967041,17.8675594329834,68063
3,3,0.0010000000474974,0.800000011920929,0.1062716543674469,19.431486129760746,68027
3,4,0.003000000026077,0.4000000059604645,0.1075886860489845,18.164417266845703,68024
4,0,9.999999747378752e-05,0.800000011920929,0.1058259978890419,18.11124992370605,68085
4,1,0.0010000000474974,0.800000011920929,0.0990448966622352,18.73643493652344,68084
4,2,0.0003000000142492,0.800000011920929,0.0949397981166839,18.99060440063477,68063
4,3,0.0049999998882412,0.4000000059604645,0.111914075911045,19.308765411376957,68027
4,4,9.999999747378752e-05,0.800000011920929,0.1091323718428611,18.13306999206543,68024
5,0,0.0010000000474974,0.800000011920929,0.1462960094213485,17.291555404663086,68085
5,1,0.0049999998882412,0.4000000059604645,0.1887614727020263,16.870712280273438,68084
5,2,0.003000000026077,0.800000011920929,0.1407810002565384,18.02876853942871,68063
5,3,9.999999747378752e-05,0.800000011920929,0.1290879249572754,18.93543815612793,68027
5,4,0.0049999998882412,0.800000011920929,0.1495325416326522,17.310754776000977,68024
6,0,0.003000000026077,0.800000011920929,0.1394067406654358,17.43125343322754,68085
6,1,0.0003000000142492,0.4000000059604645,0.1863774955272674,16.920351028442383,68084
6,2,0.0049999998882412,0.4000000059604645,0.1379723846912384,18.08781242370605,68063
6,3,0.0049999998882412,0.4000000059604645,0.1694224029779434,18.05848503112793,68027
6,4,9.999999747378752e-05,0.800000011920929,0.1461921334266662,17.37872886657715,68024
7,0,0.0049999998882412,0.800000011920929,0.1670050770044326,16.872127532958984,68085
