layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0010000000474974513,0.4000000059604645,0.3385527729988098,0.009728189557790756,68085
0,1,0.003000000026077032,0.4000000059604645,0.31163734197616577,0.009270106442272663,68084
0,2,0.0010000000474974513,0.4000000059604645,0.25417929887771606,0.011392909102141857,68063
0,3,0.0010000000474974513,0.4000000059604645,0.3221750259399414,0.008645385503768921,68027
0,4,9.999999747378752e-05,0.4000000059604645,0.3302385210990906,0.00851984042674303,68024
1,0,9.999999747378752e-05,0.800000011920929,0.5377366542816162,0.006798707414418459,68085
1,1,0.004999999888241291,0.800000011920929,0.5240945816040039,0.0064089675433933735,68084
1,2,0.0003000000142492354,0.4000000059604645,0.47518324851989746,0.008016926236450672,68063
1,3,9.999999747378752e-05,0.4000000059604645,0.5699827671051025,0.005484696943312883,68027
1,4,0.004999999888241291,0.800000011920929,0.5561407804489136,0.005646204110234976,68024
2,0,0.003000000026077032,0.4000000059604645,0.5880470871925354,0.006058769300580025,68085
2,1,0.004999999888241291,0.800000011920929,0.556490421295166,0.005972696468234062,68084
2,2,0.0003000000142492354,0.800000011920929,0.5191444158554077,0.007345390506088734,68063
2,3,0.0003000000142492354,0.800000011920929,0.5777108669281006,0.005386128090322018,68027
2,4,0.0010000000474974513,0.800000011920929,0.603817880153656,0.005039717070758343,68024
3,0,0.0003000000142492354,0.10000000149011612,0.6103391647338867,0.005730910692363977,68085
3,1,9.999999747378752e-05,0.800000011920929,0.6132550239562988,0.0052082533948123455,68084
3,2,0.0003000000142492354,0.4000000059604645,0.561748743057251,0.006694580893963575,68063
3,3,0.003000000026077032,0.800000011920929,0.6393189430236816,0.004600341897457838,68027
3,4,0.003000000026077032,0.800000011920929,0.6526012420654297,0.004419158678501844,68024
4,0,9.999999747378752e-05,0.800000011920929,0.6820122003555298,0.0046767848543822765,68085
4,1,9.999999747378752e-05,0.800000011920929,0.6722337007522583,0.004413994494825602,68084
4,2,0.0003000000142492354,0.4000000059604645,0.5935307741165161,0.006209088489413261,68063
4,3,0.003000000026077032,0.800000011920929,0.6858850717544556,0.004006409551948309,68027
4,4,9.999999747378752e-05,0.4000000059604645,0.7067561149597168,0.0037302703130990267,68024
5,0,9.999999747378752e-05,0.800000011920929,0.6900209188461304,0.004558995831757784,68085
5,1,0.0010000000474974513,0.4000000059604645,0.12056970596313477,0.011843194253742695,68084
5,2,0.0010000000474974513,0.800000011920929,0.5894408226013184,0.0062715657986700535,68063
5,3,0.0010000000474974513,0.4000000059604645,0.7192419767379761,0.0035809557884931564,68027
5,4,0.0003000000142492354,0.800000011920929,0.7203435301780701,0.00355742871761322,68024
6,0,0.0003000000142492354,0.800000011920929,0.6709890365600586,0.004838905762881041,68085
6,1,0.003000000026077032,0.4000000059604645,0.4967294931411743,0.006777490489184856,68084
6,2,0.003000000026077032,0.4000000059604645,0.6181792616844177,0.0058325668796896935,68063
6,3,0.004999999888241291,0.800000011920929,0.7119765877723694,0.0036736230831593275,68027
6,4,0.003000000026077032,0.800000011920929,0.7752472758293152,0.0028590138535946608,68024
7,0,0.004999999888241291,0.800000011920929,0.6875919103622437,0.004594720434397459,68085
7,1,0.004999999888241291,0.800000011920929,0.629137396812439,0.004994367714971304,68084
7,2,0.003000000026077032,0.4000000059604645,0.6422126293182373,0.005465440917760134,68063
7,3,0.0010000000474974513,0.4000000059604645,0.6906198859214783,0.00394601933658123,68027
7,4,0.003000000026077032,0.800000011920929,0.774404764175415,0.0028697308152914047,68024
8,0,0.004999999888241291,0.800000011920929,0.7496420741081238,0.0036821221001446247,68085
8,1,0.003000000026077032,0.800000011920929,0.7544304132461548,0.0033070596400648355,68084
8,2,0.003000000026077032,0.800000011920929,0.6738917827606201,0.004981520585715771,68063
8,3,0.0010000000474974513,0.4000000059604645,0.5665576457977295,0.0055283838883042336,68027
8,4,0.004999999888241291,0.800000011920929,0.7878887057304382,0.0026982061099261045,68024
9,0,0.003000000026077032,0.800000011920929,0.7008811235427856,0.0043992712162435055,68085
9,1,0.003000000026077032,0.800000011920929,0.8013949990272522,0.0026745921932160854,68084
9,2,0.0010000000474974513,0.800000011920929,0.5953673124313354,0.006181034725159407,68063
9,3,0.0003000000142492354,0.800000011920929,0.6496557593345642,0.0044685001485049725,68027
9,4,0.004999999888241291,0.800000011920929,0.791105329990387,0.00265728821977973,68024
10,0,0.0010000000474974513,0.800000011920929,0.4795669913291931,0.007654233369976282,68085
10,1,9.999999747378752e-05,0.800000011920929,0.8033829927444458,0.0026478206273168325,68084
10,2,0.0003000000142492354,0.800000011920929,0.6765583753585815,0.004940786398947239,68063
10,3,0.003000000026077032,0.800000011920929,0.6300046443939209,0.00471914280205965,68027
10,4,0.0003000000142492354,0.800000011920929,0.8356853723526001,0.002090198453515768,68024
11,0,0.004999999888241291,0.800000011920929,0.734103262424469,0.003910658415406942,68085
11,1,0.0003000000142492354,0.800000011920929,0.7776136994361877,0.002994852839037776,68084
