layer,fold,best_lr,best_wd,r2,mse,n_test_windows,cos_sim_mean
0,0,0.0003000000142492354,0.10000000149011612,-0.09719578921794891,0.33575063943862915,9957,0.24744383990764618
0,1,0.003000000026077032,0.4000000059604645,-1.1307640075683594,0.6683259606361389,9958,0.16627690196037292
0,2,0.004999999888241291,0.4000000059604645,-1.523370623588562,0.7902154922485352,9957,0.12505440413951874
0,3,0.003000000026077032,0.10000000149011612,-0.8181564211845398,0.5631082653999329,9957,0.08858083933591843
0,4,0.0003000000142492354,0.10000000149011612,-0.49797680974006653,0.45896047353744507,9956,0.16018787026405334
1,0,0.0003000000142492354,0.10000000149011612,0.22534872591495514,0.23704910278320312,9957,0.5134714841842651
1,1,9.999999747378752e-05,0.009999999776482582,0.17719516158103943,0.2580775022506714,9958,0.47795408964157104
1,2,0.003000000026077032,0.10000000149011612,0.17748743295669556,0.25757741928100586,9957,0.46333011984825134
1,3,0.004999999888241291,0.10000000149011612,0.1768258959054947,0.25494784116744995,9957,0.4643945097923279
1,4,0.004999999888241291,0.10000000149011612,0.16783826053142548,0.25496333837509155,9956,0.49101975560188293
2,0,0.004999999888241291,0.009999999776482582,0.30190205574035645,0.21362310647964478,9957,0.5814023017883301
2,1,0.004999999888241291,0.10000000149011612,0.26201921701431274,0.2314719259738922,9958,0.5306565165519714
2,2,0.004999999888241291,0.10000000149011612,0.2532104253768921,0.2338634580373764,9957,0.5243870615959167
2,3,0.0003000000142492354,0.10000000149011612,0.24918712675571442,0.23253664374351501,9957,0.5142503976821899
2,4,9.999999747378752e-05,0.10000000149011612,0.2587507665157318,0.22710947692394257,9956,0.5496833324432373
3,0,0.0010000000474974513,0.10000000149011612,0.34136199951171875,0.20154829323291779,9957,0.6090601682662964
3,1,0.003000000026077032,0.10000000149011612,0.3188486695289612,0.21364744007587433,9958,0.5757404565811157
3,2,0.0003000000142492354,0.10000000149011612,0.29856228828430176,0.21966134011745453,9957,0.5537951588630676
3,3,0.004999999888241291,0.10000000149011612,0.3113411068916321,0.2132868617773056,9957,0.5624212622642517
3,4,0.003000000026077032,0.10000000149011612,0.31586065888404846,0.20961154997348785,9956,0.5814367532730103
4,0,0.0010000000474974513,0.10000000149011612,0.4085659384727478,0.18098348379135132,9957,0.6560540199279785
4,1,0.003000000026077032,0.10000000149011612,0.3678238093852997,0.1982857584953308,9958,0.6058834791183472
4,2,0.0003000000142492354,0.10000000149011612,0.37780678272247314,0.1948452740907669,9957,0.6132649183273315
4,3,0.004999999888241291,0.10000000149011612,0.3719825744628906,0.19450511038303375,9957,0.6109270453453064
