layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.4000000059604645,-0.016171932220458984,0.43211349844932556,28200
0,1,0.003000000026077032,0.009999999776482582,0.06835663318634033,0.38299158215522766,28200
0,2,9.999999747378752e-05,0.10000000149011612,0.06543487310409546,0.4444057047367096,28200
0,3,0.0010000000474974513,0.009999999776482582,0.0649145245552063,0.4348229169845581,28200
0,4,0.0003000000142492354,0.10000000149011612,0.022082149982452393,0.37268659472465515,28200
1,0,9.999999747378752e-05,0.10000000149011612,0.22883272171020508,0.3279285430908203,28200
1,1,9.999999747378752e-05,0.800000011920929,0.20330524444580078,0.32751521468162537,28200
1,2,0.004999999888241291,0.10000000149011612,0.2157955765724182,0.372905969619751,28200
1,3,9.999999747378752e-05,0.10000000149011612,0.23450899124145508,0.35596001148223877,28200
1,4,9.999999747378752e-05,0.10000000149011612,0.21901768445968628,0.2976340055465698,28200
2,0,0.003000000026077032,0.10000000149011612,0.27280718088150024,0.3092289865016937,28200
2,1,0.004999999888241291,0.10000000149011612,0.2819722294807434,0.29517582058906555,28200
2,2,0.0003000000142492354,0.10000000149011612,0.28930020332336426,0.33795297145843506,28200
2,3,0.0010000000474974513,0.4000000059604645,0.2827221751213074,0.3335404694080353,28200
2,4,9.999999747378752e-05,0.10000000149011612,0.2793492078781128,0.2746415436267853,28200
3,0,0.0003000000142492354,0.10000000149011612,0.34390169382095337,0.278997004032135,28200
3,1,9.999999747378752e-05,0.10000000149011612,0.36044955253601074,0.26291435956954956,28200
3,2,0.0003000000142492354,0.10000000149011612,0.3603057265281677,0.3041883111000061,28200
3,3,9.999999747378752e-05,0.10000000149011612,0.3676670789718628,0.294040322303772,28200
3,4,0.003000000026077032,0.10000000149011612,0.3657602071762085,0.2417101263999939,28200
4,0,0.004999999888241291,0.10000000149011612,0.40787631273269653,0.25179263949394226,28200
4,1,0.004999999888241291,0.10000000149011612,0.3991418480873108,0.24700824916362762,28200
4,2,9.999999747378752e-05,0.10000000149011612,0.3989587426185608,0.2858079969882965,28200
4,3,0.0010000000474974513,0.10000000149011612,0.412362277507782,0.27325668931007385,28200
4,4,0.004999999888241291,0.10000000149011612,0.40127813816070557,0.22817417979240417,28200
5,0,0.003000000026077032,0.009999999776482582,0.5148279666900635,0.206312894821167,28200
5,1,0.0010000000474974513,0.10000000149011612,0.5046913027763367,0.20361767709255219,28200
5,2,0.0010000000474974513,0.10000000149011612,0.5129669904708862,0.23159460723400116,28200
5,3,0.004999999888241291,0.10000000149011612,0.522841215133667,0.22188298404216766,28200
5,4,0.004999999888241291,0.009999999776482582,0.4960409998893738,0.19205985963344574,28200
6,0,0.0003000000142492354,0.10000000149011612,0.6023672819137573,0.1690879762172699,28200
6,1,9.999999747378752e-05,0.009999999776482582,0.5917163491249084,0.1678423285484314,28200
6,2,9.999999747378752e-05,0.10000000149011612,0.5827479958534241,0.19841225445270538,28200
6,3,0.0010000000474974513,0.10000000149011612,0.5946536064147949,0.18848960101604462,28200
6,4,0.003000000026077032,0.009999999776482582,0.5935451984405518,0.15490080416202545,28200
7,0,0.0010000000474974513,0.009999999776482582,0.6814901828765869,0.13544203341007233,28200
7,1,0.004999999888241291,0.10000000149011612,0.6632273197174072,0.1384447067975998,28200
7,2,0.0010000000474974513,0.10000000149011612,0.6670733690261841,0.15831373631954193,28200
7,3,0.004999999888241291,0.10000000149011612,0.6703575849533081,0.15328660607337952,28200
7,4,0.003000000026077032,0.10000000149011612,0.6722673177719116,0.12489961087703705,28200
8,0,0.003000000026077032,0.009999999776482582,0.7088428735733032,0.12381065636873245,28200
8,1,0.0010000000474974513,0.10000000149011612,0.7038246393203735,0.121755450963974,28200
8,2,9.999999747378752e-05,0.10000000149011612,0.700334370136261,0.14249742031097412,28200
8,3,0.003000000026077032,0.10000000149011612,0.70759117603302,0.13597267866134644,28200
8,4,9.999999747378752e-05,0.10000000149011612,0.7041808366775513,0.11273732781410217,28200
9,0,0.0003000000142492354,0.10000000149011612,0.6918457746505737,0.13103845715522766,28200
