layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.004999999888241291,0.009999999776482582,-0.05462169647216797,3.386188268661499,28200
0,1,0.0010000000474974513,0.009999999776482582,0.14194339513778687,3.6425483226776123,28200
0,2,0.003000000026077032,0.10000000149011612,-0.07882273197174072,3.9315614700317383,28200
0,3,0.0010000000474974513,0.800000011920929,-0.26566970348358154,4.538632869720459,28200
0,4,0.004999999888241291,0.009999999776482582,0.049613356590270996,2.94050669670105,28200
1,0,0.004999999888241291,0.800000011920929,0.14092159271240234,2.758336067199707,28200
1,1,0.003000000026077032,0.800000011920929,0.24780410528182983,3.193157434463501,28200
1,2,0.0003000000142492354,0.10000000149011612,0.21894538402557373,2.846402883529663,28200
1,3,0.0003000000142492354,0.800000011920929,0.22659456729888916,2.7733962535858154,28200
1,4,0.0003000000142492354,0.4000000059604645,0.12729161977767944,2.700169324874878,28200
2,0,0.0003000000142492354,0.800000011920929,0.18889671564102173,2.604297161102295,28200
2,1,9.999999747378752e-05,0.10000000149011612,0.2645471692085266,3.1220810413360596,28200
2,2,0.003000000026077032,0.009999999776482582,0.2036426067352295,2.9021708965301514,28200
2,3,9.999999747378752e-05,0.10000000149011612,0.2565942406654358,2.665818691253662,28200
2,4,0.0010000000474974513,0.10000000149011612,0.1321842074394226,2.6850316524505615,28200
3,0,0.003000000026077032,0.800000011920929,0.23570400476455688,2.454007863998413,28200
3,1,0.0003000000142492354,0.10000000149011612,0.24698621034622192,3.196629524230957,28200
3,2,0.0003000000142492354,0.800000011920929,0.28435754776000977,2.608020782470703,28200
3,3,0.004999999888241291,0.800000011920929,0.3181665539741516,2.44502329826355,28200
3,4,0.0010000000474974513,0.4000000059604645,0.17479991912841797,2.553178310394287,28200
4,0,0.003000000026077032,0.009999999776482582,0.18878519535064697,2.6046552658081055,28200
4,1,0.003000000026077032,0.4000000059604645,0.3448578119277954,2.7811532020568848,28200
4,2,0.004999999888241291,0.4000000059604645,0.32565993070602417,2.4575021266937256,28200
4,3,9.999999747378752e-05,0.10000000149011612,0.3654046058654785,2.275629758834839,28200
