layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.004999999888241291,0.10000000149011612,0.30528706312179565,341.293212890625,28200
0,1,9.999999747378752e-05,0.4000000059604645,0.30485808849334717,332.5347595214844,28200
0,2,0.0003000000142492354,0.4000000059604645,0.3294070363044739,370.0208740234375,28200
0,3,0.004999999888241291,0.10000000149011612,0.30443763732910156,375.6322937011719,28200
0,4,0.0010000000474974513,0.10000000149011612,0.1033475399017334,397.7176818847656,28200
1,0,9.999999747378752e-05,0.800000011920929,0.12576782703399658,429.4860534667969,28200
1,1,0.0010000000474974513,0.800000011920929,0.3185557723045349,325.9822082519531,28200
1,2,0.0010000000474974513,0.800000011920929,0.3121095299720764,379.5653076171875,28200
1,3,9.999999747378752e-05,0.800000011920929,0.33344292640686035,359.96826171875,28200
1,4,0.004999999888241291,0.800000011920929,0.2887284755706787,315.49041748046875,28200
2,0,0.003000000026077032,0.4000000059604645,0.24073559045791626,373.00555419921875,28200
2,1,0.004999999888241291,0.800000011920929,0.28567129373550415,341.713134765625,28200
2,2,9.999999747378752e-05,0.800000011920929,0.2711915373802185,402.14312744140625,28200
2,3,0.0003000000142492354,0.800000011920929,0.2856752872467041,385.7647399902344,28200
2,4,0.0010000000474974513,0.800000011920929,0.2937365770339966,313.26904296875,28200
3,0,0.003000000026077032,0.800000011920929,0.2666088938713074,360.29473876953125,28200
3,1,9.999999747378752e-05,0.800000011920929,0.2808043360710144,344.04132080078125,28200
3,2,0.003000000026077032,0.800000011920929,0.2710569500923157,402.2173767089844,28200
3,3,0.003000000026077032,0.800000011920929,0.26890450716018677,394.8216552734375,28200
3,4,0.003000000026077032,0.800000011920929,0.2832759618759155,317.908935546875,28200
4,0,9.999999747378752e-05,0.800000011920929,0.30265235900878906,342.58758544921875,28200
4,1,9.999999747378752e-05,0.800000011920929,0.29144591093063354,338.9507141113281,28200
4,2,0.0010000000474974513,0.800000011920929,0.2740074396133423,400.58935546875,28200
4,3,0.003000000026077032,0.800000011920929,0.2841326594352722,386.59783935546875,28200
4,4,9.999999747378752e-05,0.800000011920929,0.2548050880432129,330.5374450683594,28200
5,0,0.0003000000142492354,0.800000011920929,0.285505473613739,351.0113830566406,28200
5,1,0.0010000000474974513,0.4000000059604645,-0.33139491081237793,636.8988037109375,28200
5,2,0.003000000026077032,0.800000011920929,0.1463213562965393,471.044189453125,28200
5,3,9.999999747378752e-05,0.4000000059604645,0.2864587903022766,385.3416442871094,28200
5,4,0.003000000026077032,0.800000011920929,0.2703167200088501,323.6571350097656,28200
6,0,0.0010000000474974513,0.4000000059604645,0.20803165435791016,389.0721130371094,28200
6,1,0.0010000000474974513,0.4000000059604645,0.01599264144897461,470.71917724609375,28200
6,2,9.999999747378752e-05,0.4000000059604645,0.23602724075317383,421.546142578125,28200
6,3,0.004999999888241291,0.4000000059604645,0.2434421181678772,408.5724182128906,28200
6,4,0.003000000026077032,0.800000011920929,0.32443761825561523,299.6513366699219,28200
7,0,0.0010000000474974513,0.800000011920929,0.35534244775772095,316.7024230957031,28200
7,1,0.004999999888241291,0.800000011920929,0.34294605255126953,314.3146057128906,28200
7,2,0.0010000000474974513,0.800000011920929,0.3402438163757324,364.0413513183594,28200
7,3,0.0010000000474974513,0.4000000059604645,0.22474533319473267,418.66943359375,28200
7,4,0.003000000026077032,0.800000011920929,0.38736724853515625,271.7383728027344,28200
8,0,0.004999999888241291,0.800000011920929,0.39052629470825195,299.41754150390625,28200
8,1,0.0003000000142492354,0.800000011920929,0.26016414165496826,353.91497802734375,28200
8,2,0.003000000026077032,0.800000011920929,0.3588777184486389,353.7594909667969,28200
8,3,0.004999999888241291,0.4000000059604645,0.34481459856033325,353.82708740234375,28200
8,4,0.004999999888241291,0.800000011920929,0.390377402305603,270.4031982421875,28200
9,0,0.003000000026077032,0.800000011920929,0.4001186490058899,294.7051086425781,28200
9,1,0.0003000000142492354,0.800000011920929,0.4006131887435913,286.7283935546875,28200
9,2,9.999999747378752e-05,0.800000011920929,0.4151347875595093,322.7178649902344,28200
9,3,0.004999999888241291,0.800000011920929,0.3641613721847534,343.3790283203125,28200
9,4,0.004999999888241291,0.800000011920929,0.43423759937286377,250.94863891601562,28200
10,0,0.0010000000474974513,0.800000011920929,0.42304009199142456,283.4444274902344,28200
10,1,9.999999747378752e-05,0.800000011920929,0.4280667304992676,273.595458984375,28200
10,2,0.0003000000142492354,0.800000011920929,0.36653345823287964,349.53521728515625,28200
10,3,0.003000000026077032,0.800000011920929,0.4155803918838501,315.6106262207031,28200
10,4,0.0010000000474974513,0.800000011920929,0.22215694189071655,345.018798828125,28200
11,0,9.999999747378752e-05,0.800000011920929,0.3639928698539734,312.45269775390625,28200
11,1,0.0010000000474974513,0.4000000059604645,0.4196845293045044,277.6052551269531,28200
11,2,0.003000000026077032,0.800000011920929,0.411638081073761,324.6473083496094,28200
11,3,9.999999747378752e-05,0.4000000059604645,0.3960440754890442,326.16107177734375,28200
11,4,9.999999747378752e-05,0.800000011920929,0.44024932384490967,248.28208923339844,28200
12,0,0.003000000026077032,0.800000011920929,0.4457201361656189,272.3023681640625,28200
12,1,0.004999999888241291,0.800000011920929,0.44913649559020996,263.516357421875,28200
