layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0010000000474974513,0.10000000149011612,-4.241913795471191,0.050859484821558,28200
0,1,0.004999999888241291,0.10000000149011612,0.26653382182121277,0.006650750059634447,28200
0,2,0.003000000026077032,0.009999999776482582,-1.663446068763733,0.02855437621474266,28200
0,3,9.999999747378752e-05,0.10000000149011612,-3.750178575515747,0.04736664518713951,28200
0,4,0.0010000000474974513,0.4000000059604645,0.42630112171173096,0.004891619551926851,28200
1,0,0.0003000000142492354,0.800000011920929,0.6891571879386902,0.003015939611941576,28200
1,1,0.004999999888241291,0.800000011920929,0.6912304162979126,0.002799790818244219,28200
1,2,0.0010000000474974513,0.800000011920929,0.6934636235237122,0.0032863246742635965,28200
1,3,0.0010000000474974513,0.800000011920929,0.7147449254989624,0.0028444421477615833,28200
1,4,9.999999747378752e-05,0.800000011920929,0.6944916248321533,0.002604902256280184,28200
2,0,0.0003000000142492354,0.800000011920929,0.7541981339454651,0.0023848896380513906,28200
2,1,9.999999747378752e-05,0.800000011920929,0.7418230175971985,0.0023410283029079437,28200
2,2,0.0010000000474974513,0.800000011920929,0.738807201385498,0.0028002175968140364,28200
2,3,0.0010000000474974513,0.800000011920929,0.7584124803543091,0.002408998552709818,28200
2,4,9.999999747378752e-05,0.800000011920929,0.7106044292449951,0.0024675114545971155,28200
3,0,0.003000000026077032,0.4000000059604645,0.8105852007865906,0.0018377890810370445,28200
3,1,0.0010000000474974513,0.800000011920929,0.7671105861663818,0.002111737849190831,28200
3,2,9.999999747378752e-05,0.800000011920929,0.7997816801071167,0.002146505517885089,28200
3,3,0.0010000000474974513,0.800000011920929,0.8243855834007263,0.0017511493060737848,28200
3,4,0.0010000000474974513,0.800000011920929,0.7862442135810852,0.0018225798849016428,28200
4,0,0.003000000026077032,0.800000011920929,0.8206930756568909,0.0017397166229784489,28200
4,1,0.0003000000142492354,0.800000011920929,0.8198948502540588,0.0016331186052411795,28200
4,2,0.004999999888241291,0.800000011920929,0.8180006742477417,0.0019511858699843287,28200
4,3,0.0010000000474974513,0.800000011920929,0.8423258066177368,0.0015722562093287706,28200
4,4,0.0003000000142492354,0.800000011920929,0.8036440014839172,0.0016742199659347534,28200
5,0,0.0010000000474974513,0.800000011920929,0.8560072183609009,0.001397081883624196,28200
5,1,0.004999999888241291,0.800000011920929,0.8496181964874268,0.001363599905744195,28200
5,2,0.003000000026077032,0.800000011920929,0.8383123874664307,0.0017334226286038756,28200
5,3,9.999999747378752e-05,0.800000011920929,0.8578994274139404,0.0014169616624712944,28200
5,4,0.004999999888241291,0.800000011920929,0.8487151265144348,0.0012899249559268355,28200
6,0,0.003000000026077032,0.800000011920929,0.8722726702690125,0.0012392677599564195,28200
6,1,0.003000000026077032,0.800000011920929,0.8698992729187012,0.0011796997860074043,28200
6,2,0.0003000000142492354,0.800000011920929,0.8617921471595764,0.001481705578044057,28200
6,3,0.0010000000474974513,0.800000011920929,0.8798348307609558,0.0011982321739196777,28200
6,4,0.0010000000474974513,0.800000011920929,0.857808530330658,0.0012123904889449477,28200
7,0,0.004999999888241291,0.800000011920929,0.8986386060714722,0.0009834563825279474,28200
7,1,9.999999747378752e-05,0.800000011920929,0.8928735852241516,0.0009713758481666446,28200
7,2,9.999999747378752e-05,0.800000011920929,0.8828654885292053,0.0012557817390188575,28200
7,3,0.003000000026077032,0.800000011920929,0.8961334824562073,0.0010357090504840016,28200
7,4,0.003000000026077032,0.800000011920929,0.8779003024101257,0.001041078008711338,28200
8,0,0.003000000026077032,0.800000011920929,0.9047423601150513,0.0009242339874617755,28200
8,1,0.003000000026077032,0.800000011920929,0.901439368724823,0.0008937050006352365,28200
8,2,9.999999747378752e-05,0.800000011920929,0.8911653161048889,0.0011668000370264053,28200
8,3,9.999999747378752e-05,0.800000011920929,0.9077863097190857,0.0009195140446536243,28200
8,4,9.999999747378752e-05,0.800000011920929,0.8985922932624817,0.0008646493079140782,28200
9,0,0.0003000000142492354,0.800000011920929,0.9075823426246643,0.0008966802270151675,28200
9,1,0.003000000026077032,0.4000000059604645,0.9020930528640747,0.0008877800428308547,28200
9,2,9.999999747378752e-05,0.4000000059604645,0.8954674005508423,0.0011206764029338956,28200
9,3,9.999999747378752e-05,0.800000011920929,0.9083390831947327,0.0009140020702034235,28200
9,4,0.0010000000474974513,0.4000000059604645,0.9082052707672119,0.0007826829678378999,28200
10,0,0.0003000000142492354,0.800000011920929,0.9221898913383484,0.0007549489964731038,28200
10,1,9.999999747378752e-05,0.4000000059604645,0.9173665046691895,0.0007492852164432406,28200
10,2,0.003000000026077032,0.800000011920929,0.9122729301452637,0.0009405075688846409,28200
10,3,0.003000000026077032,0.800000011920929,0.9221479892730713,0.0007763021858409047,28200
10,4,0.0003000000142492354,0.800000011920929,0.9174261093139648,0.0007040616474114358,28200
11,0,0.0010000000474974513,0.800000011920929,0.9292283058166504,0.0006866600015200675,28200
11,1,0.0010000000474974513,0.800000011920929,0.9236228466033936,0.0006925573106855154,28200
11,2,0.0003000000142492354,0.800000011920929,0.9235895276069641,0.0008191857486963272,28200
11,3,0.0003000000142492354,0.800000011920929,0.9299330115318298,0.0006986765074543655,28200
11,4,9.999999747378752e-05,0.800000011920929,0.9295661449432373,0.0006005506729707122,28200
12,0,0.0010000000474974513,0.4000000059604645,0.9355266094207764,0.0006255506305024028,28200
12,1,9.999999747378752e-05,0.4000000059604645,0.9356353282928467,0.0005836303462274373,28200
12,2,0.003000000026077032,0.4000000059604645,0.9345570206642151,0.0007016032468527555,28200
12,3,0.004999999888241291,0.4000000059604645,0.939098060131073,0.0006072865216992795,28200
12,4,0.003000000026077032,0.4000000059604645,0.9393869042396545,0.0005168154020793736,28200
13,0,0.004999999888241291,0.4000000059604645,0.9399576187133789,0.0005825597909279168,28200
13,1,0.0003000000142492354,0.4000000059604645,0.9355562329292297,0.0005843479884788394,28200
13,2,0.0003000000142492354,0.4000000059604645,0.9411046504974365,0.0006314063793979585,28200
13,3,0.004999999888241291,0.4000000059604645,0.9465597867965698,0.0005328832776285708,28200
13,4,0.0003000000142492354,0.4000000059604645,0.9386629462242126,0.0005229871021583676,28200
14,0,0.004999999888241291,0.4000000059604645,0.9469579458236694,0.0005146378534846008,28200
14,1,0.0003000000142492354,0.4000000059604645,0.9455544352531433,0.0004936892655678093,28200
14,2,0.0010000000474974513,0.4000000059604645,0.9462878704071045,0.000575839658267796,28200
14,3,0.0003000000142492354,0.4000000059604645,0.953488826751709,0.0004637896781787276,28200
14,4,9.999999747378752e-05,0.4000000059604645,0.9501059651374817,0.000425419450039044,28200
15,0,0.003000000026077032,0.800000011920929,0.947650671005249,0.0005079180700704455,28200
15,1,9.999999747378752e-05,0.800000011920929,0.9412022233009338,0.0005331533029675484,28200
15,2,0.003000000026077032,0.4000000059604645,0.9455534815788269,0.0005837111384607852,28200
15,3,0.0003000000142492354,0.800000011920929,0.9481115937232971,0.000517407082952559,28200
15,4,9.999999747378752e-05,0.800000011920929,0.9436688423156738,0.00048030423931777477,28200
16,0,0.003000000026077032,0.4000000059604645,0.953384280204773,0.00045228732051327825,28200
16,1,9.999999747378752e-05,0.800000011920929,0.9398152828216553,0.0005457302904687822,28200
16,2,0.004999999888241291,0.800000011920929,0.944614052772522,0.0005937860696576536,28200
16,3,0.0003000000142492354,0.800000011920929,0.9495959877967834,0.0005026066210120916,28200
16,4,0.004999999888241291,0.800000011920929,0.9489959478378296,0.00043488413211889565,28200
17,0,9.999999747378752e-05,0.4000000059604645,0.9532592296600342,0.00045350080472417176,28200
17,1,0.004999999888241291,0.4000000059604645,0.9460560083389282,0.0004891417920589447,28200
