task,layer,param,r2_mean,r2_std
strike,0,object_0_mass,-5.10130295753479,3.019475145263406
strike,0,object_0_static_friction,-5.648298931121826,3.2826803790365138
strike,0,object_0_dynamic_friction,-4.291720199584961,1.3461706838375656
strike,0,surface_static_friction,-11.116534996032716,7.591292951584371
strike,0,surface_dynamic_friction,-5.571111631393433,3.510890954650156
strike,0,object_0_restitution,-9.573504066467285,5.904686935243137
strike,1,object_0_mass,-3.640121841430664,1.5802902674729475
strike,1,object_0_static_friction,-2.7476290702819823,0.46450181176763294
strike,1,object_0_dynamic_friction,-2.725240707397461,0.7312790578733639
strike,1,surface_static_friction,-4.3155900001525875,1.7003240251472587
strike,1,surface_dynamic_friction,-4.200357794761658,3.652466088394495
strike,1,object_0_restitution,-5.78854398727417,2.9357453905926842
strike,2,object_0_mass,-2.446941089630127,1.3085408642991676
strike,2,object_0_static_friction,-1.2247701406478881,0.3562858650574901
strike,2,object_0_dynamic_friction,-1.123878836631775,0.4956833042246235
strike,2,surface_static_friction,-3.0506896018981933,0.6430495821066449
strike,2,surface_dynamic_friction,-2.651897668838501,1.1915761212736424
strike,2,object_0_restitution,-3.1967844009399413,1.1342748846744142
strike,3,object_0_mass,-2.0874452590942383,0.4601765693047959
strike,3,object_0_static_friction,-0.6766182899475097,0.3674467962794503
strike,3,object_0_dynamic_friction,-1.0257359504699708,0.45749922287152756
strike,3,surface_static_friction,-2.599382734298706,0.8930684087481563
strike,3,surface_dynamic_friction,-1.7809683322906493,0.8133747914051513
strike,3,object_0_restitution,-2.551444244384766,1.212794684781825
strike,4,object_0_mass,-2.4298495292663573,0.8816874436172979
strike,4,object_0_static_friction,-0.7966520071029664,0.506045798527305
strike,4,object_0_dynamic_friction,-0.7445569038391113,0.4516981727069958
strike,4,surface_static_friction,-2.2266628742218018,0.9879203203250964
strike,4,surface_dynamic_friction,-1.2541992902755736,0.6746114710757544
strike,4,object_0_restitution,-2.254265832901001,0.7915673538215555
strike,5,object_0_mass,-2.0675426483154298,0.7293580885248192
strike,5,object_0_static_friction,-0.4080862045288086,0.5521300310876945
strike,5,object_0_dynamic_friction,-0.6471028804779053,0.4501427742406254
strike,5,surface_static_friction,-1.6871453285217286,0.7549857601806793
strike,5,surface_dynamic_friction,-1.6660478591918946,1.1065152641713012
strike,5,object_0_restitution,-1.9066325902938843,0.8412123514414221
strike,6,object_0_mass,-1.3358896732330323,0.5068099444074761
strike,6,object_0_static_friction,-0.33521714210510256,0.5993069919097271
strike,6,object_0_dynamic_friction,-0.8551578998565674,0.8940603460938817
strike,6,surface_static_friction,-1.3524869918823241,0.4147067959577913
strike,6,surface_dynamic_friction,-1.2059672594070434,1.592164280897494
strike,6,object_0_restitution,-1.4018110036849976,0.542606318582083
strike,7,object_0_mass,-1.9616667747497558,0.7387607038464945
strike,7,object_0_static_friction,-0.3534684658050537,0.2978150175210179
strike,7,object_0_dynamic_friction,-1.0224624395370483,0.8328296461862059
strike,7,surface_static_friction,-1.8555525302886964,0.61242282146498
strike,7,surface_dynamic_friction,-1.1873589515686036,0.5207173440758472
strike,7,object_0_restitution,-0.7016599655151368,0.5507668028402947
strike,8,object_0_mass,-2.109731388092041,1.080729373551958
strike,8,object_0_static_friction,-0.31387356519699094,0.43246661641381673
strike,8,object_0_dynamic_friction,-0.6166086196899414,0.5064084581586239
strike,8,surface_static_friction,-1.6079124450683593,0.5648670236149935
strike,8,surface_dynamic_friction,-1.865739679336548,0.889212167131575
strike,8,object_0_restitution,-1.2184876203536987,0.39461546440773104
strike,9,object_0_mass,-1.488689374923706,0.17588743520257624
strike,9,object_0_static_friction,-0.3678007960319519,0.4054169924116477
strike,9,object_0_dynamic_friction,-0.2616808772087097,0.39745746712394336
strike,9,surface_static_friction,-2.068244457244873,0.8373272501209281
strike,9,surface_dynamic_friction,-1.5181192636489869,0.6238971267953787
strike,9,object_0_restitution,-1.1491512298583983,0.39708799134819406
strike,10,object_0_mass,-1.5970781326293946,0.39362937656925856
strike,10,object_0_static_friction,-0.5014262557029724,0.45536692851321436
strike,10,object_0_dynamic_friction,-0.5537886619567871,0.5513631765628699
strike,10,surface_static_friction,-2.4543575763702394,0.5832918274127523
strike,10,surface_dynamic_friction,-1.4847359657287598,0.4286887842936136
strike,10,object_0_restitution,-0.9772718906402588,0.5667699859517085
strike,11,object_0_mass,-1.0877463817596436,0.34136766019265247
strike,11,object_0_static_friction,-0.3690650224685669,0.4540146676816959
strike,11,object_0_dynamic_friction,-0.26606321334838867,0.3964501754662293
strike,11,surface_static_friction,-1.7458189964294433,0.5086184546618158
strike,11,surface_dynamic_friction,-1.2978044509887696,0.2557388542280899
strike,11,object_0_restitution,-0.9745522022247315,0.4188603383601056
strike,12,object_0_mass,-1.6426512718200683,0.7826157956605514
strike,12,object_0_static_friction,-0.43894798755645753,0.5418162179278501
strike,12,object_0_dynamic_friction,-0.6397764563560486,0.6623336930530361
strike,12,surface_static_friction,-1.517872142791748,0.5100509134138023
strike,12,surface_dynamic_friction,-1.064037561416626,0.26458871399419104
strike,12,object_0_restitution,-0.8648576736450195,0.3242658199640028
strike,13,object_0_mass,-1.3629590272903442,0.4846758141827014
strike,13,object_0_static_friction,-0.41402788162231446,0.49285503652026785
strike,13,object_0_dynamic_friction,-0.6280944347381592,0.7496791504964901
strike,13,surface_static_friction,-1.568320107460022,0.6137830324455446
strike,13,surface_dynamic_friction,-1.4746958017349243,0.6906442485689771
strike,13,object_0_restitution,-1.100804042816162,0.17449232597837477
strike,14,object_0_mass,-1.203114652633667,0.41189833828953376
strike,14,object_0_static_friction,-0.059138822555541995,0.4803806691150469
strike,14,object_0_dynamic_friction,-0.47494189739227294,0.7269122152783309
strike,14,surface_static_friction,-1.5787464380264282,0.4068289652419354
strike,14,surface_dynamic_friction,-1.370373249053955,0.4350027556235969
strike,14,object_0_restitution,-1.1309584617614745,0.07797612018487755
strike,15,object_0_mass,-1.477617859840393,0.8830619738010657
strike,15,object_0_static_friction,0.09014581441879273,0.2669248844507814
strike,15,object_0_dynamic_friction,-0.3579190492630005,0.5864534680386819
strike,15,surface_static_friction,-1.526745581626892,0.5912014476892282
strike,15,surface_dynamic_friction,-1.7463080406188964,0.5031309116229129
strike,15,object_0_restitution,-1.2146525144577027,0.2773024805858424
strike,16,object_0_mass,-1.144696545600891,0.8243250621041219
strike,16,object_0_static_friction,-0.17447209358215332,0.3076640782321914
strike,16,object_0_dynamic_friction,-0.45777655839920045,0.5511928655191625
strike,16,surface_static_friction,-1.6685614824295043,0.49065353389937966
