target,layer,r2_mean,r2_std,mse_mean,mse_std
ball_planar_travel_distance,0,0.6970935821533203,0.021596342275410702,0.0017754176165908,0.00020702706456789374
ball_planar_travel_distance,1,0.785102105140686,0.013876278342814585,0.00125852210912846,0.00012886033343373885
ball_planar_travel_distance,2,0.7871259331703186,0.014549214768486191,0.001247611711733,0.00014052345703301878
ball_planar_travel_distance,3,0.801676893234253,0.01364153078601487,0.0011623362312093,0.0001319039828234326
ball_planar_travel_distance,4,0.8081043481826782,0.011472398087224023,0.0011245494242757,0.00011893594528537373
ball_planar_travel_distance,5,0.8151339173316956,0.011398114808353685,0.0010832932079210401,0.00011564424344000895
ball_planar_travel_distance,6,0.8225776314735412,0.01158766617948492,0.00104010734939942,0.00011727901293046623
ball_planar_travel_distance,7,0.8380536794662475,0.011558733948279219,0.0009495663456618199,0.00011346771699269127
ball_planar_travel_distance,8,0.849203360080719,0.011488238620615704,0.00088444082066414,0.00011120157213988665
ball_planar_travel_distance,9,0.8547812223434448,0.012390453388636572,0.00085210701217872,0.00011550328347516529
ball_planar_travel_distance,10,0.8644499182701111,0.013488425781462544,0.00079549386864524,0.0001163049949227731
ball_planar_travel_distance,11,0.8678050637245178,0.011066028808667343,0.0007749488460831001,9.793375904122796e-05
ball_planar_travel_distance,12,0.8835659265518189,0.013263599855133253,0.0006836164975538401,0.00011029305214498552
ball_planar_travel_distance,13,0.89024578332901,0.01047860675319226,0.00064348742598662,8.650771807676086e-05
ball_planar_travel_distance,14,0.8894545197486877,0.012879026472820144,0.00064898162381718,0.00010478256927639087
ball_planar_travel_distance,15,0.8879868268966675,0.010899893557849146,0.00065680961124594,9.02107613714921e-05
ball_planar_travel_distance,16,0.8927732110023499,0.011269142212482585,0.00062866813968864,8.877365193012926e-05
ball_planar_travel_distance,17,0.8938755750656128,0.007797403294647174,0.00062208389863366,7.260667619399132e-05
ball_planar_travel_distance,18,0.8937109470367431,0.009208143817329482,0.0006233343156054,8.094390097555066e-05
ball_planar_travel_distance,19,0.8906716108322144,0.010076160756696595,0.00064095446141434,8.536939615965042e-05
ball_planar_travel_distance,20,0.8904649138450622,0.010125324116222901,0.00064236448379226,8.75506741280482e-05
ball_planar_travel_distance,21,0.8919978141784668,0.014391450434604354,0.0006342406151815799,0.00011265667836316616
ball_planar_travel_distance,22,0.8908862352371216,0.010450096783624054,0.00063991491915652,8.809157923894355e-05
ball_planar_travel_distance,23,0.8889248013496399,0.011760299701363967,0.00065166393760588,9.796096639763167e-05
contact_flag,0,0.4359180212020874,0.014976232654258154,0.06003270074725148,0.0027523915342816036
contact_flag,1,0.6315815448760986,0.014772200516715687,0.039167262613773304,0.000758156521704025
contact_flag,2,0.673148775100708,0.014343027603744703,0.03474573194980616,0.0008243075718627688
contact_flag,3,0.6825472354888916,0.01544820647873597,0.03373630419373508,0.00046572056999742646
contact_flag,4,0.7031329035758972,0.012985215409181718,0.03155549727380268,0.0005266474462763331
contact_flag,5,0.7141077876091003,0.012969363074499881,0.03038743212819096,0.0005582503613004651
contact_flag,6,0.7294481039047241,0.009818811651762595,0.02878309600055214,0.0012725441766172987
contact_flag,7,0.7465977549552918,0.010185551174089964,0.02694517709314816,0.0008318590716089221
contact_flag,8,0.7424321293830871,0.019071661090987617,0.027352520078420577,0.0010260472704781722
contact_flag,9,0.7586586356163025,0.010657318320647504,0.02565267384052272,0.00043912726196529027
contact_flag,10,0.7667503118515014,0.012962209886924238,0.024782655388116782,0.0005024781061288043
contact_flag,11,0.7699021816253662,0.010806993677702471,0.02446501441299912,0.0008849889464511117
contact_flag,12,0.7824912071228027,0.012021997817981925,0.02311440743505952,0.0006575436418415433
contact_flag,13,0.7952286243438721,0.01017666261762836,0.02176656313240524,0.0006577927488856221
contact_flag,14,0.7962028384208679,0.006909760469558491,0.02167764380574222,0.0007840702429999368
contact_flag,15,0.8037236094474792,0.010204686484359664,0.020864351838827077,0.000754097159880134
contact_flag,16,0.8171538233757019,0.010422893768795585,0.0194389227777719,0.0008911094238790956
contact_flag,17,0.8222190856933593,0.009760245574091516,0.0188915710896253,0.0004508812109181951
contact_flag,18,0.8234101176261902,0.012095882811462073,0.01876217462122434,0.0008115103522477852
contact_flag,19,0.8249015927314758,0.009955245005101079,0.01860364973545068,0.00040508845857276354
contact_flag,20,0.8223209381103516,0.012285650856964397,0.01886884272098536,0.0005409777852866996
contact_flag,21,0.8243881344795227,0.00773712809466758,0.01867118552327152,0.000573669926592417
contact_flag,22,0.8241112709045411,0.012588754493518728,0.01867598779499524,0.0005296609729813543
contact_flag,23,0.8234091520309448,0.011033405099550182,0.018757738918066,0.00043047821877282243
contact_force,0,0.13572332113981245,0.02980360989105738,77.01369781494141,10.545369927585737
contact_force,1,0.3048355877399444,0.03400738579620472,61.81365203857422,7.543213397214787
contact_force,2,0.3405288755893707,0.02666355814742127,58.72589645385742,7.849250009197782
contact_force,3,0.3519339919090271,0.03216101543839998,57.65685043334961,7.353882150748225
contact_force,4,0.37158873677253723,0.028900028372945117,55.923787689208986,7.209080048777247
contact_force,5,0.3808518469333649,0.03074404507949454,55.0893798828125,7.094251229077345
contact_force,6,0.3979241490364075,0.03095170284200518,53.53464965820312,6.609772023329991
contact_force,7,0.41064491868019104,0.03078498135560825,52.3872673034668,6.2826337509044246
contact_force,8,0.44163119196891787,0.038272746890476966,49.529875946044925,5.25200883758976
contact_force,9,0.4537576973438263,0.029602496271831348,48.53567047119141,5.676445023352503
contact_force,10,0.4682839274406433,0.033500861454722225,47.21554107666016,5.385683250361045
contact_force,11,0.47609513998031616,0.03780145593493597,46.490143585205075,5.200667722293056
contact_force,12,0.521531218290329,0.035661578674418756,42.4387565612793,4.605362155724315
contact_force,13,0.5266100704669953,0.03439657152360288,41.977562713623044,4.375517897676909
contact_force,14,0.5254384398460388,0.03254329413403115,42.122229766845706,4.728214589956929
contact_force,15,0.5240812957286834,0.03509761885098747,42.203016662597655,4.4471657756877585
contact_force,16,0.5379359364509583,0.032181067084470875,40.98355712890625,4.325568163873093
contact_force,17,0.5371281862258911,0.03148519562834236,41.097930145263675,4.771271994650162
contact_force,18,0.5427391290664673,0.03613997002465418,40.52856216430664,4.1737485482173735
contact_force,19,0.5476785659790039,0.03455499297006363,40.10918197631836,4.284485929048031
contact_force,20,0.5433990120887756,0.03581801954088588,40.48223342895508,4.323837902856123
contact_force,21,0.5677484154701233,0.042786493963621476,38.22231903076172,3.525809829533633
contact_force,22,0.5599637150764465,0.033568084273626175,39.04170913696289,4.408435312409585
contact_force,23,0.5575897693634033,0.04003330703119269,39.20325393676758,4.294712183971765
contact_force_log1p_mag,0,0.41299601793289187,0.0212246269761213,0.7756574869155883,0.05437617596267692
contact_force_log1p_mag,1,0.6331941604614257,0.01794004349422533,0.4838547706604004,0.021249172154793612
contact_force_log1p_mag,2,0.6815405130386353,0.014681836033759395,0.4201125681400299,0.018216775856161355
contact_force_log1p_mag,3,0.6940803289413452,0.016854430234976313,0.40329825282096865,0.013321309393085711
contact_force_log1p_mag,4,0.715453827381134,0.013775990169881867,0.375299996137619,0.014995800874804505
contact_force_log1p_mag,5,0.7258610248565673,0.014782987688243874,0.3614759624004364,0.014055274451257677
