layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0010000000474974513,0.009999999776482582,0.6612073183059692,0.0021172557026147842,107151
0,1,0.0010000000474974513,0.009999999776482582,0.6961551904678345,0.0016763202147558331,107168
0,2,0.004999999888241291,0.10000000149011612,0.7176460027694702,0.0015751209575682878,107156
0,3,9.999999747378752e-05,0.10000000149011612,0.7019048929214478,0.001797483884729445,107154
0,4,0.0010000000474974513,0.10000000149011612,0.7085545063018799,0.0017109073232859373,107150
1,0,0.0003000000142492354,0.10000000149011612,0.7649816870689392,0.001468727015890181,107151
1,1,9.999999747378752e-05,0.10000000149011612,0.778554379940033,0.0012217217590659857,107168
1,2,0.0003000000142492354,0.10000000149011612,0.7948900461196899,0.0011442125542089343,107156
1,3,9.999999747378752e-05,0.009999999776482582,0.7870527505874634,0.001284050871618092,107154
1,4,0.003000000026077032,0.009999999776482582,0.8000316619873047,0.0011738983448594809,107150
2,0,0.004999999888241291,0.10000000149011612,0.7672415375709534,0.0014546042075380683,107151
2,1,0.003000000026077032,0.10000000149011612,0.783898651599884,0.001192237250506878,107168
2,2,9.999999747378752e-05,0.009999999776482582,0.805670976638794,0.0010840706527233124,107156
2,3,0.0010000000474974513,0.009999999776482582,0.7828301787376404,0.0013095124159008265,107154
2,4,0.003000000026077032,0.009999999776482582,0.7959883213043213,0.001197634031996131,107150
3,0,0.0003000000142492354,0.10000000149011612,0.7811994552612305,0.0013673752546310425,107151
3,1,9.999999747378752e-05,0.009999999776482582,0.7993091344833374,0.0011072172783315182,107168
3,2,0.0010000000474974513,0.10000000149011612,0.8171009421348572,0.0010203082347288728,107156
3,3,0.004999999888241291,0.10000000149011612,0.8001915216445923,0.0012048253556713462,107154
3,4,0.003000000026077032,0.10000000149011612,0.8105834126472473,0.001111955032683909,107150
4,0,9.999999747378752e-05,0.009999999776482582,0.7963677644729614,0.001272582565434277,107151
4,1,0.0010000000474974513,0.10000000149011612,0.8087795376777649,0.0010549688013270497,107168
4,2,9.999999747378752e-05,0.10000000149011612,0.8227291107177734,0.0009889116045087576,107156
4,3,0.004999999888241291,0.10000000149011612,0.7971567511558533,0.0012231244472786784,107154
4,4,9.999999747378752e-05,0.10000000149011612,0.8154885768890381,0.0010831597028300166,107150
5,0,0.003000000026077032,0.10000000149011612,0.798991322517395,0.0012561865150928497,107151
5,1,0.003000000026077032,0.10000000149011612,0.812938928604126,0.0010320213623344898,107168
5,2,0.003000000026077032,0.009999999776482582,0.8301160335540771,0.0009477033745497465,107156
5,3,0.004999999888241291,0.10000000149011612,0.8133350610733032,0.0011255712015554309,107154
5,4,0.004999999888241291,0.10000000149011612,0.8202882409095764,0.0010549835860729218,107150
6,0,0.0010000000474974513,0.10000000149011612,0.8079988360404968,0.00119989481754601,107151
6,1,0.0003000000142492354,0.10000000149011612,0.8249749541282654,0.0009656181209720671,107168
6,2,0.004999999888241291,0.10000000149011612,0.8400130271911621,0.0008924924768507481,107156
6,3,0.003000000026077032,0.10000000149011612,0.820662260055542,0.0010813887929543853,107154
6,4,0.0003000000142492354,0.4000000059604645,0.81923907995224,0.0010611425386741757,107150
7,0,0.0010000000474974513,0.10000000149011612,0.8213074207305908,0.0011167238699272275,107151
7,1,0.004999999888241291,0.10000000149011612,0.8392784595489502,0.0008867052383720875,107168
7,2,0.0010000000474974513,0.10000000149011612,0.8525964617729187,0.0008222954347729683,107156
7,3,0.004999999888241291,0.10000000149011612,0.8340425491333008,0.0010007066885009408,107154
7,4,0.004999999888241291,0.009999999776482582,0.8430435061454773,0.0009214004967361689,107150
8,0,0.004999999888241291,0.10000000149011612,0.831454873085022,0.0010533082531765103,107151
8,1,0.0010000000474974513,0.10000000149011612,0.8522463440895081,0.0008151610381901264,107168
8,2,0.004999999888241291,0.10000000149011612,0.862214207649231,0.0007686426979489625,107156
8,3,9.999999747378752e-05,0.10000000149011612,0.8459928631782532,0.000928647757973522,107154
8,4,0.0010000000474974513,0.10000000149011612,0.8541085124015808,0.0008564443560317159,107150
9,0,0.0003000000142492354,0.10000000149011612,0.8356258869171143,0.0010272421641275287,107151
9,1,9.999999747378752e-05,0.10000000149011612,0.8605087995529175,0.0007695771055296063,107168
9,2,0.003000000026077032,0.10000000149011612,0.8693848848342896,0.0007286407635547221,107156
9,3,0.0003000000142492354,0.10000000149011612,0.8546421527862549,0.0008764932863414288,107154
