layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.003000000026077032,0.4000000059604645,0.37669944763183594,0.7774072289466858,107151
0,1,0.003000000026077032,0.4000000059604645,0.43145495653152466,0.8193592429161072,107168
0,2,0.004999999888241291,0.009999999776482582,0.41551023721694946,0.6820917129516602,107156
0,3,0.003000000026077032,0.10000000149011612,0.4238232374191284,0.8007449507713318,107154
0,4,0.004999999888241291,0.009999999776482582,0.41749221086502075,0.798684298992157,107150
1,0,0.004999999888241291,0.10000000149011612,0.6309783458709717,0.46025967597961426,107151
1,1,0.0003000000142492354,0.10000000149011612,0.6516197919845581,0.5020684599876404,107168
1,2,0.004999999888241291,0.10000000149011612,0.604627251625061,0.46139469742774963,107156
1,3,0.003000000026077032,0.10000000149011612,0.6444001197814941,0.4941968619823456,107154
1,4,0.0010000000474974513,0.10000000149011612,0.634345293045044,0.5013541579246521,107150
2,0,0.004999999888241291,0.10000000149011612,0.6693300604820251,0.4124257564544678,107151
2,1,0.003000000026077032,0.10000000149011612,0.7007884979248047,0.43120890855789185,107168
2,2,9.999999747378752e-05,0.10000000149011612,0.6644496917724609,0.3915826678276062,107156
2,3,0.004999999888241291,0.10000000149011612,0.6866528391838074,0.4354759752750397,107154
2,4,0.0003000000142492354,0.10000000149011612,0.6864814758300781,0.42986953258514404,107150
3,0,0.0003000000142492354,0.10000000149011612,0.6802480816841125,0.3988083302974701,107151
3,1,0.0010000000474974513,0.10000000149011612,0.7100857496261597,0.41781023144721985,107168
3,2,0.0003000000142492354,0.10000000149011612,0.6719869375228882,0.3827868103981018,107156
3,3,0.0010000000474974513,0.10000000149011612,0.705102801322937,0.4098351001739502,107154
3,4,0.0003000000142492354,0.10000000149011612,0.7029780745506287,0.4072507917881012,107150
4,0,0.0010000000474974513,0.10000000149011612,0.7069679498672485,0.3654821515083313,107151
4,1,0.004999999888241291,0.10000000149011612,0.726517379283905,0.39412975311279297,107168
4,2,0.0003000000142492354,0.10000000149011612,0.6953402161598206,0.3555338978767395,107156
