layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.004999999888241291,0.10000000149011612,0.2843064069747925,0.010990504175424576,107151
0,1,9.999999747378752e-05,0.009999999776482582,0.250785768032074,0.012903465889394283,107168
0,2,0.004999999888241291,0.009999999776482582,0.30288636684417725,0.010713266208767891,107156
0,3,0.003000000026077032,0.10000000149011612,0.30157917737960815,0.010817552916705608,107154
0,4,0.003000000026077032,0.4000000059604645,0.28337758779525757,0.010963824577629566,107150
1,0,0.004999999888241291,0.10000000149011612,0.4695441722869873,0.008145912550389767,107151
1,1,0.003000000026077032,0.009999999776482582,0.4223467707633972,0.00994872860610485,107168
1,2,0.004999999888241291,0.10000000149011612,0.4726330637931824,0.008104593493044376,107156
1,3,0.0010000000474974513,0.009999999776482582,0.4835934638977051,0.007998408749699593,107154
1,4,0.003000000026077032,0.10000000149011612,0.4625391364097595,0.008222777396440506,107150
2,0,0.003000000026077032,0.10000000149011612,0.5003011226654053,0.007673595100641251,107151
2,1,0.0003000000142492354,0.10000000149011612,0.4474638104438782,0.009516146034002304,107168
2,2,0.0003000000142492354,0.10000000149011612,0.5075715780258179,0.00756765715777874,107156
2,3,0.004999999888241291,0.009999999776482582,0.5083200931549072,0.007615427952259779,107154
2,4,0.0010000000474974513,0.009999999776482582,0.5038329362869263,0.007591011002659798,107150
3,0,0.0010000000474974513,0.009999999776482582,0.5621685981750488,0.006723531521856785,107151
3,1,0.004999999888241291,0.009999999776482582,0.5140658617019653,0.008369080722332,107168
3,2,0.0003000000142492354,0.10000000149011612,0.5675168037414551,0.006646417081356049,107156
3,3,0.004999999888241291,0.009999999776482582,0.575042724609375,0.00658198818564415,107154
3,4,9.999999747378752e-05,0.10000000149011612,0.5587108135223389,0.006751418113708496,107150
4,0,0.0010000000474974513,0.009999999776482582,0.5910667181015015,0.0062797581776976585,107151
4,1,9.999999747378752e-05,0.10000000149011612,0.5274766087532043,0.008138111792504787,107168
4,2,0.004999999888241291,0.009999999776482582,0.6045995950698853,0.006076526828110218,107156
4,3,0.0010000000474974513,0.009999999776482582,0.594438910484314,0.006281569134443998,107154
4,4,0.0003000000142492354,0.009999999776482582,0.5864593982696533,0.006326884496957064,107150
5,0,0.004999999888241291,0.009999999776482582,0.6180144548416138,0.005865937098860741,107151
5,1,9.999999747378752e-05,0.009999999776482582,0.5586651563644409,0.007600963115692139,107168
5,2,0.004999999888241291,0.10000000149011612,0.6185075044631958,0.00586278922855854,107156
5,3,0.0010000000474974513,0.009999999776482582,0.6207271814346313,0.005874400958418846,107154
5,4,0.004999999888241291,0.009999999776482582,0.6076347231864929,0.006002916023135185,107150
6,0,0.0003000000142492354,0.10000000149011612,0.6366094350814819,0.005580385215580463,107151
6,1,9.999999747378752e-05,0.009999999776482582,0.5911753177642822,0.007041050121188164,107168
6,2,0.0003000000142492354,0.009999999776482582,0.6650954484939575,0.005146825220435858,107156
6,3,0.0010000000474974513,0.10000000149011612,0.6500086188316345,0.00542087247595191,107154
6,4,0.003000000026077032,0.009999999776482582,0.6469763517379761,0.005401016212999821,107150
7,0,9.999999747378752e-05,0.009999999776482582,0.6702489852905273,0.005063800606876612,107151
7,1,0.0003000000142492354,0.009999999776482582,0.6158404350280762,0.006616251077502966,107168
7,2,0.0010000000474974513,0.10000000149011612,0.677721381187439,0.004952788352966309,107156
7,3,0.0003000000142492354,0.009999999776482582,0.6621248126029968,0.005233209580183029,107154
7,4,0.003000000026077032,0.10000000149011612,0.6620514392852783,0.005170378368347883,107150
8,0,0.003000000026077032,0.009999999776482582,0.6781721711158752,0.004942128900438547,107151
8,1,0.0010000000474974513,0.10000000149011612,0.6226071119308472,0.0064997123554348946,107168
8,2,0.0010000000474974513,0.10000000149011612,0.6855165958404541,0.004832991398870945,107156
8,3,0.003000000026077032,0.10000000149011612,0.6826894283294678,0.00491469306871295,107154
8,4,9.999999747378752e-05,0.10000000149011612,0.6778408885002136,0.0049288105219602585,107150
9,0,0.0003000000142492354,0.009999999776482582,0.6893876791000366,0.004769898951053619,107151
9,1,0.003000000026077032,0.10000000149011612,0.6228713989257812,0.006495160050690174,107168
9,2,9.999999747378752e-05,0.10000000149011612,0.6965891122817993,0.004662828519940376,107156
9,3,0.003000000026077032,0.009999999776482582,0.6990893483161926,0.004660680890083313,107154
9,4,0.0003000000142492354,0.10000000149011612,0.6849560141563416,0.004819953814148903,107150
10,0,0.004999999888241291,0.10000000149011612,0.6956733465194702,0.00467337341979146,107151
10,1,0.004999999888241291,0.10000000149011612,0.6417169570922852,0.006170588545501232,107168
10,2,0.004999999888241291,0.10000000149011612,0.7110928297042847,0.004439936019480228,107156
10,3,0.004999999888241291,0.009999999776482582,0.7003320455551147,0.0046414341777563095,107154
10,4,0.0003000000142492354,0.10000000149011612,0.6977390050888062,0.004624383524060249,107150
11,0,0.004999999888241291,0.009999999776482582,0.7177783846855164,0.004333918914198875,107151
11,1,0.0010000000474974513,0.10000000149011612,0.6443488001823425,0.006125262007117271,107168
11,2,0.004999999888241291,0.009999999776482582,0.7276790738105774,0.004185037221759558,107156
11,3,9.999999747378752e-05,0.10000000149011612,0.72095787525177,0.004321969114243984,107154
11,4,0.0010000000474974513,0.10000000149011612,0.7121293544769287,0.0044042207300662994,107150
12,0,0.004999999888241291,0.009999999776482582,0.7196654677391052,0.00430493988096714,107151
12,1,9.999999747378752e-05,0.10000000149011612,0.6595578193664551,0.005863322410732508,107168
12,2,0.004999999888241291,0.009999999776482582,0.7448152303695679,0.0039216880686581135,107156
12,3,0.0010000000474974513,0.009999999776482582,0.7335877418518066,0.004126350395381451,107154
12,4,0.004999999888241291,0.10000000149011612,0.7198120951652527,0.004286680370569229,107150
13,0,9.999999747378752e-05,0.10000000149011612,0.7525576949119568,0.0037998324260115623,107151
13,1,0.004999999888241291,0.009999999776482582,0.7035423517227173,0.0051057906821370125,107168
13,2,0.0010000000474974513,0.10000000149011612,0.776412844657898,0.0034360946156084538,107156
13,3,0.0010000000474974513,0.10000000149011612,0.7640433311462402,0.003654635511338711,107154
13,4,0.0003000000142492354,0.10000000149011612,0.7596063017845154,0.0036778568755835295,107150
14,0,0.004999999888241291,0.009999999776482582,0.7651277184486389,0.003606802085414529,107151
14,1,0.0010000000474974513,0.10000000149011612,0.6983047723770142,0.005195995792746544,107168
14,2,0.004999999888241291,0.10000000149011612,0.7743810415267944,0.003467319533228874,107156
