layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.003000000026077032,0.10000000149011612,0.08997070044279099,1.7740365266799927,107151
0,1,9.999999747378752e-05,0.10000000149011612,0.08848848193883896,1.8024699687957764,107168
0,2,0.003000000026077032,0.10000000149011612,0.08925952017307281,1.8411056995391846,107156
0,3,0.003000000026077032,0.10000000149011612,0.08361026644706726,1.7791928052902222,107154
0,4,0.004999999888241291,0.10000000149011612,0.08706917613744736,1.809816598892212,107150
1,0,0.004999999888241291,0.10000000149011612,0.11654912680387497,1.722245216369629,107151
1,1,0.0003000000142492354,0.10000000149011612,0.11651582270860672,1.7470916509628296,107168
1,2,0.0010000000474974513,0.009999999776482582,0.11755915731191635,1.7838730812072754,107156
1,3,9.999999747378752e-05,0.10000000149011612,0.11083228886127472,1.7263774871826172,107154
1,4,0.004999999888241291,0.10000000149011612,0.11336154490709305,1.7577271461486816,107150
2,0,0.004999999888241291,0.009999999776482582,0.12841108441352844,1.6990866661071777,107151
2,1,0.0003000000142492354,0.10000000149011612,0.12548735737800598,1.729357361793518,107168
2,2,0.0010000000474974513,0.10000000149011612,0.12263781577348709,1.7736403942108154,107156
2,3,0.003000000026077032,0.10000000149011612,0.12256766110658646,1.7036076784133911,107154
2,4,0.0010000000474974513,0.10000000149011612,0.12379526346921921,1.737022876739502,107150
3,0,0.003000000026077032,0.009999999776482582,0.14604882895946503,1.664697527885437,107151
3,1,0.0003000000142492354,0.10000000149011612,0.14180409908294678,1.6970794200897217,107168
3,2,9.999999747378752e-05,0.10000000149011612,0.13775727152824402,1.7430673837661743,107156
3,3,0.003000000026077032,0.10000000149011612,0.13608978688716888,1.6773324012756348,107154
3,4,0.0003000000142492354,0.10000000149011612,0.1389695703983307,1.7069437503814697,107150
4,0,0.003000000026077032,0.10000000149011612,0.14552006125450134,1.6657639741897583,107151
4,1,0.004999999888241291,0.10000000149011612,0.146137997508049,1.6885195970535278,107168
4,2,0.003000000026077032,0.10000000149011612,0.14186538755893707,1.734755039215088,107156
4,3,9.999999747378752e-05,0.10000000149011612,0.1430535912513733,1.663820505142212,107154
4,4,0.004999999888241291,0.10000000149011612,0.14318668842315674,1.6985923051834106,107150
5,0,9.999999747378752e-05,0.009999999776482582,0.17052438855171204,1.6169642210006714,107151
5,1,0.003000000026077032,0.10000000149011612,0.15636488795280457,1.6682790517807007,107168
5,2,0.0003000000142492354,0.10000000149011612,0.15296702086925507,1.7123045921325684,107156
5,3,0.004999999888241291,0.10000000149011612,0.15359565615653992,1.6433273553848267,107154
5,4,0.0003000000142492354,0.10000000149011612,0.1547088623046875,1.6757454872131348,107150
6,0,0.0010000000474974513,0.009999999776482582,0.17829246819019318,1.6018238067626953,107151
6,1,9.999999747378752e-05,0.10000000149011612,0.16477814316749573,1.6516269445419312,107168
6,2,0.0010000000474974513,0.10000000149011612,0.16117417812347412,1.6957004070281982,107156
6,3,9.999999747378752e-05,0.10000000149011612,0.1621822714805603,1.6266485452651978,107154
6,4,0.0003000000142492354,0.009999999776482582,0.17152859270572662,1.642343282699585,107150
7,0,0.003000000026077032,0.10000000149011612,0.1764516532421112,1.6054396629333496,107151
7,1,0.003000000026077032,0.10000000149011612,0.17557883262634277,1.6302651166915894,107168
7,2,0.0010000000474974513,0.10000000149011612,0.1730288714170456,1.6717193126678467,107156
7,3,0.003000000026077032,0.009999999776482582,0.17254085838794708,1.60646653175354,107154
7,4,0.0010000000474974513,0.10000000149011612,0.17292265594005585,1.6395987272262573,107150
8,0,0.003000000026077032,0.10000000149011612,0.18847541511058807,1.581983208656311,107151
8,1,0.003000000026077032,0.009999999776482582,0.20265333354473114,1.5766793489456177,107168
8,2,0.004999999888241291,0.009999999776482582,0.18704016506671906,1.643332839012146,107156
8,3,9.999999747378752e-05,0.10000000149011612,0.18542170524597168,1.5814956426620483,107154
8,4,0.0003000000142492354,0.009999999776482582,0.19913825392723083,1.5875959396362305,107150
9,0,0.003000000026077032,0.10000000149011612,0.1968744844198227,1.5655988454818726,107151
9,1,0.0010000000474974513,0.10000000149011612,0.19648049771785736,1.588898777961731,107168
9,2,0.0003000000142492354,0.10000000149011612,0.19320394098758698,1.6309080123901367,107156
9,3,0.0010000000474974513,0.10000000149011612,0.19359494745731354,1.5656135082244873,107154
9,4,9.999999747378752e-05,0.10000000149011612,0.19447600841522217,1.596843957901001,107150
10,0,0.0003000000142492354,0.10000000149011612,0.2056972086429596,1.5483958721160889,107151
10,1,0.004999999888241291,0.009999999776482582,0.21675625443458557,1.548771619796753,107168
10,2,0.004999999888241291,0.10000000149011612,0.20280539989471436,1.6115097999572754,107156
10,3,0.0003000000142492354,0.10000000149011612,0.20333567261695862,1.5466989278793335,107154
10,4,9.999999747378752e-05,0.10000000149011612,0.20400123298168182,1.5779598951339722,107150
11,0,0.0003000000142492354,0.10000000149011612,0.21493518352508545,1.5303977727890015,107151
11,1,0.0003000000142492354,0.10000000149011612,0.2165459543466568,1.5492091178894043,107168
11,2,0.0010000000474974513,0.10000000149011612,0.2124454826116562,1.5920214653015137,107156
11,3,0.0003000000142492354,0.10000000149011612,0.2132994383573532,1.5273611545562744,107154
11,4,0.0010000000474974513,0.10000000149011612,0.21424506604671478,1.5576530694961548,107150
12,0,0.0010000000474974513,0.10000000149011612,0.23213687539100647,1.4968500137329102,107151
12,1,9.999999747378752e-05,0.009999999776482582,0.24145656824111938,1.4999252557754517,107168
12,2,9.999999747378752e-05,0.009999999776482582,0.24273735284805298,1.5307483673095703,107156
12,3,0.004999999888241291,0.10000000149011612,0.2291000336408615,1.4966673851013184,107154
12,4,0.0003000000142492354,0.10000000149011612,0.23069295287132263,1.5250320434570312,107150
13,0,0.0010000000474974513,0.10000000149011612,0.23574450612068176,1.4898163080215454,107151
13,1,9.999999747378752e-05,0.009999999776482582,0.24466341733932495,1.493582010269165,107168
13,2,9.999999747378752e-05,0.10000000149011612,0.2314804196357727,1.553534984588623,107156
13,3,0.003000000026077032,0.10000000149011612,0.23370882868766785,1.4877337217330933,107154
13,4,0.0003000000142492354,0.10000000149011612,0.2338143140077591,1.5188542604446411,107150
14,0,0.0003000000142492354,0.10000000149011612,0.23982296884059906,1.4818631410598755,107151
14,1,0.004999999888241291,0.009999999776482582,0.24740172922611237,1.4881725311279297,107168
14,2,0.0010000000474974513,0.10000000149011612,0.23534992337226868,1.5457053184509277,107156
14,3,0.0003000000142492354,0.10000000149011612,0.23754490911960602,1.4802912473678589,107154
14,4,0.003000000026077032,0.10000000149011612,0.23848339915275574,1.509603500366211,107150
15,0,9.999999747378752e-05,0.10000000149011612,0.24154338240623474,1.4785152673721313,107151
15,1,0.004999999888241291,0.10000000149011612,0.24089601635932922,1.5010641813278198,107168
15,2,9.999999747378752e-05,0.10000000149011612,0.23663084208965302,1.5431246757507324,107156
15,3,9.999999747378752e-05,0.10000000149011612,0.23225900530815125,1.4905197620391846,107154
15,4,0.0010000000474974513,0.10000000149011612,0.24047879874706268,1.505651593208313,107150
16,0,0.0003000000142492354,0.10000000149011612,0.2415917068719864,1.4784271717071533,107151
16,1,0.004999999888241291,0.10000000149011612,0.2422943264245987,1.4983066320419312,107168
16,2,0.0010000000474974513,0.10000000149011612,0.21903279423713684,1.5786687135696411,107156
16,3,0.003000000026077032,0.10000000149011612,0.23864014446735382,1.478164553642273,107154
16,4,0.004999999888241291,0.10000000149011612,0.24138548970222473,1.5038504600524902,107150
17,0,0.0010000000474974513,0.10000000149011612,0.24530985951423645,1.4711782932281494,107151
17,1,0.004999999888241291,0.10000000149011612,0.24718007445335388,1.4886513948440552,107168
17,2,0.0010000000474974513,0.10000000149011612,0.24200211465358734,1.5322725772857666,107156
17,3,0.004999999888241291,0.10000000149011612,0.24257682263851166,1.4705183506011963,107154
17,4,0.004999999888241291,0.10000000149011612,0.2459123283624649,1.49488365650177,107150
18,0,9.999999747378752e-05,0.10000000149011612,0.24801765382289886,1.465910792350769,107151
18,1,9.999999747378752e-05,0.10000000149011612,0.2495579868555069,1.4839457273483276,107168
18,2,0.003000000026077032,0.009999999776482582,0.26431557536125183,1.4871392250061035,107156
18,3,9.999999747378752e-05,0.10000000149011612,0.24543645977973938,1.4649714231491089,107154
18,4,0.0003000000142492354,0.10000000149011612,0.2469019591808319,1.492923378944397,107150
19,0,9.999999747378752e-05,0.10000000149011612,0.24992024898529053,1.4621961116790771,107151
19,1,0.0010000000474974513,0.10000000149011612,0.2508658468723297,1.4813668727874756,107168
19,2,0.0010000000474974513,0.10000000149011612,0.24622146785259247,1.5237451791763306,107156
19,3,0.0010000000474974513,0.10000000149011612,0.24923717975616455,1.45759117603302,107154
19,4,0.0003000000142492354,0.10000000149011612,0.2492085099220276,1.4883410930633545,107150
20,0,0.0003000000142492354,0.10000000149011612,0.25358977913856506,1.4550464153289795,107151
20,1,0.0010000000474974513,0.10000000149011612,0.2544201612472534,1.4743353128433228,107168
20,2,9.999999747378752e-05,0.10000000149011612,0.24925583600997925,1.5176018476486206,107156
20,3,0.0003000000142492354,0.10000000149011612,0.2520621716976166,1.4521141052246094,107154
20,4,0.003000000026077032,0.10000000149011612,0.25431281328201294,1.4782377481460571,107150
21,0,0.0003000000142492354,0.10000000149011612,0.2523200511932373,1.4575152397155762,107151
21,1,0.0010000000474974513,0.10000000149011612,0.2549635171890259,1.4732624292373657,107168
21,2,0.0003000000142492354,0.10000000149011612,0.2491397261619568,1.5178513526916504,107156
21,3,0.003000000026077032,0.10000000149011612,0.24988998472690582,1.4563277959823608,107154
21,4,9.999999747378752e-05,0.009999999776482582,0.2653331756591797,1.456350564956665,107150
