layer,fold,best_lr,best_wd,r2,mse,n_test_windows,cos_sim_mean
0,0,0.0010000000474974513,0.4000000059604645,0.31019702553749084,0.09195325523614883,107151,0.8358013033866882
0,1,9.999999747378752e-05,0.4000000059604645,0.3169725239276886,0.08856282383203506,107168,0.841898500919342
0,2,9.999999747378752e-05,0.10000000149011612,0.3329518139362335,0.08836886286735535,107156,0.8420210480690002
0,3,0.0010000000474974513,0.4000000059604645,0.30877360701560974,0.09443533420562744,107154,0.8298855423927307
0,4,0.004999999888241291,0.4000000059604645,0.3364159166812897,0.08651858568191528,107150,0.8470449447631836
1,0,9.999999747378752e-05,0.4000000059604645,0.41191592812538147,0.07839368283748627,107151,0.862786591053009
1,1,9.999999747378752e-05,0.4000000059604645,0.43354299664497375,0.0734480768442154,107168,0.8721296787261963
1,2,0.0003000000142492354,0.4000000059604645,0.4500229060649872,0.07285945117473602,107156,0.8726807832717896
1,3,9.999999747378752e-05,0.4000000059604645,0.4147678017616272,0.07995404303073883,107154,0.8608671426773071
1,4,0.003000000026077032,0.4000000059604645,0.4475727081298828,0.07202513515949249,107150,0.8762165307998657
2,0,9.999999747378752e-05,0.4000000059604645,0.44716769456863403,0.07369469851255417,107151,0.8721666932106018
2,1,0.003000000026077032,0.4000000059604645,0.4637298882007599,0.06953402608633041,107168,0.8792543411254883
2,2,0.0003000000142492354,0.4000000059604645,0.4668002426624298,0.07063696533441544,107156,0.8772549033164978
2,3,0.0010000000474974513,0.4000000059604645,0.4436850845813751,0.07600399851799011,107154,0.8680814504623413
2,4,0.003000000026077032,0.4000000059604645,0.4642767310142517,0.06984781473875046,107150,0.8791152238845825
3,0,0.0010000000474974513,0.800000011920929,0.4809691905975342,0.06918860226869583,107151,0.8817036747932434
3,1,0.003000000026077032,0.800000011920929,0.5013706088066101,0.0646534338593483,107168,0.8900178670883179
3,2,9.999999747378752e-05,0.800000011920929,0.5049692988395691,0.06558012962341309,107156,0.8884282112121582
3,3,9.999999747378752e-05,0.4000000059604645,0.49576541781425476,0.06888700276613235,107154,0.883791446685791
3,4,0.003000000026077032,0.4000000059604645,0.5080419182777405,0.06414133310317993,107150,0.8921037912368774
4,0,0.004999999888241291,0.800000011920929,0.5083435773849487,0.06553881615400314,107151,0.8913293480873108
4,1,0.0003000000142492354,0.800000011920929,0.5266023874282837,0.06138119846582413,107168,0.8982844352722168
4,2,0.0003000000142492354,0.800000011920929,0.5269686579704285,0.06266561895608902,107156,0.8955268263816833
4,3,0.0010000000474974513,0.800000011920929,0.5109043121337891,0.06681957840919495,107154,0.8877254128456116
4,4,0.003000000026077032,0.4000000059604645,0.541519045829773,0.05977611243724823,107150,0.9017226099967957
5,0,0.0010000000474974513,0.800000011920929,0.5557335615158081,0.05922166630625725,107151,0.9027822613716125
5,1,0.004999999888241291,0.800000011920929,0.5448889136314392,0.05901011452078819,107168,0.905501663684845
5,2,9.999999747378752e-05,0.800000011920929,0.5651472210884094,0.05760791525244713,107156,0.9056268334388733
5,3,9.999999747378752e-05,0.800000011920929,0.5486510992050171,0.061662670224905014,107154,0.8980661630630493
5,4,0.004999999888241291,0.800000011920929,0.5707699656486511,0.05596276372671127,107150,0.9090007543563843
6,0,0.004999999888241291,0.4000000059604645,0.592170000076294,0.05436429753899574,107151,0.9118689894676208
6,1,0.0003000000142492354,0.4000000059604645,0.5858583450317383,0.053697992116212845,107168,0.9149865508079529
6,2,0.003000000026077032,0.800000011920929,0.5817626118659973,0.05540641397237778,107156,0.9094951748847961
6,3,0.004999999888241291,0.4000000059604645,0.5758472681045532,0.05794624984264374,107154,0.9059848189353943
6,4,0.003000000026077032,0.800000011920929,0.5887162089347839,0.05362292006611824,107150,0.9129557609558105
7,0,0.004999999888241291,0.800000011920929,0.6118096709251404,0.051746271550655365,107151,0.9171139597892761
7,1,0.0003000000142492354,0.800000011920929,0.6186996698379517,0.04943980276584625,107168,0.9218121767044067
